,QUARTER,TIME_REMAINING,UTAH_ACTION,MEMPHIS_ACTION,UTAH_SCORE,MEMPHIS_SCORE
0,1,11:38.0,E. Freedom misses 2-pt dunk from 2 ft,,0,0
1,1,11:38.0,,Defensive rebound by Team,0,0
2,1,11:34.0,,M. Conley makes 2-pt jump shot from 6 ft,0,2
3,1,11:10.0,T. Burke misses 3-pt jump shot from 26 ft,,0,2
4,1,11:09.0,,Defensive rebound by K. Koufos,0,2
5,1,10:55.0,,M. Gasol misses 2-pt jump shot from 19 ft,0,2
6,1,10:54.0,Defensive rebound by T. Burke,,0,2
7,1,10:38.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by D. Favors),,3,2
8,1,10:13.0,,T. Prince misses 2-pt jump shot from 12 ft,3,2
9,1,10:12.0,Defensive rebound by Team,,3,2
10,1,10:00.0,G. Hayward makes 2-pt jump shot from 17 ft,,5,2
11,1,9:43.0,,M. Gasol misses 2-pt hook shot from 5 ft,5,2
12,1,9:42.0,Defensive rebound by Team,,5,2
13,1,9:26.0,Shooting foul by K. Koufos (drawn by D. Favors),,5,2
14,1,9:26.0,D. Favors makes free throw 1 of 2,,6,2
15,1,9:26.0,D. Favors misses free throw 2 of 2,,6,2
16,1,9:25.0,,Defensive rebound by M. Gasol,6,2
17,1,9:02.0,,K. Koufos makes 2-pt hook shot from 6 ft (assist by M. Conley),6,4
18,1,8:44.0,E. Freedom makes 2-pt layup at rim,,8,4
19,1,8:24.0,,T. Prince misses 2-pt jump shot from 20 ft,8,4
20,1,8:23.0,,Offensive rebound by M. Gasol,8,4
21,1,8:07.0,,M. Gasol makes 2-pt jump shot from 9 ft,8,6
22,1,7:47.0,E. Freedom misses 2-pt layup from 1 ft,,8,6
23,1,7:46.0,,Defensive rebound by M. Gasol,8,6
24,1,7:37.0,,M. Conley makes 2-pt jump shot from 10 ft,8,8
25,1,7:23.0,T. Burke misses 2-pt jump shot from 10 ft,,8,8
26,1,7:23.0,,Defensive rebound by Team,8,8
27,1,7:21.0,Loose ball foul by E. Freedom (drawn by M. Gasol),,8,8
28,1,7:09.0,,C. Lee makes 2-pt jump shot from 19 ft (assist by T. Prince),8,10
29,1,6:56.0,G. Hayward misses 2-pt jump shot from 6 ft (block by K. Koufos),,8,10
30,1,6:54.0,,Defensive rebound by M. Conley,8,10
31,1,6:43.0,,M. Gasol makes 2-pt jump shot from 11 ft (assist by T. Prince),8,12
32,1,6:29.0,D. Favors misses 2-pt layup from 2 ft,,8,12
33,1,6:27.0,,Defensive rebound by M. Gasol,8,12
34,1,6:22.0,,M. Conley misses 2-pt layup from 2 ft,8,12
35,1,6:19.0,,Offensive rebound by K. Koufos,8,12
36,1,6:19.0,,K. Koufos misses 2-pt tip-in at rim,8,12
37,1,6:17.0,Defensive rebound by D. Favors,,8,12
38,1,6:06.0,A. Burks makes 2-pt layup from 2 ft,,10,12
39,1,5:50.0,,Offensive foul by M. Conley (drawn by G. Hayward),10,12
40,1,5:50.0,,Turnover by M. Conley (offensive foul),10,12
41,1,5:50.0,,Memphis full timeout,10,12
42,1,5:50.0,,B. Udrih enters the game for M. Conley,10,12
43,1,5:50.0,R. Gobert enters the game for E. Freedom,,10,12
44,1,5:50.0,D. Exum enters the game for T. Burke,,10,12
45,1,5:38.0,R. Gobert misses 2-pt layup at rim,,10,12
46,1,5:36.0,,Defensive rebound by B. Udrih,10,12
47,1,5:22.0,,C. Lee makes 2-pt jump shot from 16 ft (assist by K. Koufos),10,14
48,1,5:03.0,D. Favors misses 2-pt jump shot from 16 ft,,10,14
49,1,5:02.0,,Defensive rebound by C. Lee,10,14
50,1,4:49.0,,M. Gasol makes 2-pt jump shot from 10 ft,10,16
51,1,4:36.0,Turnover by R. Gobert (traveling),,10,16
52,1,4:36.0,R. Hood enters the game for A. Burks,,10,16
53,1,4:36.0,,V. Carter enters the game for T. Prince,10,16
54,1,4:12.0,,M. Gasol makes 2-pt jump shot from 22 ft (assist by K. Koufos),10,18
55,1,3:56.0,R. Hood makes 3-pt jump shot from 26 ft (assist by D. Exum),,13,18
56,1,3:33.0,,C. Lee misses 3-pt jump shot from 25 ft,13,18
57,1,3:31.0,Defensive rebound by Team,,13,18
58,1,3:20.0,G. Hayward misses 2-pt jump shot from 16 ft,,13,18
59,1,3:19.0,Offensive rebound by Team,,13,18
60,1,3:18.0,,J. Leuer enters the game for K. Koufos,13,18
61,1,3:10.0,R. Hood misses 3-pt jump shot from 25 ft,,13,18
62,1,3:09.0,Offensive rebound by R. Hood,,13,18
63,1,2:57.0,Turnover by R. Hood (bad pass; steal by V. Carter),,13,18
64,1,2:44.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by V. Carter),13,20
65,1,2:32.0,D. Favors makes 2-pt jump shot from 5 ft (assist by R. Hood),,15,20
66,1,2:05.0,,B. Udrih misses 3-pt jump shot from 25 ft,15,20
67,1,2:01.0,Defensive rebound by R. Gobert,,15,20
68,1,1:47.0,D. Favors misses 2-pt jump shot from 11 ft,,15,20
69,1,1:46.0,,Defensive rebound by V. Carter,15,20
70,1,1:33.0,,C. Lee misses 3-pt jump shot from 25 ft,15,20
71,1,1:30.0,,Offensive rebound by M. Gasol,15,20
72,1,1:25.0,,V. Carter misses 3-pt jump shot from 26 ft,15,20
73,1,1:23.0,Defensive rebound by R. Hood,,15,20
74,1,1:12.0,Shooting foul by C. Lee (drawn by G. Hayward),,15,20
75,1,1:12.0,Utah full timeout,,15,20
76,1,1:12.0,,J. Adams enters the game for C. Lee,15,20
77,1,1:12.0,G. Hayward misses free throw 1 of 2,,15,20
78,1,1:12.0,Offensive rebound by Team,,15,20
79,1,1:12.0,G. Hayward makes free throw 2 of 2,,16,20
80,1,1:02.0,,Personal foul by R. Gobert (drawn by M. Gasol),16,20
81,1,0:54.0,,J. Leuer makes 2-pt jump shot from 18 ft (assist by B. Udrih),16,22
82,1,0:41.0,G. Hayward misses 2-pt jump shot from 19 ft,,16,22
83,1,0:40.0,Offensive rebound by G. Hayward,,16,22
84,1,0:35.0,D. Exum makes 3-pt jump shot from 26 ft (assist by R. Hood),,19,22
85,1,0:15.0,,M. Gasol misses 2-pt jump shot from 19 ft,19,22
86,1,0:13.0,Defensive rebound by D. Favors,,19,22
87,1,0:01.0,D. Favors misses 2-pt jump shot from 9 ft,,19,22
88,1,0:00.0,,Defensive rebound by J. Adams,19,22
89,2,11:50.0,,J. Adams makes 3-pt jump shot from 25 ft (assist by V. Carter),19,25
90,2,11:29.0,E. Freedom makes 2-pt jump shot from 13 ft,,21,25
91,2,11:11.0,Violation by R. Gobert (def goaltending),,21,25
92,2,11:11.0,,V. Carter makes 2-pt layup at rim,21,27
93,2,10:51.0,D. Exum makes 3-pt jump shot from 25 ft (assist by R. Hood),,24,27
94,2,10:39.0,,J. Leuer misses 2-pt layup at rim,24,27
95,2,10:37.0,Defensive rebound by R. Gobert,,24,27
96,2,10:14.0,E. Freedom misses 2-pt jump shot from 7 ft,,24,27
97,2,10:12.0,,Defensive rebound by V. Carter,24,27
98,2,10:00.0,,K. Koufos misses 2-pt jump shot from 18 ft,24,27
99,2,9:59.0,Defensive rebound by E. Freedom,,24,27
