,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
0,1,11:44.0,,Personal foul by B. McLemore (drawn by M. Gasol),0,0
1,1,11:36.0,Violation by R. Gay (kicked ball),,0,0
2,1,11:28.0,,M. Gasol misses 2-pt hook shot from 6 ft,0,0
3,1,11:26.0,Defensive rebound by R. Evans,,0,0
4,1,11:15.0,R. Gay misses 2-pt jump shot from 16 ft,,0,0
5,1,11:14.0,,Defensive rebound by M. Gasol,0,0
6,1,11:08.0,,J. Green makes 2-pt layup from 2 ft,0,2
7,1,10:43.0,J. Thompson misses 2-pt jump shot from 20 ft,,0,2
8,1,10:42.0,Offensive rebound by Team,,0,2
9,1,10:42.0,Turnover by Team (shot clock),,0,2
10,1,10:24.0,,M. Conley misses 3-pt jump shot from 22 ft,0,2
11,1,10:23.0,Defensive rebound by J. Thompson,,0,2
12,1,10:10.0,B. McLemore misses 2-pt jump shot from 16 ft (block by C. Lee),,0,2
13,1,10:08.0,Offensive rebound by J. Thompson,,0,2
14,1,10:04.0,R. McCallum misses 2-pt jump shot from 10 ft,,0,2
15,1,10:02.0,,Defensive rebound by M. Conley,0,2
16,1,9:57.0,,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),0,4
17,1,9:43.0,Shooting foul by M. Gasol (drawn by R. McCallum),,0,4
18,1,9:43.0,R. McCallum makes free throw 1 of 2,,1,4
19,1,9:43.0,R. McCallum misses free throw 2 of 2,,1,4
20,1,9:42.0,,Defensive rebound by J. Green,1,4
21,1,9:28.0,,J. Green makes 2-pt dunk at rim (assist by M. Gasol),1,6
22,1,9:20.0,Personal foul by Z. Randolph (drawn by R. Evans),,1,6
23,1,9:13.0,R. Gay misses 2-pt jump shot from 13 ft,,1,6
24,1,9:13.0,,Defensive rebound by Team,1,6
25,1,8:56.0,,J. Green misses 3-pt jump shot from 22 ft,1,6
26,1,8:55.0,,Offensive rebound by M. Gasol,1,6
27,1,8:47.0,,M. Gasol misses 2-pt jump shot from 19 ft,1,6
28,1,8:46.0,Defensive rebound by R. Evans,,1,6
29,1,8:36.0,B. McLemore makes 2-pt layup from 1 ft (assist by J. Thompson),,3,6
30,1,8:17.0,,Z. Randolph makes 2-pt jump shot from 18 ft (assist by C. Lee),3,8
31,1,8:00.0,R. Evans makes 2-pt layup at rim,,5,8
32,1,7:38.0,,Z. Randolph makes 2-pt jump shot from 3 ft (assist by M. Gasol),5,10
33,1,7:24.0,Personal foul by Z. Randolph (drawn by R. Evans),,5,10
34,1,7:24.0,,K. Koufos enters the game for Z. Randolph,5,10
35,1,7:17.0,B. McLemore misses 3-pt jump shot from 25 ft,,5,10
36,1,7:16.0,,Defensive rebound by M. Gasol,5,10
37,1,7:06.0,,M. Conley makes 2-pt jump shot from 14 ft,5,12
38,1,6:52.0,J. Thompson misses 2-pt jump shot from 16 ft,,5,12
39,1,6:51.0,,Defensive rebound by K. Koufos,5,12
40,1,6:42.0,,M. Gasol makes 2-pt jump shot from 12 ft,5,14
41,1,6:35.0,Sacramento full timeout,,5,14
42,1,6:35.0,N. Stauskas enters the game for B. McLemore,,5,14
43,1,6:26.0,R. McCallum misses 3-pt jump shot from 26 ft,,5,14
44,1,6:26.0,,Defensive rebound by C. Lee,5,14
45,1,6:04.0,,C. Lee misses 3-pt jump shot from 22 ft,5,14
46,1,6:02.0,,Offensive rebound by K. Koufos,5,14
47,1,5:59.0,,C. Lee makes 2-pt jump shot from 7 ft,5,16
