,QUARTER,TIME_REMAINING,UTAH_ACTION,CLEVELAND_ACTION,UTAH_SCORE,CLEVELAND_SCORE
0,1,11:43.0,,J. Smith misses 3-pt jump shot from 26 ft,0,0
1,1,11:42.0,Defensive rebound by T. Burke,,0,0
2,1,11:23.0,D. Favors misses 2-pt jump shot from 14 ft,,0,0
3,1,11:21.0,,Defensive rebound by L. James,0,0
4,1,11:13.0,,K. Irving makes 2-pt jump shot from 11 ft,0,2
5,1,10:52.0,E. Freedom misses 2-pt jump shot from 17 ft,,0,2
6,1,10:51.0,,Defensive rebound by T. Mozgov,0,2
7,1,10:44.0,,K. Irving makes 2-pt layup at rim (assist by L. James),0,4
8,1,10:28.0,D. Favors makes 2-pt jump shot from 14 ft (assist by T. Burke),,2,4
9,1,10:07.0,,K. Love misses 2-pt jump shot from 16 ft,2,4
10,1,10:06.0,Defensive rebound by E. Freedom,,2,4
11,1,9:57.0,G. Hayward makes 2-pt jump shot from 11 ft,,4,4
12,1,9:39.0,,J. Smith misses 3-pt jump shot from 25 ft,4,4
13,1,9:37.0,,Offensive rebound by L. James,4,4
14,1,9:34.0,,K. Love makes 3-pt jump shot from 22 ft (assist by L. James),4,7
15,1,9:19.0,T. Burke misses 3-pt jump shot from 23 ft,,4,7
16,1,9:18.0,,Defensive rebound by J. Smith,4,7
17,1,9:12.0,,Turnover by L. James (bad pass; steal by D. Favors),4,7
18,1,8:55.0,T. Burke misses 2-pt jump shot from 6 ft,,4,7
19,1,8:53.0,Offensive rebound by G. Hayward,,4,7
20,1,8:48.0,T. Burke misses 2-pt jump shot from 10 ft,,4,7
21,1,8:46.0,,Defensive rebound by L. James,4,7
22,1,8:40.0,,K. Love misses 3-pt jump shot from 24 ft,4,7
23,1,8:39.0,Defensive rebound by E. Freedom,,4,7
24,1,8:27.0,E. Freedom misses 2-pt layup from 1 ft (block by T. Mozgov),,4,7
25,1,8:26.0,Offensive rebound by Team,,4,7
26,1,8:18.0,J. Ingles misses 3-pt jump shot from 24 ft,,4,7
27,1,8:18.0,,Defensive rebound by J. Smith,4,7
28,1,8:09.0,,L. James makes 2-pt layup at rim (assist by J. Smith),4,9
29,1,7:58.0,Shooting foul by T. Mozgov (drawn by E. Freedom),,4,9
30,1,7:58.0,E. Freedom makes free throw 1 of 2,,5,9
31,1,7:58.0,E. Freedom makes free throw 2 of 2,,6,9
32,1,7:47.0,,L. James misses 2-pt jump shot from 15 ft,6,9
33,1,7:45.0,Defensive rebound by E. Freedom,,6,9
34,1,7:32.0,D. Favors makes 2-pt jump shot from 11 ft,,8,9
35,1,7:07.0,,Turnover by J. Smith (bad pass; steal by T. Burke),8,9
36,1,6:58.0,J. Ingles misses 3-pt jump shot from 25 ft,,8,9
37,1,6:57.0,,Defensive rebound by K. Love,8,9
38,1,6:49.0,,T. Mozgov makes 2-pt layup at rim (assist by L. James),8,11
39,1,6:30.0,Turnover by G. Hayward (bad pass),,8,11
40,1,6:13.0,,Shooting foul by J. Ingles (drawn by K. Love),8,11
41,1,6:13.0,,K. Love makes free throw 1 of 2,8,12
42,1,6:13.0,,K. Love makes free throw 2 of 2,8,13
43,1,6:13.0,Utah full timeout,,8,13
44,1,6:13.0,R. Gobert enters the game for E. Freedom,,8,13
45,1,5:58.0,D. Favors makes 2-pt hook shot from 6 ft (assist by R. Gobert),,10,13
46,1,5:47.0,,Turnover by K. Love (bad pass; steal by G. Hayward),10,13
47,1,5:39.0,G. Hayward misses 2-pt jump shot from 6 ft,,10,13
48,1,5:37.0,Offensive rebound by R. Gobert,,10,13
49,1,5:35.0,R. Gobert makes 2-pt dunk at rim,,12,13
50,1,5:17.0,,L. James misses 3-pt jump shot from 25 ft,12,13
51,1,5:15.0,Defensive rebound by J. Ingles,,12,13
52,1,5:10.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by J. Ingles),,15,13
53,1,4:51.0,,K. Irving makes 3-pt jump shot from 24 ft,15,16
54,1,4:42.0,T. Burke makes 2-pt layup from 1 ft,,17,16
55,1,4:35.0,,L. James makes 2-pt layup at rim,17,18
56,1,4:35.0,,Shooting foul by D. Favors (drawn by L. James),17,18
57,1,4:35.0,,T. Thompson enters the game for T. Mozgov,17,18
58,1,4:35.0,,L. James makes free throw 1 of 1,17,19
59,1,4:22.0,Turnover by T. Burke (bad pass; steal by J. Smith),,17,19
60,1,4:01.0,,Shooting foul by R. Gobert (drawn by L. James),17,19
61,1,4:01.0,,L. James makes free throw 1 of 2,17,20
62,1,4:01.0,D. Exum enters the game for T. Burke,,17,20
63,1,4:01.0,,L. James makes free throw 2 of 2,17,21
64,1,3:49.0,G. Hayward misses 3-pt jump shot from 24 ft,,17,21
65,1,3:48.0,,Defensive rebound by L. James,17,21
66,1,3:33.0,,K. Love misses 3-pt jump shot from 22 ft,17,21
67,1,3:32.0,Defensive rebound by J. Ingles,,17,21
68,1,3:13.0,G. Hayward misses 2-pt jump shot from 4 ft,,17,21
69,1,3:10.0,Offensive rebound by G. Hayward,,17,21
70,1,3:08.0,Turnover by G. Hayward (lost ball; steal by L. James),,17,21
71,1,3:07.0,,Shooting foul by D. Exum (drawn by J. Smith),17,21
72,1,3:07.0,,J. Smith makes free throw 1 of 2,17,22
73,1,3:07.0,,S. Marion enters the game for L. James,17,22
74,1,3:07.0,,J. Smith misses free throw 2 of 2,17,22
75,1,3:07.0,Defensive rebound by R. Gobert,,17,22
76,1,2:56.0,D. Favors misses 2-pt jump shot from 14 ft,,17,22
77,1,2:55.0,,Defensive rebound by J. Smith,17,22
78,1,2:41.0,,K. Love makes 2-pt jump shot from 14 ft,17,24
79,1,2:27.0,Turnover by R. Gobert (lost ball; steal by K. Love),,17,24
80,1,2:19.0,,Shooting foul by D. Favors (drawn by K. Love),17,24
81,1,2:19.0,,Cleveland full timeout,17,24
82,1,2:19.0,T. Booker enters the game for D. Favors,,17,24
83,1,2:19.0,E. Millsap enters the game for J. Ingles,,17,24
84,1,2:19.0,,K. Love makes free throw 1 of 2,17,25
85,1,2:19.0,,K. Love makes free throw 2 of 2,17,26
86,1,1:56.0,Shooting foul by K. Irving (drawn by G. Hayward),,17,26
87,1,1:56.0,G. Hayward makes free throw 1 of 2,,18,26
88,1,1:56.0,,T. Mozgov enters the game for K. Love,18,26
89,1,1:56.0,G. Hayward makes free throw 2 of 2,,19,26
90,1,1:32.0,,Shooting foul by E. Millsap (drawn by J. Smith),19,26
91,1,1:32.0,,J. Smith makes free throw 1 of 2,19,27
92,1,1:32.0,,M. Dellavedova enters the game for K. Irving,19,27
93,1,1:32.0,,J. Smith makes free throw 2 of 2,19,28
94,1,1:19.0,E. Williams enters the game for D. Exum,,19,28
95,1,1:11.0,E. Williams misses 2-pt jump shot from 16 ft,,19,28
96,1,1:10.0,,Defensive rebound by S. Marion,19,28
97,1,1:03.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),19,31
98,1,0:42.0,T. Booker misses 2-pt jump shot from 14 ft,,19,31
99,1,0:40.0,,Defensive rebound by M. Dellavedova,19,31
100,1,0:30.0,,J. Smith misses 3-pt jump shot from 24 ft,19,31
101,1,0:29.0,Defensive rebound by T. Booker,,19,31
102,1,0:10.0,Shooting foul by J. Smith (drawn by E. Williams),,19,31
103,1,0:10.0,E. Williams makes free throw 1 of 2,,20,31
104,1,0:10.0,,L. James enters the game for S. Marion,20,31
105,1,0:10.0,,K. Love enters the game for T. Thompson,20,31
106,1,0:10.0,E. Williams misses free throw 2 of 2,,20,31
107,1,0:08.0,,Defensive rebound by K. Love,20,31
108,1,0:02.0,,L. James misses 2-pt jump shot from 8 ft,20,31
109,1,0:01.0,,Offensive rebound by T. Mozgov,20,31
110,1,0:01.0,,T. Mozgov misses 2-pt tip-in at rim,20,31
111,1,0:00.0,,Offensive rebound by Team,20,31
112,2,11:43.0,E. Millsap misses 2-pt layup from 1 ft (block by T. Mozgov),,20,31
113,2,11:41.0,Offensive rebound by E. Millsap,,20,31
114,2,11:39.0,Turnover by E. Millsap (bad pass; steal by S. Marion),,20,31
115,2,11:39.0,,Personal foul by T. Burke (drawn by L. James),20,31
116,2,11:30.0,,L. James makes 2-pt layup at rim (assist by M. Dellavedova),20,33
117,2,11:12.0,Turnover by T. Booker (bad pass; steal by T. Mozgov),,20,33
118,2,10:53.0,,Shooting foul by E. Millsap (drawn by L. James),20,33
119,2,10:53.0,,L. James makes free throw 1 of 2,20,34
120,2,10:53.0,,L. James misses free throw 2 of 2,20,34
121,2,10:52.0,Defensive rebound by T. Booker,,20,34
122,2,10:31.0,E. Millsap misses 3-pt jump shot from 25 ft,,20,34
123,2,10:30.0,,Defensive rebound by T. Mozgov,20,34
124,2,10:16.0,,S. Marion makes 2-pt jump shot from 10 ft (assist by M. Dellavedova),20,36
125,2,9:58.0,D. Exum misses 3-pt jump shot from 22 ft,,20,36
126,2,9:57.0,,Defensive rebound by T. Mozgov,20,36
127,2,9:50.0,,Turnover by S. Marion (lost ball),20,36
128,2,9:50.0,E. Williams enters the game for E. Millsap,,20,36
129,2,9:33.0,T. Burke misses 2-pt jump shot from 18 ft,,20,36
130,2,9:32.0,,Defensive rebound by T. Mozgov,20,36
131,2,9:20.0,,T. Mozgov makes 2-pt jump shot from 18 ft (assist by L. James),20,38
132,2,8:54.0,T. Booker misses 2-pt jump shot from 16 ft,,20,38
133,2,8:54.0,Offensive rebound by Team,,20,38
134,2,8:54.0,Turnover by Team (shot clock),,20,38
135,2,8:54.0,Official timeout,,20,38
136,2,8:54.0,,K. Love enters the game for T. Thompson,20,38
137,2,8:54.0,J. Ingles enters the game for D. Exum,,20,38
138,2,8:54.0,E. Freedom enters the game for T. Booker,,20,38
139,2,8:32.0,,M. Dellavedova misses 2-pt jump shot from 10 ft,20,38
140,2,8:31.0,,Offensive rebound by K. Love,20,38
141,2,8:30.0,,Turnover by Team (shot clock),20,38
142,2,8:08.0,E. Williams makes 3-pt jump shot from 25 ft (assist by R. Gobert),,23,38
143,2,7:49.0,,Turnover by L. James (bad pass; steal by T. Burke),23,38
144,2,7:46.0,Personal foul by K. Love (drawn by E. Williams),,23,38
145,2,7:46.0,,K. Irving enters the game for M. Dellavedova,23,38
146,2,7:46.0,,J. Smith enters the game for S. Marion,23,38
147,2,7:33.0,E. Freedom misses 2-pt jump shot from 15 ft,,23,38
148,2,7:32.0,,Defensive rebound by J. Smith,23,38
149,2,7:25.0,,L. James makes 2-pt jump shot from 4 ft,23,40
150,2,7:11.0,T. Burke misses 2-pt jump shot from 18 ft,,23,40
151,2,7:10.0,Offensive rebound by R. Gobert,,23,40
