,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BROOKLYN_ACTION,SACRAMENTO_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,K. Garnett makes 2-pt jump shot from 19 ft (assist by J. Johnson),0,2
1,1,11:10.0,J. Thompson misses 2-pt layup from 2 ft,,0,2
2,1,11:08.0,Offensive rebound by J. Thompson,,0,2
3,1,11:06.0,J. Thompson makes 2-pt layup at rim,,2,2
4,1,10:46.0,,K. Garnett makes 2-pt jump shot from 15 ft (assist by S. Karasev),2,4
5,1,10:33.0,B. McLemore makes 3-pt jump shot from 28 ft (assist by R. Gay),,5,4
6,1,10:20.0,,J. Jack misses 2-pt jump shot from 8 ft,5,4
7,1,10:19.0,Defensive rebound by R. Gay,,5,4
8,1,10:17.0,Personal foul by S. Karasev (drawn by B. McLemore),,5,4
9,1,10:02.0,J. Thompson misses 2-pt jump shot from 19 ft,,5,4
10,1,10:01.0,,Defensive rebound by J. Johnson,5,4
11,1,9:52.0,,K. Garnett misses 2-pt jump shot from 4 ft,5,4
12,1,9:51.0,Defensive rebound by D. Cousins,,5,4
13,1,9:45.0,D. Collison makes 2-pt layup from 1 ft (assist by D. Cousins),,7,4
14,1,9:19.0,,J. Johnson misses 3-pt jump shot from 29 ft,7,4
15,1,9:18.0,Defensive rebound by B. McLemore,,7,4
16,1,9:02.0,R. Gay misses 2-pt jump shot from 5 ft,,7,4
17,1,9:01.0,,Defensive rebound by M. Plumlee,7,4
18,1,8:47.0,,J. Jack makes 2-pt jump shot from 16 ft,7,6
19,1,8:34.0,D. Cousins makes 2-pt layup from 2 ft (assist by D. Collison),,9,6
20,1,8:24.0,,Shooting foul by B. McLemore (drawn by M. Plumlee),9,6
21,1,8:24.0,,M. Plumlee makes free throw 1 of 2,9,7
22,1,8:24.0,,M. Plumlee misses free throw 2 of 2,9,7
23,1,8:23.0,,Offensive rebound by M. Plumlee,9,7
24,1,8:17.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by K. Garnett),9,10
25,1,7:53.0,Turnover by D. Cousins (lost ball; steal by K. Garnett),,9,10
26,1,7:48.0,,Shooting foul by J. Thompson (drawn by J. Jack),9,10
27,1,7:48.0,,J. Jack makes free throw 1 of 2,9,11
28,1,7:48.0,,J. Jack makes free throw 2 of 2,9,12
29,1,7:28.0,R. Gay makes 2-pt jump shot from 16 ft,,11,12
30,1,7:06.0,,M. Plumlee makes 2-pt layup from 1 ft,11,14
31,1,6:52.0,D. Cousins makes 2-pt jump shot from 17 ft (assist by D. Collison),,13,14
32,1,6:33.0,,Turnover by J. Jack (lost ball; steal by B. McLemore),13,14
33,1,6:29.0,D. Collison misses 2-pt layup from 1 ft,,13,14
34,1,6:28.0,Offensive rebound by R. Gay,,13,14
35,1,6:27.0,R. Gay makes 2-pt layup from 2 ft,,15,14
36,1,6:03.0,,J. Johnson makes 2-pt jump shot from 17 ft,15,16
37,1,5:46.0,D. Cousins makes 2-pt dunk at rim (assist by R. Gay),,17,16
38,1,5:26.0,,J. Johnson makes 2-pt jump shot from 10 ft,17,18
39,1,5:17.0,Personal foul by J. Jack (drawn by D. Collison),,17,18
40,1,5:17.0,,Brooklyn full timeout,17,18
41,1,5:17.0,,M. Teletović enters the game for K. Garnett,17,18
42,1,5:09.0,R. Gay misses 2-pt jump shot from 11 ft,,17,18
43,1,5:08.0,Offensive rebound by D. Cousins,,17,18
44,1,5:05.0,D. Cousins misses 2-pt layup from 1 ft (block by M. Plumlee),,17,18
45,1,5:04.0,,Defensive rebound by S. Karasev,17,18
46,1,4:44.0,,Turnover by M. Plumlee (lost ball; steal by D. Cousins),17,18
47,1,4:38.0,J. Thompson makes 2-pt jump shot from 19 ft (assist by D. Collison),,19,18
48,1,4:17.0,,Turnover by M. Plumlee (bad pass),19,18
49,1,4:17.0,Turnover by D. Collison (bad pass),,19,18
50,1,4:02.0,,Shooting foul by D. Collison (drawn by J. Jack),19,18
51,1,4:02.0,,J. Jack makes free throw 1 of 2,19,19
52,1,4:02.0,D. Williams enters the game for J. Thompson,,19,19
53,1,4:02.0,,J. Jack makes free throw 2 of 2,19,20
54,1,3:50.0,R. Gay misses 3-pt jump shot from 26 ft,,19,20
55,1,3:49.0,,Defensive rebound by M. Teletović,19,20
56,1,3:42.0,,J. Jack makes 2-pt jump shot from 4 ft,19,22
57,1,3:42.0,,Shooting foul by D. Collison (drawn by J. Jack),19,22
58,1,3:42.0,R. McCallum enters the game for D. Collison,,19,22
59,1,3:42.0,,J. Jack makes free throw 1 of 1,19,23
60,1,3:20.0,R. Gay misses 2-pt jump shot from 20 ft,,19,23
61,1,3:19.0,Offensive rebound by D. Cousins,,19,23
62,1,3:15.0,D. Williams makes 2-pt layup from 1 ft (assist by D. Cousins),,21,23
63,1,3:11.0,,Shooting foul by D. Cousins (drawn by M. Plumlee),21,23
64,1,3:11.0,,M. Plumlee misses free throw 1 of 2,21,23
65,1,3:11.0,,Offensive rebound by Team,21,23
66,1,3:11.0,,M. Plumlee makes free throw 2 of 2,21,24
67,1,2:54.0,Turnover by D. Cousins (bad pass; steal by M. Plumlee),,21,24
68,1,2:47.0,,J. Johnson misses 3-pt jump shot from 24 ft,21,24
69,1,2:46.0,Defensive rebound by B. McLemore,,21,24
70,1,2:40.0,B. McLemore makes 2-pt jump shot from 6 ft,,23,24
71,1,2:20.0,,M. Teletović misses 2-pt layup from 2 ft (block by D. Cousins),23,24
72,1,2:18.0,,Offensive rebound by J. Jack,23,24
73,1,2:14.0,,Turnover by M. Plumlee (lost ball; steal by D. Williams),23,24
74,1,2:03.0,B. McLemore makes 3-pt jump shot from 26 ft (assist by D. Cousins),,26,24
75,1,1:46.0,,Offensive foul by M. Teletović (drawn by D. Cousins),26,24
76,1,1:46.0,,Turnover by M. Teletović (offensive foul),26,24
77,1,1:46.0,Sacramento full timeout,,26,24
78,1,1:46.0,,A. Anderson enters the game for J. Johnson,26,24
79,1,1:46.0,R. Evans enters the game for D. Cousins,,26,24
80,1,1:32.0,Shooting foul by A. Anderson (drawn by R. Gay),,26,24
81,1,1:32.0,R. Gay makes free throw 1 of 2,,27,24
82,1,1:32.0,R. Gay makes free throw 2 of 2,,28,24
83,1,1:19.0,,Turnover by M. Teletović (bad pass),28,24
84,1,1:19.0,N. Stauskas enters the game for B. McLemore,,28,24
85,1,1:08.0,R. Gay misses 2-pt jump shot from 18 ft,,28,24
86,1,1:07.0,,Defensive rebound by M. Teletović,28,24
87,1,0:58.0,,J. Jack misses 2-pt jump shot from 13 ft,28,24
88,1,0:57.0,Defensive rebound by R. McCallum,,28,24
89,1,0:54.0,D. Williams misses 2-pt layup from 1 ft,,28,24
90,1,0:53.0,,Defensive rebound by S. Karasev,28,24
91,1,0:46.0,,A. Anderson makes 3-pt jump shot from 26 ft (assist by S. Karasev),28,27
92,1,0:31.0,,D. Williams enters the game for J. Jack,28,27
93,1,0:31.0,,B. Lopez enters the game for M. Plumlee,28,27
94,1,0:31.0,O. Casspi enters the game for R. Gay,,28,27
95,1,0:23.0,Turnover by D. Williams (step out of bounds),,28,27
96,1,0:02.0,,A. Anderson misses 2-pt jump shot from 19 ft,28,27
97,1,0:01.0,Defensive rebound by R. McCallum,,28,27
98,2,11:41.0,R. McCallum misses 2-pt jump shot from 21 ft,,28,27
99,2,11:39.0,,Defensive rebound by B. Lopez,28,27
100,2,11:24.0,,M. Teletović misses 3-pt jump shot from 26 ft,28,27
101,2,11:23.0,,Offensive rebound by B. Bogdanović,28,27
102,2,10:59.0,,M. Teletović makes 3-pt jump shot from 22 ft (assist by A. Anderson),28,30
