,QUARTER,TIME_REMAINING,UTAH_ACTION,PORTLAND_ACTION,UTAH_SCORE,PORTLAND_SCORE
0,1,11:42.0,T. Booker makes 3-pt jump shot from 23 ft (assist by R. Hood),,3,0
1,1,11:17.0,,C. McCollum makes 2-pt jump shot from 14 ft,3,2
2,1,10:56.0,J. Ingles misses 2-pt layup from 1 ft,,3,2
3,1,10:55.0,,Defensive rebound by M. Leonard,3,2
4,1,10:45.0,,R. Lopez misses 2-pt layup from 2 ft,3,2
5,1,10:44.0,Defensive rebound by R. Gobert,,3,2
6,1,10:32.0,R. Gobert misses 2-pt dunk at rim,,3,2
7,1,10:29.0,,Defensive rebound by C. McCollum,3,2
8,1,10:19.0,,M. Leonard misses 3-pt jump shot from 25 ft,3,2
9,1,10:18.0,Defensive rebound by J. Ingles,,3,2
10,1,10:04.0,T. Booker makes 3-pt jump shot from 26 ft (assist by J. Ingles),,6,2
11,1,9:46.0,,C. McCollum misses 3-pt jump shot from 28 ft,6,2
12,1,9:45.0,Defensive rebound by T. Booker,,6,2
13,1,9:26.0,Shooting foul by M. Leonard (drawn by T. Booker),,6,2
14,1,9:26.0,T. Booker misses free throw 1 of 2,,6,2
15,1,9:26.0,Offensive rebound by Team,,6,2
16,1,9:26.0,T. Booker makes free throw 2 of 2,,7,2
17,1,9:09.0,,Turnover by M. Leonard (lost ball; steal by T. Booker),7,2
18,1,9:04.0,R. Hood makes 2-pt layup from 1 ft,,9,2
19,1,8:39.0,,N. Batum misses 3-pt jump shot from 24 ft,9,2
20,1,8:38.0,Defensive rebound by R. Gobert,,9,2
21,1,8:27.0,T. Booker makes 2-pt jump shot from 17 ft (assist by R. Hood),,11,2
22,1,8:10.0,,R. Lopez makes 2-pt jump shot from 18 ft (assist by N. Batum),11,4
23,1,7:47.0,J. Ingles misses 3-pt jump shot from 27 ft,,11,4
24,1,7:46.0,Offensive rebound by T. Booker,,11,4
25,1,7:46.0,T. Booker misses 2-pt tip-in from 1 ft,,11,4
26,1,7:45.0,Offensive rebound by Team,,11,4
27,1,7:35.0,R. Hood misses 2-pt jump shot from 12 ft,,11,4
28,1,7:34.0,,Defensive rebound by N. Batum,11,4
29,1,7:26.0,,R. Lopez makes 2-pt layup from 1 ft (assist by N. Batum),11,6
30,1,7:17.0,R. Gobert makes 2-pt dunk at rim (assist by D. Exum),,13,6
31,1,6:53.0,,C. McCollum misses 2-pt jump shot from 14 ft,13,6
32,1,6:52.0,,Offensive rebound by R. Lopez,13,6
33,1,6:51.0,,Shooting foul by R. Gobert (drawn by R. Lopez),13,6
34,1,6:51.0,,R. Lopez makes free throw 1 of 2,13,7
35,1,6:51.0,,R. Lopez makes free throw 2 of 2,13,8
36,1,6:35.0,Turnover by J. Ingles (bad pass),,13,8
37,1,6:24.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),13,11
38,1,6:06.0,J. Ingles misses 2-pt jump shot from 6 ft,,13,11
39,1,6:05.0,Offensive rebound by R. Gobert,,13,11
40,1,6:04.0,R. Gobert makes 2-pt dunk at rim,,15,11
41,1,5:57.0,,Portland full timeout,15,11
42,1,5:45.0,,R. Lopez makes 2-pt hook shot from 2 ft (assist by N. Batum),15,13
43,1,5:21.0,R. Hood misses 2-pt jump shot from 6 ft,,15,13
44,1,5:19.0,,Defensive rebound by C. McCollum,15,13
45,1,5:09.0,,C. McCollum makes 2-pt jump shot from 6 ft,15,15
46,1,4:49.0,T. Booker makes 3-pt jump shot from 25 ft (assist by R. Hood),,18,15
47,1,4:25.0,,M. Leonard misses 3-pt jump shot from 26 ft,18,15
48,1,4:24.0,,Offensive rebound by R. Lopez,18,15
49,1,4:18.0,,Shooting foul by R. Hood (drawn by M. Leonard),18,15
50,1,4:18.0,,M. Leonard makes free throw 1 of 2,18,16
51,1,4:18.0,,C. Kaman enters the game for R. Lopez,18,16
52,1,4:18.0,,A. Crabbe enters the game for N. Batum,18,16
53,1,4:18.0,,M. Leonard makes free throw 2 of 2,18,17
54,1,4:04.0,R. Hood makes 2-pt jump shot from 5 ft,,20,17
55,1,3:53.0,,D. Lillard misses 2-pt jump shot from 11 ft,20,17
56,1,3:52.0,Defensive rebound by T. Booker,,20,17
57,1,3:43.0,T. Booker makes 2-pt layup from 2 ft (assist by R. Hood),,22,17
58,1,3:20.0,,Turnover by C. Kaman (traveling),22,17
59,1,3:20.0,C. Johnson enters the game for J. Ingles,,22,17
60,1,3:20.0,J. Evans enters the game for R. Gobert,,22,17
61,1,3:05.0,Shooting foul by C. Kaman (drawn by J. Evans),,22,17
62,1,3:05.0,J. Evans makes free throw 1 of 2,,23,17
63,1,3:05.0,J. Evans makes free throw 2 of 2,,24,17
64,1,2:42.0,,A. Crabbe misses 3-pt jump shot from 25 ft,24,17
65,1,2:41.0,Defensive rebound by T. Booker,,24,17
66,1,2:27.0,Turnover by D. Exum (lost ball; steal by M. Leonard),,24,17
67,1,2:27.0,,Turnover by D. Lillard (offensive foul),24,17
68,1,2:27.0,,Offensive foul by D. Lillard (drawn by D. Exum),24,17
69,1,2:27.0,Utah full timeout,,24,17
70,1,2:27.0,,S. Blake enters the game for C. McCollum,24,17
71,1,2:15.0,R. Hood misses 2-pt jump shot from 18 ft,,24,17
72,1,2:14.0,Offensive rebound by T. Booker,,24,17
73,1,2:09.0,Turnover by D. Exum (traveling),,24,17
74,1,1:53.0,B. Cotton enters the game for D. Exum,,24,17
75,1,1:53.0,E. Millsap enters the game for R. Hood,,24,17
76,1,1:49.0,,Shooting foul by B. Cotton (drawn by S. Blake),24,17
77,1,1:49.0,,S. Blake misses free throw 1 of 2,24,17
78,1,1:49.0,,Offensive rebound by Team,24,17
79,1,1:49.0,,J. Freeland enters the game for M. Leonard,24,17
80,1,1:49.0,,S. Blake misses free throw 2 of 2,24,17
81,1,1:48.0,Defensive rebound by J. Evans,,24,17
82,1,1:31.0,E. Millsap makes 2-pt layup from 2 ft (assist by T. Booker),,26,17
83,1,1:31.0,Shooting foul by J. Freeland (drawn by E. Millsap),,26,17
84,1,1:31.0,E. Millsap makes free throw 1 of 1,,27,17
85,1,1:15.0,,D. Lillard misses 2-pt jump shot from 17 ft,27,17
86,1,1:14.0,Defensive rebound by E. Millsap,,27,17
87,1,1:02.0,Shooting foul by S. Blake (drawn by T. Booker),,27,17
88,1,1:02.0,T. Booker makes free throw 1 of 2,,28,17
89,1,1:02.0,J. Cooley enters the game for J. Evans,,28,17
90,1,1:02.0,T. Booker makes free throw 2 of 2,,29,17
91,1,0:53.0,,D. Lillard makes 2-pt layup from 1 ft,29,19
92,1,0:43.0,Shooting foul by A. Crabbe (drawn by T. Booker),,29,19
93,1,0:43.0,T. Booker makes free throw 1 of 2,,30,19
94,1,0:43.0,T. Booker misses free throw 2 of 2,,30,19
95,1,0:42.0,Offensive rebound by J. Cooley,,30,19
96,1,0:37.0,B. Cotton misses 3-pt jump shot from 25 ft,,30,19
97,1,0:35.0,,Defensive rebound by S. Blake,30,19
98,1,0:29.0,,D. Lillard misses 3-pt jump shot from 26 ft,30,19
99,1,0:27.0,Defensive rebound by E. Millsap,,30,19
100,1,0:06.0,B. Cotton misses 2-pt jump shot from 20 ft,,30,19
101,1,0:05.0,Offensive rebound by T. Booker,,30,19
102,1,0:05.0,T. Booker makes 2-pt dunk at rim,,32,19
103,2,11:46.0,,Turnover by A. Crabbe (bad pass; steal by J. Evans),32,19
104,2,11:31.0,E. Millsap makes 2-pt jump shot from 10 ft (assist by C. Johnson),,34,19
105,2,11:20.0,,J. Freeland makes 2-pt jump shot from 18 ft (assist by S. Blake),34,21
