,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CLEVELAND_ACTION,LA CLIPPERS_SCORE,CLEVELAND_SCORE
0,1,11:43.0,J. Crawford makes 2-pt jump shot from 21 ft (assist by C. Paul),,2,0
1,1,11:23.0,,K. Love makes 2-pt hook shot from 6 ft (assist by L. James),2,2
2,1,11:11.0,B. Griffin misses 2-pt hook shot from 7 ft,,2,2
3,1,11:10.0,,Defensive rebound by T. Mozgov,2,2
4,1,11:01.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),2,5
5,1,10:46.0,J. Crawford makes 2-pt jump shot from 9 ft (assist by C. Paul),,4,5
6,1,10:30.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),4,8
7,1,10:10.0,C. Paul misses 3-pt jump shot from 25 ft,,4,8
8,1,10:09.0,,Defensive rebound by K. Love,4,8
9,1,10:01.0,,T. Mozgov makes 2-pt layup at rim (assist by L. James),4,10
10,1,9:52.0,C. Paul makes 2-pt jump shot from 17 ft,,6,10
11,1,9:42.0,,K. Love misses 3-pt jump shot from 27 ft,6,10
12,1,9:40.0,Defensive rebound by D. Jordan,,6,10
13,1,9:36.0,,Violation by K. Irving (kicked ball),6,10
14,1,9:27.0,M. Barnes misses 3-pt jump shot from 24 ft,,6,10
15,1,9:26.0,,Defensive rebound by T. Mozgov,6,10
16,1,9:13.0,,L. James misses 3-pt jump shot from 23 ft,6,10
17,1,9:12.0,Defensive rebound by B. Griffin,,6,10
18,1,9:07.0,Turnover by M. Barnes (lost ball),,6,10
19,1,8:49.0,,K. Love makes 2-pt hook shot from 7 ft (assist by J. Smith),6,12
20,1,8:35.0,B. Griffin misses 2-pt hook shot from 6 ft,,6,12
21,1,8:32.0,,Defensive rebound by L. James,6,12
22,1,8:28.0,,T. Mozgov makes 2-pt dunk at rim,6,14
23,1,8:28.0,LA Clippers full timeout,,6,14
24,1,8:19.0,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),,8,14
25,1,8:00.0,,Turnover by K. Love (lost ball),8,14
26,1,7:48.0,B. Griffin makes 2-pt jump shot from 16 ft (assist by M. Barnes),,10,14
27,1,7:34.0,,Personal foul by M. Barnes (drawn by L. James),10,14
28,1,7:24.0,,K. Irving misses 2-pt jump shot from 4 ft (block by D. Jordan),10,14
