,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,INDIANA_ACTION,MILWAUKEE_SCORE,INDIANA_SCORE
0,1,11:40.0,,S. Hill makes 2-pt jump shot from 16 ft,0,2
1,1,11:23.0,J. Parker misses 2-pt dunk at rim (block by R. Hibbert),,0,2
2,1,11:21.0,,Defensive rebound by R. Hibbert,0,2
3,1,10:57.0,,R. Hibbert misses 2-pt jump shot from 16 ft,0,2
4,1,10:57.0,,Offensive rebound by Team,0,2
5,1,10:57.0,,Turnover by Team (shot clock),0,2
6,1,10:41.0,E. İlyasova misses 2-pt jump shot from 6 ft,,0,2
7,1,10:41.0,,Defensive rebound by L. Scola,0,2
8,1,10:19.0,,L. Scola makes 2-pt jump shot from 19 ft (assist by D. Sloan),0,4
9,1,10:08.0,B. Knight misses 2-pt layup from 1 ft,,0,4
10,1,10:07.0,Offensive rebound by E. İlyasova,,0,4
11,1,10:07.0,E. İlyasova misses 2-pt tip-in at rim,,0,4
12,1,10:06.0,,Defensive rebound by L. Scola,0,4
13,1,9:49.0,,L. Scola misses 2-pt jump shot from 15 ft,0,4
14,1,9:48.0,Defensive rebound by L. Sanders,,0,4
15,1,9:35.0,E. İlyasova misses 3-pt jump shot from 27 ft,,0,4
16,1,9:34.0,,Defensive rebound by R. Hibbert,0,4
17,1,9:22.0,,R. Hibbert makes 2-pt jump shot from 20 ft (assist by D. Sloan),0,6
18,1,9:01.0,Turnover by B. Knight (bad pass; steal by L. Scola),,0,6
19,1,8:48.0,,C. Miles misses 3-pt jump shot from 25 ft,0,6
20,1,8:47.0,Defensive rebound by L. Sanders,,0,6
21,1,8:35.0,Turnover by L. Sanders (lost ball; steal by S. Hill),,0,6
22,1,8:31.0,,Shooting foul by J. Dudley (drawn by S. Hill),0,6
23,1,8:31.0,,S. Hill misses free throw 1 of 2,0,6
24,1,8:31.0,,Offensive rebound by Team,0,6
25,1,8:31.0,,S. Hill makes free throw 2 of 2,0,7
26,1,8:12.0,B. Knight makes 2-pt jump shot from 21 ft,,2,7
27,1,7:54.0,,Turnover by D. Sloan (bad pass; steal by E. İlyasova),2,7
28,1,7:49.0,,Violation by L. Scola (def goaltending),2,7
29,1,7:49.0,J. Parker makes 2-pt layup at rim (assist by B. Knight),,4,7
30,1,7:31.0,,Shooting foul by L. Sanders (drawn by R. Hibbert),4,7
31,1,7:31.0,,R. Hibbert misses free throw 1 of 2,4,7
32,1,7:31.0,,Offensive rebound by Team,4,7
33,1,7:31.0,,R. Hibbert makes free throw 2 of 2,4,8
34,1,7:18.0,L. Sanders misses 2-pt layup at rim (block by C. Miles),,4,8
35,1,7:16.0,,Defensive rebound by D. Sloan,4,8
36,1,7:11.0,Offensive charge foul by L. Scola (drawn by E. İlyasova),,4,8
37,1,7:11.0,,Turnover by L. Scola (offensive foul),4,8
38,1,7:01.0,Personal block foul by R. Hibbert (drawn by B. Knight),,4,8
39,1,6:56.0,B. Knight makes 2-pt jump shot from 11 ft,,6,8
40,1,6:34.0,,D. Sloan misses 3-pt jump shot from 27 ft,6,8
41,1,6:34.0,Defensive rebound by L. Sanders,,6,8
42,1,6:25.0,B. Knight misses 2-pt layup from 1 ft (block by R. Hibbert),,6,8
43,1,6:24.0,,Defensive rebound by L. Scola,6,8
44,1,6:16.0,,R. Hibbert misses 2-pt dunk at rim (block by L. Sanders),6,8
45,1,6:15.0,Defensive rebound by B. Knight,,6,8
46,1,6:08.0,B. Knight makes 2-pt layup at rim,,8,8
47,1,6:00.0,,Indiana full timeout,8,8
48,1,5:52.0,,L. Scola misses 2-pt jump shot from 19 ft,8,8
49,1,5:50.0,,Offensive rebound by Team,8,8
50,1,5:38.0,,D. Sloan misses 2-pt jump shot from 6 ft,8,8
51,1,5:37.0,Defensive rebound by E. İlyasova,,8,8
52,1,5:28.0,J. Dudley misses 3-pt jump shot from 23 ft,,8,8
53,1,5:27.0,Offensive rebound by L. Sanders,,8,8
54,1,5:19.0,J. Parker makes 2-pt jump shot from 15 ft,,10,8
55,1,5:07.0,,S. Hill makes 2-pt jump shot from 15 ft (assist by L. Scola),10,10
56,1,4:51.0,J. Parker makes 2-pt jump shot from 8 ft (assist by J. Dudley),,12,10
57,1,4:25.0,,D. Sloan makes 3-pt jump shot from 25 ft (assist by C. Miles),12,13
58,1,4:04.0,E. İlyasova misses 2-pt layup from 2 ft (block by R. Hibbert),,12,13
59,1,4:02.0,,Defensive rebound by S. Hill,12,13
60,1,3:58.0,,S. Hill misses 2-pt layup from 1 ft,12,13
61,1,3:57.0,,Offensive rebound by S. Hill,12,13
62,1,3:53.0,,C. Miles misses 3-pt jump shot from 26 ft,12,13
63,1,3:51.0,Defensive rebound by J. Dudley,,12,13
64,1,3:44.0,J. Parker misses 2-pt jump shot from 14 ft,,12,13
65,1,3:43.0,,Defensive rebound by L. Scola,12,13
66,1,3:35.0,,Personal foul by J. Dudley (drawn by R. Hibbert),12,13
67,1,3:35.0,Milwaukee full timeout,,12,13
68,1,3:35.0,,L. Allen enters the game for S. Hill,12,13
69,1,3:35.0,,C. Copeland enters the game for L. Scola,12,13
70,1,3:35.0,G. Antetokounmpo enters the game for J. Parker,,12,13
71,1,3:35.0,O. Mayo enters the game for E. İlyasova,,12,13
72,1,3:35.0,K. Middleton enters the game for L. Sanders,,12,13
73,1,3:35.0,Z. Pachulia enters the game for J. Dudley,,12,13
74,1,3:31.0,,C. Miles misses 2-pt layup at rim,12,13
75,1,3:30.0,Defensive rebound by Z. Pachulia,,12,13
76,1,3:25.0,B. Knight misses 2-pt layup at rim,,12,13
77,1,3:24.0,,Defensive rebound by C. Copeland,12,13
78,1,3:10.0,,R. Hibbert makes 2-pt jump shot from 18 ft (assist by D. Sloan),12,15
79,1,2:47.0,Z. Pachulia makes 2-pt layup at rim,,14,15
80,1,2:47.0,Shooting block foul by C. Miles (drawn by Z. Pachulia),,14,15
81,1,2:47.0,Z. Pachulia misses free throw 1 of 1,,14,15
82,1,2:44.0,Offensive rebound by Team,,14,15
83,1,2:35.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,14,15
84,1,2:34.0,,Defensive rebound by C. Miles,14,15
85,1,2:21.0,,D. Sloan misses 2-pt layup from 2 ft,14,15
86,1,2:20.0,Defensive rebound by K. Middleton,,14,15
87,1,2:09.0,K. Middleton makes 2-pt jump shot from 9 ft,,16,15
88,1,1:52.0,,Personal foul by Z. Pachulia (drawn by R. Hibbert),16,15
89,1,1:52.0,,R. Stuckey enters the game for D. Sloan,16,15
90,1,1:42.0,,Turnover by R. Stuckey (bad pass; steal by B. Knight),16,15
91,1,1:34.0,O. Mayo makes 2-pt jump shot from 16 ft,,18,15
92,1,1:15.0,,R. Hibbert makes 2-pt jump shot from 18 ft (assist by R. Stuckey),18,17
93,1,0:52.0,G. Antetokounmpo makes 2-pt layup at rim (assist by O. Mayo),,20,17
94,1,0:39.0,,R. Stuckey misses 2-pt jump shot from 15 ft,20,17
95,1,0:38.0,Defensive rebound by G. Antetokounmpo,,20,17
96,1,0:31.0,Personal foul by R. Hibbert (drawn by Z. Pachulia),,20,17
97,1,0:31.0,J. Bayless enters the game for B. Knight,,20,17
98,1,0:31.0,,I. Mahinmi enters the game for R. Hibbert,20,17
99,1,0:24.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by I. Mahinmi),,20,17
100,1,0:23.0,Offensive rebound by Team,,20,17
101,1,0:19.0,K. Middleton makes 2-pt layup from 2 ft (assist by O. Mayo),,22,17
102,1,0:02.0,,R. Stuckey makes 2-pt jump shot from 19 ft,22,19
103,1,0:00.0,J. Bayless misses 3-pt jump shot from 52 ft,,22,19
104,1,0:00.0,Offensive rebound by Team,,22,19
105,2,11:50.0,Shooting foul by I. Mahinmi (drawn by O. Mayo),,22,19
106,2,11:50.0,O. Mayo makes free throw 1 of 2,,23,19
107,2,11:50.0,O. Mayo makes free throw 2 of 2,,24,19
108,2,11:35.0,,Def 3 sec tech foul by Z. Pachulia,24,19
109,2,11:35.0,,C. Copeland makes technical free throw,24,20
110,2,11:28.0,,Personal foul by J. Bayless (drawn by R. Stuckey),24,20
111,2,11:18.0,,S. Hill makes 2-pt jump shot from 19 ft,24,22
112,2,11:16.0,,Violation by Team (delay of game),24,22
113,2,11:08.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by O. Mayo),,26,22
114,2,11:08.0,Shooting foul by I. Mahinmi (drawn by Z. Pachulia),,26,22
115,2,11:08.0,Z. Pachulia makes free throw 1 of 1,,27,22
116,2,10:53.0,,C. Copeland misses 2-pt jump shot from 5 ft (block by Z. Pachulia),27,22
117,2,10:51.0,,Offensive rebound by I. Mahinmi,27,22
118,2,10:50.0,,I. Mahinmi makes 2-pt layup at rim,27,24
119,2,10:33.0,Z. Pachulia misses 2-pt layup from 2 ft,,27,24
120,2,10:32.0,,Defensive rebound by C. Copeland,27,24
121,2,10:13.0,,L. Allen misses 2-pt jump shot from 7 ft,27,24
122,2,10:13.0,,Offensive rebound by L. Allen,27,24
123,2,10:11.0,,L. Allen makes 2-pt layup from 2 ft,27,26
124,2,9:52.0,K. Middleton misses 2-pt jump shot from 18 ft,,27,26
125,2,9:51.0,,Defensive rebound by L. Allen,27,26
126,2,9:43.0,,Personal block foul by G. Antetokounmpo (drawn by R. Stuckey),27,26
127,2,9:28.0,,L. Allen makes 2-pt jump shot from 18 ft (assist by R. Stuckey),27,28
128,2,9:13.0,J. Bayless makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,30,28
129,2,8:55.0,,C. Copeland misses 3-pt jump shot from 24 ft,30,28
130,2,8:54.0,,Offensive rebound by L. Allen,30,28
131,2,8:52.0,,L. Allen misses 2-pt layup at rim,30,28
132,2,8:51.0,,Offensive rebound by I. Mahinmi,30,28
133,2,8:48.0,Official timeout,,30,28
134,2,8:48.0,J. Henson enters the game for Z. Pachulia,,30,28
135,2,8:31.0,,R. Stuckey misses 2-pt jump shot from 20 ft,30,28
136,2,8:30.0,Defensive rebound by J. Bayless,,30,28
137,2,8:26.0,O. Mayo makes 2-pt layup at rim (assist by J. Bayless),,32,28
138,2,8:07.0,,Shooting foul by J. Henson (drawn by I. Mahinmi),32,28
139,2,8:07.0,,I. Mahinmi makes free throw 1 of 2,32,29
140,2,8:07.0,E. İlyasova enters the game for G. Antetokounmpo,,32,29
141,2,8:07.0,,D. Rudež enters the game for C. Copeland,32,29
142,2,8:07.0,,D. Sloan enters the game for R. Stuckey,32,29
143,2,8:07.0,,I. Mahinmi makes free throw 2 of 2,32,30
144,2,7:53.0,J. Bayless makes 2-pt jump shot from 19 ft,,34,30
