,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MINNESOTA_ACTION,OKLAHOMA CITY_SCORE,MINNESOTA_SCORE
0,1,11:37.0,D. Waiters makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,3,0
1,1,11:21.0,,A. Wiggins misses 2-pt jump shot from 10 ft,3,0
2,1,11:20.0,Defensive rebound by S. Adams,,3,0
3,1,11:14.0,R. Westbrook misses 2-pt layup from 1 ft,,3,0
4,1,11:12.0,Offensive rebound by D. Waiters,,3,0
5,1,11:08.0,D. Waiters makes 2-pt jump shot from 17 ft,,5,0
6,1,10:47.0,,Z. LaVine misses 3-pt jump shot from 25 ft,5,0
7,1,10:46.0,Defensive rebound by A. Roberson,,5,0
8,1,10:37.0,Shooting foul by K. Martin (drawn by D. Waiters),,5,0
9,1,10:37.0,D. Waiters misses free throw 1 of 2,,5,0
10,1,10:37.0,Offensive rebound by Team,,5,0
11,1,10:37.0,D. Waiters misses free throw 2 of 2,,5,0
12,1,10:36.0,Offensive rebound by A. Roberson,,5,0
13,1,10:32.0,R. Westbrook makes 3-pt jump shot from 25 ft (assist by A. Roberson),,8,0
14,1,10:17.0,,Shooting foul by D. Waiters (drawn by K. Martin),8,0
15,1,10:17.0,,K. Martin makes free throw 1 of 2,8,1
16,1,10:17.0,,K. Martin makes free throw 2 of 2,8,2
17,1,10:10.0,Turnover by R. Westbrook (bad pass; steal by A. Onuaku),,8,2
18,1,10:06.0,,Shooting foul by A. Roberson (drawn by A. Wiggins),8,2
19,1,10:06.0,,A. Wiggins misses free throw 1 of 2,8,2
20,1,10:06.0,,Offensive rebound by Team,8,2
21,1,10:06.0,,A. Wiggins makes free throw 2 of 2,8,3
22,1,9:55.0,D. Waiters misses 3-pt jump shot from 25 ft,,8,3
23,1,9:55.0,,Defensive rebound by Z. LaVine,8,3
24,1,9:44.0,,K. Martin makes 3-pt jump shot from 25 ft,8,6
25,1,9:22.0,D. Waiters misses 2-pt jump shot from 9 ft (block by A. Wiggins),,8,6
26,1,9:21.0,Offensive rebound by S. Adams,,8,6
27,1,9:18.0,S. Adams makes 2-pt jump shot from 6 ft,,10,6
28,1,8:58.0,,Turnover by K. Martin (lost ball; steal by S. Adams),10,6
29,1,8:52.0,R. Westbrook makes 2-pt layup from 1 ft,,12,6
30,1,8:40.0,,A. Payne misses 2-pt jump shot from 19 ft,12,6
31,1,8:39.0,Defensive rebound by R. Westbrook,,12,6
32,1,8:37.0,A. Roberson misses 2-pt layup from 2 ft (block by Z. LaVine),,12,6
33,1,8:36.0,Offensive rebound by Team,,12,6
34,1,8:26.0,D. Waiters makes 2-pt jump shot from 22 ft (assist by A. Roberson),,14,6
35,1,8:09.0,,Z. LaVine misses 3-pt jump shot from 24 ft,14,6
36,1,8:08.0,Defensive rebound by R. Westbrook,,14,6
37,1,8:03.0,Shooting foul by A. Payne (drawn by R. Westbrook),,14,6
38,1,8:03.0,R. Westbrook makes free throw 1 of 2,,15,6
39,1,8:03.0,,Minnesota full timeout,15,6
40,1,8:03.0,,J. Hamilton enters the game for A. Onuaku,15,6
41,1,8:03.0,R. Westbrook makes free throw 2 of 2,,16,6
42,1,7:42.0,,K. Martin makes 2-pt jump shot from 9 ft,16,8
43,1,7:30.0,D. Waiters makes 2-pt jump shot from 4 ft,,18,8
44,1,7:19.0,,Turnover by A. Payne (lost ball; steal by D. Waiters),18,8
45,1,7:13.0,Shooting foul by Z. LaVine (drawn by R. Westbrook),,18,8
46,1,7:13.0,R. Westbrook makes free throw 1 of 2,,19,8
47,1,7:13.0,R. Westbrook makes free throw 2 of 2,,20,8
48,1,7:00.0,,K. Martin makes 2-pt jump shot from 22 ft (assist by A. Payne),20,10
49,1,6:44.0,A. Roberson misses 3-pt jump shot from 24 ft,,20,10
50,1,6:42.0,,Defensive rebound by Team,20,10
51,1,6:30.0,,Shooting foul by A. Roberson (drawn by A. Wiggins),20,10
52,1,6:30.0,,A. Wiggins makes free throw 1 of 2,20,11
53,1,6:30.0,,R. Hummel enters the game for A. Payne,20,11
54,1,6:30.0,A. Morrow enters the game for A. Roberson,,20,11
55,1,6:30.0,,A. Wiggins makes free throw 2 of 2,20,12
56,1,6:22.0,A. Morrow misses 3-pt jump shot from 23 ft,,20,12
57,1,6:21.0,Offensive rebound by S. Adams,,20,12
58,1,6:14.0,A. Morrow misses 3-pt jump shot from 25 ft,,20,12
59,1,6:13.0,Offensive rebound by E. Freedom,,20,12
60,1,6:12.0,E. Freedom makes 2-pt layup from 1 ft,,22,12
61,1,5:58.0,,R. Hummel misses 2-pt jump shot from 21 ft,22,12
62,1,5:57.0,,Offensive rebound by J. Hamilton,22,12
63,1,5:55.0,,Turnover by J. Hamilton (bad pass; steal by R. Westbrook),22,12
64,1,5:51.0,R. Westbrook makes 2-pt dunk from 1 ft,,24,12
65,1,5:32.0,,A. Wiggins makes 2-pt jump shot from 12 ft,24,14
66,1,5:16.0,Shooting foul by J. Hamilton (drawn by S. Adams),,24,14
67,1,5:16.0,S. Adams misses free throw 1 of 2,,24,14
68,1,5:16.0,Offensive rebound by Team,,24,14
69,1,5:16.0,S. Adams makes free throw 2 of 2,,25,14
70,1,5:08.0,,Personal foul by A. Morrow (drawn by A. Wiggins),25,14
71,1,5:08.0,N. Collison enters the game for S. Adams,,25,14
72,1,5:04.0,,Turnover by J. Hamilton (bad pass; steal by A. Morrow),25,14
73,1,4:45.0,N. Collison makes 2-pt layup from 1 ft (assist by E. Freedom),,27,14
74,1,4:29.0,,J. Hamilton misses 2-pt jump shot from 4 ft,27,14
75,1,4:29.0,Defensive rebound by Team,,27,14
76,1,4:29.0,,Loose ball foul by J. Hamilton (drawn by N. Collison),27,14
77,1,4:29.0,N. Collison misses free throw 1 of 2,,27,14
78,1,4:29.0,Offensive rebound by Team,,27,14
79,1,4:29.0,,A. Onuaku enters the game for J. Hamilton,27,14
80,1,4:29.0,N. Collison makes free throw 2 of 2,,28,14
81,1,4:17.0,,R. Hummel makes 2-pt jump shot from 19 ft (assist by Z. LaVine),28,16
82,1,4:05.0,Shooting foul by R. Hummel (drawn by R. Westbrook),,28,16
83,1,4:05.0,R. Westbrook makes free throw 1 of 2,,29,16
84,1,4:05.0,R. Westbrook makes free throw 2 of 2,,30,16
85,1,3:55.0,,Z. LaVine makes 2-pt jump shot from 19 ft,30,18
86,1,3:45.0,N. Collison makes 2-pt layup at rim (assist by R. Westbrook),,32,18
87,1,3:33.0,,R. Hummel misses 2-pt jump shot from 19 ft,32,18
88,1,3:31.0,,Offensive rebound by A. Onuaku,32,18
89,1,3:28.0,,K. Martin makes 3-pt jump shot from 24 ft (assist by A. Onuaku),32,21
90,1,3:15.0,R. Westbrook makes 2-pt jump shot from 18 ft,,34,21
91,1,2:54.0,,K. Martin makes 2-pt jump shot from 12 ft,34,23
92,1,2:42.0,Shooting foul by Z. LaVine (drawn by R. Westbrook),,34,23
93,1,2:42.0,Oklahoma City full timeout,,34,23
94,1,2:42.0,D. Augustin enters the game for D. Waiters,,34,23
95,1,2:42.0,,L. Brown enters the game for Z. LaVine,34,23
96,1,2:42.0,R. Westbrook misses free throw 1 of 2,,34,23
97,1,2:42.0,Offensive rebound by Team,,34,23
98,1,2:42.0,R. Westbrook makes free throw 2 of 2,,35,23
99,1,2:34.0,,Def 3 sec tech foul by E. Freedom,35,23
100,1,2:34.0,,K. Martin makes technical free throw,35,24
101,1,2:20.0,,Turnover by A. Wiggins (lost ball; steal by A. Morrow),35,24
102,1,2:17.0,R. Westbrook makes 2-pt dunk at rim,,37,24
103,1,1:56.0,,A. Wiggins misses 3-pt jump shot from 25 ft,37,24
104,1,1:54.0,,Offensive rebound by R. Hummel,37,24
105,1,1:54.0,,R. Hummel misses 2-pt tip-in at rim,37,24
106,1,1:53.0,,Offensive rebound by A. Onuaku,37,24
