,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MILWAUKEE_ACTION,SACRAMENTO_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,,J. Henson makes 2-pt layup at rim (assist by G. Antetokounmpo),0,2
1,1,11:23.0,D. Cousins misses 2-pt hook shot from 3 ft,,0,2
2,1,11:22.0,Offensive rebound by D. Cousins,,0,2
3,1,11:19.0,D. Cousins makes 2-pt layup from 1 ft,,2,2
4,1,11:09.0,,Turnover by J. Dudley (bad pass; steal by B. McLemore),2,2
5,1,11:09.0,Personal foul by G. Antetokounmpo (drawn by O. Casspi),,2,2
6,1,10:48.0,B. McLemore makes 3-pt jump shot from 22 ft (assist by R. Gay),,5,2
7,1,10:43.0,,Shooting foul by R. Sessions (drawn by B. Knight),5,2
8,1,10:43.0,,B. Knight misses free throw 1 of 2,5,2
9,1,10:43.0,,Offensive rebound by Team,5,2
10,1,10:43.0,,B. Knight makes free throw 2 of 2,5,3
11,1,10:25.0,O. Casspi misses 2-pt layup from 1 ft (block by J. Henson),,5,3
12,1,10:23.0,,Defensive rebound by B. Knight,5,3
13,1,10:21.0,,Turnover by B. Knight (lost ball),5,3
14,1,10:03.0,Def 3 sec tech foul by J. Dudley,,5,3
15,1,10:03.0,D. Cousins misses technical free throw,,5,3
16,1,10:03.0,Offensive rebound by Team,,5,3
17,1,9:55.0,R. Gay misses 3-pt jump shot from 25 ft,,5,3
18,1,9:54.0,,Defensive rebound by G. Antetokounmpo,5,3
19,1,9:43.0,,K. Middleton misses 2-pt layup from 1 ft (block by D. Cousins),5,3
20,1,9:41.0,,Offensive rebound by J. Henson,5,3
21,1,9:41.0,,J. Henson makes 2-pt dunk at rim,5,5
22,1,9:21.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by D. Cousins),,8,5
23,1,8:57.0,,K. Middleton makes 2-pt jump shot from 15 ft,8,7
24,1,8:45.0,B. McLemore misses 3-pt jump shot from 23 ft,,8,7
25,1,8:42.0,Offensive rebound by D. Cousins,,8,7
26,1,8:36.0,D. Cousins misses 2-pt layup at rim (block by J. Henson),,8,7
27,1,8:33.0,Offensive rebound by D. Cousins,,8,7
28,1,8:30.0,O. Casspi makes 2-pt layup from 1 ft (assist by D. Cousins),,10,7
29,1,8:14.0,,J. Henson makes 2-pt hook shot from 3 ft (assist by B. Knight),10,9
30,1,7:50.0,R. Gay makes 2-pt layup at rim,,12,9
31,1,7:37.0,,Shooting foul by B. McLemore (drawn by K. Middleton),12,9
32,1,7:37.0,,K. Middleton makes free throw 1 of 2,12,10
33,1,7:37.0,,K. Middleton makes free throw 2 of 2,12,11
34,1,7:16.0,R. Sessions misses 3-pt jump shot from 26 ft,,12,11
35,1,7:15.0,Offensive rebound by O. Casspi,,12,11
36,1,7:15.0,O. Casspi misses 2-pt tip-in at rim,,12,11
37,1,7:13.0,,Defensive rebound by K. Middleton,12,11
38,1,7:04.0,,J. Dudley misses 3-pt jump shot from 23 ft,12,11
39,1,7:03.0,,Offensive rebound by B. Knight,12,11
40,1,6:58.0,,J. Dudley misses 2-pt layup at rim (block by D. Cousins),12,11
41,1,6:57.0,,Offensive rebound by Team,12,11
42,1,6:54.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by J. Dudley),12,13
43,1,6:32.0,Turnover by D. Cousins (bad pass; steal by J. Dudley),,12,13
44,1,6:24.0,,B. Knight misses 3-pt jump shot from 25 ft,12,13
45,1,6:24.0,,Offensive rebound by Team,12,13
46,1,6:24.0,Loose ball foul by B. McLemore (drawn by J. Henson),,12,13
47,1,6:24.0,N. Stauskas enters the game for B. McLemore,,12,13
48,1,6:13.0,,K. Middleton makes 2-pt jump shot from 9 ft,12,15
49,1,6:02.0,R. Sessions misses 2-pt layup at rim,,12,15
50,1,6:00.0,,Defensive rebound by K. Middleton,12,15
51,1,5:51.0,,J. Dudley makes 2-pt jump shot from 7 ft,12,17
52,1,5:43.0,Sacramento full timeout,,12,17
53,1,5:43.0,D. Williams enters the game for O. Casspi,,12,17
54,1,5:35.0,D. Cousins misses 2-pt jump shot from 3 ft (block by J. Henson),,12,17
55,1,5:33.0,Offensive rebound by D. Cousins,,12,17
56,1,5:32.0,Shooting foul by J. Henson (drawn by D. Cousins),,12,17
57,1,5:32.0,D. Cousins makes free throw 1 of 2,,13,17
58,1,5:32.0,,Z. Pachulia enters the game for J. Henson,13,17
59,1,5:32.0,D. Cousins makes free throw 2 of 2,,14,17
60,1,5:18.0,,Z. Pachulia misses 2-pt layup at rim (block by D. Cousins),14,17
61,1,5:15.0,,Offensive rebound by K. Middleton,14,17
62,1,5:09.0,,Z. Pachulia misses 2-pt jump shot from 19 ft,14,17
63,1,5:08.0,Defensive rebound by R. Sessions,,14,17
64,1,5:07.0,Offensive foul by D. Cousins (drawn by Z. Pachulia),,14,17
65,1,5:07.0,Turnover by D. Cousins (offensive foul),,14,17
66,1,4:54.0,,Z. Pachulia misses 2-pt jump shot from 7 ft,14,17
67,1,4:52.0,Defensive rebound by D. Williams,,14,17
68,1,4:39.0,D. Cousins misses 2-pt jump shot from 16 ft,,14,17
69,1,4:37.0,,Defensive rebound by K. Middleton,14,17
70,1,4:30.0,,Shooting foul by R. Gay (drawn by K. Middleton),14,17
71,1,4:30.0,,K. Middleton makes free throw 1 of 2,14,18
72,1,4:30.0,,K. Middleton makes free throw 2 of 2,14,19
73,1,4:11.0,R. Gay makes 2-pt layup at rim,,16,19
74,1,3:59.0,,B. Knight misses 2-pt layup from 1 ft,16,19
75,1,3:58.0,Defensive rebound by R. Gay,,16,19
76,1,3:54.0,R. Gay makes 2-pt layup at rim,,18,19
