,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,J. Hill misses 2-pt jump shot from 7 ft,,0,0
1,1,11:36.0,,Defensive rebound by M. Bonner,0,0
2,1,11:26.0,,Turnover by T. Parker (lost ball; steal by K. Bryant),0,0
3,1,11:07.0,R. Price misses 3-pt jump shot from 25 ft,,0,0
4,1,11:06.0,,Defensive rebound by T. Duncan,0,0
5,1,10:55.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Anderson),0,3
6,1,10:38.0,K. Bryant misses 2-pt jump shot from 20 ft,,0,3
7,1,10:36.0,,Defensive rebound by K. Anderson,0,3
8,1,10:27.0,,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),0,6
9,1,10:14.0,W. Johnson misses 2-pt jump shot from 19 ft,,0,6
10,1,10:13.0,,Defensive rebound by D. Green,0,6
11,1,10:07.0,,D. Green misses 2-pt layup at rim,0,6
12,1,10:06.0,,Offensive rebound by T. Duncan,0,6
13,1,10:06.0,,T. Duncan makes 2-pt layup at rim,0,8
14,1,9:44.0,J. Hill misses 2-pt jump shot from 21 ft,,0,8
15,1,9:42.0,,Defensive rebound by T. Duncan,0,8
16,1,9:32.0,,Shooting foul by R. Price (drawn by M. Bonner),0,8
17,1,9:32.0,,M. Bonner makes free throw 1 of 3,0,9
18,1,9:32.0,,M. Bonner misses free throw 2 of 3,0,9
19,1,9:32.0,,Offensive rebound by Team,0,9
20,1,9:32.0,,M. Bonner makes free throw 3 of 3,0,10
21,1,9:30.0,LA Lakers full timeout,,0,10
22,1,9:15.0,R. Price misses 3-pt jump shot from 25 ft,,0,10
23,1,9:14.0,,Defensive rebound by T. Duncan,0,10
24,1,8:55.0,,Turnover by D. Green (step out of bounds),0,10
25,1,8:43.0,Shooting foul by D. Green (drawn by K. Bryant),,0,10
26,1,8:43.0,K. Bryant makes free throw 1 of 2,,1,10
27,1,8:43.0,K. Bryant makes free throw 2 of 2,,2,10
28,1,8:20.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Bonner),2,12
29,1,8:05.0,K. Bryant makes 2-pt jump shot from 18 ft,,4,12
30,1,7:49.0,,T. Parker misses 2-pt jump shot from 19 ft,4,12
31,1,7:48.0,Defensive rebound by J. Hill,,4,12
32,1,7:41.0,Shooting foul by D. Green (drawn by K. Bryant),,4,12
33,1,7:41.0,K. Bryant misses free throw 1 of 2,,4,12
34,1,7:41.0,Offensive rebound by Team,,4,12
35,1,7:41.0,,M. Ginóbili enters the game for D. Green,4,12
36,1,7:41.0,K. Bryant makes free throw 2 of 2,,5,12
37,1,7:27.0,,Turnover by M. Ginóbili (bad pass; steal by R. Price),5,12
38,1,7:14.0,Turnover by R. Price (bad pass; steal by M. Ginóbili),,5,12
39,1,7:13.0,,Personal foul by R. Price (drawn by M. Ginóbili),5,12
40,1,7:13.0,J. Lin enters the game for R. Price,,5,12
41,1,7:04.0,,K. Anderson makes 2-pt jump shot from 17 ft,5,14
42,1,6:50.0,K. Bryant misses 2-pt jump shot from 20 ft,,5,14
43,1,6:49.0,Offensive rebound by E. Davis,,5,14
44,1,6:47.0,E. Davis misses 2-pt layup at rim,,5,14
45,1,6:45.0,Offensive rebound by K. Bryant,,5,14
46,1,6:45.0,K. Bryant misses 2-pt layup from 1 ft,,5,14
47,1,6:41.0,Offensive rebound by J. Hill,,5,14
48,1,6:41.0,J. Hill makes 2-pt layup from 2 ft,,7,14
49,1,6:24.0,,Turnover by M. Ginóbili (bad pass),7,14
50,1,6:04.0,J. Lin misses 2-pt jump shot from 17 ft,,7,14
51,1,6:03.0,,Defensive rebound by T. Duncan,7,14
52,1,5:54.0,Offensive charge foul by T. Duncan (drawn by J. Lin),,7,14
53,1,5:54.0,,Turnover by T. Duncan (offensive foul),7,14
54,1,5:54.0,,C. Joseph enters the game for T. Parker,7,14
55,1,5:45.0,Personal foul by K. Anderson (drawn by W. Johnson),,7,14
56,1,5:34.0,W. Johnson makes 2-pt jump shot from 20 ft (assist by E. Davis),,9,14
57,1,5:15.0,,C. Joseph makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),9,17
58,1,4:57.0,J. Lin makes 2-pt jump shot from 11 ft,,11,17
59,1,4:48.0,,T. Duncan makes 2-pt jump shot from 9 ft (assist by C. Joseph),11,19
60,1,4:39.0,J. Lin makes 2-pt layup from 2 ft,,13,19
61,1,4:38.0,,San Antonio full timeout,13,19
62,1,4:38.0,,A. Baynes enters the game for T. Duncan,13,19
