,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHARLOTTE_ACTION,MILWAUKEE_SCORE,CHARLOTTE_SCORE
0,1,11:52.0,,K. Walker misses 3-pt jump shot from 25 ft,0,0
1,1,11:50.0,,Offensive rebound by M. Kidd-Gilchrist,0,0
2,1,11:32.0,,Shooting foul by K. Middleton (drawn by G. Henderson),0,0
3,1,11:32.0,,G. Henderson makes free throw 1 of 2,0,1
4,1,11:32.0,,G. Henderson makes free throw 2 of 2,0,2
5,1,11:31.0,Turnover by B. Knight (inbound),,0,2
6,1,11:26.0,Violation by B. Knight (kicked ball),,0,2
7,1,11:11.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by A. Jefferson),0,4
8,1,11:00.0,Turnover by Z. Pachulia (lost ball; steal by C. Zeller),,0,4
9,1,10:57.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft (block by G. Antetokounmpo),0,4
10,1,10:57.0,,Offensive rebound by Team,0,4
11,1,10:45.0,,A. Jefferson misses 2-pt jump shot from 15 ft (block by Z. Pachulia),0,4
12,1,10:43.0,Defensive rebound by Z. Pachulia,,0,4
13,1,10:35.0,Z. Pachulia makes 2-pt jump shot from 13 ft (assist by G. Antetokounmpo),,2,4
14,1,10:22.0,,Personal foul by Z. Pachulia (drawn by A. Jefferson),2,4
15,1,10:04.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by A. Jefferson),2,7
16,1,9:53.0,K. Middleton misses 2-pt layup from 1 ft (block by C. Zeller),,2,7
17,1,9:50.0,,Defensive rebound by G. Henderson,2,7
18,1,9:47.0,,G. Henderson makes 2-pt jump shot from 11 ft,2,9
19,1,9:31.0,B. Knight misses 3-pt jump shot from 27 ft,,2,9
20,1,9:30.0,,Defensive rebound by A. Jefferson,2,9
21,1,9:17.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,2,9
22,1,9:16.0,Defensive rebound by G. Antetokounmpo,,2,9
23,1,8:59.0,B. Knight misses 2-pt jump shot from 9 ft (block by K. Walker),,2,9
24,1,8:58.0,,Defensive rebound by C. Zeller,2,9
25,1,8:50.0,,Turnover by K. Walker (bad pass),2,9
26,1,8:34.0,Z. Pachulia makes 2-pt jump shot from 14 ft (assist by G. Antetokounmpo),,4,9
27,1,8:16.0,,A. Jefferson misses 2-pt jump shot from 14 ft,4,9
28,1,8:15.0,Defensive rebound by J. O'Bryant,,4,9
29,1,8:05.0,Turnover by B. Knight (bad pass; steal by G. Henderson),,4,9
30,1,8:01.0,,M. Kidd-Gilchrist makes 2-pt layup at rim (assist by G. Henderson),4,11
31,1,7:42.0,Z. Pachulia makes 2-pt jump shot from 10 ft (assist by J. O'Bryant),,6,11
32,1,7:30.0,,G. Henderson makes 3-pt jump shot from 23 ft (assist by M. Kidd-Gilchrist),6,14
33,1,7:28.0,Milwaukee full timeout,,6,14
34,1,7:28.0,J. Dudley enters the game for J. O'Bryant,,6,14
35,1,7:17.0,B. Knight makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,9,14
36,1,6:49.0,,G. Henderson misses 2-pt jump shot from 18 ft,9,14
37,1,6:48.0,,Offensive rebound by C. Zeller,9,14
38,1,6:44.0,,Offensive foul by C. Zeller (drawn by B. Knight),9,14
39,1,6:44.0,,Turnover by C. Zeller (offensive foul),9,14
40,1,6:40.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,11,14
41,1,6:40.0,Shooting foul by M. Kidd-Gilchrist (drawn by G. Antetokounmpo),,11,14
42,1,6:40.0,G. Antetokounmpo makes free throw 1 of 1,,12,14
43,1,6:26.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,12,14
