,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,WASHINGTON_ACTION,MILWAUKEE_SCORE,WASHINGTON_SCORE
0,1,11:41.0,,Shooting foul by J. Parker (drawn by N. Hilário),0,0
1,1,11:41.0,,N. Hilário makes free throw 1 of 2,0,1
2,1,11:41.0,,N. Hilário makes free throw 2 of 2,0,2
3,1,11:28.0,Turnover by L. Sanders (bad pass; steal by G. Temple),,0,2
4,1,11:24.0,,G. Temple makes 2-pt layup from 1 ft,0,4
5,1,11:02.0,K. Middleton misses 2-pt jump shot from 3 ft,,0,4
6,1,11:01.0,,Defensive rebound by J. Wall,0,4
7,1,10:51.0,,Personal foul by K. Middleton (drawn by J. Wall),0,4
8,1,10:44.0,,J. Wall misses 2-pt jump shot from 4 ft,0,4
9,1,10:43.0,Defensive rebound by L. Sanders,,0,4
10,1,10:35.0,B. Knight misses 2-pt jump shot from 12 ft,,0,4
11,1,10:34.0,,Defensive rebound by J. Wall,0,4
12,1,10:26.0,,P. Pierce misses 2-pt jump shot from 11 ft,0,4
13,1,10:26.0,,Offensive rebound by M. Gortat,0,4
14,1,10:24.0,,Turnover by M. Gortat (bad pass),0,4
15,1,10:11.0,J. Parker misses 3-pt jump shot from 24 ft,,0,4
16,1,10:10.0,,Defensive rebound by P. Pierce,0,4
17,1,9:53.0,,J. Wall makes 2-pt jump shot from 11 ft (assist by G. Temple),0,6
18,1,9:34.0,B. Knight makes 2-pt layup from 1 ft,,2,6
19,1,9:21.0,,Shooting foul by J. Dudley (drawn by P. Pierce),2,6
20,1,9:21.0,,P. Pierce makes free throw 1 of 2,2,7
21,1,9:21.0,,P. Pierce makes free throw 2 of 2,2,8
22,1,9:04.0,Turnover by J. Parker (lost ball; steal by N. Hilário),,2,8
23,1,8:56.0,,Shooting foul by L. Sanders (drawn by M. Gortat),2,8
24,1,8:56.0,,M. Gortat misses free throw 1 of 2,2,8
25,1,8:56.0,,Offensive rebound by Team,2,8
26,1,8:56.0,,M. Gortat misses free throw 2 of 2,2,8
27,1,8:55.0,Defensive rebound by L. Sanders,,2,8
28,1,8:43.0,J. Dudley misses 3-pt jump shot from 22 ft,,2,8
29,1,8:41.0,Offensive rebound by L. Sanders,,2,8
30,1,8:39.0,J. Dudley makes 2-pt layup from 1 ft (assist by L. Sanders),,4,8
31,1,8:22.0,,J. Wall misses 3-pt jump shot from 24 ft,4,8
32,1,8:21.0,Defensive rebound by K. Middleton,,4,8
33,1,8:13.0,Personal foul by G. Temple (drawn by B. Knight),,4,8
34,1,7:59.0,K. Middleton misses 3-pt jump shot from 25 ft,,4,8
35,1,7:58.0,,Defensive rebound by M. Gortat,4,8
36,1,7:47.0,,M. Gortat makes 2-pt jump shot from 5 ft (assist by P. Pierce),4,10
37,1,7:25.0,L. Sanders misses 2-pt jump shot from 17 ft,,4,10
38,1,7:25.0,Offensive rebound by J. Parker,,4,10
39,1,7:21.0,J. Parker misses 2-pt jump shot from 13 ft,,4,10
40,1,7:20.0,Offensive rebound by L. Sanders,,4,10
41,1,7:17.0,Turnover by L. Sanders (lost ball; steal by M. Gortat),,4,10
42,1,7:11.0,,J. Wall misses 2-pt layup from 1 ft,4,10
43,1,7:10.0,,Offensive rebound by N. Hilário,4,10
44,1,7:08.0,,N. Hilário misses 2-pt layup from 1 ft (block by J. Dudley),4,10
45,1,7:08.0,Defensive rebound by B. Knight,,4,10
46,1,6:57.0,B. Knight makes 2-pt jump shot from 13 ft,,6,10
47,1,6:45.0,,M. Gortat makes 2-pt layup from 1 ft (assist by N. Hilário),6,12
48,1,6:32.0,B. Knight makes 3-pt jump shot from 25 ft (assist by K. Middleton),,9,12
49,1,6:18.0,,N. Hilário makes 2-pt layup at rim,9,14
50,1,6:08.0,J. Dudley misses 3-pt jump shot from 26 ft,,9,14
51,1,6:07.0,,Defensive rebound by G. Temple,9,14
52,1,6:00.0,,M. Gortat makes 2-pt layup from 1 ft (assist by P. Pierce),9,16
53,1,5:53.0,Milwaukee full timeout,,9,16
54,1,5:53.0,Z. Pachulia enters the game for L. Sanders,,9,16
55,1,5:53.0,O. Mayo enters the game for K. Middleton,,9,16
56,1,5:53.0,J. Henson enters the game for J. Parker,,9,16
57,1,5:33.0,O. Mayo misses 2-pt jump shot from 16 ft,,9,16
58,1,5:32.0,,Defensive rebound by M. Gortat,9,16
59,1,5:08.0,,N. Hilário makes 2-pt jump shot from 21 ft (assist by M. Gortat),9,18
60,1,4:52.0,Z. Pachulia misses 2-pt jump shot from 14 ft,,9,18
61,1,4:51.0,,Defensive rebound by J. Wall,9,18
62,1,4:41.0,,Personal foul by O. Mayo (drawn by M. Gortat),9,18
63,1,4:41.0,,M. Gortat makes free throw 1 of 2,9,19
64,1,4:41.0,,K. Humphries enters the game for N. Hilário,9,19
65,1,4:41.0,,O. Porter enters the game for P. Pierce,9,19
66,1,4:41.0,,M. Gortat makes free throw 2 of 2,9,20
67,1,4:20.0,B. Knight misses 3-pt jump shot from 24 ft,,9,20
68,1,4:19.0,,Defensive rebound by J. Wall,9,20
69,1,4:15.0,,Turnover by M. Gortat (offensive foul),9,20
70,1,4:15.0,,Offensive foul by M. Gortat (drawn by J. Henson),9,20
71,1,4:15.0,G. Antetokounmpo enters the game for J. Dudley,,9,20
72,1,4:05.0,Turnover by G. Antetokounmpo (step out of bounds),,9,20
73,1,3:53.0,,Turnover by J. Wall (bad pass; steal by G. Antetokounmpo),9,20
74,1,3:49.0,B. Knight makes 2-pt dunk at rim (assist by G. Antetokounmpo),,11,20
75,1,3:36.0,,Personal foul by O. Mayo (drawn by G. Temple),11,20
76,1,3:36.0,,G. Temple makes free throw 1 of 2,11,21
77,1,3:36.0,,G. Temple misses free throw 2 of 2,11,21
78,1,3:35.0,Defensive rebound by Z. Pachulia,,11,21
79,1,3:21.0,O. Mayo misses 2-pt jump shot from 16 ft,,11,21
80,1,3:20.0,,Defensive rebound by M. Gortat,11,21
81,1,2:58.0,,G. Temple makes 2-pt jump shot from 19 ft (assist by K. Humphries),11,23
82,1,2:44.0,Personal foul by J. Wall (drawn by B. Knight),,11,23
83,1,2:44.0,,Washington full timeout,11,23
84,1,2:44.0,J. Bayless enters the game for O. Mayo,,11,23
85,1,2:37.0,Turnover by G. Antetokounmpo (step out of bounds),,11,23
86,1,2:26.0,,Shooting foul by Z. Pachulia (drawn by O. Porter),11,23
87,1,2:26.0,,O. Porter makes free throw 1 of 2,11,24
88,1,2:26.0,,G. Rice enters the game for G. Temple,11,24
89,1,2:26.0,,O. Porter makes free throw 2 of 2,11,25
90,1,2:11.0,B. Knight misses 2-pt jump shot from 13 ft,,11,25
91,1,2:10.0,Offensive rebound by Z. Pachulia,,11,25
92,1,2:09.0,Turnover by Z. Pachulia (traveling),,11,25
93,1,2:09.0,,D. Gooden enters the game for M. Gortat,11,25
94,1,2:03.0,,Personal foul by J. Bayless (drawn by G. Rice),11,25
95,1,2:03.0,,G. Rice makes free throw 1 of 2,11,26
96,1,2:03.0,,G. Rice makes free throw 2 of 2,11,27
97,1,2:01.0,Turnover by J. Henson (bad pass; steal by O. Porter),,11,27
98,1,1:57.0,,Turnover by K. Humphries (bad pass; steal by J. Bayless),11,27
99,1,1:52.0,Turnover by B. Knight (lost ball),,11,27
100,1,1:36.0,,K. Humphries misses 2-pt layup at rim (block by G. Antetokounmpo),11,27
101,1,1:36.0,,Offensive rebound by Team,11,27
102,1,1:34.0,,Turnover by D. Gooden (bad pass),11,27
103,1,1:26.0,Personal foul by K. Humphries (drawn by J. Henson),,11,27
104,1,1:26.0,,A. Miller enters the game for J. Wall,11,27
105,1,1:18.0,G. Antetokounmpo makes 2-pt jump shot from 6 ft (assist by J. Bayless),,13,27
106,1,1:18.0,Shooting foul by O. Porter (drawn by G. Antetokounmpo),,13,27
107,1,1:18.0,G. Antetokounmpo misses free throw 1 of 1,,13,27
108,1,1:17.0,,Defensive rebound by Team,13,27
109,1,1:03.0,,Turnover by D. Gooden (traveling),13,27
110,1,0:54.0,J. Bayless makes 2-pt jump shot from 4 ft (assist by B. Knight),,15,27
111,1,0:43.0,,D. Gooden makes 2-pt jump shot from 19 ft (assist by A. Miller),15,29
112,1,0:32.0,Personal foul by G. Rice (drawn by J. Bayless),,15,29
113,1,0:32.0,J. Bayless makes free throw 1 of 2,,16,29
114,1,0:32.0,J. Bayless makes free throw 2 of 2,,17,29
115,1,0:16.0,,G. Rice misses 2-pt jump shot from 7 ft,17,29
116,1,0:15.0,Defensive rebound by J. Bayless,,17,29
117,1,0:13.0,Offensive foul by G. Antetokounmpo (drawn by G. Rice),,17,29
118,1,0:13.0,Turnover by G. Antetokounmpo (offensive foul),,17,29
119,1,0:03.0,,D. Gooden misses 2-pt jump shot from 17 ft,17,29
120,1,0:02.0,,Offensive rebound by K. Humphries,17,29
121,1,0:01.0,,K. Humphries misses 2-pt layup at rim,17,29
122,1,0:00.0,,Offensive rebound by Team,17,29
123,2,11:37.0,Turnover by K. Marshall (bad pass; steal by K. Humphries),,17,29
124,2,11:17.0,,O. Porter misses 3-pt jump shot from 26 ft,17,29
125,2,11:16.0,Defensive rebound by E. İlyasova,,17,29
126,2,11:00.0,J. Bayless misses 2-pt jump shot from 4 ft,,17,29
127,2,10:59.0,Offensive rebound by J. Henson,,17,29
128,2,10:57.0,J. Henson makes 2-pt tip-in from 1 ft,,19,29
129,2,10:48.0,,Personal foul by J. Henson (drawn by K. Humphries),19,29
130,2,10:39.0,,G. Rice makes 2-pt layup from 1 ft (assist by K. Humphries),19,31
131,2,10:39.0,,Shooting foul by E. İlyasova (drawn by G. Rice),19,31
132,2,10:39.0,,G. Rice misses free throw 1 of 1,19,31
133,2,10:38.0,Defensive rebound by J. Bayless,,19,31
134,2,10:22.0,K. Marshall makes 3-pt jump shot from 25 ft (assist by J. Bayless),,22,31
135,2,9:54.0,,G. Rice misses 3-pt jump shot from 27 ft,22,31
136,2,9:53.0,,Offensive rebound by D. Gooden,22,31
137,2,9:51.0,,D. Gooden misses 2-pt jump shot from 9 ft,22,31
138,2,9:50.0,Defensive rebound by G. Antetokounmpo,,22,31
139,2,9:44.0,G. Antetokounmpo makes 2-pt layup at rim,,24,31
140,2,9:36.0,,Washington full timeout,24,31
141,2,9:36.0,,N. Hilário enters the game for K. Humphries,24,31
142,2,9:36.0,,P. Pierce enters the game for G. Rice,24,31
143,2,9:36.0,L. Sanders enters the game for J. Henson,,24,31
144,2,9:26.0,,P. Pierce misses 2-pt jump shot from 15 ft,24,31
145,2,9:25.0,Defensive rebound by G. Antetokounmpo,,24,31
146,2,9:09.0,K. Marshall misses 3-pt jump shot from 25 ft,,24,31
147,2,9:07.0,,Defensive rebound by O. Porter,24,31
148,2,9:02.0,,Personal foul by K. Marshall (drawn by A. Miller),24,31
149,2,8:43.0,,O. Porter misses 2-pt jump shot from 10 ft,24,31
150,2,8:43.0,Defensive rebound by Team,,24,31
151,2,8:43.0,,Loose ball foul by N. Hilário (drawn by G. Antetokounmpo),24,31
152,2,8:43.0,,J. Wall enters the game for A. Miller,24,31
153,2,8:30.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by K. Marshall),,27,31
154,2,8:15.0,,D. Gooden misses 2-pt layup at rim (block by E. İlyasova),27,31
155,2,8:13.0,Defensive rebound by L. Sanders,,27,31
156,2,8:13.0,Personal foul by O. Porter (drawn by G. Antetokounmpo),,27,31
157,2,8:13.0,,M. Gortat enters the game for D. Gooden,27,31
158,2,7:52.0,Offensive foul by J. Bayless (drawn by O. Porter),,27,31
159,2,7:52.0,Turnover by J. Bayless (offensive foul),,27,31
160,2,7:41.0,,M. Gortat makes 2-pt jump shot from 10 ft (assist by P. Pierce),27,33
161,2,7:33.0,Turnover by E. İlyasova (traveling),,27,33
162,2,7:20.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),27,35
163,2,7:06.0,Turnover by J. Bayless (bad pass; steal by J. Wall),,27,35
164,2,6:51.0,,M. Gortat makes 2-pt jump shot from 10 ft,27,37
165,2,6:43.0,Milwaukee full timeout,,27,37
166,2,6:43.0,J. Parker enters the game for G. Antetokounmpo,,27,37
167,2,6:43.0,K. Middleton enters the game for J. Bayless,,27,37
168,2,6:32.0,E. İlyasova misses 2-pt jump shot from 18 ft,,27,37
169,2,6:31.0,,Defensive rebound by P. Pierce,27,37
170,2,6:20.0,,N. Hilário makes 2-pt layup at rim (assist by J. Wall),27,39
171,2,6:09.0,Turnover by K. Marshall (bad pass; steal by N. Hilário),,27,39
172,2,6:05.0,,Offensive foul by P. Pierce (drawn by E. İlyasova),27,39
173,2,6:05.0,,Turnover by P. Pierce (offensive foul),27,39
174,2,6:05.0,B. Knight enters the game for K. Marshall,,27,39
175,2,5:51.0,J. Parker misses 2-pt jump shot from 6 ft,,27,39
176,2,5:50.0,,Defensive rebound by Team,27,39
177,2,5:32.0,,N. Hilário makes 2-pt jump shot from 13 ft (assist by J. Wall),27,41
178,2,5:12.0,K. Middleton misses 2-pt jump shot from 12 ft,,27,41
179,2,5:11.0,Offensive rebound by L. Sanders,,27,41
180,2,5:08.0,L. Sanders makes 2-pt layup from 1 ft,,29,41
181,2,5:05.0,,Turnover by M. Gortat (bad pass),29,41
182,2,5:05.0,Z. Pachulia enters the game for L. Sanders,,29,41
183,2,4:50.0,Personal foul by N. Hilário (drawn by E. İlyasova),,29,41
184,2,4:38.0,Turnover by B. Knight (bad pass; steal by P. Pierce),,29,41
