,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MINNESOTA_ACTION,LA LAKERS_SCORE,MINNESOTA_SCORE
0,1,11:44.0,W. Johnson misses 3-pt jump shot from 22 ft,,0,0
1,1,11:43.0,,Defensive rebound by A. Payne,0,0
2,1,11:28.0,,A. Wiggins misses 2-pt layup from 2 ft,0,0
3,1,11:27.0,,Offensive rebound by G. Dieng,0,0
4,1,11:08.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by G. Dieng),0,3
5,1,10:49.0,J. Lin misses 3-pt jump shot from 25 ft,,0,3
6,1,10:48.0,,Defensive rebound by A. Payne,0,3
7,1,10:39.0,,Personal foul by W. Johnson (drawn by L. Brown),0,3
8,1,10:34.0,,G. Dieng misses 2-pt jump shot from 19 ft,0,3
9,1,10:33.0,Defensive rebound by R. Kelly,,0,3
10,1,10:20.0,T. Black misses 2-pt jump shot from 5 ft,,0,3
11,1,10:19.0,,Defensive rebound by A. Payne,0,3
12,1,10:12.0,,Turnover by Z. LaVine (bad pass; steal by R. Kelly),0,3
13,1,10:04.0,J. Clarkson makes 2-pt dunk at rim (assist by J. Lin),,2,3
14,1,9:42.0,,Z. LaVine misses 3-pt jump shot from 24 ft,2,3
15,1,9:40.0,Defensive rebound by R. Kelly,,2,3
16,1,9:31.0,J. Clarkson misses 2-pt jump shot from 6 ft (block by G. Dieng),,2,3
17,1,9:30.0,Offensive rebound by Team,,2,3
18,1,9:27.0,R. Kelly makes 2-pt jump shot from 14 ft (assist by W. Johnson),,4,3
19,1,9:14.0,,A. Payne misses 2-pt jump shot from 11 ft (block by R. Kelly),4,3
20,1,9:12.0,,Offensive rebound by A. Wiggins,4,3
21,1,9:11.0,,A. Wiggins makes 2-pt jump shot from 1 ft,4,5
22,1,8:59.0,R. Kelly misses 3-pt jump shot from 25 ft,,4,5
23,1,8:58.0,,Defensive rebound by L. Brown,4,5
24,1,8:39.0,,Z. LaVine makes 2-pt jump shot from 14 ft,4,7
25,1,8:14.0,W. Johnson makes 2-pt jump shot from 14 ft,,6,7
26,1,7:55.0,,A. Wiggins misses 2-pt jump shot from 16 ft,6,7
27,1,7:54.0,Defensive rebound by T. Black,,6,7
28,1,7:46.0,J. Clarkson misses 2-pt jump shot from 4 ft,,6,7
29,1,7:45.0,Offensive rebound by T. Black,,6,7
30,1,7:44.0,T. Black makes 2-pt tip-in at rim,,8,7
31,1,7:22.0,,G. Dieng makes 2-pt jump shot from 14 ft,8,9
32,1,7:10.0,Personal block foul by L. Brown (drawn by J. Lin),,8,9
33,1,7:05.0,Turnover by J. Lin (lost ball; steal by A. Wiggins),,8,9
34,1,6:47.0,,Shooting foul by T. Black (drawn by A. Wiggins),8,9
35,1,6:47.0,,A. Wiggins makes free throw 1 of 2,8,10
36,1,6:47.0,,A. Wiggins makes free throw 2 of 2,8,11
37,1,6:37.0,Shooting block foul by G. Dieng (drawn by J. Lin),,8,11
38,1,6:37.0,J. Lin makes free throw 1 of 2,,9,11
39,1,6:37.0,J. Lin makes free throw 2 of 2,,10,11
40,1,6:16.0,,L. Brown misses 3-pt jump shot from 24 ft,10,11
41,1,6:15.0,Defensive rebound by W. Johnson,,10,11
42,1,6:06.0,T. Black makes 2-pt layup at rim (assist by J. Lin),,12,11
43,1,5:57.0,Violation by R. Kelly (kicked ball),,12,11
44,1,5:57.0,,Minnesota full timeout,12,11
45,1,5:57.0,,C. Budinger enters the game for A. Payne,12,11
46,1,5:51.0,,G. Dieng misses 2-pt layup at rim (block by T. Black),12,11
47,1,5:51.0,,Offensive rebound by Team,12,11
48,1,5:43.0,,Z. LaVine misses 2-pt jump shot from 16 ft,12,11
49,1,5:42.0,Defensive rebound by Team,,12,11
50,1,5:27.0,W. Johnson makes 2-pt jump shot from 21 ft (assist by R. Kelly),,14,11
51,1,5:08.0,,Turnover by G. Dieng (bad pass),14,11
52,1,4:54.0,J. Lin misses 2-pt layup from 1 ft (block by G. Dieng),,14,11
53,1,4:53.0,,Defensive rebound by L. Brown,14,11
54,1,4:47.0,,L. Brown misses 2-pt layup at rim (block by T. Black),14,11
55,1,4:46.0,,Offensive rebound by A. Wiggins,14,11
56,1,4:45.0,,A. Wiggins makes 2-pt layup from 3 ft,14,13
57,1,4:17.0,R. Kelly misses 3-pt jump shot from 25 ft,,14,13
58,1,4:16.0,,Defensive rebound by Z. LaVine,14,13
59,1,3:56.0,,Turnover by G. Dieng (3 sec),14,13
60,1,3:56.0,,A. Payne enters the game for G. Dieng,14,13
61,1,3:32.0,J. Clarkson misses 2-pt jump shot from 13 ft,,14,13
62,1,3:31.0,Offensive rebound by T. Black,,14,13
63,1,3:30.0,T. Black makes 2-pt layup at rim,,16,13
64,1,3:12.0,,Turnover by A. Payne (bad pass; steal by W. Johnson),16,13
65,1,2:49.0,J. Lin misses 3-pt jump shot from 25 ft,,16,13
66,1,2:48.0,,Defensive rebound by A. Payne,16,13
67,1,2:39.0,,Z. LaVine misses 2-pt layup from 2 ft (block by J. Clarkson),16,13
68,1,2:37.0,,Offensive rebound by C. Budinger,16,13
69,1,2:36.0,,C. Budinger makes 2-pt layup from 2 ft,16,15
70,1,2:29.0,Shooting foul by A. Payne (drawn by R. Kelly),,16,15
71,1,2:29.0,LA Lakers full timeout,,16,15
72,1,2:29.0,E. Davis enters the game for T. Black,,16,15
73,1,2:29.0,W. Ellington enters the game for J. Clarkson,,16,15
74,1,2:29.0,R. Kelly makes free throw 1 of 2,,17,15
75,1,2:29.0,R. Kelly makes free throw 2 of 2,,18,15
76,1,2:13.0,,A. Wiggins misses 2-pt jump shot from 16 ft,18,15
77,1,2:12.0,Defensive rebound by W. Ellington,,18,15
78,1,1:56.0,R. Kelly misses 3-pt jump shot from 25 ft,,18,15
79,1,1:54.0,Offensive rebound by W. Ellington,,18,15
80,1,1:52.0,W. Ellington makes 2-pt jump shot from 17 ft,,20,15
81,1,1:34.0,,L. Brown misses 2-pt jump shot from 10 ft,20,15
82,1,1:33.0,Defensive rebound by W. Ellington,,20,15
83,1,1:24.0,E. Davis makes 2-pt layup at rim (assist by W. Ellington),,22,15
84,1,1:12.0,,Turnover by Z. LaVine (lost ball; steal by E. Davis),22,15
85,1,1:09.0,J. Lin misses 2-pt layup from 2 ft (block by C. Budinger),,22,15
86,1,1:08.0,Offensive rebound by E. Davis,,22,15
87,1,1:07.0,E. Davis misses 2-pt layup from 2 ft (block by A. Wiggins),,22,15
88,1,1:06.0,Offensive rebound by Team,,22,15
89,1,1:06.0,,S. Kilpatrick enters the game for L. Brown,22,15
90,1,1:00.0,J. Lin makes 2-pt layup from 2 ft,,24,15
91,1,0:43.0,,C. Budinger misses 2-pt jump shot from 10 ft,24,15
92,1,0:42.0,Defensive rebound by E. Davis,,24,15
93,1,0:30.0,W. Johnson misses 2-pt layup from 1 ft,,24,15
94,1,0:28.0,,Defensive rebound by A. Wiggins,24,15
95,1,0:22.0,,Turnover by Z. LaVine (bad pass),24,15
96,1,0:03.0,Turnover by E. Davis (traveling),,24,15
97,2,11:50.0,,A. Wiggins makes 2-pt layup from 1 ft,24,17
98,2,11:23.0,W. Ellington misses 3-pt jump shot from 24 ft,,24,17
99,2,11:22.0,,Defensive rebound by L. Brown,24,17
100,2,11:07.0,,Turnover by G. Dieng (traveling),24,17
101,2,10:43.0,Turnover by J. Clarkson (lost ball; steal by L. Brown),,24,17
102,2,10:39.0,,L. Brown makes 2-pt layup at rim,24,19
103,2,10:14.0,R. Sacre makes 2-pt jump shot from 13 ft (assist by J. Brown),,26,19
104,2,10:01.0,,L. Brown makes 2-pt jump shot from 6 ft,26,21
