,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
0,1,11:50.0,,Turnover by V. Oladipo (step out of bounds),0,0
1,1,11:43.0,Turnover by M. Dellavedova (bad pass),,0,0
2,1,11:25.0,,T. Harris makes 2-pt jump shot from 4 ft (assist by N. Vučević),0,2
3,1,11:12.0,K. Love misses 2-pt jump shot from 15 ft,,0,2
4,1,11:11.0,,Defensive rebound by T. Harris,0,2
5,1,10:56.0,,V. Oladipo makes 2-pt layup from 2 ft (assist by N. Vučević),0,4
6,1,10:34.0,L. James makes 2-pt jump shot from 16 ft,,2,4
7,1,10:15.0,,V. Oladipo misses 3-pt jump shot from 26 ft,2,4
8,1,10:14.0,Defensive rebound by T. Thompson,,2,4
9,1,10:03.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,5,4
10,1,9:48.0,,K. O'Quinn misses 2-pt jump shot from 19 ft,5,4
11,1,9:46.0,Defensive rebound by M. Miller,,5,4
12,1,9:38.0,L. James makes 2-pt layup at rim,,7,4
13,1,9:18.0,,E. Payton makes 2-pt jump shot from 17 ft,7,6
14,1,8:58.0,M. Dellavedova makes 3-pt jump shot from 23 ft (assist by L. James),,10,6
15,1,8:42.0,,Turnover by T. Harris (bad pass),10,6
16,1,8:22.0,L. James misses 2-pt jump shot from 17 ft,,10,6
17,1,8:20.0,,Defensive rebound by N. Vučević,10,6
18,1,8:03.0,,N. Vučević makes 2-pt hook shot from 4 ft (assist by K. O'Quinn),10,8
19,1,7:45.0,M. Miller misses 3-pt jump shot from 25 ft,,10,8
20,1,7:44.0,,Defensive rebound by V. Oladipo,10,8
21,1,7:41.0,,T. Harris makes 2-pt dunk at rim (assist by V. Oladipo),10,10
22,1,7:20.0,K. Love makes 2-pt dunk at rim (assist by M. Miller),,12,10
23,1,7:00.0,,T. Harris misses 3-pt jump shot from 26 ft,12,10
24,1,6:59.0,Defensive rebound by L. James,,12,10
25,1,6:47.0,K. Love misses 2-pt jump shot from 2 ft,,12,10
26,1,6:46.0,,Defensive rebound by N. Vučević,12,10
27,1,6:35.0,,V. Oladipo misses 2-pt jump shot from 21 ft,12,10
28,1,6:33.0,Defensive rebound by K. Love,,12,10
29,1,6:23.0,K. Love makes 2-pt jump shot from 15 ft (assist by M. Dellavedova),,14,10
30,1,6:04.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by V. Oladipo),14,12
31,1,5:42.0,L. James misses 2-pt jump shot from 13 ft (block by T. Harris),,14,12
32,1,5:42.0,Offensive rebound by Team,,14,12
33,1,5:42.0,,Orlando full timeout,14,12
34,1,5:37.0,T. Thompson misses 2-pt hook shot from 3 ft,,14,12
35,1,5:36.0,,Defensive rebound by T. Harris,14,12
36,1,5:18.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by V. Oladipo),14,15
37,1,4:59.0,K. Love makes 2-pt layup from 2 ft (assist by L. James),,16,15
38,1,4:59.0,Shooting foul by K. O'Quinn (drawn by K. Love),,16,15
39,1,4:59.0,,E. Fournier enters the game for E. Payton,16,15
40,1,4:59.0,,C. Frye enters the game for K. O'Quinn,16,15
41,1,4:59.0,D. Waiters enters the game for M. Miller,,16,15
42,1,4:59.0,K. Love makes free throw 1 of 1,,17,15
43,1,4:46.0,,V. Oladipo makes 2-pt layup at rim,17,17
44,1,4:29.0,Turnover by L. James (bad pass; steal by E. Fournier),,17,17
45,1,4:27.0,,Personal foul by M. Dellavedova (drawn by E. Fournier),17,17
46,1,4:27.0,S. Marion enters the game for K. Love,,17,17
47,1,4:16.0,,E. Fournier makes 2-pt layup from 1 ft,17,19
48,1,4:16.0,,Shooting foul by M. Dellavedova (drawn by E. Fournier),17,19
49,1,4:16.0,A. Price enters the game for M. Dellavedova,,17,19
50,1,4:16.0,,E. Fournier makes free throw 1 of 1,17,20
51,1,3:58.0,L. James makes 2-pt jump shot from 17 ft,,19,20
52,1,3:33.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),19,23
53,1,3:23.0,D. Waiters makes 2-pt jump shot from 12 ft,,21,23
54,1,3:23.0,Shooting foul by E. Fournier (drawn by D. Waiters),,21,23
55,1,3:23.0,,D. Dedmon enters the game for N. Vučević,21,23
56,1,3:23.0,D. Waiters makes free throw 1 of 1,,22,23
57,1,3:08.0,,V. Oladipo makes 2-pt layup from 1 ft,22,25
58,1,2:48.0,Personal foul by D. Dedmon (drawn by A. Price),,22,25
59,1,2:48.0,Cleveland full timeout,,22,25
60,1,2:36.0,D. Waiters misses 2-pt jump shot from 18 ft,,22,25
61,1,2:35.0,Offensive rebound by S. Marion,,22,25
62,1,2:31.0,L. James misses 3-pt jump shot from 26 ft,,22,25
63,1,2:30.0,,Defensive rebound by D. Dedmon,22,25
64,1,2:20.0,,C. Frye makes 3-pt jump shot from 27 ft (assist by V. Oladipo),22,28
65,1,2:04.0,Turnover by L. James (bad pass; steal by T. Harris),,22,28
66,1,1:56.0,,T. Harris misses 2-pt jump shot from 13 ft (block by S. Marion),22,28
67,1,1:54.0,Defensive rebound by T. Thompson,,22,28
68,1,1:43.0,Turnover by L. James (bad pass; steal by V. Oladipo),,22,28
69,1,1:40.0,Offensive charge foul by T. Harris (drawn by A. Price),,22,28
70,1,1:40.0,,Turnover by T. Harris (offensive foul),22,28
71,1,1:40.0,,E. Payton enters the game for V. Oladipo,22,28
72,1,1:40.0,K. Love enters the game for L. James,,22,28
73,1,1:40.0,M. Miller enters the game for T. Thompson,,22,28
74,1,1:40.0,,B. Gordon enters the game for T. Harris,22,28
75,1,1:25.0,K. Love makes 3-pt jump shot from 23 ft (assist by D. Waiters),,25,28
76,1,1:11.0,,Shooting foul by M. Miller (drawn by E. Fournier),25,28
77,1,1:11.0,,E. Fournier makes free throw 1 of 2,25,29
78,1,1:11.0,,E. Fournier makes free throw 2 of 2,25,30
79,1,0:54.0,S. Marion makes 2-pt jump shot from 8 ft,,27,30
80,1,0:37.0,,D. Dedmon makes 2-pt jump shot from 7 ft (assist by B. Gordon),27,32
81,1,0:22.0,S. Marion misses 3-pt jump shot from 23 ft,,27,32
82,1,0:22.0,Offensive rebound by Team,,27,32
83,1,0:22.0,,Loose ball foul by D. Dedmon (drawn by K. Love),27,32
84,1,0:00.0,K. Love misses 3-pt jump shot from 26 ft,,27,32
85,1,0:00.0,Offensive rebound by Team,,27,32
86,2,11:43.0,D. Waiters makes 2-pt dunk at rim (assist by M. Miller),,29,32
87,2,11:19.0,,B. Gordon makes 2-pt jump shot from 21 ft,29,34
88,2,11:05.0,K. Love misses 2-pt layup from 1 ft,,29,34
89,2,11:04.0,,Defensive rebound by C. Frye,29,34
90,2,10:57.0,,B. Gordon makes 3-pt jump shot from 24 ft,29,37
91,2,10:39.0,D. Waiters misses 2-pt layup from 1 ft,,29,37
92,2,10:37.0,,Defensive rebound by E. Fournier,29,37
93,2,10:34.0,Technical foul by D. Waiters,,29,37
94,2,10:34.0,,B. Gordon misses technical free throw,29,37
95,2,10:34.0,,Offensive rebound by Team,29,37
96,2,10:25.0,,C. Frye misses 3-pt jump shot from 24 ft,29,37
97,2,10:24.0,Defensive rebound by D. Waiters,,29,37
98,2,10:09.0,K. Love misses 3-pt jump shot from 25 ft,,29,37
99,2,10:08.0,,Defensive rebound by B. Gordon,29,37
100,2,9:58.0,,B. Gordon makes 2-pt jump shot from 8 ft,29,39
101,2,9:54.0,Cleveland full timeout,,29,39
102,2,9:54.0,M. Dellavedova enters the game for A. Price,,29,39
103,2,9:37.0,K. Love makes 2-pt layup from 1 ft (assist by M. Dellavedova),,31,39
104,2,9:16.0,,Turnover by E. Payton (bad pass; steal by S. Marion),31,39
105,2,9:03.0,M. Miller misses 3-pt jump shot from 24 ft,,31,39
106,2,9:02.0,Offensive rebound by Team,,31,39
107,2,9:02.0,,V. Oladipo enters the game for E. Payton,31,39
108,2,8:59.0,Personal foul by V. Oladipo (drawn by M. Dellavedova),,31,39
109,2,8:46.0,Turnover by M. Dellavedova (bad pass; steal by V. Oladipo),,31,39
110,2,8:46.0,,Personal foul by D. Waiters (drawn by E. Fournier),31,39
111,2,8:34.0,,C. Frye misses 3-pt jump shot from 26 ft,31,39
112,2,8:32.0,Defensive rebound by D. Waiters,,31,39
113,2,8:19.0,Shooting foul by B. Gordon (drawn by D. Waiters),,31,39
114,2,8:19.0,D. Waiters makes free throw 1 of 2,,32,39
115,2,8:19.0,T. Thompson enters the game for M. Miller,,32,39
116,2,8:19.0,D. Waiters makes free throw 2 of 2,,33,39
117,2,8:01.0,,E. Fournier misses 2-pt jump shot from 3 ft,33,39
118,2,7:59.0,,Offensive rebound by D. Dedmon,33,39
