,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CHICAGO_ACTION,CHARLOTTE_SCORE,CHICAGO_SCORE
0,1,11:40.0,M. Williams misses 2-pt jump shot from 17 ft,,0,0
1,1,11:39.0,,Defensive rebound by M. Dunleavy,0,0
2,1,11:27.0,,Turnover by J. Butler (bad pass; steal by A. Jefferson),0,0
3,1,11:22.0,A. Jefferson makes 2-pt layup from 2 ft (assist by M. Williams),,2,0
4,1,10:59.0,,P. Gasol makes 2-pt layup at rim (assist by M. Dunleavy),2,2
5,1,10:35.0,G. Henderson misses 2-pt jump shot from 15 ft (block by A. Brooks),,2,2
6,1,10:33.0,Offensive rebound by G. Henderson,,2,2
7,1,10:31.0,G. Henderson makes 2-pt jump shot from 17 ft,,4,2
8,1,10:15.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by M. Dunleavy),4,4
9,1,9:59.0,M. Williams misses 2-pt jump shot from 18 ft,,4,4
10,1,9:58.0,,Defensive rebound by J. Butler,4,4
11,1,9:50.0,,A. Brooks makes 3-pt jump shot from 24 ft (assist by J. Noah),4,7
12,1,9:50.0,,Shooting foul by M. Williams (drawn by A. Brooks),4,7
13,1,9:50.0,,A. Brooks misses free throw 1 of 1,4,7
14,1,9:48.0,Defensive rebound by M. Kidd-Gilchrist,,4,7
15,1,9:39.0,Turnover by M. Williams (bad pass; steal by J. Butler),,4,7
16,1,9:27.0,,P. Gasol misses 2-pt jump shot from 17 ft,4,7
17,1,9:26.0,Defensive rebound by C. Zeller,,4,7
18,1,9:13.0,M. Williams makes 2-pt layup from 2 ft,,6,7
19,1,8:49.0,,Turnover by M. Dunleavy (bad pass; steal by M. Williams),6,7
20,1,8:41.0,G. Henderson misses 3-pt jump shot from 23 ft,,6,7
21,1,8:40.0,,Defensive rebound by J. Noah,6,7
22,1,8:26.0,,J. Butler misses 3-pt jump shot from 24 ft,6,7
23,1,8:25.0,Defensive rebound by C. Zeller,,6,7
24,1,8:16.0,M. Williams misses 2-pt jump shot from 9 ft,,6,7
25,1,8:15.0,,Defensive rebound by J. Noah,6,7
26,1,7:56.0,,P. Gasol misses 2-pt jump shot from 15 ft,6,7
27,1,7:55.0,Defensive rebound by G. Henderson,,6,7
28,1,7:38.0,C. Zeller misses 2-pt jump shot from 21 ft,,6,7
29,1,7:37.0,,Defensive rebound by J. Noah,6,7
30,1,7:19.0,,A. Brooks makes 2-pt layup from 2 ft,6,9
31,1,6:54.0,M. Kidd-Gilchrist misses 2-pt jump shot from 8 ft (block by J. Noah),,6,9
32,1,6:52.0,,Defensive rebound by P. Gasol,6,9
33,1,6:41.0,,A. Brooks makes 2-pt layup from 1 ft (assist by J. Noah),6,11
34,1,6:15.0,Turnover by A. Jefferson (lost ball),,6,11
35,1,6:04.0,,P. Gasol makes 2-pt layup from 2 ft (assist by A. Brooks),6,13
36,1,5:57.0,Charlotte full timeout,,6,13
37,1,5:48.0,G. Henderson misses 2-pt jump shot from 16 ft (block by P. Gasol),,6,13
38,1,5:46.0,,Defensive rebound by J. Butler,6,13
39,1,5:34.0,,J. Butler makes 2-pt jump shot from 17 ft (assist by J. Noah),6,15
40,1,5:18.0,M. Kidd-Gilchrist makes 2-pt jump shot from 19 ft (assist by G. Henderson),,8,15
41,1,4:59.0,,Shooting foul by M. Williams (drawn by A. Brooks),8,15
42,1,4:59.0,,A. Brooks makes free throw 1 of 3,8,16
43,1,4:59.0,,A. Brooks misses free throw 2 of 3,8,16
44,1,4:59.0,,Offensive rebound by Team,8,16
45,1,4:59.0,M. Williams enters the game for C. Zeller,,8,16
46,1,4:59.0,B. Roberts enters the game for M. Williams,,8,16
47,1,4:59.0,,T. Gibson enters the game for J. Noah,8,16
48,1,4:59.0,,A. Brooks makes free throw 3 of 3,8,17
49,1,4:39.0,A. Jefferson misses 2-pt layup from 2 ft (block by P. Gasol),,8,17
50,1,4:37.0,,Defensive rebound by P. Gasol,8,17
51,1,4:27.0,,T. Gibson misses 2-pt layup from 2 ft (block by A. Jefferson),8,17
52,1,4:26.0,Defensive rebound by G. Henderson,,8,17
53,1,4:04.0,M. Williams makes 2-pt jump shot from 13 ft,,10,17
54,1,3:41.0,,P. Gasol misses 2-pt jump shot from 17 ft,10,17
55,1,3:40.0,Defensive rebound by M. Kidd-Gilchrist,,10,17
56,1,3:32.0,B. Roberts misses 3-pt jump shot from 25 ft,,10,17
57,1,3:30.0,,Defensive rebound by P. Gasol,10,17
58,1,3:16.0,,A. Brooks misses 3-pt jump shot from 24 ft,10,17
59,1,3:15.0,Defensive rebound by M. Kidd-Gilchrist,,10,17
60,1,3:08.0,Shooting foul by M. Dunleavy (drawn by G. Henderson),,10,17
61,1,3:08.0,G. Henderson makes free throw 1 of 2,,11,17
62,1,3:08.0,J. Maxiell enters the game for A. Jefferson,,11,17
63,1,3:08.0,,T. Snell enters the game for M. Dunleavy,11,17
64,1,3:08.0,,K. Hinrich enters the game for A. Brooks,11,17
65,1,3:08.0,G. Henderson makes free throw 2 of 2,,12,17
66,1,2:52.0,,Turnover by K. Hinrich (bad pass; steal by G. Henderson),12,17
67,1,2:41.0,M. Kidd-Gilchrist makes 2-pt jump shot from 17 ft (assist by B. Roberts),,14,17
68,1,2:15.0,,Turnover by P. Gasol (bad pass; steal by G. Henderson),14,17
69,1,2:12.0,Shooting foul by J. Butler (drawn by G. Henderson),,14,17
70,1,2:12.0,,Chicago full timeout,14,17
71,1,2:12.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,14,17
72,1,2:12.0,G. Henderson makes free throw 1 of 2,,15,17
73,1,2:12.0,G. Henderson makes free throw 2 of 2,,16,17
74,1,1:56.0,,T. Snell misses 2-pt layup from 2 ft,16,17
75,1,1:55.0,Defensive rebound by B. Roberts,,16,17
76,1,1:46.0,J. Maxiell misses 2-pt jump shot from 10 ft,,16,17
77,1,1:45.0,,Defensive rebound by J. Butler,16,17
78,1,1:22.0,,T. Gibson misses 2-pt jump shot from 6 ft,16,17
79,1,1:20.0,Defensive rebound by G. Henderson,,16,17
80,1,1:09.0,J. Maxiell misses 2-pt layup from 2 ft (block by T. Gibson),,16,17
81,1,1:07.0,Offensive rebound by J. Maxiell,,16,17
82,1,1:00.0,L. Stephenson makes 2-pt jump shot from 14 ft,,18,17
83,1,0:38.0,,P. Gasol misses 2-pt jump shot from 16 ft,18,17
84,1,0:38.0,,Offensive rebound by J. Butler,18,17
85,1,0:38.0,,J. Butler makes 2-pt tip-in at rim,18,19
86,1,0:38.0,,Shooting foul by L. Stephenson (drawn by J. Butler),18,19
87,1,0:38.0,,J. Butler makes free throw 1 of 1,18,20
88,1,0:33.0,B. Roberts makes 2-pt jump shot from 17 ft,,20,20
89,1,0:15.0,,J. Butler misses 2-pt jump shot from 19 ft,20,20
90,1,0:15.0,Defensive rebound by Team,,20,20
91,1,0:15.0,,Loose ball foul by P. Gasol (drawn by J. Maxiell),20,20
92,1,0:02.0,L. Stephenson misses 2-pt jump shot from 8 ft,,20,20
93,1,0:01.0,,Defensive rebound by P. Gasol,20,20
94,2,11:48.0,,N. Mirotić makes 2-pt jump shot from 16 ft (assist by K. Hinrich),20,22
95,2,11:27.0,J. Maxiell makes 2-pt jump shot from 7 ft (assist by M. Kidd-Gilchrist),,22,22
96,2,11:12.0,,T. Snell misses 3-pt jump shot from 24 ft,22,22
97,2,11:11.0,Defensive rebound by M. Kidd-Gilchrist,,22,22
98,2,11:00.0,L. Stephenson makes 2-pt jump shot from 19 ft,,24,22
99,2,10:44.0,,Personal foul by J. Maxiell (drawn by J. Noah),24,22
100,2,10:30.0,,K. Hinrich misses 3-pt jump shot from 26 ft,24,22
101,2,10:29.0,Defensive rebound by L. Stephenson,,24,22
102,2,10:20.0,Turnover by L. Stephenson (bad pass; steal by J. Noah),,24,22
103,2,10:09.0,,J. Noah misses 2-pt jump shot from 19 ft,24,22
104,2,10:08.0,Defensive rebound by L. Stephenson,,24,22
105,2,10:05.0,Offensive foul by L. Stephenson (drawn by K. Hinrich),,24,22
106,2,10:05.0,Turnover by L. Stephenson (offensive foul),,24,22
107,2,9:47.0,,T. Snell misses 2-pt jump shot from 21 ft,24,22
108,2,9:45.0,,Offensive rebound by T. Gibson,24,22
109,2,9:44.0,,T. Snell makes 2-pt dunk at rim (assist by T. Gibson),24,24
110,2,9:20.0,J. Maxiell makes 2-pt jump shot from 12 ft (assist by L. Stephenson),,26,24
111,2,9:10.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by J. Noah),26,26
112,2,8:48.0,B. Roberts makes 2-pt jump shot from 18 ft,,28,26
113,2,8:33.0,,T. Gibson misses 2-pt layup from 2 ft,28,26
114,2,8:32.0,,Offensive rebound by T. Gibson,28,26
115,2,8:32.0,,T. Gibson misses 2-pt tip-in from 2 ft,28,26
116,2,8:31.0,Defensive rebound by L. Stephenson,,28,26
117,2,8:21.0,B. Roberts misses 3-pt jump shot from 24 ft,,28,26
118,2,8:20.0,Offensive rebound by M. Kidd-Gilchrist,,28,26
119,2,8:20.0,Shooting foul by N. Mirotić (drawn by M. Kidd-Gilchrist),,28,26
120,2,8:20.0,Charlotte full timeout,,28,26
121,2,8:20.0,M. Kidd-Gilchrist misses free throw 1 of 2,,28,26
122,2,8:20.0,Offensive rebound by Team,,28,26
123,2,8:20.0,M. Kidd-Gilchrist makes free throw 2 of 2,,29,26
124,2,8:04.0,,T. Snell makes 3-pt jump shot from 23 ft (assist by J. Noah),29,29
125,2,7:39.0,L. Stephenson misses 2-pt jump shot from 16 ft,,29,29
126,2,7:38.0,,Defensive rebound by J. Noah,29,29
127,2,7:21.0,,Turnover by N. Mirotić (bad pass; steal by J. Maxiell),29,29
128,2,7:19.0,Shooting foul by T. Snell (drawn by M. Kidd-Gilchrist),,29,29
129,2,7:19.0,M. Kidd-Gilchrist makes free throw 1 of 2,,30,29
130,2,7:19.0,M. Kidd-Gilchrist makes free throw 2 of 2,,31,29
131,2,7:07.0,,T. Snell makes 2-pt layup from 3 ft,31,31
132,2,6:41.0,L. Stephenson misses 3-pt jump shot from 25 ft,,31,31
133,2,6:40.0,,Defensive rebound by T. Gibson,31,31
134,2,6:39.0,A. Jefferson enters the game for J. Maxiell,,31,31
135,2,6:21.0,,K. Hinrich makes 2-pt jump shot from 12 ft (assist by N. Mirotić),31,33
136,2,6:07.0,A. Jefferson misses 2-pt layup from 1 ft,,31,33
137,2,6:06.0,Offensive rebound by A. Jefferson,,31,33
138,2,6:06.0,A. Jefferson misses 2-pt tip-in from 1 ft,,31,33
139,2,6:04.0,Offensive rebound by A. Jefferson,,31,33
140,2,5:55.0,L. Stephenson misses 2-pt jump shot from 12 ft,,31,33
141,2,5:53.0,,Defensive rebound by K. Hinrich,31,33
142,2,5:44.0,,Turnover by J. Noah (bad pass; steal by M. Williams),31,33
143,2,5:29.0,B. Roberts makes 3-pt jump shot from 23 ft,,34,33
144,2,5:13.0,,N. Mirotić makes 2-pt jump shot from 18 ft (assist by K. Hinrich),34,35
145,2,4:48.0,M. Kidd-Gilchrist makes 2-pt jump shot from 17 ft (assist by B. Roberts),,36,35
146,2,4:31.0,,Chicago full timeout,36,35
147,2,4:31.0,,P. Gasol enters the game for J. Noah,36,35
148,2,4:31.0,,J. Butler enters the game for K. Hinrich,36,35
149,2,4:31.0,,A. Brooks enters the game for N. Mirotić,36,35
150,2,4:31.0,C. Zeller enters the game for M. Williams,,36,35
151,2,4:31.0,G. Henderson enters the game for B. Roberts,,36,35
152,2,4:31.0,M. Williams enters the game for L. Stephenson,,36,35
153,2,4:25.0,,P. Gasol makes 2-pt layup from 3 ft (assist by A. Brooks),36,37
154,2,4:13.0,G. Henderson makes 2-pt dunk at rim,,38,37
155,2,3:45.0,,A. Brooks misses 2-pt jump shot from 16 ft,38,37
156,2,3:43.0,,Offensive rebound by T. Snell,38,37
157,2,3:41.0,,T. Snell makes 3-pt jump shot from 23 ft,38,40
158,2,3:18.0,C. Zeller misses 2-pt layup from 3 ft (block by P. Gasol),,38,40
159,2,3:14.0,,Defensive rebound by J. Butler,38,40
160,2,3:05.0,,P. Gasol misses 2-pt jump shot from 22 ft,38,40
161,2,3:04.0,Defensive rebound by G. Henderson,,38,40
162,2,3:00.0,Shooting foul by P. Gasol (drawn by A. Jefferson),,38,40
163,2,3:00.0,A. Jefferson makes free throw 1 of 2,,39,40
164,2,3:00.0,A. Jefferson makes free throw 2 of 2,,40,40
165,2,2:41.0,,J. Butler misses 2-pt layup from 3 ft,40,40
166,2,2:40.0,Defensive rebound by C. Zeller,,40,40
167,2,2:36.0,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by M. Williams),,42,40
