,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SACRAMENTO_ACTION,BROOKLYN_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,Shooting foul by D. Collison (drawn by J. Jack),,0,0
1,1,11:47.0,J. Jack misses free throw 1 of 3,,0,0
2,1,11:47.0,Offensive rebound by Team,,0,0
3,1,11:47.0,J. Jack makes free throw 2 of 3,,1,0
4,1,11:47.0,J. Jack makes free throw 3 of 3,,2,0
5,1,11:30.0,,D. Cousins makes 2-pt jump shot from 16 ft (assist by R. Gay),2,2
6,1,11:15.0,Shooting foul by B. McLemore (drawn by B. Bogdanović),,2,2
7,1,11:15.0,B. Bogdanović makes free throw 1 of 2,,3,2
8,1,11:15.0,B. Bogdanović makes free throw 2 of 2,,4,2
9,1,10:58.0,,B. McLemore makes 3-pt jump shot from 24 ft (assist by R. Gay),4,5
10,1,10:36.0,K. Garnett makes 2-pt jump shot from 17 ft (assist by B. Bogdanović),,6,5
11,1,10:19.0,,Shooting foul by M. Plumlee (drawn by D. Cousins),6,5
12,1,10:19.0,,D. Cousins misses free throw 1 of 2,6,5
13,1,10:19.0,,Offensive rebound by Team,6,5
14,1,10:19.0,,D. Cousins makes free throw 2 of 2,6,6
15,1,10:06.0,J. Johnson makes 2-pt jump shot from 4 ft (assist by M. Plumlee),,8,6
16,1,9:50.0,,R. Gay makes 2-pt jump shot from 20 ft,8,8
17,1,9:35.0,B. Bogdanović makes 2-pt jump shot from 4 ft (assist by M. Plumlee),,10,8
18,1,9:14.0,,Turnover by D. Cousins (bad pass; steal by M. Plumlee),10,8
19,1,9:05.0,M. Plumlee makes 2-pt hook shot from 5 ft (assist by J. Johnson),,12,8
20,1,8:55.0,,Personal foul by K. Garnett (drawn by D. Cousins),12,8
21,1,8:42.0,,R. Gay misses 2-pt jump shot from 21 ft,12,8
22,1,8:41.0,Defensive rebound by K. Garnett,,12,8
23,1,8:31.0,M. Plumlee makes 2-pt layup from 2 ft (assist by J. Jack),,14,8
24,1,8:24.0,,Sacramento full timeout,14,8
25,1,8:10.0,,J. Thompson makes 2-pt jump shot from 17 ft (assist by B. McLemore),14,10
26,1,7:55.0,J. Jack makes 2-pt jump shot from 18 ft,,16,10
27,1,7:35.0,,Turnover by J. Thompson (bad pass),16,10
28,1,7:28.0,Turnover by B. Bogdanović (traveling),,16,10
29,1,7:10.0,,Turnover by B. McLemore (bad pass; steal by J. Jack),16,10
30,1,7:05.0,,Offensive charge foul by J. Jack (drawn by D. Collison),16,10
31,1,7:05.0,Turnover by J. Jack (offensive foul),,16,10
32,1,6:48.0,,B. McLemore misses 3-pt jump shot from 24 ft,16,10
33,1,6:47.0,,Offensive rebound by J. Thompson,16,10
34,1,6:42.0,,Shooting foul by K. Garnett (drawn by D. Cousins),16,10
35,1,6:42.0,,D. Cousins makes free throw 1 of 2,16,11
36,1,6:42.0,,N. Stauskas enters the game for B. McLemore,16,11
37,1,6:42.0,B. Lopez enters the game for K. Garnett,,16,11
38,1,6:42.0,,D. Cousins makes free throw 2 of 2,16,12
39,1,6:31.0,J. Jack misses 3-pt jump shot from 25 ft,,16,12
40,1,6:30.0,Offensive rebound by B. Lopez,,16,12
41,1,6:29.0,B. Lopez makes 2-pt layup from 2 ft,,18,12
42,1,6:13.0,,D. Cousins makes 2-pt jump shot from 20 ft (assist by D. Collison),18,14
43,1,5:52.0,Shooting foul by N. Stauskas (drawn by B. Bogdanović),,18,14
44,1,5:52.0,B. Bogdanović makes free throw 1 of 2,,19,14
45,1,5:52.0,B. Bogdanović makes free throw 2 of 2,,20,14
46,1,5:40.0,,D. Collison makes 3-pt jump shot from 24 ft,20,17
47,1,5:24.0,B. Bogdanović misses 2-pt jump shot from 5 ft (block by J. Thompson),,20,17
48,1,5:23.0,,Defensive rebound by D. Cousins,20,17
49,1,5:18.0,,D. Collison misses 3-pt jump shot from 23 ft,20,17
50,1,5:16.0,,Offensive rebound by D. Cousins,20,17
51,1,5:16.0,,D. Cousins misses 2-pt layup from 1 ft,20,17
52,1,5:15.0,Defensive rebound by J. Jack,,20,17
53,1,5:01.0,J. Johnson misses 3-pt jump shot from 23 ft,,20,17
54,1,5:00.0,,Defensive rebound by D. Cousins,20,17
55,1,4:48.0,,D. Collison misses 2-pt layup from 4 ft,20,17
56,1,4:46.0,,Offensive rebound by Team,20,17
57,1,4:42.0,,R. Gay misses 2-pt jump shot from 4 ft (block by B. Lopez),20,17
58,1,4:42.0,,Offensive rebound by Team,20,17
59,1,4:38.0,,D. Cousins misses 2-pt jump shot from 19 ft,20,17
60,1,4:37.0,Defensive rebound by B. Bogdanović,,20,17
61,1,4:34.0,Offensive foul by B. Lopez (drawn by D. Cousins),,20,17
62,1,4:34.0,Turnover by B. Lopez (offensive foul),,20,17
63,1,4:15.0,,D. Cousins misses 2-pt jump shot from 13 ft,20,17
64,1,4:15.0,Defensive rebound by J. Johnson,,20,17
65,1,4:10.0,B. Bogdanović makes 2-pt dunk at rim (assist by J. Johnson),,22,17
66,1,3:46.0,,R. Gay makes 2-pt dunk at rim (assist by D. Collison),22,19
67,1,3:32.0,Offensive foul by M. Plumlee (drawn by D. Cousins),,22,19
68,1,3:32.0,Turnover by M. Plumlee (offensive foul),,22,19
69,1,3:32.0,M. Teletović enters the game for M. Plumlee,,22,19
70,1,3:16.0,,R. Gay misses 3-pt jump shot from 24 ft,22,19
71,1,3:15.0,Defensive rebound by Team,,22,19
72,1,3:05.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by J. Johnson),,24,19
73,1,2:48.0,,D. Collison makes 3-pt jump shot from 25 ft,24,22
74,1,2:40.0,Brooklyn full timeout,,24,22
75,1,2:40.0,,D. Williams enters the game for D. Cousins,24,22
76,1,2:29.0,B. Bogdanović misses 2-pt jump shot from 10 ft,,24,22
77,1,2:28.0,,Defensive rebound by D. Collison,24,22
78,1,2:28.0,,Turnover by D. Collison (bad pass; steal by B. Lopez),24,22
79,1,2:28.0,B. Lopez makes 2-pt hook shot from 7 ft,,26,22
80,1,2:28.0,Shooting foul by J. Thompson (drawn by B. Lopez),,26,22
81,1,2:28.0,A. Anderson enters the game for J. Johnson,,26,22
82,1,2:28.0,B. Lopez makes free throw 1 of 1,,27,22
83,1,2:18.0,,Shooting foul by M. Teletović (drawn by D. Williams),27,22
84,1,2:18.0,,D. Williams misses free throw 1 of 2,27,22
85,1,2:18.0,,Offensive rebound by Team,27,22
86,1,2:18.0,M. Brown enters the game for B. Bogdanović,,27,22
87,1,2:18.0,,D. Williams makes free throw 2 of 2,27,23
88,1,2:00.0,B. Lopez misses 2-pt jump shot from 7 ft,,27,23
89,1,1:59.0,Offensive rebound by M. Teletović,,27,23
90,1,1:52.0,A. Anderson makes 2-pt jump shot from 6 ft,,29,23
91,1,1:43.0,,D. Collison misses 3-pt jump shot from 24 ft,29,23
92,1,1:42.0,Defensive rebound by A. Anderson,,29,23
93,1,1:37.0,B. Lopez makes 2-pt layup from 2 ft (assist by J. Jack),,31,23
94,1,1:19.0,,Def 3 sec tech foul by J. Jack,31,23
95,1,1:19.0,,R. Gay makes technical free throw,31,24
96,1,1:19.0,,R. Sessions enters the game for D. Collison,31,24
97,1,1:13.0,,R. Gay misses 2-pt jump shot from 5 ft (block by B. Lopez),31,24
98,1,1:11.0,Defensive rebound by M. Brown,,31,24
99,1,1:01.0,M. Brown makes 3-pt jump shot from 25 ft (assist by A. Anderson),,34,24
100,1,0:45.0,,R. Sessions misses 2-pt jump shot from 4 ft (block by B. Lopez),34,24
101,1,0:44.0,Defensive rebound by M. Teletović,,34,24
102,1,0:39.0,J. Jack makes 2-pt jump shot from 9 ft,,36,24
103,1,0:21.0,,D. Williams misses 2-pt jump shot from 19 ft,36,24
104,1,0:21.0,Defensive rebound by A. Anderson,,36,24
105,1,0:01.0,J. Jack misses 2-pt layup from 2 ft,,36,24
106,1,0:00.0,,Defensive rebound by R. Gay,36,24
107,2,11:42.0,,R. Sessions makes 2-pt jump shot from 20 ft (assist by D. Cousins),36,26
108,2,11:27.0,M. Brown misses 2-pt jump shot from 18 ft,,36,26
109,2,11:26.0,,Defensive rebound by O. Casspi,36,26
110,2,11:13.0,,O. Casspi makes 2-pt jump shot from 4 ft (assist by R. Sessions),36,28
111,2,10:55.0,M. Teletović makes 3-pt jump shot from 26 ft (assist by J. Jack),,39,28
112,2,10:30.0,,D. Cousins misses 2-pt jump shot from 9 ft,39,28
113,2,10:30.0,,Offensive rebound by D. Cousins,39,28
114,2,10:26.0,,D. Cousins misses 2-pt jump shot from 5 ft,39,28
115,2,10:25.0,Defensive rebound by B. Lopez,,39,28
116,2,10:17.0,M. Teletović makes 2-pt layup from 3 ft (assist by J. Jack),,41,28
117,2,10:01.0,,D. Cousins misses 2-pt layup from 1 ft,41,28
118,2,10:00.0,Defensive rebound by B. Lopez,,41,28
119,2,9:40.0,B. Lopez makes 2-pt jump shot from 11 ft (assist by A. Anderson),,43,28
120,2,9:19.0,,D. Cousins misses 2-pt jump shot from 15 ft,43,28
121,2,9:17.0,Defensive rebound by M. Brown,,43,28
122,2,9:13.0,M. Brown misses 2-pt layup from 1 ft,,43,28
123,2,9:12.0,,Defensive rebound by R. Sessions,43,28
124,2,9:08.0,,D. Williams makes 2-pt layup from 3 ft,43,30
125,2,9:08.0,,Shooting foul by M. Teletović (drawn by D. Williams),43,30
126,2,9:08.0,J. Johnson enters the game for J. Jack,,43,30
127,2,9:08.0,D. Morris enters the game for M. Brown,,43,30
128,2,9:08.0,,D. Williams makes free throw 1 of 1,43,31
129,2,8:52.0,J. Johnson misses 2-pt layup from 3 ft,,43,31
130,2,8:51.0,Offensive rebound by J. Johnson,,43,31
131,2,8:48.0,J. Johnson makes 2-pt jump shot from 4 ft,,45,31
132,2,8:28.0,,Turnover by R. Sessions (bad pass; steal by J. Johnson),45,31
133,2,8:20.0,B. Lopez makes 2-pt jump shot from 4 ft (assist by D. Morris),,47,31
134,2,8:20.0,Shooting foul by R. Sessions (drawn by B. Lopez),,47,31
135,2,8:20.0,Official timeout,,47,31
136,2,8:20.0,,R. Gay enters the game for D. Williams,47,31
137,2,8:20.0,B. Lopez misses free throw 1 of 1,,47,31
138,2,8:19.0,,Defensive rebound by D. Cousins,47,31
139,2,8:00.0,,D. Cousins misses 2-pt jump shot from 3 ft,47,31
140,2,7:59.0,Defensive rebound by M. Teletović,,47,31
141,2,7:43.0,D. Morris makes 2-pt layup from 4 ft,,49,31
142,2,7:20.0,,R. Sessions misses 2-pt jump shot from 6 ft (block by B. Lopez),49,31
143,2,7:19.0,Defensive rebound by M. Teletović,,49,31
144,2,7:15.0,D. Morris misses 2-pt layup from 2 ft,,49,31
145,2,7:13.0,Offensive rebound by J. Johnson,,49,31
146,2,7:13.0,J. Johnson misses 2-pt tip-in at rim,,49,31
147,2,7:12.0,,Defensive rebound by R. Gay,49,31
148,2,7:05.0,,O. Casspi makes 2-pt layup from 3 ft (assist by R. Gay),49,33
149,2,6:45.0,J. Johnson makes 2-pt jump shot from 4 ft (assist by B. Lopez),,51,33
150,2,6:29.0,,D. Cousins misses 2-pt jump shot from 21 ft,51,33
151,2,6:28.0,Defensive rebound by A. Anderson,,51,33
152,2,6:18.0,A. Anderson makes 2-pt dunk at rim (assist by J. Johnson),,53,33
153,2,6:17.0,,Sacramento full timeout,53,33
154,2,6:17.0,,D. Collison enters the game for R. Sessions,53,33
155,2,6:05.0,,Turnover by D. Cousins (bad pass),53,33
156,2,5:50.0,D. Morris misses 3-pt jump shot from 22 ft,,53,33
157,2,5:48.0,Offensive rebound by M. Teletović,,53,33
158,2,5:48.0,M. Teletović misses 2-pt tip-in from 3 ft,,53,33
159,2,5:47.0,,Defensive rebound by R. Gay,53,33
160,2,5:35.0,,R. Gay misses 2-pt jump shot from 7 ft,53,33
161,2,5:35.0,Defensive rebound by M. Teletović,,53,33
162,2,5:26.0,A. Anderson makes 2-pt jump shot from 6 ft,,55,33
163,2,5:07.0,,D. Collison makes 2-pt layup from 2 ft,55,35
164,2,4:47.0,B. Lopez misses 2-pt jump shot from 10 ft,,55,35
165,2,4:47.0,Offensive rebound by D. Morris,,55,35
166,2,4:45.0,,R. Evans enters the game for D. Cousins,55,35
167,2,4:40.0,B. Lopez misses 2-pt layup from 2 ft,,55,35
168,2,4:39.0,Offensive rebound by J. Johnson,,55,35
169,2,4:39.0,J. Johnson makes 2-pt tip-in from 1 ft,,57,35
170,2,4:20.0,,O. Casspi misses 2-pt jump shot from 12 ft,57,35
171,2,4:18.0,,Offensive rebound by O. Casspi,57,35
172,2,4:18.0,,O. Casspi makes 2-pt layup from 2 ft,57,37
173,2,3:57.0,A. Anderson makes 3-pt jump shot from 23 ft (assist by M. Teletović),,60,37
174,2,3:54.0,,Shooting foul by J. Johnson (drawn by B. McLemore),60,37
175,2,3:54.0,,B. McLemore makes free throw 1 of 2,60,38
176,2,3:54.0,J. Jack enters the game for D. Morris,,60,38
177,2,3:54.0,,B. McLemore misses free throw 2 of 2,60,38
178,2,3:52.0,Defensive rebound by J. Jack,,60,38
179,2,3:42.0,A. Anderson misses 3-pt jump shot from 24 ft,,60,38
180,2,3:41.0,,Defensive rebound by O. Casspi,60,38
181,2,3:35.0,,D. Collison makes 2-pt jump shot from 12 ft (assist by O. Casspi),60,40
182,2,3:26.0,Brooklyn full timeout,,60,40
183,2,3:26.0,Turnover by J. Jack (offensive foul),,60,40
184,2,3:26.0,,O. Casspi misses flagrant free throw 1 of 2,60,40
185,2,3:26.0,,Offensive rebound by Team,60,40
186,2,3:26.0,,O. Casspi misses flagrant free throw 2 of 2,60,40
187,2,3:26.0,,Offensive rebound by Team,60,40
188,2,3:26.0,B. Bogdanović enters the game for A. Anderson,,60,40
189,2,3:11.0,,Shooting foul by J. Johnson (drawn by R. Gay),60,40
190,2,3:11.0,,R. Gay makes free throw 1 of 2,60,41
191,2,3:11.0,,R. Gay makes free throw 2 of 2,60,42
192,2,2:50.0,J. Johnson misses 2-pt jump shot from 8 ft,,60,42
193,2,2:49.0,,Defensive rebound by R. Evans,60,42
194,2,2:48.0,,Turnover by R. Evans (bad pass),60,42
195,2,2:41.0,B. Lopez makes 2-pt jump shot from 15 ft (assist by J. Jack),,62,42
196,2,2:26.0,,D. Collison misses 3-pt jump shot from 23 ft,62,42
197,2,2:25.0,Defensive rebound by B. Bogdanović,,62,42
198,2,2:10.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,62,42
199,2,2:09.0,,Defensive rebound by Team,62,42
200,2,2:09.0,A. Anderson enters the game for J. Johnson,,62,42
201,2,1:55.0,,Turnover by D. Collison (bad pass),62,42
202,2,1:55.0,,D. Cousins enters the game for R. Evans,62,42
203,2,1:47.0,Turnover by M. Teletović (lost ball),,62,42
204,2,1:33.0,,D. Cousins misses 2-pt jump shot from 3 ft (block by B. Lopez),62,42
205,2,1:31.0,Defensive rebound by M. Teletović,,62,42
206,2,1:16.0,B. Bogdanović misses 2-pt jump shot from 16 ft,,62,42
207,2,1:15.0,,Defensive rebound by R. Gay,62,42
208,2,1:05.0,,O. Casspi makes 2-pt dunk at rim (assist by R. Gay),62,44
209,2,0:52.0,Turnover by J. Jack (bad pass; steal by D. Collison),,62,44
210,2,0:49.0,,O. Casspi makes 2-pt dunk at rim (assist by D. Collison),62,46
211,2,0:27.0,J. Jack misses 2-pt jump shot from 7 ft,,62,46
212,2,0:26.0,,Defensive rebound by O. Casspi,62,46
213,2,0:04.0,,R. Gay misses 3-pt jump shot from 25 ft,62,46
214,2,0:03.0,Defensive rebound by B. Lopez,,62,46
215,2,0:00.0,J. Jack misses 3-pt jump shot from 39 ft,,62,46
216,2,0:00.0,Offensive rebound by Team,,62,46
217,3,11:48.0,,Personal foul by B. Bogdanović (drawn by R. Gay),62,46
218,3,11:36.0,,B. McLemore misses 2-pt jump shot from 11 ft,62,46
219,3,11:35.0,Defensive rebound by K. Garnett,,62,46
220,3,11:18.0,Shooting foul by J. Thompson (drawn by M. Plumlee),,62,46
221,3,11:18.0,M. Plumlee makes 2-pt layup from 1 ft (assist by J. Jack),,64,46
222,3,11:18.0,M. Plumlee misses free throw 1 of 1,,64,46
223,3,11:18.0,,Defensive rebound by B. McLemore,64,46
224,3,10:56.0,,R. Gay makes 2-pt jump shot from 15 ft,64,48
225,3,10:34.0,K. Garnett misses 2-pt jump shot from 20 ft,,64,48
226,3,10:34.0,,Defensive rebound by D. Cousins,64,48
227,3,10:25.0,,Personal block foul by M. Plumlee (drawn by D. Cousins),64,48
228,3,10:15.0,,J. Thompson makes 2-pt jump shot from 15 ft (assist by R. Gay),64,50
229,3,9:55.0,J. Johnson misses 3-pt jump shot from 24 ft,,64,50
230,3,9:54.0,,Defensive rebound by Team,64,50
231,3,9:41.0,,B. McLemore misses 3-pt jump shot from 24 ft,64,50
232,3,9:40.0,Defensive rebound by Team,,64,50
233,3,9:21.0,,Offensive charge foul by M. Plumlee (drawn by D. Cousins),64,50
234,3,9:21.0,Turnover by M. Plumlee (offensive foul),,64,50
235,3,9:21.0,B. Lopez enters the game for M. Plumlee,,64,50
236,3,9:09.0,,D. Cousins makes 2-pt jump shot from 17 ft (assist by D. Collison),64,52
237,3,8:54.0,J. Jack makes 2-pt jump shot from 19 ft,,66,52
238,3,8:33.0,,R. Gay makes 2-pt jump shot from 6 ft (assist by D. Cousins),66,54
239,3,8:21.0,J. Jack makes 2-pt jump shot from 18 ft,,68,54
240,3,8:01.0,,D. Cousins makes 2-pt jump shot from 14 ft,68,56
241,3,7:51.0,Personal foul by D. Collison (drawn by J. Jack),,68,56
242,3,7:35.0,K. Garnett makes 2-pt jump shot from 22 ft (assist by J. Jack),,70,56
243,3,7:16.0,,B. McLemore misses 2-pt jump shot from 8 ft,70,56
244,3,7:16.0,Defensive rebound by K. Garnett,,70,56
245,3,7:08.0,J. Johnson misses 2-pt jump shot from 17 ft,,70,56
246,3,7:08.0,,Defensive rebound by D. Cousins,70,56
247,3,6:50.0,,D. Cousins misses 2-pt jump shot from 7 ft,70,56
248,3,6:49.0,Defensive rebound by K. Garnett,,70,56
249,3,6:35.0,Turnover by B. Bogdanović (traveling),,70,56
250,3,6:19.0,,D. Collison misses 2-pt jump shot from 7 ft,70,56
251,3,6:18.0,,Offensive rebound by D. Cousins,70,56
252,3,6:14.0,,D. Collison makes 2-pt jump shot from 13 ft (assist by D. Cousins),70,58
253,3,5:56.0,Turnover by B. Bogdanović (bad pass; steal by R. Gay),,70,58
254,3,5:52.0,,B. McLemore makes 2-pt layup from 1 ft (assist by R. Gay),70,60
255,3,5:52.0,Brooklyn full timeout,,70,60
256,3,5:37.0,B. Lopez misses 2-pt jump shot from 19 ft,,70,60
257,3,5:36.0,,Defensive rebound by J. Thompson,70,60
258,3,5:25.0,,D. Collison misses 3-pt jump shot from 25 ft,70,60
259,3,5:24.0,Defensive rebound by J. Jack,,70,60
260,3,5:17.0,B. Lopez makes 2-pt jump shot from 6 ft (assist by J. Jack),,72,60
261,3,5:17.0,Shooting foul by D. Cousins (drawn by B. Lopez),,72,60
262,3,5:17.0,B. Lopez makes free throw 1 of 1,,73,60
263,3,4:58.0,,B. McLemore makes 3-pt jump shot from 23 ft (assist by D. Collison),73,63
264,3,4:41.0,J. Johnson makes 2-pt jump shot from 6 ft (assist by B. Lopez),,75,63
265,3,4:23.0,,B. McLemore misses 3-pt jump shot from 25 ft,75,63
266,3,4:23.0,Defensive rebound by J. Jack,,75,63
267,3,4:14.0,Shooting foul by D. Collison (drawn by J. Jack),,75,63
268,3,4:14.0,J. Jack makes free throw 1 of 2,,76,63
269,3,4:14.0,A. Anderson enters the game for B. Bogdanović,,76,63
270,3,4:14.0,J. Jack makes free throw 2 of 2,,77,63
271,3,4:03.0,,R. Gay misses 2-pt jump shot from 18 ft,77,63
272,3,4:02.0,Defensive rebound by K. Garnett,,77,63
273,3,3:51.0,Shooting foul by J. Thompson (drawn by B. Lopez),,77,63
274,3,3:51.0,B. Lopez makes free throw 1 of 2,,78,63
275,3,3:51.0,B. Lopez makes free throw 2 of 2,,79,63
276,3,3:40.0,,Personal foul by K. Garnett (drawn by D. Cousins),79,63
277,3,3:27.0,,Turnover by J. Thompson (lost ball),79,63
278,3,3:27.0,M. Teletović enters the game for K. Garnett,,79,63
279,3,3:16.0,,D. Williams enters the game for J. Thompson,79,63
280,3,3:04.0,M. Teletović misses 3-pt jump shot from 25 ft,,79,63
281,3,3:02.0,,Defensive rebound by B. McLemore,79,63
282,3,2:46.0,,D. Cousins makes 2-pt layup from 2 ft,79,65
283,3,2:29.0,Shooting foul by D. Collison (drawn by B. Lopez),,79,65
284,3,2:29.0,,Sacramento full timeout,79,65
285,3,2:29.0,,R. Sessions enters the game for R. Gay,79,65
286,3,2:29.0,,O. Casspi enters the game for D. Collison,79,65
287,3,2:29.0,B. Lopez makes free throw 1 of 2,,80,65
288,3,2:29.0,D. Morris enters the game for J. Johnson,,80,65
289,3,2:29.0,B. Bogdanović enters the game for J. Jack,,80,65
290,3,2:29.0,B. Lopez makes free throw 2 of 2,,81,65
291,3,2:13.0,,D. Cousins makes 2-pt hook shot from 9 ft (assist by R. Sessions),81,67
292,3,1:56.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,81,67
293,3,1:55.0,,Defensive rebound by D. Williams,81,67
294,3,1:51.0,,D. Williams makes 2-pt dunk at rim (assist by B. McLemore),81,69
295,3,1:31.0,Turnover by B. Lopez (lost ball; steal by D. Cousins),,81,69
296,3,1:30.0,,Turnover by O. Casspi (lost ball),81,69
297,3,1:12.0,M. Teletović misses 2-pt jump shot from 21 ft,,81,69
298,3,1:12.0,,Defensive rebound by R. Sessions,81,69
299,3,1:05.0,,Personal foul by B. Bogdanović (drawn by R. Sessions),81,69
300,3,0:50.0,,O. Casspi misses 2-pt jump shot from 5 ft,81,69
301,3,0:49.0,Defensive rebound by B. Bogdanović,,81,69
302,3,0:36.0,B. Lopez misses 2-pt jump shot from 19 ft,,81,69
303,3,0:35.0,,Defensive rebound by O. Casspi,81,69
304,3,0:14.0,,R. Sessions misses 2-pt jump shot from 20 ft,81,69
305,3,0:13.0,Defensive rebound by D. Morris,,81,69
306,3,0:02.0,Shooting block foul by D. Cousins (drawn by D. Morris),,81,69
307,3,0:02.0,D. Morris misses free throw 1 of 2,,81,69
308,3,0:02.0,Offensive rebound by Team,,81,69
309,3,0:02.0,J. Jordan enters the game for B. Lopez,,81,69
310,3,0:02.0,D. Morris makes free throw 2 of 2,,82,69
311,3,0:00.0,,B. McLemore misses 3-pt jump shot from 59 ft,82,69
312,3,0:00.0,,Offensive rebound by Team,82,69
313,4,11:37.0,J. Jordan misses 2-pt jump shot from 6 ft (block by R. Gay),,82,69
314,4,11:34.0,,Defensive rebound by R. Gay,82,69
315,4,11:31.0,,Turnover by O. Casspi (lost ball; steal by B. Bogdanović),82,69
316,4,11:13.0,A. Anderson misses 3-pt jump shot from 24 ft,,82,69
317,4,11:13.0,Offensive rebound by J. Jordan,,82,69
318,4,11:12.0,Shooting foul by O. Casspi (drawn by A. Anderson),,82,69
319,4,11:12.0,A. Anderson makes free throw 1 of 2,,83,69
320,4,11:12.0,J. Johnson enters the game for B. Bogdanović,,83,69
321,4,11:12.0,A. Anderson makes free throw 2 of 2,,84,69
322,4,11:00.0,,Personal block foul by A. Anderson (drawn by R. Sessions),84,69
323,4,10:47.0,,D. Williams misses 2-pt jump shot from 19 ft,84,69
324,4,10:43.0,Defensive rebound by A. Anderson,,84,69
325,4,10:33.0,D. Morris makes 2-pt layup from 3 ft,,86,69
326,4,10:25.0,,Sacramento full timeout,86,69
327,4,10:25.0,,D. Collison enters the game for J. Thompson,86,69
328,4,10:25.0,,D. Cousins enters the game for D. Williams,86,69
329,4,10:15.0,,Personal foul by J. Jordan (drawn by D. Cousins),86,69
330,4,10:15.0,J. Jack enters the game for M. Teletović,,86,69
331,4,10:04.0,,R. Gay misses 2-pt jump shot from 10 ft,86,69
332,4,10:03.0,,Offensive rebound by D. Cousins,86,69
333,4,10:01.0,,D. Cousins makes 2-pt hook shot from 3 ft,86,71
