,QUARTER,TIME_REMAINING,UTAH_ACTION,NEW ORLEANS_ACTION,UTAH_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,,Shooting foul by R. Gobert (drawn by Ö. Aşık),0,0
1,1,11:40.0,,Ö. Aşık makes free throw 1 of 2,0,1
2,1,11:40.0,,Ö. Aşık makes free throw 2 of 2,0,2
3,1,11:22.0,T. Burke makes 3-pt jump shot from 24 ft (assist by A. Burks),,3,2
4,1,11:09.0,,A. Davis makes 2-pt jump shot from 19 ft (assist by J. Holiday),3,4
5,1,10:53.0,T. Burke makes 2-pt layup from 1 ft,,5,4
6,1,10:43.0,,Turnover by Ö. Aşık (lost ball; steal by A. Burks),5,4
7,1,10:38.0,T. Burke makes 2-pt layup from 2 ft (assist by A. Burks),,7,4
8,1,10:29.0,,L. Babbitt misses 3-pt jump shot from 22 ft,7,4
9,1,10:28.0,Defensive rebound by T. Burke,,7,4
10,1,10:16.0,G. Hayward misses 2-pt jump shot from 17 ft,,7,4
11,1,10:15.0,,Defensive rebound by A. Davis,7,4
12,1,10:08.0,,Turnover by T. Evans (bad pass),7,4
13,1,9:59.0,Personal foul by L. Babbitt (drawn by G. Hayward),,7,4
14,1,9:50.0,Turnover by T. Burke (lost ball; steal by J. Holiday),,7,4
15,1,9:45.0,,Turnover by L. Babbitt (lost ball; steal by A. Burks),7,4
16,1,9:38.0,R. Gobert misses 2-pt jump shot from 5 ft (block by Ö. Aşık),,7,4
17,1,9:36.0,,Defensive rebound by T. Evans,7,4
18,1,9:31.0,,T. Evans makes 2-pt layup from 1 ft,7,6
19,1,9:12.0,A. Burks makes 2-pt layup from 2 ft (assist by E. Freedom),,9,6
20,1,9:06.0,,Turnover by T. Evans (step out of bounds),9,6
21,1,8:50.0,Turnover by T. Burke (lost ball; steal by Ö. Aşık),,9,6
22,1,8:44.0,,L. Babbitt misses 3-pt jump shot from 25 ft,9,6
23,1,8:43.0,Defensive rebound by A. Burks,,9,6
24,1,8:36.0,Personal foul by L. Babbitt (drawn by G. Hayward),,9,6
25,1,8:36.0,,D. Cunningham enters the game for L. Babbitt,9,6
26,1,8:29.0,T. Burke makes 2-pt jump shot from 19 ft (assist by R. Gobert),,11,6
27,1,8:17.0,,J. Holiday misses 2-pt jump shot from 11 ft (block by R. Gobert),11,6
28,1,8:15.0,,Offensive rebound by D. Cunningham,11,6
29,1,8:11.0,,Turnover by Ö. Aşık (traveling),11,6
30,1,7:55.0,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),,13,6
31,1,7:54.0,,New Orleans full timeout,13,6
32,1,7:45.0,,Turnover by J. Holiday (bad pass),13,6
33,1,7:24.0,E. Freedom misses 2-pt jump shot from 17 ft,,13,6
34,1,7:23.0,,Defensive rebound by Ö. Aşık,13,6
