,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DENVER_ACTION,SACRAMENTO_SCORE,DENVER_SCORE
0,1,11:40.0,Turnover by J. Thompson (bad pass),,0,0
1,1,11:23.0,,K. Faried makes 2-pt layup from 1 ft (assist by R. Foye),0,2
2,1,11:03.0,B. McLemore makes 2-pt layup from 2 ft (assist by J. Thompson),,2,2
3,1,10:37.0,,R. Foye misses 3-pt jump shot from 27 ft,2,2
4,1,10:35.0,,Offensive rebound by K. Faried,2,2
5,1,10:34.0,,K. Faried makes 2-pt layup at rim,2,4
6,1,10:14.0,D. Williams misses 2-pt jump shot from 17 ft,,2,4
7,1,10:13.0,,Defensive rebound by K. Faried,2,4
8,1,10:02.0,,K. Faried makes 2-pt layup from 1 ft (assist by T. Lawson),2,6
9,1,9:52.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by O. Casspi),,5,6
10,1,9:44.0,,Shooting foul by R. McCallum (drawn by T. Lawson),5,6
11,1,9:44.0,,T. Lawson makes free throw 1 of 2,5,7
12,1,9:44.0,,T. Lawson misses free throw 2 of 2,5,7
13,1,9:44.0,Defensive rebound by J. Thompson,,5,7
14,1,9:31.0,Turnover by O. Casspi (bad pass; steal by R. Foye),,5,7
15,1,9:27.0,,Shooting foul by B. McLemore (drawn by R. Foye),5,7
16,1,9:27.0,,R. Foye misses free throw 1 of 2,5,7
17,1,9:27.0,,Offensive rebound by Team,5,7
18,1,9:27.0,,R. Foye makes free throw 2 of 2,5,8
19,1,9:17.0,J. Thompson misses 2-pt jump shot from 5 ft,,5,8
20,1,9:16.0,,Defensive rebound by W. Chandler,5,8
21,1,9:13.0,,Personal block foul by J. Thompson (drawn by K. Faried),5,8
22,1,9:00.0,,W. Chandler misses 2-pt jump shot from 7 ft,5,8
23,1,8:59.0,Defensive rebound by B. McLemore,,5,8
24,1,8:53.0,O. Casspi makes 2-pt hook shot from 2 ft (assist by B. McLemore),,7,8
25,1,8:42.0,,R. Foye makes 3-pt jump shot from 23 ft (assist by T. Lawson),7,11
26,1,8:25.0,Shooting foul by K. Faried (drawn by D. Williams),,7,11
27,1,8:25.0,D. Williams makes free throw 1 of 2,,8,11
28,1,8:25.0,C. Landry enters the game for J. Thompson,,8,11
29,1,8:25.0,D. Williams makes free throw 2 of 2,,9,11
30,1,8:10.0,,D. Gallinari makes 2-pt jump shot from 21 ft (assist by T. Lawson),9,13
31,1,7:53.0,B. McLemore misses 2-pt jump shot from 18 ft,,9,13
32,1,7:51.0,,Defensive rebound by W. Chandler,9,13
33,1,7:45.0,,K. Faried makes 2-pt layup at rim (assist by W. Chandler),9,15
34,1,7:33.0,D. Williams misses 3-pt jump shot from 25 ft,,9,15
35,1,7:32.0,,Defensive rebound by K. Faried,9,15
36,1,7:22.0,,T. Lawson makes 2-pt jump shot from 8 ft,9,17
37,1,6:59.0,D. Williams makes 2-pt layup from 2 ft (assist by R. McCallum),,11,17
38,1,6:45.0,,Turnover by R. Foye (bad pass; steal by C. Landry),11,17
39,1,6:40.0,R. McCallum misses 2-pt layup from 1 ft,,11,17
40,1,6:39.0,,Defensive rebound by W. Chandler,11,17
41,1,6:34.0,,T. Lawson makes 2-pt layup at rim (assist by W. Chandler),11,19
42,1,6:31.0,Sacramento full timeout,,11,19
43,1,6:31.0,R. Hollins enters the game for D. Williams,,11,19
44,1,6:19.0,B. McLemore misses 2-pt layup from 1 ft,,11,19
45,1,6:18.0,Offensive rebound by R. McCallum,,11,19
46,1,6:17.0,Personal foul by D. Gallinari (drawn by O. Casspi),,11,19
47,1,6:06.0,B. McLemore makes 3-pt jump shot from 24 ft (assist by O. Casspi),,14,19
48,1,5:47.0,,R. Foye makes 3-pt jump shot from 25 ft (assist by T. Lawson),14,22
49,1,5:36.0,Turnover by B. McLemore (bad pass; steal by K. Faried),,14,22
50,1,5:31.0,,K. Faried makes 2-pt layup from 2 ft,14,24
