,QUARTER,TIME_REMAINING,TORONTO_ACTION,UTAH_ACTION,TORONTO_SCORE,UTAH_SCORE
0,1,11:47.0,Shooting foul by D. Favors (drawn by J. Valančiūnas),,0,0
1,1,11:47.0,J. Valančiūnas makes free throw 1 of 2,,1,0
2,1,11:47.0,J. Valančiūnas misses free throw 2 of 2,,1,0
3,1,11:45.0,Offensive rebound by T. Ross,,1,0
4,1,11:30.0,J. Valančiūnas misses 2-pt hook shot from 5 ft,,1,0
5,1,11:28.0,,Defensive rebound by D. Favors,1,0
6,1,11:16.0,,T. Burke misses 2-pt jump shot from 21 ft,1,0
7,1,11:15.0,Defensive rebound by J. Valančiūnas,,1,0
8,1,11:08.0,A. Johnson makes 2-pt layup from 1 ft (assist by K. Lowry),,3,0
9,1,10:56.0,,E. Freedom misses 2-pt jump shot from 14 ft (block by J. Valančiūnas),3,0
10,1,10:55.0,Defensive rebound by K. Lowry,,3,0
11,1,10:47.0,K. Lowry makes 2-pt jump shot from 12 ft,,5,0
12,1,10:26.0,,E. Freedom misses 2-pt layup from 2 ft,5,0
13,1,10:26.0,Defensive rebound by Team,,5,0
14,1,10:13.0,G. Vásquez misses 2-pt jump shot from 20 ft,,5,0
15,1,10:11.0,,Defensive rebound by D. Favors,5,0
16,1,9:52.0,,E. Freedom makes 2-pt layup at rim,5,2
17,1,9:37.0,T. Ross misses 2-pt jump shot from 17 ft,,5,2
18,1,9:33.0,,Defensive rebound by D. Favors,5,2
19,1,9:23.0,,R. Hood misses 3-pt jump shot from 24 ft,5,2
20,1,9:22.0,Defensive rebound by T. Ross,,5,2
21,1,9:13.0,J. Valančiūnas misses 2-pt jump shot from 3 ft,,5,2
22,1,9:12.0,,Defensive rebound by D. Favors,5,2
23,1,9:06.0,,R. Hood makes 2-pt layup from 1 ft,5,4
24,1,8:52.0,K. Lowry misses 2-pt jump shot from 15 ft,,5,4
25,1,8:51.0,,Defensive rebound by E. Freedom,5,4
26,1,8:45.0,,T. Burke makes 2-pt layup from 2 ft,5,6
27,1,8:27.0,Turnover by T. Ross (lost ball; steal by R. Hood),,5,6
28,1,8:13.0,,G. Hayward misses 2-pt jump shot from 19 ft,5,6
29,1,8:12.0,Defensive rebound by A. Johnson,,5,6
30,1,8:03.0,A. Johnson misses 2-pt jump shot from 7 ft,,5,6
31,1,8:01.0,Offensive rebound by T. Ross,,5,6
32,1,7:57.0,T. Ross makes 2-pt jump shot from 18 ft,,7,6
33,1,7:42.0,,D. Favors misses 2-pt jump shot from 16 ft,7,6
34,1,7:40.0,,Offensive rebound by E. Freedom,7,6
35,1,7:40.0,,E. Freedom misses 2-pt tip-in from 2 ft,7,6
36,1,7:38.0,Defensive rebound by J. Valančiūnas,,7,6
37,1,7:31.0,A. Johnson misses 3-pt jump shot from 24 ft,,7,6
38,1,7:29.0,,Defensive rebound by E. Freedom,7,6
39,1,7:16.0,,D. Favors makes 2-pt layup from 1 ft (assist by R. Hood),7,8
40,1,6:51.0,G. Vásquez makes 2-pt jump shot from 6 ft,,9,8
41,1,6:36.0,,T. Burke misses 3-pt jump shot from 24 ft,9,8
42,1,6:34.0,,Offensive rebound by Team,9,8
43,1,6:34.0,,I. Clark enters the game for R. Hood,9,8
44,1,6:34.0,L. Williams enters the game for G. Vásquez,,9,8
45,1,6:34.0,P. Patterson enters the game for A. Johnson,,9,8
46,1,6:22.0,,E. Freedom makes 2-pt layup from 2 ft (assist by D. Favors),9,10
47,1,6:05.0,K. Lowry makes 2-pt jump shot from 18 ft,,11,10
48,1,5:57.0,,Utah full timeout,11,10
49,1,5:57.0,J. Johnson enters the game for T. Ross,,11,10
50,1,5:49.0,,D. Favors makes 2-pt jump shot from 12 ft (assist by T. Burke),11,12
51,1,5:31.0,Turnover by L. Williams (lost ball; steal by E. Freedom),,11,12
52,1,5:25.0,,E. Freedom makes 2-pt layup at rim (assist by I. Clark),11,14
53,1,5:07.0,P. Patterson makes 3-pt jump shot from 24 ft (assist by K. Lowry),,14,14
54,1,4:47.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by G. Hayward),14,17
55,1,4:29.0,J. Valančiūnas misses 2-pt hook shot from 4 ft,,14,17
56,1,4:29.0,,Defensive rebound by Team,14,17
57,1,4:29.0,T. Hansbrough enters the game for J. Valančiūnas,,14,17
58,1,4:29.0,,T. Booker enters the game for D. Favors,14,17
59,1,4:20.0,,G. Hayward misses 2-pt jump shot from 20 ft,14,17
60,1,4:18.0,Defensive rebound by T. Hansbrough,,14,17
61,1,4:09.0,P. Patterson makes 2-pt hook shot at rim,,16,17
62,1,3:51.0,,G. Hayward misses 2-pt jump shot from 22 ft,16,17
63,1,3:49.0,Defensive rebound by L. Williams,,16,17
64,1,3:45.0,Personal foul by I. Clark (drawn by L. Williams),,16,17
65,1,3:45.0,,R. Hood enters the game for I. Clark,16,17
66,1,3:45.0,,J. Ingles enters the game for G. Hayward,16,17
67,1,3:35.0,J. Johnson makes 2-pt jump shot from 2 ft,,18,17
68,1,3:21.0,,E. Freedom makes 2-pt layup from 1 ft,18,19
69,1,3:21.0,,Shooting foul by J. Johnson (drawn by E. Freedom),18,19
70,1,3:21.0,,E. Freedom makes free throw 1 of 1,18,20
71,1,3:08.0,Shooting foul by R. Hood (drawn by L. Williams),,18,20
72,1,3:08.0,L. Williams makes free throw 1 of 2,,19,20
73,1,3:08.0,L. Williams makes free throw 2 of 2,,20,20
74,1,2:52.0,,Personal foul by J. Johnson (drawn by J. Ingles),20,20
75,1,2:52.0,Toronto full timeout,,20,20
76,1,2:52.0,T. Ross enters the game for J. Johnson,,20,20
77,1,2:52.0,G. Vásquez enters the game for K. Lowry,,20,20
78,1,2:41.0,,Turnover by J. Ingles (lost ball; steal by L. Williams),20,20
79,1,2:35.0,G. Vásquez makes 2-pt jump shot from 4 ft,,22,20
80,1,2:18.0,,E. Freedom misses 2-pt jump shot from 17 ft,22,20
81,1,2:17.0,Defensive rebound by L. Williams,,22,20
82,1,2:07.0,L. Williams misses 2-pt jump shot from 16 ft,,22,20
83,1,2:06.0,,Defensive rebound by E. Freedom,22,20
84,1,1:55.0,,E. Freedom makes 2-pt dunk at rim (assist by T. Burke),22,22
85,1,1:36.0,L. Williams makes 2-pt layup from 2 ft,,24,22
86,1,1:23.0,,R. Hood misses 3-pt jump shot from 23 ft,24,22
87,1,1:21.0,Defensive rebound by T. Hansbrough,,24,22
88,1,1:17.0,G. Vásquez makes 2-pt jump shot from 6 ft,,26,22
