,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BROOKLYN_ACTION,MINNESOTA_SCORE,BROOKLYN_SCORE
0,1,11:43.0,Turnover by T. Young (lost ball),,0,0
1,1,11:25.0,,Turnover by D. Williams (lost ball; steal by R. Rubio),0,0
2,1,11:19.0,A. Wiggins misses 2-pt layup from 3 ft,,0,0
3,1,11:18.0,Offensive rebound by T. Young,,0,0
4,1,11:17.0,T. Young makes 2-pt tip-in from 2 ft,,2,0
5,1,11:04.0,,Turnover by B. Lopez (lost ball; steal by R. Rubio),2,0
6,1,11:01.0,Shooting foul by K. Garnett (drawn by N. Peković),,2,0
7,1,11:01.0,N. Peković makes free throw 1 of 2,,3,0
8,1,11:01.0,N. Peković makes free throw 2 of 2,,4,0
9,1,10:41.0,,K. Garnett misses 2-pt jump shot from 16 ft,4,0
10,1,10:40.0,Defensive rebound by K. Martin,,4,0
11,1,10:30.0,K. Martin misses 3-pt jump shot from 24 ft,,4,0
12,1,10:29.0,,Defensive rebound by K. Garnett,4,0
13,1,10:26.0,,Personal foul by K. Martin (drawn by B. Bogdanović),4,0
14,1,10:19.0,,K. Garnett misses 2-pt jump shot from 16 ft,4,0
15,1,10:18.0,Defensive rebound by N. Peković,,4,0
16,1,10:04.0,N. Peković misses 2-pt jump shot from 5 ft,,4,0
17,1,10:02.0,,Defensive rebound by K. Garnett,4,0
18,1,9:54.0,,B. Lopez makes 2-pt layup from 2 ft (assist by D. Williams),4,2
19,1,9:36.0,A. Wiggins makes 2-pt jump shot from 19 ft,,6,2
20,1,9:23.0,,J. Johnson misses 2-pt jump shot from 7 ft,6,2
21,1,9:22.0,,Offensive rebound by B. Lopez,6,2
22,1,9:21.0,,B. Lopez misses 2-pt jump shot from 4 ft,6,2
23,1,9:20.0,,Offensive rebound by Team,6,2
24,1,9:19.0,,Personal foul by A. Wiggins (drawn by J. Johnson),6,2
25,1,9:04.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,6,2
26,1,9:02.0,Defensive rebound by T. Young,,6,2
27,1,8:44.0,Turnover by R. Rubio (bad pass; steal by B. Lopez),,6,2
28,1,8:31.0,,B. Lopez misses 2-pt hook shot from 8 ft,6,2
29,1,8:29.0,Defensive rebound by K. Martin,,6,2
30,1,8:18.0,R. Rubio makes 2-pt jump shot from 19 ft (assist by N. Peković),,8,2
31,1,8:02.0,,J. Johnson misses 3-pt jump shot from 24 ft,8,2
32,1,8:01.0,Defensive rebound by R. Rubio,,8,2
33,1,7:54.0,R. Rubio misses 3-pt jump shot from 25 ft,,8,2
34,1,7:53.0,,Defensive rebound by J. Johnson,8,2
35,1,7:43.0,,Personal foul by T. Young (drawn by K. Garnett),8,2
36,1,7:36.0,,B. Lopez misses 2-pt hook shot from 6 ft,8,2
37,1,7:35.0,Defensive rebound by R. Rubio,,8,2
38,1,7:19.0,K. Martin makes 3-pt jump shot from 24 ft (assist by R. Rubio),,11,2
39,1,7:19.0,,Brooklyn full timeout,11,2
40,1,7:03.0,,B. Lopez misses 2-pt jump shot from 3 ft,11,2
41,1,7:02.0,Defensive rebound by N. Peković,,11,2
