,QUARTER,TIME_REMAINING,DETROIT_ACTION,TORONTO_ACTION,DETROIT_SCORE,TORONTO_SCORE
0,1,11:47.0,B. Jennings makes 2-pt jump shot from 7 ft,,2,0
1,1,11:28.0,,J. Valančiūnas misses 2-pt jump shot from 10 ft,2,0
2,1,11:27.0,Defensive rebound by G. Monroe,,2,0
3,1,11:21.0,K. Singler misses 2-pt jump shot from 17 ft,,2,0
4,1,11:20.0,,Defensive rebound by J. Valančiūnas,2,0
5,1,11:11.0,,A. Johnson misses 2-pt hook shot from 3 ft,2,0
6,1,11:10.0,,Offensive rebound by J. Valančiūnas,2,0
7,1,11:07.0,,J. Valančiūnas makes 2-pt layup from 2 ft,2,2
8,1,10:57.0,Turnover by B. Jennings (bad pass; steal by K. Lowry),,2,2
9,1,10:45.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by A. Johnson),2,4
10,1,10:37.0,Detroit full timeout,,2,4
11,1,10:29.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by B. Jennings),,4,4
12,1,10:14.0,,J. Valančiūnas makes 2-pt jump shot from 16 ft (assist by A. Johnson),4,6
13,1,9:57.0,Turnover by B. Jennings (bad pass; steal by A. Johnson),,4,6
14,1,9:50.0,,T. Ross misses 3-pt jump shot from 25 ft,4,6
15,1,9:49.0,Defensive rebound by K. Singler,,4,6
16,1,9:41.0,Personal foul by K. Lowry,,4,6
17,1,9:24.0,B. Jennings misses 2-pt layup from 1 ft,,4,6
18,1,9:23.0,,Defensive rebound by K. Lowry,4,6
19,1,9:16.0,,A. Johnson makes 2-pt layup from 1 ft (assist by J. Johnson),4,8
20,1,9:04.0,B. Jennings makes 2-pt jump shot from 6 ft,,6,8
21,1,8:56.0,,A. Johnson makes 2-pt layup from 1 ft (assist by K. Lowry),6,10
22,1,8:43.0,B. Jennings misses 2-pt jump shot at rim,,6,10
23,1,8:42.0,,Defensive rebound by J. Valančiūnas,6,10
24,1,8:36.0,,T. Ross makes 2-pt dunk at rim (assist by K. Lowry),6,12
25,1,8:19.0,B. Jennings makes 2-pt layup from 3 ft (assist by A. Drummond),,8,12
26,1,8:04.0,,Personal foul by A. Drummond (drawn by J. Valančiūnas),8,12
27,1,8:04.0,J. Meeks enters the game for K. Caldwell-Pope,,8,12
28,1,8:04.0,J. Jerebko enters the game for A. Drummond,,8,12
29,1,7:57.0,,A. Johnson makes 2-pt layup from 3 ft (assist by K. Lowry),8,14
30,1,7:41.0,Shooting foul by J. Valančiūnas (drawn by G. Monroe),,8,14
31,1,7:41.0,G. Monroe misses free throw 1 of 2,,8,14
32,1,7:41.0,Offensive rebound by Team,,8,14
33,1,7:41.0,G. Monroe misses free throw 2 of 2,,8,14
34,1,7:40.0,,Defensive rebound by J. Valančiūnas,8,14
35,1,7:19.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by K. Lowry),8,16
36,1,7:02.0,G. Monroe misses 2-pt layup from 1 ft,,8,16
37,1,7:00.0,Offensive rebound by G. Monroe,,8,16
38,1,6:59.0,G. Monroe makes 2-pt layup at rim,,10,16
39,1,6:48.0,,J. Valančiūnas makes 2-pt hook shot from 1 ft (assist by K. Lowry),10,18
40,1,6:31.0,G. Monroe makes 2-pt hook shot from 4 ft,,12,18
41,1,6:20.0,,T. Ross makes 2-pt dunk at rim (assist by K. Lowry),12,20
42,1,6:05.0,G. Monroe misses 2-pt jump shot from 3 ft (block by T. Ross),,12,20
43,1,6:03.0,,Defensive rebound by J. Valančiūnas,12,20
44,1,5:55.0,,J. Valančiūnas makes 2-pt hook shot from 7 ft (assist by K. Lowry),12,22
45,1,5:49.0,Detroit full timeout,,12,22
46,1,5:49.0,C. Butler enters the game for K. Singler,,12,22
47,1,5:49.0,J. Anthony enters the game for G. Monroe,,12,22
48,1,5:49.0,D. Augustin enters the game for B. Jennings,,12,22
49,1,5:42.0,J. Meeks misses 2-pt jump shot from 16 ft,,12,22
50,1,5:41.0,,Defensive rebound by A. Johnson,12,22
51,1,5:36.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),12,24
52,1,5:18.0,J. Meeks misses 2-pt jump shot from 19 ft,,12,24
53,1,5:17.0,,Defensive rebound by J. Johnson,12,24
54,1,5:12.0,,A. Johnson misses 2-pt layup from 1 ft,12,24
55,1,5:11.0,Defensive rebound by J. Anthony,,12,24
56,1,4:53.0,J. Anthony misses 2-pt hook shot from 6 ft,,12,24
57,1,4:53.0,,Defensive rebound by J. Valančiūnas,12,24
58,1,4:48.0,,Turnover by K. Lowry (bad pass; steal by J. Jerebko),12,24
59,1,4:43.0,C. Butler misses 3-pt jump shot from 25 ft,,12,24
60,1,4:42.0,Offensive rebound by J. Anthony,,12,24
61,1,4:37.0,J. Anthony makes 2-pt hook shot from 4 ft,,14,24
62,1,4:16.0,,Turnover by J. Valančiūnas (lost ball; steal by D. Augustin),14,24
63,1,4:09.0,Shooting block foul by T. Ross (drawn by D. Augustin),,14,24
64,1,4:09.0,D. Augustin makes free throw 1 of 2,,15,24
65,1,4:09.0,D. Augustin makes free throw 2 of 2,,16,24
66,1,4:06.0,,Toronto full timeout,16,24
67,1,4:06.0,,P. Patterson enters the game for J. Valančiūnas,16,24
68,1,3:59.0,,P. Patterson misses 3-pt jump shot from 26 ft,16,24
69,1,3:58.0,Defensive rebound by D. Augustin,,16,24
70,1,3:53.0,D. Augustin misses 2-pt jump shot from 5 ft (block by J. Johnson),,16,24
71,1,3:51.0,,Defensive rebound by K. Lowry,16,24
72,1,3:47.0,,K. Lowry misses 3-pt jump shot from 25 ft,16,24
73,1,3:46.0,Defensive rebound by J. Jerebko,,16,24
74,1,3:42.0,Turnover by D. Augustin (bad pass),,16,24
75,1,3:32.0,,T. Ross makes 3-pt jump shot from 23 ft (assist by K. Lowry),16,27
76,1,3:07.0,J. Jerebko makes 2-pt hook shot from 7 ft (assist by D. Augustin),,18,27
77,1,3:01.0,,P. Patterson misses 2-pt layup at rim,18,27
78,1,3:00.0,Defensive rebound by J. Jerebko,,18,27
79,1,2:54.0,Offensive foul by D. Augustin (drawn by K. Lowry),,18,27
80,1,2:54.0,Turnover by D. Augustin (offensive foul),,18,27
81,1,2:54.0,,L. Williams enters the game for J. Johnson,18,27
82,1,2:32.0,,L. Williams misses 2-pt jump shot from 13 ft (block by J. Anthony),18,27
83,1,2:30.0,Defensive rebound by J. Meeks,,18,27
84,1,2:24.0,D. Augustin misses 2-pt jump shot from 2 ft,,18,27
85,1,2:23.0,,Defensive rebound by A. Johnson,18,27
86,1,2:11.0,,Turnover by K. Lowry (bad pass; steal by C. Butler),18,27
87,1,2:06.0,J. Meeks makes 2-pt layup from 2 ft (assist by C. Butler),,20,27
88,1,1:45.0,,T. Ross makes 3-pt jump shot from 25 ft,20,30
89,1,1:26.0,J. Meeks misses 2-pt jump shot from 16 ft,,20,30
90,1,1:25.0,,Defensive rebound by A. Johnson,20,30
91,1,1:19.0,,Turnover by K. Lowry (bad pass; steal by J. Anthony),20,30
92,1,1:07.0,D. Augustin misses 2-pt jump shot from 6 ft,,20,30
93,1,1:06.0,,Defensive rebound by K. Lowry,20,30
94,1,0:54.0,,Turnover by L. Williams (bad pass),20,30
95,1,0:54.0,,G. Vásquez enters the game for K. Lowry,20,30
96,1,0:39.0,J. Meeks misses 3-pt jump shot from 25 ft,,20,30
97,1,0:38.0,,Defensive rebound by A. Johnson,20,30
98,1,0:31.0,,T. Ross misses 3-pt jump shot from 29 ft,20,30
99,1,0:30.0,Defensive rebound by J. Meeks,,20,30
100,1,0:06.0,J. Anthony misses 2-pt jump shot from 4 ft (block by A. Johnson),,20,30
101,1,0:04.0,,Defensive rebound by G. Vásquez,20,30
102,1,0:01.0,,L. Williams makes 2-pt layup from 2 ft (assist by G. Vásquez),20,32
103,2,11:49.0,,L. Williams misses 2-pt jump shot from 16 ft,20,32
104,2,11:48.0,Defensive rebound by A. Tolliver,,20,32
105,2,11:30.0,A. Drummond makes 2-pt dunk at rim (assist by D. Augustin),,22,32
106,2,11:15.0,Offensive charge foul by T. Hansbrough (drawn by A. Tolliver),,22,32
107,2,11:15.0,,Turnover by T. Hansbrough (offensive foul),22,32
108,2,11:04.0,A. Tolliver misses 3-pt jump shot from 26 ft,,22,32
109,2,11:03.0,Offensive rebound by Team,,22,32
110,2,10:42.0,K. Caldwell-Pope makes 2-pt jump shot from 16 ft,,24,32
111,2,10:24.0,,P. Patterson misses 3-pt jump shot from 25 ft,24,32
112,2,10:23.0,Defensive rebound by A. Drummond,,24,32
113,2,10:09.0,A. Drummond misses 2-pt hook shot from 13 ft,,24,32
114,2,10:09.0,,Defensive rebound by Team,24,32
115,2,10:09.0,Loose ball foul by A. Tolliver (drawn by P. Patterson),,24,32
116,2,9:56.0,,Shooting foul by C. Butler (drawn by J. Johnson),24,32
117,2,9:56.0,,J. Johnson makes free throw 1 of 2,24,33
118,2,9:56.0,,J. Johnson makes free throw 2 of 2,24,34
119,2,9:45.0,D. Augustin makes 2-pt layup from 4 ft,,26,34
120,2,9:35.0,,G. Vásquez makes 3-pt jump shot from 26 ft (assist by L. Williams),26,37
121,2,9:13.0,A. Tolliver misses 3-pt jump shot from 23 ft,,26,37
122,2,9:12.0,Offensive rebound by A. Drummond,,26,37
123,2,9:11.0,A. Drummond misses 2-pt layup from 2 ft,,26,37
124,2,9:10.0,Offensive rebound by A. Drummond,,26,37
125,2,9:09.0,A. Drummond misses 2-pt tip-in from 3 ft,,26,37
126,2,9:08.0,,Defensive rebound by Team,26,37
127,2,9:08.0,,J. Valančiūnas enters the game for T. Hansbrough,26,37
128,2,8:49.0,,L. Williams makes 2-pt jump shot from 13 ft,26,39
129,2,8:49.0,,Shooting foul by A. Tolliver (drawn by L. Williams),26,39
130,2,8:49.0,Official timeout,,26,39
131,2,8:49.0,G. Monroe enters the game for D. Augustin,,26,39
132,2,8:49.0,B. Jennings enters the game for C. Butler,,26,39
133,2,8:49.0,K. Singler enters the game for A. Tolliver,,26,39
134,2,8:49.0,,L. Williams misses free throw 1 of 1,26,39
135,2,8:47.0,Defensive rebound by A. Drummond,,26,39
136,2,8:35.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,,26,39
137,2,8:33.0,Offensive rebound by G. Monroe,,26,39
138,2,8:32.0,Shooting foul by P. Patterson (drawn by G. Monroe),,26,39
139,2,8:32.0,G. Monroe makes free throw 1 of 2,,27,39
140,2,8:32.0,G. Monroe makes free throw 2 of 2,,28,39
141,2,8:07.0,,L. Williams misses 3-pt jump shot from 31 ft,28,39
142,2,8:06.0,,Offensive rebound by J. Valančiūnas,28,39
143,2,8:04.0,,J. Valančiūnas makes 2-pt tip-in from 2 ft,28,41
144,2,7:54.0,,Violation by J. Johnson (kicked ball),28,41
145,2,7:42.0,Shooting foul by J. Valančiūnas (drawn by A. Drummond),,28,41
146,2,7:42.0,A. Drummond makes free throw 1 of 2,,29,41
147,2,7:42.0,A. Drummond makes free throw 2 of 2,,30,41
148,2,7:30.0,,P. Patterson misses 3-pt jump shot from 23 ft,30,41
149,2,7:29.0,,Offensive rebound by J. Valančiūnas,30,41
150,2,7:15.0,,G. Vásquez makes 2-pt jump shot from 13 ft,30,43
151,2,7:07.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,30,43
152,2,7:06.0,Offensive rebound by Team,,30,43
153,2,7:04.0,,A. Johnson enters the game for P. Patterson,30,43
154,2,7:01.0,B. Jennings makes 3-pt jump shot from 23 ft (assist by K. Singler),,33,43
155,2,6:43.0,,A. Johnson makes 2-pt layup from 1 ft (assist by L. Williams),33,45
156,2,6:28.0,B. Jennings misses 3-pt jump shot from 26 ft,,33,45
157,2,6:27.0,,Defensive rebound by J. Valančiūnas,33,45
158,2,6:07.0,,J. Johnson makes 2-pt layup from 2 ft (assist by A. Johnson),33,47
159,2,5:46.0,G. Monroe makes 2-pt layup from 2 ft (assist by B. Jennings),,35,47
160,2,5:35.0,,Turnover by L. Williams (bad pass; steal by A. Drummond),35,47
161,2,5:30.0,,Offensive charge foul by K. Singler (drawn by A. Johnson),35,47
162,2,5:30.0,Turnover by K. Singler (offensive foul),,35,47
163,2,5:30.0,,Toronto full timeout,35,47
164,2,5:30.0,,K. Lowry enters the game for J. Johnson,35,47
165,2,5:30.0,,T. Ross enters the game for L. Williams,35,47
166,2,5:17.0,,Turnover by K. Lowry (bad pass; steal by G. Monroe),35,47
167,2,5:12.0,A. Drummond makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),,37,47
168,2,4:49.0,,A. Johnson misses 2-pt hook shot from 5 ft,37,47
169,2,4:48.0,Defensive rebound by A. Drummond,,37,47
170,2,4:40.0,Turnover by K. Singler (lost ball; steal by K. Lowry),,37,47
171,2,4:34.0,,T. Ross misses 3-pt jump shot from 26 ft,37,47
172,2,4:33.0,Defensive rebound by A. Drummond,,37,47
173,2,4:23.0,B. Jennings makes 2-pt jump shot from 5 ft,,39,47
174,2,3:56.0,,T. Ross misses 3-pt jump shot from 26 ft (block by K. Singler),39,47
175,2,3:56.0,,Offensive rebound by Team,39,47
