,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHARLOTTE_ACTION,ORLANDO_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,T. Harris misses 2-pt layup at rim (block by M. Kidd-Gilchrist),,0,0
1,1,11:42.0,,Defensive rebound by A. Jefferson,0,0
2,1,11:19.0,,K. Walker misses 2-pt jump shot from 10 ft,0,0
3,1,11:16.0,Defensive rebound by T. Harris,,0,0
4,1,10:58.0,V. Oladipo makes 2-pt jump shot from 18 ft (assist by T. Harris),,2,0
5,1,10:40.0,,C. Zeller misses 2-pt jump shot from 19 ft,2,0
6,1,10:39.0,Defensive rebound by N. Vučević,,2,0
7,1,10:26.0,E. Payton misses 2-pt jump shot from 9 ft,,2,0
8,1,10:25.0,,Defensive rebound by A. Jefferson,2,0
9,1,10:12.0,,C. Zeller misses 2-pt layup from 1 ft,2,0
10,1,10:11.0,Defensive rebound by N. Vučević,,2,0
11,1,9:53.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by T. Harris),,4,0
12,1,9:41.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by C. Zeller),4,2
13,1,9:21.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),,6,2
14,1,8:55.0,,K. Walker misses 2-pt jump shot from 10 ft (block by T. Harris),6,2
15,1,8:53.0,Defensive rebound by E. Payton,,6,2
16,1,8:50.0,E. Payton misses 2-pt layup at rim,,6,2
17,1,8:48.0,,Defensive rebound by A. Jefferson,6,2
18,1,8:44.0,,G. Henderson misses 3-pt jump shot from 25 ft,6,2
19,1,8:44.0,,Offensive rebound by Team,6,2
20,1,8:44.0,Loose ball foul by V. Oladipo (drawn by K. Walker),,6,2
21,1,8:29.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 11 ft,6,2
22,1,8:27.0,,Offensive rebound by A. Jefferson,6,2
23,1,8:23.0,,M. Kidd-Gilchrist makes 2-pt layup at rim (assist by K. Walker),6,4
24,1,8:23.0,,Shooting foul by K. O'Quinn (drawn by M. Kidd-Gilchrist),6,4
25,1,8:23.0,,M. Kidd-Gilchrist makes free throw 1 of 1,6,5
26,1,8:01.0,N. Vučević misses 2-pt jump shot from 5 ft (block by K. Walker),,6,5
27,1,8:01.0,,Defensive rebound by Team,6,5
28,1,7:44.0,,A. Jefferson misses 2-pt jump shot from 14 ft,6,5
29,1,7:43.0,Defensive rebound by K. O'Quinn,,6,5
30,1,7:31.0,Turnover by V. Oladipo (bad pass; steal by G. Henderson),,6,5
31,1,7:28.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by T. Harris),6,5
32,1,7:28.0,,Offensive rebound by Team,6,5
33,1,7:24.0,,G. Henderson misses 2-pt jump shot from 15 ft,6,5
34,1,7:23.0,,Offensive rebound by M. Kidd-Gilchrist,6,5
35,1,7:19.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),6,8
36,1,6:57.0,T. Harris makes 2-pt dunk at rim (assist by K. O'Quinn),,8,8
37,1,6:38.0,,Turnover by A. Jefferson (bad pass; steal by T. Harris),8,8
38,1,6:34.0,T. Harris makes 2-pt jump shot from 4 ft,,10,8
39,1,6:34.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Harris),,10,8
40,1,6:34.0,T. Harris makes free throw 1 of 1,,11,8
41,1,6:20.0,,K. Walker misses 3-pt jump shot from 26 ft,11,8
42,1,6:18.0,,Offensive rebound by A. Jefferson,11,8
43,1,6:08.0,,Shooting foul by K. O'Quinn (drawn by C. Zeller),11,8
44,1,6:08.0,,C. Zeller misses free throw 1 of 2,11,8
45,1,6:08.0,,Offensive rebound by Team,11,8
46,1,6:08.0,,C. Zeller makes free throw 2 of 2,11,9
47,1,5:49.0,N. Vučević misses 2-pt jump shot from 10 ft,,11,9
48,1,5:48.0,,Defensive rebound by K. Walker,11,9
49,1,5:36.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 3 ft,11,9
50,1,5:35.0,Defensive rebound by V. Oladipo,,11,9
51,1,5:30.0,N. Vučević makes 2-pt dunk at rim (assist by T. Harris),,13,9
52,1,5:09.0,,A. Jefferson makes 2-pt hook shot from 9 ft,13,11
53,1,4:50.0,N. Vučević makes 2-pt hook shot from 8 ft (assist by K. O'Quinn),,15,11
54,1,4:38.0,,K. Walker makes 2-pt jump shot from 7 ft,15,13
55,1,4:26.0,K. O'Quinn misses 2-pt jump shot from 14 ft,,15,13
56,1,4:25.0,,Defensive rebound by C. Zeller,15,13
57,1,4:11.0,,Turnover by C. Zeller (traveling),15,13
58,1,4:11.0,,Charlotte full timeout,15,13
59,1,4:11.0,E. Fournier enters the game for K. O'Quinn,,15,13
60,1,4:11.0,,G. Neal enters the game for C. Zeller,15,13
61,1,4:11.0,,M. Williams enters the game for A. Jefferson,15,13
62,1,4:11.0,,B. Biyombo enters the game for G. Henderson,15,13
