,QUARTER,TIME_REMAINING,BOSTON_ACTION,MILWAUKEE_ACTION,BOSTON_SCORE,MILWAUKEE_SCORE
197,2,1:17.0,,M. Plumlee makes 2-pt dunk at rim (assist by M. Carter-Williams),45,45
198,2,0:54.0,J. Sullinger makes 2-pt layup at rim,,47,45
199,2,0:54.0,Shooting foul by M. Plumlee (drawn by J. Sullinger),,47,45
200,2,0:54.0,J. Sullinger misses free throw 1 of 1,,47,45
201,2,0:54.0,,Defensive rebound by M. Plumlee,47,45
202,2,0:39.0,,E. İlyasova misses 2-pt jump shot from 5 ft,47,45
203,2,0:38.0,,Offensive rebound by E. İlyasova,47,45
204,2,0:37.0,,E. İlyasova misses 2-pt layup from 1 ft,47,45
205,2,0:36.0,Defensive rebound by E. Turner,,47,45
206,2,0:36.0,Personal foul by E. İlyasova (drawn by E. Turner),,47,45
207,2,0:36.0,E. Turner misses free throw 1 of 2,,47,45
208,2,0:36.0,Offensive rebound by Team,,47,45
209,2,0:36.0,G. Wallace enters the game for L. Datome,,47,45
210,2,0:36.0,E. Turner makes free throw 2 of 2,,48,45
211,2,0:15.0,,G. Antetokounmpo misses 2-pt jump shot from 17 ft,48,45
212,2,0:15.0,Defensive rebound by M. Smart,,48,45
213,2,0:15.0,Boston full timeout,,48,45
214,2,0:15.0,L. Datome enters the game for G. Wallace,,48,45
215,2,0:15.0,K. Olynyk enters the game for T. Zeller,,48,45
216,2,0:05.0,Personal foul by M. Carter-Williams (drawn by M. Smart),,48,45
217,2,0:05.0,M. Smart misses free throw 1 of 2,,48,45
218,2,0:05.0,Offensive rebound by Team,,48,45
219,2,0:05.0,G. Wallace enters the game for L. Datome,,48,45
220,2,0:05.0,P. Pressey enters the game for J. Sullinger,,48,45
221,2,0:05.0,M. Smart makes free throw 2 of 2,,49,45
222,2,0:02.0,,Turnover by G. Antetokounmpo (lost ball),49,45
223,2,0:02.0,J. Sullinger enters the game for M. Smart,,49,45
224,2,0:00.0,Turnover by G. Wallace (bad pass; steal by M. Plumlee),,49,45
225,3,11:45.0,J. Jerebko misses 2-pt layup at rim,,49,45
226,3,11:44.0,,Defensive rebound by Z. Pachulia,49,45
227,3,11:31.0,,Personal foul by J. Jerebko (drawn by E. İlyasova),49,45
228,3,11:24.0,,M. Carter-Williams misses 3-pt jump shot from 26 ft,49,45
229,3,11:21.0,Defensive rebound by J. Jerebko,,49,45
230,3,11:17.0,Turnover by E. Turner (lost ball),,49,45
231,3,11:04.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),49,48
232,3,10:47.0,L. Datome makes 2-pt jump shot from 15 ft (assist by J. Jerebko),,51,48
233,3,10:31.0,,Turnover by K. Middleton (bad pass; steal by E. Turner),51,48
234,3,10:27.0,J. Jerebko makes 2-pt layup at rim (assist by L. Datome),,53,48
235,3,10:16.0,,Turnover by Z. Pachulia (traveling),53,48
236,3,9:59.0,J. Jerebko makes 2-pt dunk at rim (assist by M. Smart),,55,48
237,3,9:41.0,,K. Middleton misses 3-pt jump shot from 25 ft,55,48
238,3,9:40.0,,Offensive rebound by Z. Pachulia,55,48
