,QUARTER,TIME_REMAINING,UTAH_ACTION,ATLANTA_ACTION,UTAH_SCORE,ATLANTA_SCORE
0,1,11:42.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by K. Korver),0,2
1,1,11:16.0,A. Burks makes 2-pt jump shot from 16 ft,,2,2
2,1,11:02.0,,P. Millsap makes 2-pt jump shot from 6 ft (assist by K. Korver),2,4
3,1,10:40.0,A. Burks makes 3-pt jump shot from 23 ft (assist by E. Freedom),,5,4
4,1,10:16.0,,T. Sefolosha makes 2-pt layup at rim (assist by A. Horford),5,6
5,1,10:05.0,Turnover by A. Burks (bad pass; steal by P. Millsap),,5,6
6,1,10:01.0,,Turnover by P. Millsap (bad pass; steal by D. Favors),5,6
7,1,9:52.0,D. Favors makes 2-pt layup from 1 ft (assist by T. Burke),,7,6
8,1,9:42.0,,Personal foul by T. Burke (drawn by J. Teague),7,6
9,1,9:37.0,,J. Teague makes 2-pt jump shot from 13 ft,7,8
10,1,9:25.0,D. Favors misses 2-pt jump shot from 12 ft,,7,8
11,1,9:24.0,,Defensive rebound by K. Korver,7,8
12,1,9:11.0,,P. Millsap misses 3-pt jump shot from 25 ft,7,8
13,1,9:09.0,Defensive rebound by G. Hayward,,7,8
14,1,9:01.0,A. Burks misses 3-pt jump shot from 24 ft,,7,8
15,1,8:59.0,Offensive rebound by E. Freedom,,7,8
16,1,8:59.0,E. Freedom misses 2-pt tip-in from 1 ft,,7,8
17,1,8:59.0,,Defensive rebound by Team,7,8
18,1,8:52.0,,A. Horford misses 2-pt layup at rim,7,8
19,1,8:50.0,,Offensive rebound by A. Horford,7,8
20,1,8:40.0,,Turnover by K. Korver (step out of bounds),7,8
21,1,8:16.0,E. Freedom makes 2-pt layup from 1 ft (assist by A. Burks),,9,8
22,1,8:01.0,,T. Sefolosha makes 2-pt layup from 1 ft,9,10
23,1,8:01.0,,Shooting foul by G. Hayward (drawn by T. Sefolosha),9,10
24,1,8:01.0,,T. Sefolosha misses free throw 1 of 1,9,10
25,1,8:01.0,Defensive rebound by E. Freedom,,9,10
26,1,7:43.0,D. Favors makes 2-pt hook shot from 9 ft,,11,10
27,1,7:31.0,,J. Teague misses 2-pt layup from 1 ft,11,10
28,1,7:30.0,Defensive rebound by E. Freedom,,11,10
29,1,7:19.0,E. Freedom makes 3-pt jump shot from 25 ft (assist by T. Burke),,14,10
30,1,6:54.0,,P. Millsap misses 2-pt jump shot from 4 ft,14,10
31,1,6:53.0,,Offensive rebound by P. Millsap,14,10
32,1,6:52.0,,P. Millsap makes 2-pt layup at rim,14,12
33,1,6:24.0,D. Favors makes 2-pt dunk at rim,,16,12
34,1,6:15.0,,Atlanta full timeout,16,12
35,1,6:15.0,,P. Antić enters the game for A. Horford,16,12
36,1,6:15.0,D. Exum enters the game for G. Hayward,,16,12
37,1,6:02.0,,P. Antić makes 2-pt layup at rim (assist by P. Millsap),16,14
38,1,5:38.0,E. Freedom makes 2-pt hook shot from 1 ft (assist by A. Burks),,18,14
39,1,5:23.0,,P. Antić misses 2-pt jump shot from 19 ft,18,14
40,1,5:21.0,Defensive rebound by D. Favors,,18,14
41,1,5:14.0,A. Burks makes 2-pt jump shot from 18 ft (assist by D. Exum),,20,14
42,1,4:58.0,,Shooting foul by D. Favors (drawn by P. Antić),20,14
43,1,4:58.0,,P. Antić misses free throw 1 of 2,20,14
44,1,4:58.0,,Offensive rebound by Team,20,14
45,1,4:58.0,,K. Bazemore enters the game for T. Sefolosha,20,14
46,1,4:58.0,,P. Antić makes free throw 2 of 2,20,15
47,1,4:42.0,Turnover by D. Favors (bad pass; steal by J. Teague),,20,15
48,1,4:36.0,,J. Teague makes 2-pt layup at rim,20,17
49,1,4:27.0,Personal foul by J. Teague (drawn by T. Burke),,20,17
50,1,4:20.0,D. Favors makes 2-pt jump shot from 13 ft (assist by T. Burke),,22,17
51,1,4:08.0,,P. Millsap misses 2-pt layup from 2 ft (block by D. Favors),22,17
52,1,4:07.0,,Offensive rebound by P. Millsap,22,17
53,1,4:07.0,T. Booker enters the game for E. Freedom,,22,17
54,1,4:01.0,,K. Korver makes 2-pt jump shot from 14 ft (assist by J. Teague),22,19
55,1,4:01.0,,Shooting foul by A. Burks (drawn by K. Korver),22,19
56,1,4:01.0,,D. Schröder enters the game for J. Teague,22,19
57,1,4:01.0,,K. Korver makes free throw 1 of 1,22,20
58,1,3:46.0,T. Burke makes 3-pt jump shot from 24 ft (assist by T. Booker),,25,20
