,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
0,1,11:44.0,,K. Love misses 2-pt jump shot from 20 ft,0,0
1,1,11:42.0,Defensive rebound by R. Butler,,0,0
2,1,11:27.0,R. Butler makes 3-pt jump shot from 24 ft (assist by R. Sessions),,3,0
3,1,11:12.0,,K. Irving misses 2-pt layup at rim,3,0
4,1,11:09.0,Defensive rebound by R. Sessions,,3,0
5,1,11:03.0,O. Porter misses 2-pt jump shot from 14 ft,,3,0
6,1,11:02.0,,Defensive rebound by M. Miller,3,0
7,1,10:44.0,,J. Smith misses 3-pt jump shot from 25 ft,3,0
8,1,10:43.0,Defensive rebound by K. Humphries,,3,0
9,1,10:35.0,M. Gortat misses 2-pt layup at rim,,3,0
10,1,10:34.0,,Defensive rebound by T. Mozgov,3,0
11,1,10:24.0,,K. Love misses 3-pt jump shot from 25 ft,3,0
12,1,10:23.0,Defensive rebound by M. Gortat,,3,0
13,1,10:14.0,K. Humphries makes 2-pt jump shot from 18 ft (assist by R. Sessions),,5,0
14,1,9:53.0,,T. Mozgov makes 2-pt dunk at rim (assist by J. Smith),5,2
15,1,9:38.0,O. Porter makes 2-pt jump shot from 14 ft (assist by M. Gortat),,7,2
16,1,9:20.0,,K. Irving makes 2-pt jump shot from 19 ft,7,4
17,1,9:07.0,R. Butler misses 2-pt jump shot from 16 ft,,7,4
18,1,9:07.0,Offensive rebound by K. Humphries,,7,4
19,1,8:55.0,M. Gortat misses 2-pt jump shot from 11 ft,,7,4
20,1,8:54.0,,Defensive rebound by K. Love,7,4
21,1,8:40.0,,Turnover by K. Irving (bad pass; steal by R. Butler),7,4
22,1,8:34.0,R. Butler misses 2-pt layup at rim,,7,4
23,1,8:32.0,Offensive rebound by K. Humphries,,7,4
24,1,8:32.0,K. Humphries makes 2-pt tip-in at rim,,9,4
25,1,8:16.0,,J. Smith misses 2-pt layup from 1 ft (block by O. Porter),9,4
26,1,8:15.0,,Offensive rebound by Team,9,4
27,1,8:11.0,,T. Mozgov makes 2-pt layup at rim (assist by K. Irving),9,6
28,1,7:57.0,R. Sessions misses 2-pt jump shot from 12 ft,,9,6
29,1,7:56.0,,Defensive rebound by T. Mozgov,9,6
30,1,7:48.0,,J. Smith misses 3-pt jump shot from 27 ft,9,6
31,1,7:47.0,Defensive rebound by R. Butler,,9,6
32,1,7:44.0,Shooting foul by M. Miller (drawn by R. Sessions),,9,6
33,1,7:44.0,R. Sessions makes free throw 1 of 2,,10,6
34,1,7:44.0,R. Sessions makes free throw 2 of 2,,11,6
35,1,7:30.0,,T. Mozgov makes 2-pt jump shot from 17 ft (assist by J. Smith),11,8
36,1,7:19.0,R. Butler makes 2-pt jump shot from 18 ft (assist by R. Sessions),,13,8
37,1,7:00.0,,J. Smith misses 2-pt layup from 1 ft,13,8
38,1,6:59.0,Defensive rebound by M. Gortat,,13,8
39,1,6:45.0,K. Humphries makes 2-pt jump shot from 20 ft (assist by M. Gortat),,15,8
40,1,6:44.0,,Cleveland full timeout,15,8
41,1,6:28.0,,K. Love misses 2-pt jump shot from 20 ft,15,8
42,1,6:27.0,Defensive rebound by O. Porter,,15,8
43,1,6:16.0,O. Porter makes 2-pt jump shot from 17 ft (assist by M. Gortat),,17,8
44,1,5:55.0,,Shooting foul by O. Porter (drawn by T. Mozgov),17,8
45,1,5:55.0,,T. Mozgov misses free throw 1 of 2,17,8
46,1,5:55.0,,Offensive rebound by Team,17,8
47,1,5:55.0,,S. Marion enters the game for M. Miller,17,8
48,1,5:55.0,,T. Mozgov misses free throw 2 of 2,17,8
49,1,5:54.0,Defensive rebound by M. Gortat,,17,8
50,1,5:41.0,O. Porter misses 3-pt jump shot from 24 ft,,17,8
51,1,5:39.0,Offensive rebound by M. Gortat,,17,8
52,1,5:34.0,M. Gortat makes 2-pt jump shot from 5 ft,,19,8
53,1,5:28.0,,Turnover by J. Smith (bad pass; steal by M. Gortat),19,8
54,1,5:23.0,R. Sessions misses 2-pt layup at rim,,19,8
55,1,5:20.0,,Defensive rebound by K. Love,19,8
56,1,5:14.0,,K. Irving misses 3-pt jump shot from 25 ft,19,8
57,1,5:13.0,Defensive rebound by O. Porter,,19,8
58,1,5:00.0,M. Gortat makes 2-pt jump shot from 7 ft,,21,8
59,1,4:43.0,,J. Smith misses 3-pt jump shot from 24 ft,21,8
60,1,4:42.0,Defensive rebound by R. Butler,,21,8
61,1,4:33.0,K. Humphries makes 2-pt jump shot from 17 ft (assist by R. Sessions),,23,8
62,1,4:16.0,,K. Love makes 3-pt jump shot from 25 ft (assist by J. Smith),23,11
63,1,3:54.0,M. Gortat makes 2-pt jump shot from 15 ft (assist by R. Sessions),,25,11
64,1,3:39.0,,K. Irving makes 2-pt jump shot from 17 ft,25,13
65,1,3:20.0,M. Gortat misses 2-pt jump shot from 9 ft,,25,13
66,1,3:19.0,,Defensive rebound by K. Love,25,13
67,1,3:11.0,,K. Love makes 3-pt jump shot from 24 ft (assist by K. Irving),25,16
68,1,3:03.0,Washington full timeout,,25,16
69,1,3:03.0,K. Séraphin enters the game for R. Butler,,25,16
70,1,3:03.0,M. Webster enters the game for M. Gortat,,25,16
