,QUARTER,TIME_REMAINING,TORONTO_ACTION,DENVER_ACTION,TORONTO_SCORE,DENVER_SCORE
0,1,11:44.0,,T. Mozgov misses 2-pt layup from 2 ft,0,0
1,1,11:42.0,Defensive rebound by A. Johnson,,0,0
2,1,11:19.0,J. Valančiūnas misses 2-pt jump shot from 14 ft,,0,0
3,1,11:18.0,,Defensive rebound by W. Chandler,0,0
4,1,11:11.0,,W. Chandler misses 2-pt jump shot from 4 ft,0,0
5,1,11:10.0,Defensive rebound by J. Valančiūnas,,0,0
6,1,11:10.0,Personal foul by W. Chandler (drawn by J. Valančiūnas),,0,0
7,1,10:57.0,T. Ross makes 2-pt jump shot from 3 ft (assist by K. Lowry),,2,0
8,1,10:41.0,,K. Faried makes 2-pt layup from 2 ft (assist by A. Afflalo),2,2
9,1,10:23.0,A. Johnson misses 2-pt jump shot from 19 ft,,2,2
10,1,10:22.0,Offensive rebound by T. Ross,,2,2
11,1,10:15.0,Shooting foul by W. Chandler (drawn by J. Johnson),,2,2
12,1,10:15.0,J. Johnson makes free throw 1 of 2,,3,2
13,1,10:15.0,J. Johnson misses free throw 2 of 2,,3,2
14,1,10:13.0,,Defensive rebound by K. Faried,3,2
15,1,9:52.0,,A. Afflalo misses 2-pt jump shot from 14 ft,3,2
16,1,9:50.0,Defensive rebound by T. Ross,,3,2
17,1,9:44.0,T. Ross makes 3-pt jump shot from 25 ft,,6,2
18,1,9:31.0,,Shooting foul by J. Valančiūnas (drawn by T. Mozgov),6,2
19,1,9:31.0,,T. Mozgov makes free throw 1 of 2,6,3
20,1,9:31.0,,T. Mozgov makes free throw 2 of 2,6,4
21,1,9:13.0,J. Valančiūnas misses 2-pt hook shot from 5 ft,,6,4
22,1,9:12.0,,Defensive rebound by K. Faried,6,4
23,1,9:04.0,,W. Chandler misses 2-pt layup from 2 ft,6,4
24,1,9:03.0,,Offensive rebound by W. Chandler,6,4
25,1,8:59.0,,W. Chandler makes 2-pt layup from 2 ft,6,6
26,1,8:40.0,T. Ross misses 2-pt jump shot from 14 ft,,6,6
27,1,8:40.0,Offensive rebound by J. Valančiūnas,,6,6
28,1,8:40.0,Shooting foul by T. Lawson (drawn by J. Valančiūnas),,6,6
29,1,8:40.0,J. Valančiūnas makes free throw 1 of 2,,7,6
30,1,8:40.0,J. Valančiūnas makes free throw 2 of 2,,8,6
31,1,8:24.0,,Personal foul by J. Johnson (drawn by A. Afflalo),8,6
32,1,8:16.0,,T. Lawson makes 2-pt jump shot from 14 ft,8,8
33,1,7:57.0,J. Johnson misses 3-pt jump shot from 23 ft,,8,8
34,1,7:55.0,,Defensive rebound by K. Faried,8,8
35,1,7:46.0,,K. Faried misses 2-pt layup from 2 ft,8,8
36,1,7:44.0,,Offensive rebound by K. Faried,8,8
