,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHARLOTTE_ACTION,INDIANA_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,,G. Henderson makes 2-pt jump shot from 12 ft (assist by C. Zeller),0,2
1,1,11:19.0,R. Hibbert makes 2-pt hook shot from 9 ft,,2,2
2,1,11:06.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 14 ft,2,2
3,1,11:06.0,Defensive rebound by D. West,,2,2
4,1,10:52.0,Def 3 sec tech foul by M. Kidd-Gilchrist,,2,2
5,1,10:52.0,C. Watson misses technical free throw,,2,2
6,1,10:52.0,Offensive rebound by Team,,2,2
7,1,10:38.0,D. West misses 2-pt jump shot from 9 ft,,2,2
8,1,10:37.0,,Defensive rebound by M. Kidd-Gilchrist,2,2
9,1,10:32.0,,B. Roberts misses 2-pt layup at rim (block by R. Hibbert),2,2
10,1,10:29.0,Defensive rebound by R. Hibbert,,2,2
11,1,10:16.0,Indiana full timeout,,2,2
12,1,10:08.0,R. Hibbert makes 2-pt jump shot from 18 ft (assist by R. Stuckey),,4,2
13,1,9:54.0,,B. Roberts misses 2-pt jump shot from 17 ft,4,2
14,1,9:53.0,,Offensive rebound by B. Biyombo,4,2
15,1,9:45.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 5 ft (block by R. Stuckey),4,2
16,1,9:42.0,Defensive rebound by S. Hill,,4,2
17,1,9:30.0,D. West misses 2-pt layup at rim,,4,2
18,1,9:29.0,Offensive rebound by D. West,,4,2
19,1,9:29.0,D. West makes 2-pt layup at rim,,6,2
20,1,9:10.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,6,2
21,1,9:09.0,,Offensive rebound by B. Biyombo,6,2
22,1,9:09.0,,B. Biyombo misses 2-pt tip-in at rim,6,2
23,1,9:07.0,Defensive rebound by R. Hibbert,,6,2
24,1,8:57.0,Turnover by D. West (bad pass),,6,2
25,1,8:42.0,,C. Zeller makes 2-pt jump shot from 19 ft (assist by G. Henderson),6,4
26,1,8:27.0,Offensive foul by D. West (drawn by C. Zeller),,6,4
27,1,8:27.0,Turnover by D. West (offensive foul),,6,4
28,1,8:16.0,,G. Henderson misses 3-pt jump shot from 26 ft,6,4
29,1,8:14.0,Defensive rebound by D. West,,6,4
30,1,7:56.0,R. Hibbert makes 2-pt layup from 2 ft,,8,4
31,1,7:36.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 10 ft,8,6
32,1,7:19.0,R. Hibbert misses 2-pt hook shot from 7 ft,,8,6
33,1,7:18.0,,Defensive rebound by B. Biyombo,8,6
34,1,7:13.0,,Shooting foul by R. Hibbert (drawn by G. Henderson),8,6
35,1,7:13.0,,G. Henderson makes free throw 1 of 2,8,7
36,1,7:13.0,,G. Henderson makes free throw 2 of 2,8,8
37,1,7:00.0,R. Stuckey makes 2-pt jump shot from 17 ft,,10,8
38,1,6:45.0,,C. Zeller makes 2-pt hook shot from 5 ft (assist by G. Henderson),10,10
39,1,6:20.0,R. Stuckey makes 2-pt jump shot from 17 ft (assist by D. West),,12,10
40,1,6:06.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,12,10
41,1,6:05.0,Defensive rebound by D. West,,12,10
42,1,5:58.0,Personal foul by C. Zeller (drawn by D. West),,12,10
43,1,5:44.0,Turnover by R. Hibbert (bad pass; steal by C. Zeller),,12,10
44,1,5:34.0,,Turnover by B. Biyombo (bad pass; steal by C. Watson),12,10
45,1,5:12.0,D. West makes 2-pt jump shot from 6 ft,,14,10
46,1,4:57.0,,G. Henderson misses 2-pt layup from 2 ft,14,10
47,1,4:55.0,,Offensive rebound by B. Biyombo,14,10
48,1,4:55.0,,B. Biyombo makes 2-pt tip-in at rim,14,12
49,1,4:45.0,Personal foul by C. Zeller (drawn by D. West),,14,12
50,1,4:45.0,C. Miles enters the game for S. Hill,,14,12
51,1,4:45.0,I. Mahinmi enters the game for R. Hibbert,,14,12
52,1,4:45.0,,L. Stephenson enters the game for C. Zeller,14,12
53,1,4:45.0,,M. Williams enters the game for G. Henderson,14,12
54,1,4:29.0,D. West makes 2-pt layup from 1 ft (assist by R. Stuckey),,16,12
55,1,4:13.0,,B. Roberts misses 2-pt jump shot from 18 ft,16,12
56,1,4:11.0,Defensive rebound by C. Miles,,16,12
57,1,3:55.0,C. Miles misses 3-pt jump shot from 25 ft,,16,12
58,1,3:54.0,,Defensive rebound by B. Biyombo,16,12
59,1,3:41.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,16,12
60,1,3:41.0,,Offensive rebound by Team,16,12
