,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHARLOTTE_ACTION,LA LAKERS_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,W. Ellington makes 3-pt jump shot from 24 ft (assist by R. Kelly),,3,0
1,1,11:29.0,,G. Henderson misses 2-pt jump shot from 18 ft,3,0
2,1,11:28.0,Defensive rebound by C. Boozer,,3,0
3,1,11:14.0,R. Sacre makes 2-pt jump shot from 17 ft (assist by R. Kelly),,5,0
4,1,10:56.0,,M. Williams misses 2-pt jump shot from 20 ft,5,0
5,1,10:55.0,Defensive rebound by R. Sacre,,5,0
6,1,10:43.0,J. Clarkson misses 3-pt jump shot from 26 ft,,5,0
7,1,10:42.0,,Defensive rebound by C. Zeller,5,0
8,1,10:32.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,5,0
9,1,10:31.0,Defensive rebound by C. Boozer,,5,0
10,1,10:21.0,R. Sacre misses 2-pt hook shot from 7 ft (block by A. Jefferson),,5,0
11,1,10:19.0,,Defensive rebound by C. Zeller,5,0
12,1,9:58.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,5,0
13,1,9:57.0,Defensive rebound by C. Boozer,,5,0
14,1,9:50.0,J. Clarkson makes 2-pt jump shot from 18 ft,,7,0
15,1,9:33.0,,A. Jefferson misses 2-pt hook shot from 6 ft,7,0
16,1,9:32.0,,Offensive rebound by C. Zeller,7,0
17,1,9:22.0,,Shooting foul by R. Sacre (drawn by A. Jefferson),7,0
18,1,9:22.0,,A. Jefferson makes free throw 1 of 2,7,1
19,1,9:22.0,,A. Jefferson makes free throw 2 of 2,7,2
20,1,9:06.0,C. Boozer misses 2-pt jump shot from 18 ft,,7,2
21,1,9:04.0,Offensive rebound by R. Sacre,,7,2
22,1,8:56.0,W. Ellington makes 2-pt jump shot from 17 ft (assist by R. Kelly),,9,2
23,1,8:41.0,,A. Jefferson makes 2-pt layup from 1 ft,9,4
24,1,8:18.0,R. Kelly misses 2-pt jump shot from 8 ft,,9,4
25,1,8:17.0,,Defensive rebound by A. Jefferson,9,4
26,1,8:06.0,,G. Henderson makes 2-pt jump shot from 21 ft (assist by M. Williams),9,6
27,1,7:54.0,J. Clarkson makes 2-pt jump shot from 15 ft,,11,6
28,1,7:40.0,,A. Jefferson makes 2-pt jump shot from 11 ft (assist by C. Zeller),11,8
29,1,7:24.0,W. Ellington misses 3-pt jump shot from 25 ft,,11,8
30,1,7:23.0,,Defensive rebound by M. Kidd-Gilchrist,11,8
31,1,7:08.0,,C. Zeller makes 2-pt jump shot from 20 ft (assist by M. Williams),11,10
32,1,6:40.0,R. Kelly makes 3-pt jump shot from 25 ft (assist by J. Clarkson),,14,10
33,1,6:20.0,,M. Williams makes 2-pt jump shot from 20 ft (assist by G. Henderson),14,12
34,1,6:05.0,Personal foul by M. Williams (drawn by J. Clarkson),,14,12
35,1,6:05.0,J. Lin enters the game for W. Ellington,,14,12
36,1,5:58.0,J. Clarkson misses 3-pt jump shot from 27 ft,,14,12
37,1,5:57.0,,Defensive rebound by C. Zeller,14,12
38,1,5:47.0,,C. Zeller makes 2-pt layup from 1 ft (assist by G. Henderson),14,14
39,1,5:47.0,,Shooting foul by C. Boozer (drawn by C. Zeller),14,14
40,1,5:47.0,,Charlotte full timeout,14,14
41,1,5:47.0,,C. Zeller makes free throw 1 of 1,14,15
42,1,5:35.0,R. Sacre makes 2-pt jump shot from 15 ft (assist by J. Lin),,16,15
43,1,5:19.0,,M. Williams misses 2-pt jump shot from 14 ft,16,15
44,1,5:17.0,Defensive rebound by R. Sacre,,16,15
45,1,5:04.0,J. Lin makes 3-pt jump shot from 26 ft,,19,15
46,1,4:47.0,,A. Jefferson misses 2-pt jump shot from 15 ft,19,15
