,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BROOKLYN_ACTION,GOLDEN STATE_SCORE,BROOKLYN_SCORE
0,1,11:37.0,Turnover by A. Bogut (lost ball; steal by M. Plumlee),,0,0
1,1,11:13.0,,A. Anderson makes 2-pt jump shot from 7 ft,0,2
2,1,10:53.0,Shooting foul by M. Brown (drawn by D. Green),,0,2
3,1,10:53.0,D. Green misses free throw 1 of 2,,0,2
4,1,10:53.0,Offensive rebound by Team,,0,2
5,1,10:53.0,D. Green makes free throw 2 of 2,,1,2
6,1,10:40.0,,Personal foul by D. Green (drawn by J. Johnson),1,2
7,1,10:32.0,,M. Brown misses 2-pt layup from 1 ft,1,2
8,1,10:31.0,Defensive rebound by A. Bogut,,1,2
9,1,10:17.0,H. Barnes misses 2-pt layup from 1 ft,,1,2
10,1,10:16.0,Offensive rebound by A. Bogut,,1,2
11,1,10:14.0,A. Bogut makes 2-pt tip-in at rim,,3,2
12,1,9:55.0,,J. Johnson makes 2-pt jump shot from 8 ft,3,4
13,1,9:48.0,Turnover by S. Curry (lost ball; steal by M. Plumlee),,3,4
14,1,9:44.0,,M. Plumlee makes 2-pt dunk at rim,3,6
15,1,9:26.0,H. Barnes misses 2-pt jump shot from 13 ft,,3,6
16,1,9:25.0,Offensive rebound by A. Bogut,,3,6
17,1,9:22.0,A. Bogut misses 2-pt hook shot from 5 ft,,3,6
18,1,9:21.0,,Defensive rebound by J. Johnson,3,6
19,1,9:14.0,,Turnover by D. Williams (lost ball; steal by H. Barnes),3,6
20,1,8:55.0,K. Thompson misses 2-pt jump shot from 15 ft,,3,6
21,1,8:54.0,Offensive rebound by A. Bogut,,3,6
22,1,8:52.0,A. Bogut makes 2-pt tip-in from 2 ft,,5,6
23,1,8:34.0,,J. Johnson misses 2-pt jump shot from 14 ft,5,6
24,1,8:33.0,Defensive rebound by K. Thompson,,5,6
25,1,8:23.0,K. Thompson misses 2-pt jump shot from 21 ft,,5,6
26,1,8:22.0,Offensive rebound by H. Barnes,,5,6
27,1,8:15.0,A. Bogut makes 2-pt dunk at rim (assist by D. Green),,7,6
28,1,8:11.0,,Brooklyn full timeout,7,6
29,1,8:02.0,,M. Plumlee misses 2-pt layup from 2 ft (block by A. Bogut),7,6
30,1,8:01.0,,Offensive rebound by M. Brown,7,6
31,1,8:00.0,,M. Brown makes 2-pt layup from 3 ft,7,8
32,1,7:35.0,A. Bogut makes 2-pt hook shot from 7 ft (assist by S. Curry),,9,8
33,1,7:22.0,,D. Williams makes 2-pt jump shot from 12 ft,9,10
34,1,7:12.0,Turnover by S. Curry (bad pass),,9,10
35,1,7:12.0,,B. Lopez enters the game for M. Plumlee,9,10
36,1,6:59.0,,A. Anderson makes 2-pt jump shot from 4 ft,9,12
37,1,6:45.0,K. Thompson makes 2-pt jump shot from 13 ft (assist by S. Curry),,11,12
