,QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW YORK_ACTION,ORLANDO_SCORE,NEW YORK_SCORE
0,1,11:45.0,,J. Calderón makes 2-pt jump shot from 17 ft (assist by J. Smith),0,2
1,1,11:30.0,N. Vučević misses 2-pt jump shot from 14 ft,,0,2
2,1,11:28.0,,Defensive rebound by J. Smith,0,2
3,1,11:17.0,,J. Smith misses 2-pt jump shot from 19 ft,0,2
4,1,11:15.0,Defensive rebound by C. Frye,,0,2
5,1,10:53.0,V. Oladipo misses 2-pt jump shot from 18 ft,,0,2
6,1,10:51.0,,Defensive rebound by J. Calderón,0,2
7,1,10:43.0,,J. Smith misses 2-pt jump shot from 19 ft,0,2
8,1,10:41.0,,Offensive rebound by Team,0,2
9,1,10:35.0,,J. Smith makes 2-pt layup from 2 ft (assist by J. Calderón),0,4
10,1,10:21.0,C. Frye misses 3-pt jump shot from 26 ft,,0,4
11,1,10:19.0,,Defensive rebound by C. Anthony,0,4
12,1,10:03.0,,J. Smith misses 2-pt jump shot from 16 ft,0,4
13,1,10:01.0,,Offensive rebound by L. Amundson,0,4
14,1,10:01.0,,L. Amundson misses 2-pt tip-in from 1 ft,0,4
15,1,9:59.0,,Offensive rebound by L. Amundson,0,4
16,1,9:58.0,,L. Amundson misses 2-pt layup from 1 ft,0,4
17,1,9:57.0,,Offensive rebound by L. Galloway,0,4
18,1,9:54.0,,C. Anthony misses 3-pt jump shot from 25 ft,0,4
19,1,9:52.0,Defensive rebound by C. Frye,,0,4
20,1,9:38.0,N. Vučević makes 2-pt layup from 2 ft (assist by E. Payton),,2,4
21,1,9:27.0,,C. Anthony makes 2-pt dunk at rim (assist by L. Amundson),2,6
22,1,9:22.0,Turnover by D. Marble (step out of bounds),,2,6
23,1,8:59.0,,J. Calderón makes 2-pt jump shot from 10 ft,2,8
24,1,8:49.0,E. Payton makes 2-pt layup at rim,,4,8
25,1,8:34.0,,C. Anthony misses 2-pt jump shot from 16 ft,4,8
26,1,8:33.0,Defensive rebound by Team,,4,8
27,1,8:21.0,D. Marble makes 3-pt jump shot from 23 ft (assist by N. Vučević),,7,8
28,1,8:09.0,,Shooting foul by N. Vučević (drawn by L. Galloway),7,8
29,1,8:09.0,,L. Galloway makes free throw 1 of 2,7,9
30,1,8:09.0,,L. Galloway makes free throw 2 of 2,7,10
31,1,7:59.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by V. Oladipo),,9,10
32,1,7:41.0,,J. Smith makes 2-pt jump shot from 10 ft (assist by J. Calderón),9,12
33,1,7:31.0,Shooting foul by L. Amundson (drawn by D. Marble),,9,12
34,1,7:31.0,D. Marble misses free throw 1 of 2,,9,12
35,1,7:31.0,Offensive rebound by Team,,9,12
36,1,7:31.0,D. Marble misses free throw 2 of 2,,9,12
37,1,7:30.0,,Defensive rebound by L. Galloway,9,12
38,1,7:13.0,,L. Amundson misses 2-pt jump shot from 3 ft,9,12
39,1,7:11.0,Defensive rebound by N. Vučević,,9,12
40,1,6:55.0,V. Oladipo misses 3-pt jump shot from 24 ft,,9,12
41,1,6:53.0,Offensive rebound by D. Marble,,9,12
42,1,6:45.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by D. Marble),,11,12
43,1,6:35.0,,Personal foul by E. Payton (drawn by J. Calderón),11,12
44,1,6:35.0,T. Harris enters the game for D. Marble,,11,12
45,1,6:35.0,A. Gordon enters the game for C. Frye,,11,12
46,1,6:26.0,,L. Galloway makes 2-pt jump shot from 17 ft,11,14
47,1,6:16.0,T. Harris misses 3-pt jump shot from 25 ft,,11,14
48,1,6:14.0,,Defensive rebound by L. Amundson,11,14
49,1,6:02.0,,C. Anthony makes 2-pt jump shot from 13 ft,11,16
50,1,5:36.0,Turnover by V. Oladipo (lost ball),,11,16
51,1,5:36.0,,New York full timeout,11,16
52,1,5:14.0,,C. Anthony misses 3-pt jump shot from 25 ft,11,16
53,1,5:12.0,Defensive rebound by T. Harris,,11,16
54,1,4:49.0,N. Vučević makes 2-pt jump shot from 11 ft (assist by E. Payton),,13,16
55,1,4:31.0,,Turnover by L. Amundson (lost ball; steal by V. Oladipo),13,16
56,1,4:19.0,N. Vučević makes 2-pt jump shot from 10 ft,,15,16
57,1,4:14.0,,Turnover by J. Smith (bad pass; steal by V. Oladipo),15,16
58,1,4:12.0,V. Oladipo misses 2-pt layup from 1 ft,,15,16
59,1,4:11.0,,Defensive rebound by J. Calderón,15,16
60,1,4:03.0,,J. Smith misses 2-pt jump shot from 13 ft,15,16
61,1,4:02.0,Defensive rebound by N. Vučević,,15,16
62,1,3:56.0,Shooting foul by J. Smith (drawn by V. Oladipo),,15,16
63,1,3:56.0,V. Oladipo makes free throw 1 of 2,,16,16
64,1,3:56.0,,T. Hardaway enters the game for L. Galloway,16,16
65,1,3:56.0,,L. Thomas enters the game for J. Smith,16,16
66,1,3:56.0,K. O'Quinn enters the game for N. Vučević,,16,16
67,1,3:56.0,V. Oladipo makes free throw 2 of 2,,17,16
68,1,3:37.0,,L. Amundson misses 2-pt jump shot from 14 ft,17,16
69,1,3:35.0,Defensive rebound by A. Gordon,,17,16
70,1,3:24.0,K. O'Quinn misses 2-pt jump shot from 16 ft,,17,16
71,1,3:22.0,,Defensive rebound by L. Thomas,17,16
72,1,3:14.0,,Turnover by J. Calderón (bad pass; steal by A. Gordon),17,16
73,1,3:10.0,A. Gordon makes 2-pt dunk at rim (assist by V. Oladipo),,19,16
74,1,3:10.0,Shooting foul by J. Calderón (drawn by A. Gordon),,19,16
75,1,3:10.0,E. Fournier enters the game for T. Harris,,19,16
76,1,3:10.0,T. Harris enters the game for V. Oladipo,,19,16
77,1,3:10.0,L. Ridnour enters the game for E. Payton,,19,16
78,1,3:10.0,,C. Aldrich enters the game for L. Amundson,19,16
79,1,3:10.0,A. Gordon makes free throw 1 of 1,,20,16
80,1,2:53.0,,Personal foul by A. Gordon (drawn by C. Anthony),20,16
81,1,2:53.0,Orlando full timeout,,20,16
82,1,2:53.0,,P. Prigioni enters the game for J. Calderón,20,16
83,1,2:45.0,,T. Hardaway misses 3-pt jump shot from 24 ft,20,16
84,1,2:43.0,,Offensive rebound by C. Aldrich,20,16
85,1,2:40.0,,T. Hardaway misses 2-pt jump shot from 7 ft,20,16
86,1,2:39.0,,Offensive rebound by Team,20,16
87,1,2:39.0,Loose ball foul by L. Ridnour (drawn by C. Aldrich),,20,16
88,1,2:23.0,,C. Anthony misses 2-pt jump shot from 13 ft,20,16
89,1,2:22.0,Defensive rebound by K. O'Quinn,,20,16
90,1,2:02.0,K. O'Quinn makes 2-pt layup from 1 ft (assist by A. Gordon),,22,16
91,1,1:39.0,,L. Thomas makes 2-pt jump shot from 17 ft (assist by C. Aldrich),22,18
92,1,1:17.0,T. Harris makes 2-pt layup from 2 ft (assist by L. Ridnour),,24,18
93,1,0:58.0,,T. Hardaway makes 2-pt jump shot from 19 ft (assist by L. Thomas),24,20
94,1,0:39.0,T. Harris misses 2-pt jump shot from 20 ft,,24,20
95,1,0:37.0,,Defensive rebound by T. Hardaway,24,20
96,1,0:29.0,,Offensive foul by C. Aldrich (drawn by T. Harris),24,20
97,1,0:29.0,,Turnover by C. Aldrich (offensive foul),24,20
98,1,0:29.0,,C. Early enters the game for C. Anthony,24,20
99,1,0:29.0,V. Oladipo enters the game for L. Ridnour,,24,20
100,1,0:14.0,Turnover by V. Oladipo (lost ball; steal by P. Prigioni),,24,20
101,1,0:09.0,,P. Prigioni misses 3-pt jump shot from 24 ft,24,20
102,1,0:08.0,Defensive rebound by T. Harris,,24,20
103,1,0:03.0,A. Gordon makes 2-pt layup from 2 ft (assist by T. Harris),,26,20
104,1,0:01.0,,T. Hardaway misses 3-pt jump shot from 28 ft,26,20
105,1,0:00.0,,Offensive rebound by Team,26,20
106,2,11:47.0,Personal foul by P. Prigioni (drawn by K. O'Quinn),,26,20
107,2,11:41.0,Turnover by L. Ridnour (lost ball; steal by L. Thomas),,26,20
108,2,11:37.0,,Shooting foul by E. Fournier (drawn by T. Hardaway),26,20
109,2,11:37.0,,T. Hardaway makes free throw 1 of 2,26,21
110,2,11:37.0,,T. Hardaway makes free throw 2 of 2,26,22
