,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DENVER_ACTION,OKLAHOMA CITY_SCORE,DENVER_SCORE
0,1,11:37.0,,A. Afflalo misses 2-pt jump shot from 16 ft,0,0
1,1,11:35.0,,Offensive rebound by T. Mozgov,0,0
2,1,11:27.0,,T. Lawson makes 2-pt jump shot from 9 ft (assist by W. Chandler),0,2
3,1,11:02.0,S. Adams makes 2-pt layup from 1 ft,,2,2
4,1,10:50.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by T. Lawson),2,5
5,1,10:29.0,L. Thomas misses 2-pt jump shot from 7 ft,,2,5
6,1,10:27.0,,Defensive rebound by K. Faried,2,5
7,1,10:19.0,,T. Mozgov misses 2-pt jump shot from 17 ft,2,5
8,1,10:17.0,Defensive rebound by L. Thomas,,2,5
9,1,10:04.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by J. Lamb),,4,5
10,1,9:49.0,,A. Afflalo makes 2-pt jump shot from 19 ft (assist by T. Lawson),4,7
11,1,9:33.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by J. Lamb),,6,7
12,1,9:18.0,,T. Lawson makes 2-pt layup from 1 ft,6,9
13,1,9:02.0,L. Thomas makes 2-pt jump shot from 9 ft,,8,9
14,1,8:42.0,,A. Afflalo makes 2-pt jump shot from 16 ft,8,11
15,1,8:18.0,J. Lamb misses 3-pt jump shot from 25 ft,,8,11
16,1,8:16.0,Offensive rebound by L. Thomas,,8,11
17,1,8:13.0,L. Thomas makes 2-pt jump shot from 15 ft,,10,11
18,1,8:01.0,,T. Lawson misses 2-pt jump shot from 9 ft,10,11
19,1,7:58.0,Defensive rebound by J. Lamb,,10,11
20,1,7:38.0,S. Ibaka misses 2-pt layup from 1 ft (block by T. Mozgov),,10,11
21,1,7:36.0,,Defensive rebound by W. Chandler,10,11
22,1,7:34.0,,Personal foul by L. Thomas (drawn by K. Faried),10,11
23,1,7:28.0,,W. Chandler makes 2-pt dunk at rim (assist by T. Mozgov),10,13
24,1,7:16.0,Shooting foul by W. Chandler (drawn by S. Adams),,10,13
25,1,7:16.0,S. Adams makes free throw 1 of 2,,11,13
26,1,7:16.0,S. Adams misses free throw 2 of 2,,11,13
27,1,7:16.0,,Defensive rebound by T. Mozgov,11,13
28,1,7:11.0,,Shooting foul by R. Jackson (drawn by T. Lawson),11,13
29,1,7:11.0,,T. Lawson makes free throw 1 of 2,11,14
30,1,7:11.0,,T. Lawson misses free throw 2 of 2,11,14
31,1,7:08.0,Defensive rebound by S. Ibaka,,11,14
32,1,6:54.0,S. Ibaka makes 2-pt jump shot from 9 ft (assist by R. Jackson),,13,14
33,1,6:41.0,,T. Mozgov makes 2-pt hook shot from 6 ft (assist by T. Lawson),13,16
34,1,6:30.0,Shooting foul by T. Mozgov (drawn by J. Lamb),,13,16
35,1,6:30.0,J. Lamb makes free throw 1 of 2,,14,16
36,1,6:30.0,J. Lamb makes free throw 2 of 2,,15,16
37,1,6:22.0,,Personal foul by S. Adams (drawn by K. Faried),15,16
38,1,6:09.0,,Turnover by T. Lawson (traveling),15,16
39,1,5:46.0,L. Thomas misses 2-pt jump shot from 18 ft,,15,16
40,1,5:44.0,Offensive rebound by S. Ibaka,,15,16
41,1,5:41.0,S. Ibaka misses 2-pt jump shot from 13 ft,,15,16
42,1,5:40.0,,Defensive rebound by W. Chandler,15,16
43,1,5:34.0,,Shooting foul by S. Ibaka (drawn by T. Mozgov),15,16
44,1,5:34.0,,Denver full timeout,15,16
45,1,5:34.0,A. Roberson enters the game for J. Lamb,,15,16
46,1,5:34.0,,T. Mozgov makes free throw 1 of 2,15,17
47,1,5:34.0,,T. Mozgov makes free throw 2 of 2,15,18
48,1,5:23.0,S. Ibaka misses 2-pt jump shot from 20 ft,,15,18
49,1,5:21.0,Offensive rebound by R. Jackson,,15,18
50,1,5:09.0,S. Ibaka makes 2-pt jump shot from 7 ft,,17,18
51,1,4:51.0,,A. Afflalo makes 2-pt jump shot from 4 ft (assist by T. Mozgov),17,20
52,1,4:35.0,R. Jackson misses 2-pt jump shot from 21 ft,,17,20
53,1,4:35.0,,Defensive rebound by Team,17,20
54,1,4:35.0,Loose ball foul by S. Adams (drawn by T. Mozgov),,17,20
55,1,4:35.0,,T. Mozgov makes free throw 1 of 2,17,21
56,1,4:35.0,K. Perkins enters the game for S. Adams,,17,21
57,1,4:35.0,,T. Mozgov makes free throw 2 of 2,17,22
58,1,4:17.0,A. Roberson misses 3-pt jump shot from 24 ft,,17,22
59,1,4:15.0,,Defensive rebound by T. Mozgov,17,22
60,1,4:04.0,,Turnover by T. Mozgov (lost ball),17,22
61,1,4:04.0,A. Morrow enters the game for L. Thomas,,17,22
62,1,3:43.0,A. Morrow misses 3-pt jump shot from 22 ft,,17,22
63,1,3:41.0,,Defensive rebound by T. Mozgov,17,22
64,1,3:36.0,,Shooting foul by A. Morrow (drawn by W. Chandler),17,22
65,1,3:36.0,,W. Chandler misses free throw 1 of 2,17,22
66,1,3:36.0,,Offensive rebound by Team,17,22
67,1,3:36.0,,W. Chandler misses free throw 2 of 2,17,22
68,1,3:32.0,Defensive rebound by S. Ibaka,,17,22
69,1,3:16.0,R. Jackson misses 2-pt jump shot from 7 ft,,17,22
70,1,3:15.0,Offensive rebound by K. Perkins,,17,22
71,1,3:09.0,Shooting foul by W. Chandler (drawn by S. Ibaka),,17,22
72,1,3:09.0,S. Ibaka makes free throw 1 of 3,,18,22
73,1,3:09.0,S. Ibaka misses free throw 2 of 3,,18,22
74,1,3:09.0,Offensive rebound by Team,,18,22
75,1,3:09.0,S. Telfair enters the game for R. Jackson,,18,22
76,1,3:09.0,,D. Gallinari enters the game for W. Chandler,18,22
77,1,3:09.0,S. Ibaka makes free throw 3 of 3,,19,22
78,1,2:59.0,,K. Faried misses 2-pt jump shot from 12 ft,19,22
79,1,2:58.0,Defensive rebound by A. Roberson,,19,22
80,1,2:43.0,K. Perkins misses 2-pt jump shot from 10 ft,,19,22
81,1,2:42.0,Offensive rebound by S. Ibaka,,19,22
82,1,2:30.0,,Offensive charge foul by S. Ibaka (drawn by K. Faried),19,22
83,1,2:30.0,Turnover by S. Ibaka (offensive foul),,19,22
84,1,2:30.0,Oklahoma City full timeout,,19,22
85,1,2:30.0,N. Collison enters the game for S. Ibaka,,19,22
86,1,2:30.0,,D. Arthur enters the game for K. Faried,19,22
87,1,2:15.0,,A. Afflalo misses 3-pt jump shot from 23 ft,19,22
88,1,2:13.0,Defensive rebound by K. Perkins,,19,22
