,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
0,1,11:40.0,J. Johnson makes 2-pt jump shot from 10 ft,,2,0
1,1,11:15.0,,D. Gallinari makes 2-pt layup from 1 ft,2,2
2,1,11:02.0,J. Johnson misses 3-pt jump shot from 24 ft,,2,2
3,1,11:00.0,,Defensive rebound by J. Nurkić,2,2
4,1,10:49.0,,D. Arthur misses 2-pt jump shot from 16 ft,2,2
5,1,10:48.0,Defensive rebound by M. Plumlee,,2,2
6,1,10:45.0,Offensive foul by M. Plumlee (drawn by D. Gallinari),,2,2
7,1,10:45.0,Turnover by M. Plumlee (offensive foul),,2,2
8,1,10:36.0,,D. Arthur misses 2-pt jump shot from 18 ft,2,2
9,1,10:34.0,Defensive rebound by A. Anderson,,2,2
10,1,10:25.0,D. Williams makes 2-pt layup from 1 ft,,4,2
11,1,10:13.0,,Personal foul by A. Anderson (drawn by D. Gallinari),4,2
12,1,10:00.0,,D. Arthur misses 2-pt jump shot from 10 ft,4,2
13,1,9:57.0,Defensive rebound by M. Brown,,4,2
14,1,9:48.0,Turnover by J. Johnson (lost ball; steal by D. Gallinari),,4,2
15,1,9:38.0,,D. Arthur misses 2-pt layup at rim (block by J. Johnson),4,2
16,1,9:36.0,Defensive rebound by J. Johnson,,4,2
17,1,9:32.0,J. Johnson makes 2-pt layup from 2 ft (assist by D. Williams),,6,2
18,1,9:16.0,,G. Harris misses 2-pt jump shot from 14 ft,6,2
19,1,9:15.0,,Offensive rebound by J. Nurkić,6,2
20,1,9:13.0,,J. Nurkić misses 2-pt jump shot from 3 ft,6,2
21,1,9:11.0,,Offensive rebound by D. Arthur,6,2
22,1,9:08.0,,D. Arthur makes 2-pt jump shot from 3 ft,6,4
23,1,8:50.0,J. Johnson makes 2-pt jump shot from 12 ft,,8,4
24,1,8:23.0,,J. Nurkić makes 2-pt hook shot from 5 ft (assist by T. Lawson),8,6
25,1,8:06.0,J. Johnson misses 3-pt jump shot from 25 ft,,8,6
26,1,8:04.0,,Defensive rebound by J. Nurkić,8,6
27,1,7:58.0,,Offensive foul by J. Nurkić (drawn by D. Williams),8,6
28,1,7:58.0,,Turnover by J. Nurkić (offensive foul),8,6
29,1,7:38.0,M. Plumlee makes 2-pt jump shot from 3 ft,,10,6
30,1,7:28.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by T. Lawson),10,9
31,1,7:02.0,M. Brown misses 3-pt jump shot from 25 ft,,10,9
