,QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
0,1,11:39.0,M. Morris misses 2-pt jump shot from 14 ft,,0,0
1,1,11:38.0,,Defensive rebound by J. Harden,0,0
2,1,11:32.0,,J. Terry makes 3-pt jump shot from 23 ft (assist by J. Harden),0,3
3,1,11:11.0,P. Tucker makes 2-pt jump shot from 16 ft (assist by G. Dragić),,2,3
4,1,10:50.0,,D. Motiejūnas makes 2-pt hook shot from 4 ft,2,5
5,1,10:27.0,E. Bledsoe makes 2-pt layup from 1 ft,,4,5
6,1,10:09.0,,J. Terry makes 3-pt jump shot from 24 ft (assist by D. Motiejūnas),4,8
7,1,9:52.0,M. Morris misses 3-pt jump shot from 24 ft,,4,8
8,1,9:51.0,,Defensive rebound by T. Ariza,4,8
9,1,9:36.0,,D. Motiejūnas makes 2-pt layup from 2 ft (assist by J. Harden),4,10
10,1,9:23.0,M. Morris misses 2-pt jump shot from 10 ft,,4,10
11,1,9:21.0,,Defensive rebound by J. Harden,4,10
12,1,9:18.0,,J. Harden misses 2-pt jump shot from 3 ft (block by E. Bledsoe),4,10
13,1,9:16.0,,Offensive rebound by T. Black,4,10
14,1,9:16.0,,T. Black makes 2-pt tip-in from 3 ft,4,12
15,1,9:11.0,Phoenix full timeout,,4,12
16,1,9:02.0,,Violation by T. Black (def goaltending),4,12
17,1,9:02.0,M. Plumlee makes 2-pt hook shot from 8 ft (assist by E. Bledsoe),,6,12
18,1,8:51.0,,J. Harden misses 3-pt jump shot from 27 ft,6,12
19,1,8:49.0,Defensive rebound by E. Bledsoe,,6,12
20,1,8:41.0,M. Morris misses 3-pt jump shot from 24 ft,,6,12
21,1,8:40.0,Offensive rebound by M. Plumlee,,6,12
22,1,8:29.0,M. Morris misses 2-pt layup from 4 ft (block by J. Harden),,6,12
23,1,8:27.0,,Defensive rebound by T. Black,6,12
24,1,8:20.0,,T. Ariza misses 3-pt jump shot from 24 ft,6,12
25,1,8:19.0,Defensive rebound by M. Morris,,6,12
26,1,8:16.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by M. Morris),,8,12
27,1,8:04.0,,Turnover by J. Terry (bad pass; steal by M. Plumlee),8,12
28,1,8:01.0,Shooting foul by D. Motiejūnas (drawn by P. Tucker),,8,12
29,1,8:01.0,P. Tucker makes free throw 1 of 2,,9,12
30,1,8:01.0,P. Tucker makes free throw 2 of 2,,10,12
31,1,7:44.0,,J. Harden makes 2-pt jump shot from 14 ft,10,14
32,1,7:22.0,M. Morris misses 2-pt jump shot from 11 ft,,10,14
33,1,7:22.0,,Defensive rebound by J. Harden,10,14
34,1,7:05.0,,J. Terry makes 2-pt layup at rim,10,16
35,1,6:46.0,P. Tucker misses 3-pt jump shot from 22 ft,,10,16
36,1,6:45.0,,Defensive rebound by T. Black,10,16
37,1,6:36.0,,J. Harden misses 3-pt jump shot from 25 ft,10,16
38,1,6:36.0,Defensive rebound by M. Morris,,10,16
39,1,6:21.0,G. Dragić misses 3-pt jump shot from 25 ft,,10,16
40,1,6:20.0,,Defensive rebound by D. Motiejūnas,10,16
41,1,6:03.0,,Personal foul by P. Tucker (drawn by D. Motiejūnas),10,16
42,1,6:03.0,A. Len enters the game for M. Plumlee,,10,16
43,1,6:03.0,,J. Dorsey enters the game for D. Motiejūnas,10,16
