,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BOSTON_ACTION,LA CLIPPERS_SCORE,BOSTON_SCORE
0,1,11:41.0,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),,3,0
1,1,11:24.0,,Turnover by B. Bass (bad pass; steal by C. Paul),3,0
2,1,11:18.0,M. Barnes makes 3-pt jump shot from 22 ft (assist by J. Redick),,6,0
3,1,10:56.0,,T. Zeller makes 2-pt layup at rim (assist by E. Turner),6,2
4,1,10:44.0,D. Jordan misses 2-pt hook shot from 4 ft,,6,2
5,1,10:43.0,,Defensive rebound by T. Zeller,6,2
6,1,10:35.0,,T. Zeller misses 2-pt jump shot from 19 ft,6,2
7,1,10:34.0,Defensive rebound by D. Jordan,,6,2
8,1,10:23.0,C. Paul misses 2-pt jump shot from 13 ft,,6,2
9,1,10:22.0,,Defensive rebound by T. Zeller,6,2
10,1,10:09.0,,M. Smart misses 3-pt jump shot from 24 ft,6,2
11,1,10:08.0,Defensive rebound by J. Redick,,6,2
12,1,9:52.0,Shooting foul by T. Zeller (drawn by D. Jordan),,6,2
13,1,9:52.0,D. Jordan misses free throw 1 of 2,,6,2
14,1,9:52.0,Offensive rebound by Team,,6,2
15,1,9:52.0,D. Jordan misses free throw 2 of 2,,6,2
16,1,9:52.0,,Defensive rebound by M. Smart,6,2
17,1,9:42.0,,Turnover by E. Turner (bad pass; steal by D. Jordan),6,2
18,1,9:40.0,Shooting foul by M. Smart (drawn by B. Griffin),,6,2
19,1,9:40.0,B. Griffin misses free throw 1 of 2,,6,2
20,1,9:40.0,Offensive rebound by Team,,6,2
21,1,9:40.0,B. Griffin makes free throw 2 of 2,,7,2
22,1,9:23.0,,E. Turner makes 2-pt jump shot from 9 ft,7,4
23,1,9:11.0,B. Griffin makes 2-pt layup from 2 ft (assist by J. Redick),,9,4
24,1,8:54.0,,T. Zeller misses 2-pt hook shot from 5 ft,9,4
25,1,8:53.0,Defensive rebound by D. Jordan,,9,4
26,1,8:46.0,D. Jordan makes 2-pt dunk at rim (assist by M. Barnes),,11,4
27,1,8:24.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by E. Turner),11,7
28,1,8:08.0,B. Griffin misses 2-pt jump shot from 18 ft,,11,7
29,1,8:07.0,,Defensive rebound by E. Turner,11,7
30,1,8:03.0,,E. Turner misses 2-pt layup from 2 ft (block by M. Barnes),11,7
31,1,8:02.0,,Offensive rebound by Team,11,7
32,1,7:56.0,,M. Smart misses 2-pt jump shot from 17 ft,11,7
33,1,7:55.0,Defensive rebound by B. Griffin,,11,7
34,1,7:48.0,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),,13,7
35,1,7:48.0,Shooting foul by B. Bass (drawn by B. Griffin),,13,7
36,1,7:48.0,,I. Thomas enters the game for M. Smart,13,7
37,1,7:48.0,,J. Crowder enters the game for B. Bass,13,7
38,1,7:48.0,B. Griffin makes free throw 1 of 1,,14,7
39,1,7:35.0,,J. Crowder makes 2-pt jump shot from 19 ft (assist by I. Thomas),14,9
40,1,7:19.0,,Violation by J. Crowder (kicked ball),14,9
41,1,7:18.0,Personal foul by J. Crowder (drawn by B. Griffin),,14,9
42,1,7:08.0,D. Jordan makes 2-pt dunk at rim (assist by J. Redick),,16,9
43,1,7:08.0,Shooting foul by A. Bradley (drawn by D. Jordan),,16,9
44,1,7:08.0,D. Jordan misses free throw 1 of 1,,16,9
45,1,7:07.0,,Defensive rebound by E. Turner,16,9
46,1,6:53.0,,I. Thomas makes 2-pt jump shot from 18 ft,16,11
47,1,6:41.0,B. Griffin makes 2-pt hook shot from 4 ft (assist by C. Paul),,18,11
48,1,6:27.0,,T. Zeller misses 2-pt layup from 2 ft (block by C. Paul),18,11
49,1,6:26.0,Defensive rebound by D. Jordan,,18,11
50,1,6:19.0,Turnover by C. Paul (lost ball; steal by I. Thomas),,18,11
51,1,6:11.0,,T. Zeller makes 2-pt jump shot from 6 ft (assist by I. Thomas),18,13
52,1,5:58.0,J. Redick misses 2-pt jump shot from 21 ft,,18,13
53,1,5:55.0,Offensive rebound by B. Griffin,,18,13
54,1,5:48.0,M. Barnes misses 3-pt jump shot from 25 ft,,18,13
55,1,5:46.0,Offensive rebound by D. Jordan,,18,13
56,1,5:25.0,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),,21,13
57,1,5:24.0,,Boston full timeout,21,13
58,1,5:12.0,,J. Crowder misses 3-pt jump shot from 24 ft,21,13
59,1,5:10.0,Defensive rebound by J. Redick,,21,13
60,1,5:04.0,M. Barnes misses 2-pt layup from 2 ft (block by A. Bradley),,21,13
61,1,5:02.0,Offensive rebound by B. Griffin,,21,13
62,1,5:01.0,B. Griffin misses 2-pt layup from 2 ft,,21,13
63,1,5:00.0,,Defensive rebound by J. Crowder,21,13
64,1,4:57.0,,E. Turner makes 2-pt layup at rim (assist by A. Bradley),21,15
65,1,4:35.0,J. Redick makes 2-pt jump shot from 21 ft (assist by C. Paul),,23,15
66,1,4:19.0,,J. Crowder misses 2-pt jump shot from 13 ft,23,15
67,1,4:18.0,Defensive rebound by M. Barnes,,23,15
68,1,4:04.0,J. Redick makes 2-pt jump shot from 20 ft (assist by B. Griffin),,25,15
69,1,3:42.0,,T. Zeller misses 2-pt jump shot from 16 ft,25,15
70,1,3:41.0,Defensive rebound by M. Barnes,,25,15
71,1,3:28.0,Personal foul by I. Thomas (drawn by C. Paul),,25,15
72,1,3:28.0,C. Paul makes free throw 1 of 2,,26,15
73,1,3:28.0,C. Paul makes free throw 2 of 2,,27,15
74,1,3:14.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by A. Bradley),27,18
75,1,2:57.0,J. Redick misses 3-pt jump shot from 25 ft,,27,18
76,1,2:56.0,Offensive rebound by D. Jordan,,27,18
77,1,2:53.0,Turnover by D. Jordan (bad pass; steal by E. Turner),,27,18
78,1,2:53.0,,Personal foul by M. Barnes (drawn by E. Turner),27,18
79,1,2:53.0,LA Clippers full timeout,,27,18
80,1,2:53.0,,K. Olynyk enters the game for T. Zeller,27,18
81,1,2:53.0,,L. Datome enters the game for E. Turner,27,18
82,1,2:53.0,A. Rivers enters the game for J. Redick,,27,18
83,1,2:42.0,,A. Bradley misses 3-pt jump shot from 25 ft,27,18
84,1,2:41.0,Defensive rebound by B. Griffin,,27,18
85,1,2:21.0,Personal foul by J. Crowder (drawn by C. Paul),,27,18
86,1,2:21.0,C. Paul makes free throw 1 of 2,,28,18
87,1,2:21.0,C. Paul makes free throw 2 of 2,,29,18
88,1,2:08.0,,L. Datome misses 3-pt jump shot from 26 ft,29,18
89,1,2:06.0,,Offensive rebound by J. Crowder,29,18
90,1,2:00.0,,A. Bradley makes 2-pt layup from 1 ft (assist by K. Olynyk),29,20
91,1,1:44.0,Offensive foul by C. Paul (drawn by A. Bradley),,29,20
92,1,1:44.0,Turnover by C. Paul (offensive foul),,29,20
93,1,1:44.0,S. Hawes enters the game for M. Barnes,,29,20
94,1,1:44.0,H. Türkoğlu enters the game for B. Griffin,,29,20
95,1,1:33.0,,K. Olynyk misses 3-pt jump shot from 22 ft,29,20
96,1,1:31.0,Defensive rebound by S. Hawes,,29,20
97,1,1:19.0,C. Paul makes 2-pt jump shot from 14 ft,,31,20
98,1,0:59.0,,J. Crowder misses 3-pt jump shot from 23 ft,31,20
99,1,0:56.0,Defensive rebound by H. Türkoğlu,,31,20
100,1,0:49.0,Personal foul by J. Crowder (drawn by S. Hawes),,31,20
101,1,0:49.0,S. Hawes misses free throw 1 of 2,,31,20
102,1,0:49.0,Offensive rebound by Team,,31,20
103,1,0:49.0,,J. Jerebko enters the game for J. Crowder,31,20
104,1,0:49.0,G. Davis enters the game for D. Jordan,,31,20
105,1,0:49.0,S. Hawes makes free throw 2 of 2,,32,20
106,1,0:37.0,,Personal foul by A. Rivers (drawn by A. Bradley),32,20
107,1,0:27.0,,J. Jerebko misses 2-pt jump shot from 13 ft,32,20
108,1,0:26.0,Defensive rebound by A. Rivers,,32,20
109,1,0:04.0,C. Paul makes 2-pt jump shot from 11 ft,,34,20
110,1,0:00.0,,A. Bradley misses 3-pt jump shot from 35 ft,34,20
111,1,0:00.0,,Offensive rebound by Team,34,20
112,2,11:47.0,,L. Datome misses 3-pt jump shot from 24 ft,34,20
113,2,11:45.0,Defensive rebound by A. Rivers,,34,20
114,2,11:32.0,G. Davis makes 2-pt jump shot from 3 ft (assist by A. Rivers),,36,20
115,2,11:12.0,,I. Thomas misses 3-pt jump shot from 24 ft,36,20
116,2,11:10.0,Defensive rebound by S. Hawes,,36,20
117,2,11:01.0,J. Redick makes 2-pt jump shot from 22 ft (assist by S. Hawes),,38,20
118,2,10:44.0,,J. Jerebko misses 3-pt jump shot from 25 ft,38,20
119,2,10:42.0,Defensive rebound by J. Redick,,38,20
120,2,10:32.0,A. Rivers misses 2-pt jump shot from 17 ft,,38,20
121,2,10:31.0,,Defensive rebound by J. Jerebko,38,20
122,2,10:25.0,,Shooting foul by S. Hawes (drawn by I. Thomas),38,20
123,2,10:25.0,,I. Thomas makes free throw 1 of 2,38,21
124,2,10:25.0,,B. Bass enters the game for K. Olynyk,38,21
125,2,10:25.0,,I. Thomas makes free throw 2 of 2,38,22
126,2,10:08.0,H. Türkoğlu misses 3-pt jump shot from 26 ft,,38,22
127,2,10:06.0,Offensive rebound by G. Davis,,38,22
128,2,10:05.0,G. Davis makes 2-pt layup from 2 ft,,40,22
129,2,9:52.0,,M. Smart misses 2-pt jump shot from 3 ft,40,22
130,2,9:51.0,Defensive rebound by J. Redick,,40,22
131,2,9:46.0,A. Rivers misses 3-pt jump shot from 23 ft,,40,22
132,2,9:45.0,,Defensive rebound by Team,40,22
133,2,9:44.0,Loose ball foul by S. Hawes (drawn by L. Datome),,40,22
