,QUARTER,TIME_REMAINING,TORONTO_ACTION,ATLANTA_ACTION,TORONTO_SCORE,ATLANTA_SCORE
0,1,11:36.0,,P. Millsap misses 3-pt jump shot from 25 ft,0,0
1,1,11:35.0,Defensive rebound by D. DeRozan,,0,0
2,1,11:14.0,J. Valančiūnas misses 2-pt layup from 2 ft,,0,0
3,1,11:12.0,,Defensive rebound by A. Horford,0,0
4,1,11:03.0,,Turnover by P. Millsap (bad pass),0,0
5,1,10:47.0,T. Ross makes 2-pt jump shot from 20 ft,,2,0
6,1,10:23.0,,A. Horford misses 2-pt jump shot from 15 ft,2,0
7,1,10:22.0,,Offensive rebound by P. Millsap,2,0
8,1,10:14.0,,D. Carroll misses 2-pt jump shot from 10 ft,2,0
9,1,10:13.0,,Offensive rebound by P. Millsap,2,0
10,1,10:10.0,,A. Horford makes 2-pt jump shot from 16 ft (assist by P. Millsap),2,2
11,1,9:47.0,Turnover by D. DeRozan (traveling),,2,2
12,1,9:37.0,,J. Teague makes 3-pt jump shot from 24 ft,2,5
13,1,9:14.0,A. Johnson misses 3-pt jump shot from 25 ft,,2,5
14,1,9:12.0,Offensive rebound by D. DeRozan,,2,5
15,1,9:01.0,K. Lowry misses 3-pt jump shot from 24 ft,,2,5
16,1,8:59.0,Offensive rebound by J. Valančiūnas,,2,5
17,1,8:57.0,J. Valančiūnas makes 2-pt layup from 1 ft,,4,5
18,1,8:49.0,,Personal foul by K. Lowry (drawn by J. Teague),4,5
19,1,8:47.0,,K. Korver makes 2-pt jump shot from 18 ft (assist by J. Teague),4,7
20,1,8:20.0,D. DeRozan makes 2-pt jump shot from 19 ft,,6,7
21,1,7:46.0,,J. Teague misses 2-pt jump shot from 6 ft (block by J. Valančiūnas),6,7
22,1,7:44.0,Defensive rebound by K. Lowry,,6,7
23,1,7:44.0,Turnover by K. Lowry (step out of bounds),,6,7
24,1,7:39.0,,P. Millsap makes 2-pt layup from 1 ft (assist by J. Teague),6,9
25,1,7:23.0,Shooting foul by J. Teague (drawn by D. DeRozan),,6,9
26,1,7:23.0,D. DeRozan makes 2-pt jump shot from 4 ft,,8,9
27,1,7:23.0,D. DeRozan makes free throw 1 of 1,,9,9
28,1,7:12.0,,K. Korver misses 2-pt jump shot from 10 ft,9,9
29,1,7:11.0,Defensive rebound by J. Valančiūnas,,9,9
30,1,7:00.0,D. DeRozan makes 2-pt jump shot from 18 ft (assist by K. Lowry),,11,9
31,1,6:42.0,,P. Millsap makes 2-pt jump shot from 5 ft (assist by J. Teague),11,11
32,1,6:33.0,T. Ross makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,14,11
33,1,6:17.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by J. Teague),14,14
34,1,6:05.0,Personal foul by P. Millsap (drawn by D. DeRozan),,14,14
35,1,5:59.0,D. DeRozan makes 3-pt jump shot from 24 ft (assist by K. Lowry),,17,14
36,1,5:50.0,,Atlanta full timeout,17,14
37,1,5:50.0,,P. Antić enters the game for A. Horford,17,14
38,1,5:42.0,,P. Millsap misses 2-pt layup from 1 ft,17,14
39,1,5:39.0,Defensive rebound by Team,,17,14
40,1,5:39.0,,Loose ball foul by P. Millsap (drawn by K. Lowry),17,14
41,1,5:39.0,,M. Scott enters the game for P. Millsap,17,14
42,1,5:21.0,,S. Mack enters the game for D. Carroll,17,14
43,1,5:21.0,Turnover by D. DeRozan (back court),,17,14
44,1,5:05.0,,Personal foul by A. Johnson (drawn by J. Teague),17,14
45,1,4:57.0,,M. Scott misses 2-pt jump shot from 18 ft (block by A. Johnson),17,14
46,1,4:55.0,Defensive rebound by K. Lowry,,17,14
47,1,4:50.0,A. Johnson makes 2-pt dunk at rim (assist by K. Lowry),,19,14
48,1,4:44.0,,M. Scott misses 2-pt layup from 1 ft,19,14
49,1,4:42.0,Defensive rebound by J. Valančiūnas,,19,14
50,1,4:29.0,Shooting foul by M. Scott (drawn by J. Valančiūnas),,19,14
51,1,4:29.0,J. Valančiūnas makes free throw 1 of 2,,20,14
52,1,4:29.0,,D. Schröder enters the game for J. Teague,20,14
53,1,4:29.0,J. Valančiūnas misses free throw 2 of 2,,20,14
54,1,4:29.0,,Defensive rebound by K. Korver,20,14
55,1,4:15.0,,Turnover by K. Korver (bad pass),20,14
56,1,4:00.0,D. DeRozan makes 2-pt layup from 2 ft,,22,14
57,1,3:45.0,,D. Schröder makes 2-pt jump shot from 15 ft,22,16
58,1,3:32.0,Turnover by J. Valančiūnas (traveling),,22,16
59,1,3:32.0,L. Williams enters the game for T. Ross,,22,16
60,1,3:22.0,,K. Korver misses 3-pt jump shot from 25 ft,22,16
61,1,3:21.0,Defensive rebound by J. Valančiūnas,,22,16
62,1,3:11.0,A. Johnson misses 3-pt jump shot from 25 ft,,22,16
63,1,3:10.0,,Defensive rebound by S. Mack,22,16
64,1,3:01.0,,D. Schröder makes 2-pt jump shot from 6 ft,22,18
65,1,2:50.0,Toronto full timeout,,22,18
66,1,2:50.0,,D. Carroll enters the game for K. Korver,22,18
67,1,2:50.0,P. Patterson enters the game for A. Johnson,,22,18
68,1,2:43.0,Turnover by D. DeRozan (traveling),,22,18
69,1,2:35.0,,Turnover by M. Scott (bad pass; steal by L. Williams),22,18
70,1,2:31.0,Shooting foul by S. Mack (drawn by L. Williams),,22,18
71,1,2:31.0,L. Williams makes free throw 1 of 2,,23,18
72,1,2:31.0,L. Williams makes free throw 2 of 2,,24,18
73,1,2:17.0,,D. Schröder misses 2-pt jump shot from 15 ft,24,18
74,1,2:13.0,Defensive rebound by P. Patterson,,24,18
75,1,1:57.0,J. Valančiūnas misses 2-pt jump shot from 13 ft,,24,18
76,1,1:55.0,,Defensive rebound by Team,24,18
77,1,1:47.0,,S. Mack makes 2-pt jump shot from 19 ft,24,20
78,1,1:38.0,K. Lowry makes free throw 1 of 2,,25,20
79,1,1:38.0,C. Hayes enters the game for J. Valančiūnas,,25,20
80,1,1:38.0,K. Lowry makes free throw 2 of 2,,26,20
81,1,1:38.0,Personal block foul by D. Schröder (drawn by K. Lowry),,26,20
82,1,1:24.0,,P. Antić misses 2-pt layup from 2 ft,26,20
83,1,1:23.0,Defensive rebound by C. Hayes,,26,20
84,1,1:10.0,K. Lowry misses 2-pt jump shot from 6 ft,,26,20
85,1,1:09.0,,Defensive rebound by D. Schröder,26,20
86,1,1:03.0,,S. Mack misses 3-pt jump shot from 23 ft,26,20
87,1,1:00.0,Defensive rebound by P. Patterson,,26,20
88,1,0:51.0,Shooting foul by D. Schröder (drawn by K. Lowry),,26,20
89,1,0:51.0,,Technical foul by D. Carroll,26,20
90,1,0:51.0,D. DeRozan makes technical free throw,,27,20
91,1,0:51.0,,Technical foul by S. Mack,27,20
92,1,0:51.0,D. DeRozan makes technical free throw,,28,20
93,1,0:51.0,K. Lowry misses free throw 1 of 2,,28,20
94,1,0:51.0,Offensive rebound by Team,,28,20
95,1,0:51.0,J. Johnson enters the game for D. DeRozan,,28,20
96,1,0:51.0,,A. Horford enters the game for P. Antić,28,20
97,1,0:51.0,K. Lowry makes free throw 2 of 2,,29,20
98,1,0:43.0,,M. Scott makes 2-pt jump shot from 13 ft (assist by D. Schröder),29,22
