,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MEMPHIS_ACTION,HOUSTON_SCORE,MEMPHIS_SCORE
0,1,11:45.0,D. Howard makes 2-pt dunk at rim (assist by J. Harden),,2,0
1,1,11:22.0,,Z. Randolph misses 2-pt jump shot from 13 ft,2,0
2,1,11:22.0,Defensive rebound by D. Howard,,2,0
3,1,11:05.0,D. Motiejūnas misses 2-pt hook shot from 9 ft,,2,0
4,1,11:02.0,,Defensive rebound by Z. Randolph,2,0
5,1,10:58.0,,T. Allen misses 2-pt jump shot from 5 ft (block by D. Motiejūnas),2,0
6,1,10:56.0,Defensive rebound by P. Beverley,,2,0
7,1,10:34.0,P. Beverley makes 2-pt layup from 2 ft,,4,0
8,1,10:25.0,,M. Conley makes 2-pt layup from 1 ft,4,2
9,1,10:00.0,Turnover by D. Howard (lost ball; steal by Z. Randolph),,4,2
10,1,9:51.0,,M. Gasol makes 2-pt hook shot from 7 ft,4,4
11,1,9:51.0,,Shooting foul by D. Motiejūnas (drawn by M. Gasol),4,4
12,1,9:51.0,,M. Gasol makes free throw 1 of 1,4,5
13,1,9:40.0,Shooting foul by T. Allen (drawn by J. Harden),,4,5
14,1,9:40.0,J. Harden makes free throw 1 of 2,,5,5
15,1,9:40.0,J. Harden makes free throw 2 of 2,,6,5
16,1,9:30.0,,Z. Randolph makes 2-pt dunk at rim (assist by M. Conley),6,7
17,1,9:12.0,Shooting foul by T. Allen (drawn by D. Howard),,6,7
18,1,9:12.0,D. Howard makes free throw 1 of 2,,7,7
19,1,9:12.0,,Q. Pondexter enters the game for T. Allen,7,7
20,1,9:12.0,D. Howard misses free throw 2 of 2,,7,7
21,1,9:11.0,,Defensive rebound by Q. Pondexter,7,7
22,1,8:49.0,,M. Gasol misses 2-pt jump shot from 16 ft,7,7
23,1,8:48.0,Defensive rebound by J. Harden,,7,7
24,1,8:40.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by J. Harden),,10,7
25,1,8:30.0,,Z. Randolph misses 2-pt jump shot from 19 ft,10,7
26,1,8:29.0,Defensive rebound by J. Harden,,10,7
27,1,8:28.0,,Technical foul by T. Allen,10,7
28,1,8:28.0,J. Harden makes technical free throw,,11,7
29,1,8:22.0,,Offensive charge foul by T. Ariza (drawn by M. Conley),11,7
30,1,8:22.0,Turnover by T. Ariza (offensive foul),,11,7
31,1,8:06.0,,M. Gasol misses 2-pt jump shot from 7 ft,11,7
32,1,8:04.0,Defensive rebound by D. Howard,,11,7
33,1,7:55.0,Turnover by D. Motiejūnas (lost ball),,11,7
34,1,7:42.0,,M. Gasol misses 2-pt jump shot from 18 ft,11,7
35,1,7:41.0,Defensive rebound by D. Howard,,11,7
36,1,7:24.0,T. Ariza misses 3-pt jump shot from 26 ft,,11,7
37,1,7:23.0,,Defensive rebound by Team,11,7
38,1,7:08.0,,Q. Pondexter makes 2-pt layup at rim (assist by M. Gasol),11,9
39,1,6:51.0,D. Howard makes 2-pt hook shot from 4 ft,,13,9
40,1,6:28.0,,Z. Randolph makes 2-pt hook shot from 5 ft (assist by Q. Pondexter),13,11
41,1,6:22.0,Turnover by T. Ariza (bad pass; steal by C. Lee),,13,11
42,1,6:17.0,,M. Conley misses 3-pt jump shot from 26 ft,13,11
43,1,6:15.0,,Offensive rebound by M. Gasol,13,11
44,1,6:15.0,,M. Gasol makes 2-pt tip-in at rim,13,13
45,1,6:12.0,Houston full timeout,,13,13
46,1,6:12.0,J. Terry enters the game for P. Beverley,,13,13
