,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,HOUSTON_ACTION,PHILADELPHIA_SCORE,HOUSTON_SCORE
0,1,11:45.0,,T. Ariza misses 3-pt jump shot from 23 ft,0,0
1,1,11:43.0,,Offensive rebound by D. Motiejūnas,0,0
2,1,11:22.0,,I. Canaan misses 3-pt jump shot from 24 ft,0,0
3,1,11:21.0,,Offensive rebound by T. Ariza,0,0
4,1,11:16.0,,T. Ariza makes 2-pt jump shot from 4 ft,0,2
5,1,11:16.0,,Shooting foul by H. Thompson (drawn by T. Ariza),0,2
6,1,11:16.0,,T. Ariza misses free throw 1 of 1,0,2
7,1,11:14.0,Defensive rebound by L. Mbah a Moute,,0,2
8,1,10:59.0,L. Mbah a Moute misses 2-pt layup from 4 ft,,0,2
9,1,10:58.0,,Defensive rebound by D. Motiejūnas,0,2
10,1,10:47.0,,Shooting foul by T. Wroten (drawn by D. Howard),0,2
11,1,10:47.0,,D. Howard misses free throw 1 of 2,0,2
12,1,10:47.0,,Offensive rebound by Team,0,2
13,1,10:47.0,,D. Howard misses free throw 2 of 2,0,2
14,1,10:46.0,Defensive rebound by T. Wroten,,0,2
15,1,10:33.0,B. Davies makes 3-pt jump shot from 24 ft (assist by T. Wroten),,3,2
16,1,10:13.0,,D. Howard makes 2-pt layup from 3 ft (assist by I. Canaan),3,4
17,1,10:02.0,L. Mbah a Moute makes 2-pt layup at rim (assist by B. Davies),,5,4
18,1,9:47.0,,D. Howard misses 2-pt hook shot from 1 ft,5,4
19,1,9:46.0,,Offensive rebound by D. Motiejūnas,5,4
20,1,9:40.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by I. Canaan),5,7
21,1,9:29.0,H. Sims makes 2-pt jump shot from 17 ft (assist by T. Wroten),,7,7
22,1,9:13.0,,Turnover by D. Howard (lost ball; steal by T. Wroten),7,7
23,1,9:08.0,T. Wroten misses 2-pt layup from 3 ft,,7,7
24,1,9:07.0,Offensive rebound by T. Wroten,,7,7
25,1,9:06.0,T. Wroten misses 2-pt layup from 1 ft (block by J. Harden),,7,7
26,1,9:04.0,,Defensive rebound by T. Ariza,7,7
27,1,8:53.0,,J. Harden makes 2-pt layup at rim,7,9
28,1,8:28.0,L. Mbah a Moute makes 2-pt jump shot from 7 ft (assist by T. Wroten),,9,9
29,1,8:17.0,,Turnover by I. Canaan (traveling),9,9
