,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,WASHINGTON_ACTION,PHILADELPHIA_SCORE,WASHINGTON_SCORE
0,1,11:53.0,Turnover by M. Carter-Williams (bad pass; steal by N. Hilário),,0,0
1,1,11:49.0,,N. Hilário makes 2-pt layup from 1 ft,0,2
2,1,11:26.0,K. McDaniels misses 2-pt jump shot from 16 ft,,0,2
3,1,11:25.0,,Defensive rebound by M. Gortat,0,2
4,1,11:06.0,,M. Gortat misses 2-pt layup from 1 ft,0,2
5,1,11:05.0,,Offensive rebound by M. Gortat,0,2
6,1,11:03.0,,M. Gortat makes 2-pt layup from 2 ft,0,4
7,1,10:48.0,N. Noel makes 2-pt jump shot from 11 ft,,2,4
8,1,10:33.0,,P. Pierce misses 3-pt jump shot from 27 ft,2,4
9,1,10:32.0,,Offensive rebound by Team,2,4
10,1,10:24.0,,B. Beal makes 2-pt jump shot from 13 ft (assist by J. Wall),2,6
11,1,10:01.0,H. Sims makes 2-pt jump shot from 3 ft,,4,6
12,1,9:44.0,,Shooting foul by K. McDaniels (drawn by N. Hilário),4,6
13,1,9:44.0,,N. Hilário makes free throw 1 of 2,4,7
14,1,9:44.0,,N. Hilário misses free throw 2 of 2,4,7
15,1,9:43.0,Defensive rebound by H. Sims,,4,7
16,1,9:35.0,Shooting foul by B. Beal (drawn by M. Carter-Williams),,4,7
17,1,9:35.0,M. Carter-Williams misses free throw 1 of 2,,4,7
18,1,9:35.0,Offensive rebound by Team,,4,7
19,1,9:35.0,M. Carter-Williams misses free throw 2 of 2,,4,7
20,1,9:34.0,,Defensive rebound by N. Hilário,4,7
21,1,9:22.0,,P. Pierce misses 2-pt jump shot from 8 ft,4,7
22,1,9:21.0,Defensive rebound by M. Carter-Williams,,4,7
23,1,9:09.0,N. Noel misses 2-pt jump shot from 19 ft,,4,7
24,1,9:08.0,,Defensive rebound by P. Pierce,4,7
25,1,8:58.0,,M. Gortat misses 2-pt jump shot from 5 ft (block by N. Noel),4,7
26,1,8:56.0,Defensive rebound by K. McDaniels,,4,7
27,1,8:56.0,Personal foul by N. Hilário (drawn by N. Noel),,4,7
28,1,8:45.0,,Violation by B. Beal (kicked ball),4,7
29,1,8:38.0,M. Carter-Williams makes 2-pt layup from 2 ft,,6,7
30,1,8:26.0,,Offensive foul by N. Hilário (drawn by N. Noel),6,7
31,1,8:26.0,,Turnover by N. Hilário (offensive foul),6,7
32,1,8:26.0,,K. Humphries enters the game for N. Hilário,6,7
33,1,8:09.0,H. Sims misses 2-pt jump shot from 15 ft,,6,7
34,1,8:08.0,,Defensive rebound by J. Wall,6,7
35,1,7:59.0,,Turnover by P. Pierce (bad pass),6,7
36,1,7:48.0,K. McDaniels misses 2-pt layup from 1 ft (block by M. Gortat),,6,7
37,1,7:48.0,,Defensive rebound by Team,6,7
38,1,7:23.0,,K. Humphries misses 2-pt jump shot from 9 ft,6,7
39,1,7:22.0,Defensive rebound by N. Noel,,6,7
40,1,7:14.0,H. Sims misses 2-pt layup from 1 ft,,6,7
41,1,7:13.0,,Defensive rebound by M. Gortat,6,7
42,1,7:08.0,,J. Wall misses 2-pt jump shot from 18 ft,6,7
43,1,7:06.0,Defensive rebound by K. McDaniels,,6,7
44,1,6:51.0,R. Covington misses 3-pt jump shot from 26 ft,,6,7
45,1,6:50.0,Offensive rebound by N. Noel,,6,7
46,1,6:48.0,N. Noel makes 2-pt tip-in from 2 ft,,8,7
47,1,6:44.0,,Washington full timeout,8,7
48,1,6:34.0,,B. Beal misses 2-pt jump shot from 21 ft,8,7
49,1,6:33.0,Defensive rebound by R. Covington,,8,7
50,1,6:23.0,M. Carter-Williams misses 2-pt jump shot from 6 ft (block by M. Gortat),,8,7
51,1,6:21.0,,Defensive rebound by Team,8,7
52,1,5:59.0,,M. Gortat makes 2-pt layup from 1 ft (assist by B. Beal),8,9
53,1,5:44.0,N. Noel misses 2-pt jump shot from 6 ft,,8,9
54,1,5:43.0,,Defensive rebound by P. Pierce,8,9
55,1,5:33.0,,Personal foul by N. Noel (drawn by P. Pierce),8,9
56,1,5:33.0,J. Grant enters the game for K. McDaniels,,8,9
57,1,5:33.0,F. Aldemir enters the game for H. Sims,,8,9
58,1,5:26.0,,Shooting foul by F. Aldemir (drawn by M. Gortat),8,9
59,1,5:26.0,,M. Gortat makes free throw 1 of 2,8,10
60,1,5:26.0,,M. Gortat makes free throw 2 of 2,8,11
61,1,5:04.0,N. Noel makes 2-pt jump shot from 17 ft (assist by J. Grant),,10,11
62,1,4:53.0,,P. Pierce makes 3-pt jump shot from 26 ft (assist by B. Beal),10,14
63,1,4:34.0,N. Noel misses 2-pt layup from 1 ft,,10,14
64,1,4:33.0,,Defensive rebound by M. Gortat,10,14
65,1,4:23.0,,J. Wall makes 2-pt jump shot from 19 ft (assist by P. Pierce),10,16
66,1,4:20.0,Philadelphia full timeout,,10,16
67,1,4:20.0,,R. Butler enters the game for B. Beal,10,16
68,1,4:07.0,Turnover by N. Noel (bad pass),,10,16
69,1,4:07.0,H. Thompson enters the game for R. Covington,,10,16
70,1,4:07.0,M. Thomas enters the game for N. Noel,,10,16
71,1,3:55.0,,M. Gortat makes 2-pt jump shot from 6 ft (assist by J. Wall),10,18
72,1,3:44.0,Shooting foul by K. Humphries (drawn by M. Carter-Williams),,10,18
73,1,3:44.0,M. Carter-Williams makes free throw 1 of 2,,11,18
74,1,3:44.0,,O. Porter enters the game for P. Pierce,11,18
75,1,3:44.0,M. Carter-Williams misses free throw 2 of 2,,11,18
76,1,3:43.0,,Defensive rebound by M. Gortat,11,18
77,1,3:25.0,,Turnover by J. Wall (bad pass),11,18
78,1,3:06.0,M. Carter-Williams misses 2-pt jump shot from 16 ft,,11,18
79,1,3:05.0,,Defensive rebound by K. Humphries,11,18
80,1,3:00.0,,R. Butler makes 2-pt dunk at rim (assist by J. Wall),11,20
81,1,2:48.0,Personal block foul by K. Humphries (drawn by J. Grant),,11,20
82,1,2:48.0,L. Drew enters the game for M. Carter-Williams,,11,20
83,1,2:42.0,M. Thomas misses 3-pt jump shot from 26 ft,,11,20
84,1,2:40.0,,Defensive rebound by O. Porter,11,20
85,1,2:27.0,,J. Wall makes 2-pt jump shot from 20 ft,11,22
86,1,2:08.0,J. Grant misses 3-pt jump shot from 26 ft,,11,22
87,1,2:07.0,,Defensive rebound by R. Butler,11,22
88,1,1:59.0,,R. Butler misses 2-pt jump shot from 19 ft,11,22
89,1,1:57.0,Defensive rebound by Team,,11,22
90,1,1:46.0,M. Thomas misses 2-pt layup from 1 ft,,11,22
91,1,1:43.0,,Defensive rebound by O. Porter,11,22
92,1,1:33.0,,J. Wall makes 2-pt jump shot from 18 ft,11,24
