,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
0,1,11:49.0,,R. Gay makes 2-pt jump shot from 20 ft (assist by D. Collison),0,2
1,1,11:49.0,,Shooting foul by T. Hardaway (drawn by R. Gay),0,2
2,1,11:49.0,,R. Gay makes free throw 1 of 1,0,3
3,1,11:33.0,C. Anthony misses 3-pt jump shot from 24 ft,,0,3
4,1,11:32.0,,Defensive rebound by J. Thompson,0,3
5,1,11:20.0,,B. McLemore misses 3-pt jump shot from 24 ft,0,3
6,1,11:19.0,Defensive rebound by C. Anthony,,0,3
7,1,11:10.0,J. Calderón misses 2-pt jump shot from 17 ft,,0,3
8,1,11:09.0,,Defensive rebound by B. McLemore,0,3
9,1,10:56.0,,Personal foul by C. Aldrich (drawn by D. Cousins),0,3
10,1,10:52.0,,D. Cousins misses 2-pt jump shot from 14 ft,0,3
11,1,10:51.0,Defensive rebound by C. Anthony,,0,3
12,1,10:40.0,C. Aldrich makes 2-pt hook shot from 7 ft,,2,3
13,1,10:26.0,,D. Cousins makes 2-pt jump shot from 6 ft,2,5
14,1,10:11.0,Turnover by J. Calderón (bad pass; steal by D. Collison),,2,5
15,1,9:59.0,,D. Cousins misses 2-pt jump shot from 17 ft,2,5
16,1,9:58.0,Defensive rebound by T. Hardaway,,2,5
17,1,9:42.0,J. Calderón misses 2-pt jump shot from 5 ft,,2,5
18,1,9:40.0,,Defensive rebound by J. Thompson,2,5
19,1,9:33.0,,R. Gay misses 3-pt jump shot from 24 ft,2,5
20,1,9:31.0,Defensive rebound by C. Anthony,,2,5
21,1,9:17.0,J. Smith misses 2-pt jump shot from 13 ft,,2,5
22,1,9:17.0,,Defensive rebound by J. Thompson,2,5
23,1,9:08.0,,D. Collison makes 2-pt jump shot from 16 ft,2,7
24,1,8:54.0,T. Hardaway misses 3-pt jump shot from 24 ft,,2,7
25,1,8:53.0,,Defensive rebound by D. Cousins,2,7
26,1,8:53.0,,Personal foul by J. Smith (drawn by D. Cousins),2,7
27,1,8:53.0,S. Dalembert enters the game for C. Aldrich,,2,7
28,1,8:39.0,,D. Cousins makes 2-pt jump shot from 16 ft (assist by D. Collison),2,9
29,1,8:26.0,J. Smith makes 2-pt jump shot from 15 ft (assist by C. Anthony),,4,9
30,1,8:13.0,,Personal foul by C. Anthony (drawn by R. Gay),4,9
31,1,8:05.0,,R. Gay misses 2-pt jump shot from 21 ft,4,9
32,1,8:04.0,Defensive rebound by T. Hardaway,,4,9
33,1,8:00.0,Personal foul by B. McLemore (drawn by T. Hardaway),,4,9
34,1,7:48.0,C. Anthony makes 2-pt jump shot from 17 ft,,6,9
35,1,7:31.0,,D. Cousins makes 2-pt jump shot from 11 ft (assist by D. Collison),6,11
36,1,7:24.0,Personal foul by D. Collison (drawn by C. Anthony),,6,11
37,1,7:16.0,Turnover by T. Hardaway (lost ball),,6,11
38,1,7:03.0,,D. Cousins makes 2-pt jump shot from 7 ft (assist by D. Collison),6,13
39,1,6:47.0,J. Calderón misses 2-pt layup from 1 ft (block by D. Cousins),,6,13
40,1,6:45.0,,Defensive rebound by D. Cousins,6,13
41,1,6:30.0,,R. Gay makes 2-pt jump shot from 6 ft,6,15
42,1,6:26.0,New York full timeout,,6,15
43,1,6:26.0,P. Prigioni enters the game for T. Hardaway,,6,15
44,1,6:21.0,S. Dalembert misses 2-pt jump shot from 10 ft,,6,15
45,1,6:20.0,,Defensive rebound by D. Cousins,6,15
46,1,6:01.0,,D. Cousins makes 2-pt dunk at rim,6,17
47,1,5:49.0,C. Anthony makes 2-pt jump shot from 4 ft (assist by P. Prigioni),,8,17
48,1,5:38.0,,D. Cousins makes 3-pt jump shot from 24 ft (assist by D. Collison),8,20
49,1,5:22.0,J. Calderón makes 2-pt layup from 1 ft (assist by C. Anthony),,10,20
50,1,5:06.0,,D. Cousins makes 2-pt jump shot from 17 ft (assist by D. Collison),10,22
51,1,4:45.0,J. Calderón misses 2-pt jump shot from 15 ft (block by B. McLemore),,10,22
52,1,4:45.0,Offensive rebound by Team,,10,22
53,1,4:38.0,P. Prigioni misses 2-pt jump shot from 20 ft,,10,22
54,1,4:37.0,,Defensive rebound by D. Cousins,10,22
55,1,4:31.0,,D. Cousins misses 2-pt jump shot from 8 ft,10,22
56,1,4:30.0,,Offensive rebound by D. Cousins,10,22
57,1,4:29.0,,D. Cousins misses 2-pt layup from 2 ft (block by S. Dalembert),10,22
58,1,4:27.0,Defensive rebound by S. Dalembert,,10,22
59,1,4:09.0,J. Smith makes 2-pt jump shot from 7 ft (assist by C. Anthony),,12,22
60,1,3:49.0,,J. Thompson makes 2-pt jump shot from 18 ft (assist by D. Collison),12,24
61,1,3:39.0,C. Anthony makes 2-pt layup from 3 ft,,14,24
62,1,3:34.0,Offensive charge foul by B. McLemore (drawn by P. Prigioni),,14,24
63,1,3:34.0,,Turnover by B. McLemore (offensive foul),14,24
64,1,3:34.0,,R. Evans enters the game for D. Cousins,14,24
65,1,3:34.0,,R. McCallum enters the game for B. McLemore,14,24
66,1,3:19.0,C. Anthony makes 2-pt jump shot from 14 ft (assist by J. Calderón),,16,24
67,1,2:53.0,,R. Gay makes 2-pt jump shot from 9 ft,16,26
68,1,2:34.0,Turnover by J. Calderón (bad pass; steal by R. Gay),,16,26
69,1,2:31.0,,R. Gay makes 2-pt dunk at rim,16,28
70,1,2:18.0,C. Anthony misses 2-pt jump shot from 20 ft,,16,28
71,1,2:18.0,,Defensive rebound by R. McCallum,16,28
