,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DETROIT_ACTION,NEW YORK_SCORE,DETROIT_SCORE
0,1,11:45.0,Turnover by I. Shumpert (step out of bounds),,0,0
1,1,11:22.0,,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by J. Smith),0,3
2,1,11:06.0,S. Dalembert makes 2-pt jump shot from 17 ft,,2,3
3,1,10:44.0,,G. Monroe makes 2-pt hook shot from 4 ft,2,5
4,1,10:28.0,C. Anthony misses 2-pt jump shot from 18 ft,,2,5
5,1,10:25.0,,Defensive rebound by G. Monroe,2,5
6,1,10:20.0,,Turnover by B. Jennings (bad pass; steal by S. Dalembert),2,5
7,1,10:06.0,S. Dalembert misses 2-pt jump shot from 14 ft,,2,5
8,1,10:05.0,,Defensive rebound by G. Monroe,2,5
9,1,9:56.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft,2,8
10,1,9:56.0,New York full timeout,,2,8
11,1,9:37.0,C. Anthony misses 2-pt jump shot from 11 ft (block by J. Smith),,2,8
12,1,9:36.0,,Defensive rebound by G. Monroe,2,8
13,1,9:20.0,,J. Smith misses 2-pt jump shot from 21 ft,2,8
14,1,9:19.0,Defensive rebound by J. Smith,,2,8
15,1,9:02.0,J. Smith makes 2-pt jump shot from 19 ft,,4,8
16,1,8:46.0,,A. Drummond misses 2-pt hook shot from 6 ft,4,8
17,1,8:45.0,Defensive rebound by S. Dalembert,,4,8
18,1,8:26.0,J. Smith makes 2-pt jump shot from 16 ft,,6,8
19,1,7:57.0,,B. Jennings misses 2-pt jump shot from 14 ft,6,8
20,1,7:56.0,Defensive rebound by C. Anthony,,6,8
21,1,7:36.0,I. Shumpert misses 2-pt jump shot from 15 ft,,6,8
22,1,7:35.0,,Defensive rebound by G. Monroe,6,8
23,1,7:17.0,,G. Monroe misses 2-pt hook shot from 6 ft,6,8
24,1,7:16.0,,Offensive rebound by J. Smith,6,8
25,1,7:15.0,,J. Smith makes 2-pt layup at rim,6,10
26,1,6:58.0,J. Smith makes 2-pt jump shot from 15 ft,,8,10
27,1,6:58.0,Shooting foul by G. Monroe (drawn by J. Smith),,8,10
28,1,6:58.0,J. Smith makes free throw 1 of 1,,9,10
29,1,6:44.0,,Shooting foul by S. Dalembert (drawn by B. Jennings),9,10
30,1,6:44.0,,B. Jennings makes free throw 1 of 2,9,11
31,1,6:44.0,,B. Jennings makes free throw 2 of 2,9,12
32,1,6:28.0,I. Shumpert makes 3-pt jump shot from 26 ft (assist by S. Dalembert),,12,12
33,1,6:09.0,,Personal foul by C. Anthony (drawn by J. Smith),12,12
34,1,6:09.0,A. Stoudemire enters the game for S. Dalembert,,12,12
35,1,5:59.0,,J. Smith misses 2-pt jump shot from 13 ft,12,12
36,1,5:58.0,,Offensive rebound by J. Smith,12,12
37,1,5:57.0,,J. Smith misses 2-pt layup at rim,12,12
38,1,5:56.0,,Offensive rebound by J. Smith,12,12
39,1,5:55.0,,J. Smith misses 2-pt tip-in at rim,12,12
40,1,5:54.0,,Offensive rebound by A. Drummond,12,12
41,1,5:54.0,,Offensive foul by A. Drummond (drawn by A. Stoudemire),12,12
42,1,5:54.0,,Turnover by A. Drummond (offensive foul),12,12
43,1,5:41.0,J. Smith makes 2-pt jump shot from 18 ft (assist by A. Stoudemire),,14,12
44,1,5:17.0,,G. Monroe misses 2-pt hook shot from 6 ft,14,12
45,1,5:16.0,Defensive rebound by I. Shumpert,,14,12
46,1,5:13.0,,C. Butler enters the game for A. Drummond,14,12
47,1,5:11.0,Turnover by S. Larkin (bad pass; steal by J. Smith),,14,12
48,1,5:06.0,,B. Jennings makes 2-pt dunk at rim (assist by J. Smith),14,14
49,1,4:50.0,I. Shumpert makes 2-pt layup at rim,,16,14
50,1,4:34.0,,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by B. Jennings),16,17
51,1,4:21.0,J. Smith makes 2-pt layup at rim (assist by I. Shumpert),,18,17
52,1,4:03.0,,B. Jennings misses 2-pt layup at rim,18,17
53,1,4:01.0,Defensive rebound by A. Stoudemire,,18,17
54,1,3:58.0,I. Shumpert misses 3-pt jump shot from 28 ft,,18,17
55,1,3:57.0,,Defensive rebound by G. Monroe,18,17
56,1,3:39.0,,J. Smith misses 2-pt hook shot from 5 ft,18,17
57,1,3:38.0,,Offensive rebound by G. Monroe,18,17
58,1,3:32.0,,K. Caldwell-Pope makes 2-pt jump shot from 17 ft (assist by G. Monroe),18,19
59,1,3:21.0,Personal foul by K. Caldwell-Pope (drawn by I. Shumpert),,18,19
60,1,3:21.0,Q. Acy enters the game for J. Smith,,18,19
61,1,3:21.0,T. Hardaway enters the game for I. Shumpert,,18,19
