,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
0,1,11:54.0,,T. Allen misses 2-pt layup at rim (block by D. Green),0,0
1,1,11:52.0,Defensive rebound by T. Splitter,,0,0
2,1,11:37.0,Shooting foul by J. Leuer (drawn by T. Splitter),,0,0
3,1,11:37.0,T. Splitter misses free throw 1 of 2,,0,0
4,1,11:37.0,Offensive rebound by Team,,0,0
5,1,11:37.0,T. Splitter makes free throw 2 of 2,,1,0
6,1,11:24.0,,M. Conley makes 2-pt jump shot from 9 ft (assist by C. Lee),1,2
7,1,11:13.0,Turnover by C. Joseph (bad pass; steal by T. Allen),,1,2
8,1,11:08.0,,C. Lee misses 2-pt jump shot from 11 ft,1,2
9,1,11:04.0,Defensive rebound by T. Duncan,,1,2
10,1,10:55.0,T. Splitter makes 2-pt hook shot from 9 ft (assist by T. Duncan),,3,2
11,1,10:34.0,,J. Leuer makes 2-pt layup from 2 ft (assist by C. Lee),3,4
12,1,10:14.0,M. Belinelli misses 2-pt layup from 1 ft,,3,4
13,1,10:13.0,Offensive rebound by T. Duncan,,3,4
14,1,10:10.0,D. Green misses 3-pt jump shot from 22 ft,,3,4
15,1,10:09.0,,Defensive rebound by M. Conley,3,4
16,1,9:57.0,,Turnover by J. Leuer (lost ball; steal by T. Splitter),3,4
17,1,9:53.0,D. Green misses 2-pt layup from 1 ft (block by T. Allen),,3,4
18,1,9:50.0,,Defensive rebound by M. Conley,3,4
19,1,9:31.0,,C. Lee misses 2-pt jump shot from 9 ft,3,4
20,1,9:29.0,Defensive rebound by T. Splitter,,3,4
21,1,9:18.0,Shooting foul by J. Leuer (drawn by T. Splitter),,3,4
22,1,9:18.0,T. Splitter misses free throw 1 of 2,,3,4
23,1,9:18.0,Offensive rebound by Team,,3,4
24,1,9:18.0,,J. Stokes enters the game for J. Leuer,3,4
25,1,9:18.0,T. Splitter makes free throw 2 of 2,,4,4
26,1,9:07.0,,C. Lee misses 2-pt jump shot from 9 ft,4,4
27,1,9:04.0,Defensive rebound by T. Duncan,,4,4
28,1,8:45.0,D. Green misses 3-pt jump shot from 22 ft,,4,4
29,1,8:45.0,,Defensive rebound by J. Stokes,4,4
30,1,8:24.0,,Shooting foul by T. Splitter (drawn by T. Allen),4,4
31,1,8:24.0,,T. Allen misses free throw 1 of 2,4,4
32,1,8:24.0,,Offensive rebound by Team,4,4
33,1,8:24.0,,T. Allen makes free throw 2 of 2,4,5
34,1,8:02.0,T. Splitter misses 2-pt hook shot from 5 ft,,4,5
35,1,8:00.0,,Defensive rebound by C. Lee,4,5
36,1,7:52.0,,M. Gasol makes 2-pt jump shot from 18 ft (assist by M. Conley),4,7
37,1,7:37.0,Personal foul by C. Lee (drawn by C. Joseph),,4,7
