,QUARTER,TIME_REMAINING,UTAH_ACTION,DENVER_ACTION,UTAH_SCORE,DENVER_SCORE
0,1,11:42.0,,Shooting foul by G. Hayward (drawn by D. Gallinari),0,0
1,1,11:42.0,,D. Gallinari misses free throw 1 of 2,0,0
2,1,11:42.0,,Offensive rebound by Team,0,0
3,1,11:42.0,,D. Gallinari makes free throw 2 of 2,0,1
4,1,11:21.0,D. Favors misses 2-pt jump shot from 16 ft,,0,1
5,1,11:20.0,,Defensive rebound by G. Harris,0,1
6,1,11:10.0,,J. Lauvergne misses 2-pt hook shot from 4 ft,0,1
7,1,11:08.0,Defensive rebound by D. Favors,,0,1
8,1,10:56.0,J. Ingles misses 3-pt jump shot from 23 ft,,0,1
9,1,10:54.0,,Defensive rebound by J. Lauvergne,0,1
10,1,10:46.0,,J. Lauvergne misses 3-pt jump shot from 24 ft,0,1
11,1,10:45.0,Defensive rebound by R. Gobert,,0,1
12,1,10:24.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by G. Hayward),,3,1
13,1,10:08.0,,D. Gallinari misses 3-pt jump shot from 25 ft,3,1
14,1,10:06.0,Defensive rebound by R. Gobert,,3,1
15,1,9:55.0,D. Favors makes 2-pt layup from 1 ft (assist by J. Ingles),,5,1
16,1,9:36.0,,D. Gallinari misses 2-pt jump shot from 4 ft (block by R. Gobert),5,1
17,1,9:34.0,Defensive rebound by D. Exum,,5,1
18,1,9:25.0,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),,7,1
19,1,9:05.0,,Shooting foul by D. Favors (drawn by J. Hickson),7,1
20,1,9:05.0,,J. Hickson misses free throw 1 of 2,7,1
21,1,9:05.0,,Offensive rebound by Team,7,1
22,1,9:05.0,,J. Hickson misses free throw 2 of 2,7,1
23,1,9:03.0,Defensive rebound by G. Hayward,,7,1
24,1,8:51.0,G. Hayward misses 3-pt jump shot from 23 ft,,7,1
25,1,8:50.0,,Defensive rebound by J. Hickson,7,1
26,1,8:42.0,,J. Lauvergne makes 2-pt layup from 1 ft (assist by T. Lawson),7,3
27,1,8:27.0,Shooting foul by J. Hickson (drawn by R. Gobert),,7,3
28,1,8:27.0,R. Gobert makes free throw 1 of 2,,8,3
29,1,8:27.0,R. Gobert makes free throw 2 of 2,,9,3
30,1,8:12.0,,T. Lawson misses 2-pt jump shot from 15 ft,9,3
31,1,8:11.0,Defensive rebound by G. Hayward,,9,3
32,1,7:59.0,Turnover by G. Hayward (lost ball; steal by D. Gallinari),,9,3
33,1,7:57.0,,Personal foul by J. Ingles (drawn by D. Gallinari),9,3
34,1,7:47.0,,D. Gallinari misses 2-pt jump shot from 8 ft,9,3
35,1,7:46.0,Defensive rebound by D. Favors,,9,3
36,1,7:40.0,G. Hayward makes 3-pt jump shot from 24 ft,,12,3
37,1,7:29.0,,Turnover by J. Lauvergne (lost ball; steal by J. Ingles),12,3
38,1,7:26.0,,Violation by J. Lauvergne (def goaltending),12,3
39,1,7:26.0,D. Exum makes 2-pt layup from 1 ft (assist by J. Ingles),,14,3
40,1,7:26.0,,Denver full timeout,14,3
41,1,7:13.0,,J. Lauvergne misses 2-pt jump shot from 10 ft,14,3
42,1,7:11.0,,Offensive rebound by J. Hickson,14,3
43,1,7:11.0,,J. Hickson misses 2-pt tip-in from 2 ft,14,3
44,1,7:09.0,Defensive rebound by R. Gobert,,14,3
45,1,6:58.0,Turnover by G. Hayward (bad pass; steal by G. Harris),,14,3
46,1,6:37.0,,Turnover by D. Gallinari (bad pass; steal by D. Favors),14,3
47,1,6:35.0,G. Hayward makes 2-pt jump shot from 4 ft (assist by D. Favors),,16,3
48,1,6:35.0,Shooting foul by T. Lawson (drawn by G. Hayward),,16,3
49,1,6:35.0,,W. Chandler enters the game for D. Gallinari,16,3
50,1,6:35.0,,R. Foye enters the game for G. Harris,16,3
51,1,6:35.0,,K. Faried enters the game for J. Hickson,16,3
52,1,6:35.0,G. Hayward makes free throw 1 of 1,,17,3
53,1,6:25.0,,K. Faried misses 2-pt dunk at rim (block by R. Gobert),17,3
54,1,6:22.0,Defensive rebound by G. Hayward,,17,3
55,1,6:00.0,Turnover by D. Favors (lost ball; steal by W. Chandler),,17,3
56,1,5:35.0,,T. Lawson makes 3-pt jump shot from 24 ft (assist by R. Foye),17,6
57,1,5:12.0,D. Exum misses 3-pt jump shot from 24 ft,,17,6
58,1,5:10.0,Offensive rebound by R. Gobert,,17,6
59,1,5:06.0,G. Hayward makes 2-pt layup from 2 ft (assist by R. Gobert),,19,6
60,1,4:56.0,,K. Faried makes 2-pt layup from 2 ft (assist by R. Foye),19,8
61,1,4:53.0,,Offensive charge foul by G. Hayward (drawn by R. Foye),19,8
62,1,4:53.0,Turnover by G. Hayward (offensive foul),,19,8
63,1,4:53.0,T. Burke enters the game for J. Ingles,,19,8
64,1,4:53.0,E. Millsap enters the game for D. Exum,,19,8
65,1,4:53.0,R. Hood enters the game for G. Hayward,,19,8
66,1,4:43.0,,Shooting foul by D. Favors (drawn by K. Faried),19,8
67,1,4:43.0,,K. Faried makes free throw 1 of 2,19,9
68,1,4:43.0,T. Booker enters the game for D. Favors,,19,9
69,1,4:43.0,,K. Faried makes free throw 2 of 2,19,10
70,1,4:22.0,T. Burke makes 3-pt jump shot from 25 ft (assist by T. Booker),,22,10
71,1,4:14.0,,K. Faried misses 2-pt layup from 1 ft (block by R. Hood),22,10
72,1,4:12.0,,Offensive rebound by K. Faried,22,10
73,1,4:09.0,,Turnover by K. Faried (bad pass; steal by T. Burke),22,10
74,1,4:03.0,E. Millsap makes 2-pt layup from 2 ft,,24,10
75,1,3:49.0,,Personal foul by E. Millsap (drawn by T. Lawson),24,10
76,1,3:49.0,,J. Hickson enters the game for J. Lauvergne,24,10
77,1,3:49.0,,T. Lawson makes free throw 1 of 2,24,11
78,1,3:49.0,,T. Lawson misses free throw 2 of 2,24,11
79,1,3:47.0,,Offensive rebound by J. Hickson,24,11
80,1,3:36.0,,R. Foye misses 3-pt jump shot from 25 ft,24,11
81,1,3:35.0,,Offensive rebound by W. Chandler,24,11
82,1,3:33.0,,Turnover by W. Chandler (lost ball; steal by T. Burke),24,11
83,1,3:13.0,T. Burke misses 2-pt layup from 2 ft,,24,11
84,1,3:12.0,,Defensive rebound by W. Chandler,24,11
85,1,2:57.0,,R. Foye misses 3-pt jump shot from 26 ft,24,11
86,1,2:56.0,,Offensive rebound by J. Hickson,24,11
87,1,2:53.0,,J. Hickson misses 2-pt jump shot from 3 ft,24,11
88,1,2:52.0,Defensive rebound by E. Millsap,,24,11
89,1,2:43.0,T. Booker misses 2-pt layup from 1 ft,,24,11
90,1,2:43.0,Offensive rebound by Team,,24,11
91,1,2:43.0,Utah full timeout,,24,11
92,1,2:27.0,Turnover by R. Gobert (bad pass),,24,11
93,1,2:14.0,,Turnover by W. Chandler (lost ball; steal by T. Burke),24,11
94,1,2:09.0,T. Burke makes 2-pt jump shot from 3 ft (assist by E. Millsap),,26,11
95,1,2:00.0,,W. Barton enters the game for R. Foye,26,11
96,1,1:53.0,,T. Lawson makes 3-pt jump shot from 25 ft (assist by K. Faried),26,14
97,1,1:25.0,Turnover by Team (shot clock),,26,14
98,1,1:10.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by T. Lawson),26,17
99,1,0:51.0,Turnover by E. Millsap (bad pass),,26,17
100,1,0:51.0,,J. Nelson enters the game for T. Lawson,26,17
101,1,0:40.0,,J. Nelson misses 2-pt jump shot from 15 ft (block by T. Burke),26,17
102,1,0:38.0,Defensive rebound by T. Burke,,26,17
103,1,0:31.0,T. Burke makes 2-pt jump shot from 13 ft,,28,17
104,1,0:12.0,,W. Chandler misses 2-pt jump shot from 8 ft (block by E. Millsap),28,17
105,1,0:10.0,,Offensive rebound by W. Chandler,28,17
106,1,0:06.0,,W. Chandler misses 2-pt jump shot from 17 ft,28,17
107,1,0:06.0,Defensive rebound by R. Gobert,,28,17
108,1,0:01.0,T. Burke misses 3-pt jump shot from 25 ft,,28,17
109,1,0:00.0,Offensive rebound by Team,,28,17
110,2,11:37.0,R. Hood makes 3-pt jump shot from 25 ft (assist by T. Burke),,31,17
111,2,11:16.0,,Turnover by J. Hickson (lost ball),31,17
112,2,10:52.0,R. Hood misses 2-pt jump shot from 6 ft,,31,17
113,2,10:51.0,,Defensive rebound by W. Chandler,31,17
114,2,10:34.0,,W. Barton makes 2-pt layup from 2 ft,31,19
115,2,10:16.0,T. Burke misses 2-pt jump shot from 8 ft,,31,19
116,2,10:14.0,,Defensive rebound by K. Faried,31,19
117,2,10:06.0,,D. Gallinari enters the game for J. Hickson,31,19
