,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
0,1,11:42.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by R. Rondo),0,2
1,1,11:25.0,D. Lillard makes 2-pt jump shot from 17 ft (assist by A. Crabbe),,2,2
2,1,11:07.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,2,2
3,1,11:07.0,Defensive rebound by L. Aldridge,,2,2
4,1,10:57.0,L. Aldridge misses 3-pt jump shot from 24 ft,,2,2
5,1,10:56.0,,Defensive rebound by D. Nowitzki,2,2
6,1,10:50.0,,Shooting foul by A. Gee (drawn by T. Chandler),2,2
7,1,10:50.0,,T. Chandler makes free throw 1 of 2,2,3
8,1,10:50.0,,T. Chandler makes free throw 2 of 2,2,4
9,1,10:35.0,A. Gee makes 2-pt jump shot from 6 ft,,4,4
10,1,10:17.0,,Turnover by D. Nowitzki (lost ball),4,4
11,1,10:09.0,A. Gee misses 3-pt jump shot from 23 ft,,4,4
12,1,10:08.0,,Defensive rebound by T. Chandler,4,4
13,1,9:59.0,,M. Ellis misses 2-pt layup from 1 ft,4,4
14,1,9:58.0,,Offensive rebound by T. Chandler,4,4
15,1,9:58.0,,T. Chandler makes 2-pt tip-in at rim,4,6
16,1,9:34.0,L. Aldridge misses 2-pt jump shot from 12 ft,,4,6
17,1,9:33.0,,Defensive rebound by R. Jefferson,4,6
18,1,9:27.0,,T. Chandler makes 2-pt dunk at rim (assist by R. Rondo),4,8
19,1,9:14.0,A. Crabbe misses 3-pt jump shot from 22 ft,,4,8
20,1,9:13.0,,Defensive rebound by T. Chandler,4,8
21,1,9:08.0,,R. Rondo makes 2-pt layup from 1 ft,4,10
22,1,8:45.0,L. Aldridge misses 2-pt jump shot from 7 ft,,4,10
23,1,8:45.0,Offensive rebound by Team,,4,10
24,1,8:45.0,Turnover by L. Aldridge (traveling),,4,10
25,1,8:25.0,,Shooting foul by L. Aldridge (drawn by T. Chandler),4,10
26,1,8:25.0,,T. Chandler makes free throw 1 of 2,4,11
27,1,8:25.0,,T. Chandler makes free throw 2 of 2,4,12
28,1,8:06.0,A. Gee misses 2-pt jump shot from 12 ft,,4,12
29,1,8:05.0,,Defensive rebound by T. Chandler,4,12
30,1,7:53.0,,R. Jefferson misses 2-pt jump shot from 10 ft (block by R. Lopez),4,12
31,1,7:51.0,,Offensive rebound by R. Jefferson,4,12
32,1,7:48.0,,R. Rondo misses 3-pt jump shot from 24 ft,4,12
33,1,7:48.0,Defensive rebound by Team,,4,12
34,1,7:34.0,D. Lillard makes 2-pt jump shot from 20 ft,,6,12
35,1,7:14.0,,R. Jefferson misses 3-pt jump shot from 22 ft,6,12
36,1,7:14.0,Defensive rebound by L. Aldridge,,6,12
37,1,7:06.0,D. Lillard makes 2-pt layup at rim,,8,12
38,1,6:56.0,,Turnover by M. Ellis (bad pass; steal by A. Crabbe),8,12
39,1,6:52.0,Turnover by A. Gee (lost ball; steal by R. Rondo),,8,12
40,1,6:47.0,,Shooting foul by A. Crabbe (drawn by T. Chandler),8,12
41,1,6:47.0,,T. Chandler makes free throw 1 of 2,8,13
42,1,6:47.0,,A. Aminu enters the game for D. Nowitzki,8,13
43,1,6:47.0,,T. Chandler misses free throw 2 of 2,8,13
44,1,6:46.0,Defensive rebound by L. Aldridge,,8,13
45,1,6:31.0,L. Aldridge misses 2-pt hook shot from 9 ft,,8,13
46,1,6:30.0,,Defensive rebound by T. Chandler,8,13
47,1,6:21.0,,T. Chandler makes 2-pt jump shot from 15 ft (assist by A. Aminu),8,15
48,1,6:07.0,Turnover by D. Lillard (bad pass),,8,15
49,1,6:07.0,T. Frazier enters the game for A. Gee,,8,15
50,1,5:57.0,,M. Ellis makes 2-pt layup at rim (assist by R. Rondo),8,17
51,1,5:55.0,Portland full timeout,,8,17
52,1,5:55.0,J. Freeland enters the game for R. Lopez,,8,17
53,1,5:37.0,L. Aldridge misses 2-pt jump shot from 13 ft,,8,17
54,1,5:36.0,,Defensive rebound by A. Aminu,8,17
55,1,5:15.0,,M. Ellis makes 2-pt jump shot from 13 ft,8,19
56,1,4:59.0,L. Aldridge misses 2-pt jump shot from 20 ft,,8,19
57,1,4:58.0,,Defensive rebound by T. Chandler,8,19
58,1,4:54.0,,Shooting block foul by D. Lillard (drawn by R. Jefferson),8,19
59,1,4:54.0,,R. Jefferson makes free throw 1 of 2,8,20
60,1,4:54.0,,R. Jefferson makes free throw 2 of 2,8,21
61,1,4:46.0,Def 3 sec tech foul by T. Chandler,,8,21
62,1,4:46.0,D. Lillard makes technical free throw,,9,21
63,1,4:31.0,A. Crabbe misses 2-pt jump shot from 17 ft,,9,21
64,1,4:30.0,Offensive rebound by L. Aldridge,,9,21
65,1,4:30.0,Turnover by L. Aldridge (step out of bounds),,9,21
66,1,4:18.0,Offensive charge foul by R. Jefferson (drawn by J. Freeland),,9,21
67,1,4:18.0,,Turnover by R. Jefferson (offensive foul),9,21
68,1,4:03.0,L. Aldridge misses 2-pt hook shot from 7 ft,,9,21
69,1,4:02.0,Offensive rebound by Team,,9,21
70,1,3:55.0,D. Lillard misses 2-pt jump shot from 22 ft (block by A. Aminu),,9,21
71,1,3:53.0,,Defensive rebound by T. Chandler,9,21
72,1,3:49.0,,M. Ellis misses 3-pt jump shot from 24 ft,9,21
73,1,3:48.0,,Offensive rebound by R. Rondo,9,21
74,1,3:43.0,,Dallas full timeout,9,21
75,1,3:43.0,,A. Stoudemire enters the game for T. Chandler,9,21
76,1,3:38.0,,Turnover by M. Ellis (bad pass),9,21
77,1,3:25.0,Turnover by T. Frazier (traveling),,9,21
78,1,3:10.0,,Turnover by R. Rondo (bad pass),9,21
79,1,2:59.0,L. Aldridge makes 2-pt hook shot from 4 ft,,11,21
80,1,2:59.0,Shooting foul by A. Aminu (drawn by L. Aldridge),,11,21
81,1,2:59.0,,J. Barea enters the game for R. Rondo,11,21
