,QUARTER,TIME_REMAINING,MIAMI_ACTION,MINNESOTA_ACTION,MIAMI_SCORE,MINNESOTA_SCORE
0,1,11:51.0,,N. Peković makes 2-pt jump shot from 4 ft (assist by R. Rubio),0,2
1,1,11:33.0,L. Deng misses 2-pt layup at rim,,0,2
2,1,11:32.0,,Defensive rebound by A. Wiggins,0,2
3,1,11:15.0,,K. Martin misses 2-pt jump shot from 21 ft,0,2
4,1,11:14.0,Defensive rebound by C. Bosh,,0,2
5,1,11:11.0,Turnover by C. Bosh (bad pass; steal by R. Rubio),,0,2
6,1,11:06.0,,K. Martin misses 3-pt jump shot from 23 ft,0,2
7,1,11:05.0,Defensive rebound by H. Whiteside,,0,2
8,1,10:59.0,Turnover by M. Chalmers (bad pass; steal by T. Young),,0,2
9,1,10:56.0,,K. Martin makes 2-pt layup at rim (assist by R. Rubio),0,4
10,1,10:30.0,Personal foul by R. Rubio (drawn by M. Chalmers),,0,4
11,1,10:23.0,H. Whiteside makes 2-pt dunk at rim (assist by M. Chalmers),,2,4
12,1,10:04.0,,A. Wiggins misses 2-pt jump shot from 19 ft,2,4
13,1,10:03.0,Defensive rebound by H. Whiteside,,2,4
14,1,9:53.0,C. Bosh misses 2-pt jump shot from 20 ft,,2,4
15,1,9:52.0,,Defensive rebound by A. Wiggins,2,4
16,1,9:47.0,,R. Rubio makes 2-pt jump shot from 20 ft,2,6
17,1,9:25.0,M. Chalmers misses 2-pt jump shot from 20 ft,,2,6
18,1,9:24.0,,Defensive rebound by N. Peković,2,6
19,1,9:08.0,,Turnover by N. Peković (lost ball; steal by H. Whiteside),2,6
20,1,9:03.0,Turnover by M. Chalmers (lost ball),,2,6
21,1,8:50.0,,T. Young makes 2-pt layup from 1 ft (assist by R. Rubio),2,8
22,1,8:33.0,Offensive foul by C. Bosh (drawn by R. Rubio),,2,8
23,1,8:33.0,Turnover by C. Bosh (offensive foul),,2,8
24,1,8:24.0,,Turnover by R. Rubio (bad pass; steal by H. Whiteside),2,8
25,1,8:21.0,C. Bosh makes 2-pt dunk at rim (assist by S. Napier),,4,8
26,1,8:03.0,,N. Peković makes 2-pt layup from 1 ft (assist by R. Rubio),4,10
27,1,7:36.0,Turnover by H. Whiteside (traveling),,4,10
28,1,7:25.0,,K. Martin misses 2-pt jump shot from 17 ft,4,10
29,1,7:24.0,Defensive rebound by S. Napier,,4,10
30,1,7:22.0,L. Deng makes 2-pt jump shot from 4 ft (assist by S. Napier),,6,10
31,1,7:22.0,Shooting foul by A. Wiggins (drawn by L. Deng),,6,10
32,1,7:22.0,L. Deng misses free throw 1 of 1,,6,10
33,1,7:22.0,,Defensive rebound by K. Martin,6,10
34,1,7:09.0,,A. Wiggins makes 2-pt layup at rim (assist by R. Rubio),6,12
35,1,7:05.0,Miami full timeout,,6,12
36,1,7:05.0,D. Granger enters the game for C. Bosh,,6,12
37,1,6:57.0,H. Whiteside makes 2-pt dunk at rim (assist by S. Napier),,8,12
38,1,6:44.0,,A. Wiggins misses 2-pt jump shot from 8 ft,8,12
39,1,6:43.0,Defensive rebound by S. Napier,,8,12
40,1,6:37.0,Personal block foul by R. Rubio (drawn by S. Napier),,8,12
41,1,6:37.0,,M. Williams enters the game for R. Rubio,8,12
42,1,6:23.0,Turnover by H. Whiteside (bad pass; steal by T. Young),,8,12
43,1,6:19.0,,T. Young makes 2-pt layup from 2 ft (assist by K. Martin),8,14
44,1,5:58.0,S. Napier misses 2-pt jump shot from 15 ft,,8,14
45,1,5:57.0,,Defensive rebound by A. Wiggins,8,14
46,1,5:47.0,,N. Peković makes 2-pt jump shot from 3 ft (assist by A. Wiggins),8,16
47,1,5:21.0,D. Granger makes 3-pt jump shot from 23 ft (assist by S. Napier),,11,16
48,1,4:55.0,,N. Peković misses 2-pt jump shot from 4 ft (block by H. Whiteside),11,16
49,1,4:54.0,Defensive rebound by L. Deng,,11,16
50,1,4:50.0,M. Chalmers makes 2-pt layup at rim (assist by L. Deng),,13,16
51,1,4:50.0,,Minnesota full timeout,13,16
52,1,4:50.0,,G. Dieng enters the game for N. Peković,13,16
53,1,4:50.0,N. Cole enters the game for S. Napier,,13,16
54,1,4:32.0,,G. Dieng misses 2-pt jump shot from 15 ft,13,16
55,1,4:30.0,Offensive rebound by Team,,13,16
56,1,4:09.0,M. Chalmers makes 2-pt layup from 1 ft,,15,16
57,1,3:50.0,,K. Martin makes 3-pt jump shot from 22 ft (assist by M. Williams),15,19
58,1,3:30.0,Personal foul by T. Young (drawn by D. Granger),,15,19
59,1,3:18.0,D. Granger makes 2-pt jump shot from 16 ft (assist by N. Cole),,17,19
60,1,3:03.0,,K. Martin makes 2-pt jump shot from 10 ft,17,21
61,1,2:46.0,M. Chalmers misses 2-pt jump shot from 5 ft,,17,21
62,1,2:45.0,Offensive rebound by H. Whiteside,,17,21
63,1,2:44.0,H. Whiteside makes 2-pt dunk at rim,,19,21
64,1,2:31.0,,M. Williams makes 2-pt jump shot from 6 ft,19,23
65,1,2:21.0,Personal foul by M. Williams (drawn by N. Cole),,19,23
66,1,2:21.0,N. Cole misses free throw 1 of 2,,19,23
67,1,2:21.0,Offensive rebound by Team,,19,23
68,1,2:21.0,C. Bosh enters the game for L. Deng,,19,23
69,1,2:21.0,,A. Bennett enters the game for T. Young,19,23
70,1,2:21.0,N. Cole misses free throw 2 of 2,,19,23
71,1,2:21.0,,Defensive rebound by A. Bennett,19,23
72,1,2:07.0,,A. Bennett misses 2-pt jump shot from 17 ft,19,23
73,1,2:06.0,Defensive rebound by N. Cole,,19,23
74,1,2:04.0,Shooting foul by M. Williams (drawn by N. Cole),,19,23
75,1,2:04.0,N. Cole misses free throw 1 of 2,,19,23
76,1,2:04.0,Offensive rebound by Team,,19,23
77,1,2:04.0,N. Cole makes free throw 2 of 2,,20,23
78,1,1:48.0,,G. Dieng makes 2-pt dunk at rim (assist by K. Martin),20,25
79,1,1:46.0,Miami full timeout,,20,25
80,1,1:46.0,T. Johnson enters the game for M. Chalmers,,20,25
81,1,1:30.0,C. Bosh makes 2-pt layup from 1 ft,,22,25
82,1,1:30.0,Shooting foul by A. Bennett (drawn by C. Bosh),,22,25
