,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
0,1,11:42.0,,T. Zeller makes 2-pt hook shot from 8 ft (assist by E. Turner),0,2
1,1,11:19.0,Turnover by A. Stoudemire (bad pass),,0,2
2,1,11:06.0,,J. Sullinger misses 2-pt layup from 2 ft,0,2
3,1,11:05.0,Defensive rebound by J. Calderón,,0,2
4,1,10:41.0,C. Anthony misses 2-pt jump shot from 14 ft,,0,2
5,1,10:39.0,,Defensive rebound by J. Green,0,2
6,1,10:33.0,,J. Green makes 2-pt layup at rim,0,4
7,1,10:12.0,J. Calderón makes 2-pt jump shot from 12 ft,,2,4
8,1,9:57.0,,J. Sullinger misses 2-pt jump shot from 21 ft,2,4
9,1,9:56.0,Defensive rebound by A. Stoudemire,,2,4
10,1,9:48.0,C. Anthony makes 2-pt jump shot from 16 ft (assist by I. Shumpert),,4,4
11,1,9:38.0,,T. Zeller makes 2-pt layup from 2 ft (assist by R. Rondo),4,6
12,1,9:21.0,J. Calderón makes 2-pt jump shot from 20 ft (assist by C. Anthony),,6,6
13,1,9:02.0,,J. Green misses 3-pt jump shot from 25 ft,6,6
14,1,9:01.0,Defensive rebound by Q. Acy,,6,6
15,1,8:49.0,A. Stoudemire makes 2-pt layup from 2 ft (assist by Q. Acy),,8,6
16,1,8:39.0,,Turnover by T. Zeller (lost ball; steal by J. Calderón),8,6
17,1,8:32.0,I. Shumpert makes 3-pt jump shot from 25 ft (assist by C. Anthony),,11,6
18,1,8:05.0,,E. Turner misses 3-pt jump shot from 24 ft,11,6
19,1,8:04.0,Defensive rebound by C. Anthony,,11,6
20,1,7:52.0,C. Anthony makes 2-pt jump shot from 15 ft (assist by Q. Acy),,13,6
21,1,7:33.0,,Turnover by J. Sullinger (lost ball; steal by A. Stoudemire),13,6
22,1,7:31.0,Turnover by C. Anthony (bad pass),,13,6
23,1,7:21.0,,J. Green makes 2-pt dunk at rim (assist by R. Rondo),13,8
24,1,6:56.0,A. Stoudemire makes 2-pt jump shot from 5 ft,,15,8
25,1,6:53.0,,Personal foul by A. Stoudemire (drawn by T. Zeller),15,8
26,1,6:53.0,S. Dalembert enters the game for A. Stoudemire,,15,8
27,1,6:31.0,,E. Turner misses 3-pt jump shot from 26 ft,15,8
28,1,6:30.0,,Offensive rebound by J. Sullinger,15,8
29,1,6:30.0,,Turnover by Team (shot clock),15,8
30,1,6:15.0,J. Calderón misses 2-pt jump shot from 20 ft,,15,8
31,1,6:14.0,,Defensive rebound by J. Sullinger,15,8
32,1,5:51.0,,R. Rondo misses 3-pt jump shot from 24 ft,15,8
33,1,5:49.0,,Offensive rebound by J. Sullinger,15,8
34,1,5:42.0,,Turnover by E. Turner (lost ball; steal by S. Dalembert),15,8
35,1,5:34.0,J. Calderón makes 3-pt jump shot from 24 ft (assist by C. Anthony),,18,8
36,1,5:28.0,,Boston full timeout,18,8
37,1,5:28.0,,G. Wallace enters the game for E. Turner,18,8
38,1,5:12.0,,J. Sullinger misses 3-pt jump shot from 24 ft,18,8
39,1,5:11.0,Defensive rebound by S. Dalembert,,18,8
40,1,4:54.0,Turnover by Q. Acy (bad pass),,18,8
41,1,4:54.0,,K. Olynyk enters the game for J. Sullinger,18,8
42,1,4:36.0,,T. Zeller makes 2-pt layup from 2 ft (assist by J. Green),18,10
43,1,4:28.0,New York full timeout,,18,10
44,1,4:28.0,T. Hardaway enters the game for I. Shumpert,,18,10
45,1,4:28.0,J. Smith enters the game for Q. Acy,,18,10
46,1,4:15.0,S. Dalembert makes 2-pt jump shot from 6 ft (assist by J. Calderón),,20,10
47,1,3:56.0,,R. Rondo makes 2-pt jump shot from 17 ft (assist by J. Green),20,12
48,1,3:38.0,T. Hardaway misses 2-pt jump shot from 5 ft,,20,12
49,1,3:37.0,Offensive rebound by T. Hardaway,,20,12
50,1,3:36.0,T. Hardaway misses 2-pt layup at rim,,20,12
51,1,3:34.0,Offensive rebound by S. Dalembert,,20,12
52,1,3:29.0,J. Calderón misses 3-pt jump shot from 24 ft,,20,12
53,1,3:28.0,,Defensive rebound by R. Rondo,20,12
54,1,3:17.0,,K. Olynyk misses 2-pt jump shot from 18 ft,20,12
55,1,3:16.0,Defensive rebound by J. Smith,,20,12
56,1,3:11.0,Shooting foul by K. Olynyk (drawn by T. Hardaway),,20,12
57,1,3:11.0,T. Hardaway makes free throw 1 of 2,,21,12
58,1,3:11.0,,B. Bass enters the game for T. Zeller,21,12
59,1,3:11.0,,M. Smart enters the game for R. Rondo,21,12
60,1,3:11.0,T. Hardaway makes free throw 2 of 2,,22,12
61,1,2:53.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by G. Wallace),22,14
62,1,2:39.0,C. Anthony misses 2-pt jump shot from 17 ft,,22,14
63,1,2:37.0,,Defensive rebound by G. Wallace,22,14
64,1,2:31.0,,G. Wallace misses 2-pt layup from 1 ft (block by C. Anthony),22,14
65,1,2:31.0,,Offensive rebound by Team,22,14
66,1,2:31.0,New York full timeout,,22,14
67,1,2:31.0,S. Larkin enters the game for J. Calderón,,22,14
68,1,2:29.0,Violation by S. Dalembert (def goaltending),,22,14
69,1,2:29.0,,G. Wallace makes 2-pt layup from 3 ft (assist by M. Smart),22,16
70,1,2:21.0,Personal foul by J. Green (drawn by C. Anthony),,22,16
71,1,2:12.0,T. Hardaway misses 2-pt jump shot from 6 ft,,22,16
72,1,2:11.0,,Defensive rebound by M. Smart,22,16
73,1,1:58.0,,J. Green misses 3-pt jump shot from 24 ft,22,16
74,1,1:56.0,Defensive rebound by C. Anthony,,22,16
75,1,1:42.0,C. Anthony makes 2-pt jump shot from 15 ft (assist by S. Larkin),,24,16
76,1,1:31.0,,K. Olynyk misses 3-pt jump shot from 25 ft,24,16
77,1,1:28.0,,Offensive rebound by B. Bass,24,16
78,1,1:24.0,,J. Green makes 3-pt jump shot from 25 ft (assist by B. Bass),24,19
79,1,1:06.0,C. Anthony makes 2-pt jump shot from 17 ft (assist by J. Smith),,26,19
80,1,0:54.0,,B. Bass misses 2-pt jump shot from 11 ft,26,19
81,1,0:53.0,Defensive rebound by J. Smith,,26,19
