,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,11:44.0,,L. Mbah a Moute misses 2-pt jump shot from 16 ft,0,0
2,1,11:43.0,Defensive rebound by N. Cole,,0,0
3,1,11:32.0,C. Bosh misses 2-pt jump shot from 3 ft (block by H. Thompson),,0,0
4,1,11:29.0,,Defensive rebound by H. Sims,0,0
5,1,11:12.0,,H. Thompson makes 2-pt jump shot from 9 ft (assist by T. Wroten),0,2
6,1,10:51.0,L. Deng misses 2-pt jump shot from 11 ft (block by H. Thompson),,0,2
7,1,10:51.0,Offensive rebound by Team,,0,2
8,1,10:46.0,C. Bosh misses 2-pt jump shot from 20 ft,,0,2
9,1,10:43.0,,Defensive rebound by L. Mbah a Moute,0,2
10,1,10:40.0,Violation by S. Williams (def goaltending),,0,2
11,1,10:40.0,,L. Mbah a Moute makes 2-pt layup from 1 ft,0,4
12,1,10:24.0,Shooting foul by N. Noel (drawn by S. Williams),,0,4
13,1,10:24.0,S. Williams makes free throw 1 of 2,,1,4
14,1,10:24.0,S. Williams makes free throw 2 of 2,,2,4
15,1,10:14.0,,Turnover by L. Mbah a Moute (bad pass; steal by N. Cole),2,4
16,1,10:07.0,Turnover by D. Wade (bad pass; steal by L. Mbah a Moute),,2,4
17,1,9:56.0,,Turnover by L. Mbah a Moute (lost ball),2,4
18,1,9:44.0,L. Deng makes 2-pt jump shot from 19 ft (assist by C. Bosh),,4,4
19,1,9:26.0,,Turnover by H. Thompson (bad pass; steal by C. Bosh),4,4
20,1,9:22.0,D. Wade misses 2-pt layup from 1 ft,,4,4
21,1,9:21.0,Offensive rebound by Team,,4,4
22,1,9:21.0,,Loose ball foul by L. Mbah a Moute (drawn by L. Deng),4,4
23,1,9:12.0,C. Bosh makes 2-pt dunk at rim (assist by D. Wade),,6,4
24,1,9:02.0,,Turnover by L. Mbah a Moute (bad pass; steal by L. Deng),6,4
25,1,8:59.0,L. Deng makes 2-pt dunk at rim,,8,4
26,1,8:38.0,,T. Wroten makes 3-pt jump shot from 25 ft (assist by H. Thompson),8,7
27,1,8:25.0,,Violation by N. Noel (kicked ball),8,7
28,1,8:23.0,Offensive foul by S. Williams (drawn by L. Mbah a Moute),,8,7
29,1,8:23.0,Turnover by S. Williams (offensive foul),,8,7
