,QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
0,1,11:43.0,,R. Stuckey misses 2-pt jump shot from 19 ft,0,0
1,1,11:42.0,Defensive rebound by M. Dunleavy,,0,0
2,1,11:29.0,P. Gasol makes 2-pt jump shot from 20 ft (assist by D. Rose),,2,0
3,1,11:08.0,,R. Hibbert makes 2-pt dunk at rim (assist by R. Stuckey),2,2
4,1,10:40.0,P. Gasol misses 2-pt jump shot from 17 ft,,2,2
5,1,10:39.0,,Defensive rebound by R. Stuckey,2,2
6,1,10:32.0,,Turnover by R. Stuckey (bad pass; steal by J. Noah),2,2
7,1,10:26.0,D. Rose misses 3-pt jump shot from 26 ft,,2,2
8,1,10:25.0,,Defensive rebound by D. West,2,2
9,1,10:03.0,,R. Stuckey makes 2-pt jump shot from 18 ft (assist by D. West),2,4
10,1,9:46.0,J. Butler misses 2-pt jump shot from 10 ft (block by D. West),,2,4
11,1,9:45.0,,Defensive rebound by R. Hibbert,2,4
12,1,9:42.0,,R. Stuckey misses 2-pt layup from 1 ft,2,4
13,1,9:41.0,Defensive rebound by M. Dunleavy,,2,4
14,1,9:31.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by D. Rose),,4,4
15,1,9:09.0,,R. Hibbert misses 2-pt jump shot from 5 ft (block by P. Gasol),4,4
16,1,9:07.0,Defensive rebound by M. Dunleavy,,4,4
17,1,8:59.0,Shooting foul by D. West (drawn by D. Rose),,4,4
18,1,8:59.0,D. Rose makes free throw 1 of 2,,5,4
19,1,8:59.0,D. Rose makes free throw 2 of 2,,6,4
20,1,8:46.0,,R. Hibbert misses 2-pt jump shot from 19 ft,6,4
21,1,8:44.0,Defensive rebound by J. Noah,,6,4
22,1,8:36.0,M. Dunleavy misses 2-pt jump shot from 20 ft,,6,4
23,1,8:35.0,,Defensive rebound by G. Hill,6,4
24,1,8:27.0,,G. Hill makes 2-pt jump shot from 10 ft,6,6
25,1,8:10.0,P. Gasol misses 2-pt jump shot from 8 ft,,6,6
26,1,8:09.0,,Defensive rebound by G. Hill,6,6
27,1,8:04.0,,G. Hill misses 2-pt layup at rim,6,6
28,1,8:02.0,Defensive rebound by P. Gasol,,6,6
29,1,7:56.0,J. Noah makes 2-pt layup at rim (assist by J. Butler),,8,6
30,1,7:34.0,,S. Hill misses 2-pt jump shot from 17 ft (block by M. Dunleavy),8,6
31,1,7:31.0,Defensive rebound by M. Dunleavy,,8,6
32,1,7:18.0,J. Butler makes 2-pt jump shot from 16 ft (assist by J. Noah),,10,6
33,1,7:03.0,,D. West makes 2-pt jump shot from 20 ft (assist by G. Hill),10,8
34,1,6:37.0,Turnover by Team (shot clock),,10,8
35,1,6:37.0,,Indiana full timeout,10,8
36,1,6:26.0,,G. Hill misses 3-pt jump shot from 26 ft,10,8
37,1,6:25.0,,Offensive rebound by R. Stuckey,10,8
38,1,6:14.0,,G. Hill misses 2-pt jump shot from 19 ft (block by D. Rose),10,8
39,1,6:12.0,,Offensive rebound by S. Hill,10,8
