,QUARTER,TIME_REMAINING,CHICAGO_ACTION,UTAH_ACTION,CHICAGO_SCORE,UTAH_SCORE
0,1,11:42.0,,Turnover by A. Burks (bad pass; steal by J. Butler),0,0
1,1,11:37.0,J. Butler makes 2-pt dunk at rim,,2,0
2,1,11:28.0,,Turnover by E. Freedom (bad pass; steal by J. Butler),2,0
3,1,11:24.0,J. Butler misses 2-pt dunk at rim,,2,0
4,1,11:21.0,Offensive rebound by J. Butler,,2,0
5,1,11:18.0,P. Gasol misses 2-pt jump shot from 7 ft,,2,0
6,1,11:16.0,,Defensive rebound by E. Freedom,2,0
7,1,11:06.0,,D. Favors misses 2-pt jump shot from 18 ft,2,0
8,1,11:04.0,Defensive rebound by J. Noah,,2,0
9,1,10:48.0,P. Gasol makes 2-pt layup from 1 ft (assist by D. Rose),,4,0
10,1,10:39.0,,Turnover by G. Hayward (bad pass; steal by P. Gasol),4,0
11,1,10:33.0,D. Rose makes 3-pt jump shot from 24 ft (assist by P. Gasol),,7,0
12,1,10:12.0,,T. Burke misses 2-pt jump shot from 3 ft,7,0
13,1,10:10.0,,Offensive rebound by D. Favors,7,0
14,1,10:06.0,,A. Burks misses 2-pt jump shot from 21 ft,7,0
15,1,10:05.0,,Offensive rebound by D. Favors,7,0
16,1,9:50.0,,E. Freedom misses 2-pt jump shot from 21 ft,7,0
17,1,9:49.0,Defensive rebound by M. Dunleavy,,7,0
18,1,9:42.0,Shooting foul by T. Burke (drawn by D. Rose),,7,0
19,1,9:42.0,D. Rose makes free throw 1 of 3,,8,0
20,1,9:42.0,D. Rose makes free throw 2 of 3,,9,0
21,1,9:42.0,D. Rose misses free throw 3 of 3,,9,0
22,1,9:41.0,,Defensive rebound by E. Freedom,9,0
23,1,9:19.0,,D. Favors makes 2-pt jump shot from 19 ft (assist by T. Burke),9,2
24,1,8:57.0,D. Rose makes 2-pt jump shot from 16 ft (assist by M. Dunleavy),,11,2
25,1,8:36.0,,D. Favors makes 2-pt jump shot from 16 ft (assist by A. Burks),11,4
26,1,8:22.0,D. Rose makes 3-pt jump shot from 24 ft,,14,4
27,1,8:07.0,,Turnover by G. Hayward (bad pass; steal by D. Rose),14,4
28,1,8:00.0,J. Butler makes 2-pt layup at rim (assist by J. Noah),,16,4
29,1,8:00.0,,Utah full timeout,16,4
30,1,7:39.0,,Shooting foul by P. Gasol (drawn by A. Burks),16,4
31,1,7:39.0,,A. Burks makes free throw 1 of 2,16,5
32,1,7:39.0,,A. Burks makes free throw 2 of 2,16,6
33,1,7:29.0,Turnover by D. Rose (bad pass; steal by D. Favors),,16,6
34,1,7:23.0,,T. Burke misses 2-pt jump shot from 6 ft,16,6
35,1,7:22.0,Defensive rebound by J. Noah,,16,6
36,1,7:10.0,D. Rose misses 3-pt jump shot from 24 ft,,16,6
37,1,7:09.0,,Defensive rebound by D. Favors,16,6
38,1,6:48.0,,D. Favors makes 2-pt jump shot from 14 ft,16,8
39,1,6:20.0,Turnover by J. Noah (traveling),,16,8
40,1,6:08.0,,Turnover by D. Favors (bad pass),16,8
41,1,5:53.0,P. Gasol makes 2-pt layup from 2 ft,,18,8
42,1,5:47.0,,G. Hayward misses 2-pt jump shot from 12 ft,18,8
43,1,5:45.0,Defensive rebound by J. Noah,,18,8
44,1,5:40.0,,J. Ingles enters the game for G. Hayward,18,8
45,1,5:26.0,Shooting foul by D. Favors (drawn by J. Butler),,18,8
46,1,5:26.0,J. Butler makes free throw 1 of 2,,19,8
47,1,5:26.0,J. Butler makes free throw 2 of 2,,20,8
48,1,5:13.0,,A. Burks misses 2-pt jump shot from 20 ft,20,8
49,1,5:12.0,Defensive rebound by D. Rose,,20,8
50,1,5:08.0,Shooting foul by J. Ingles (drawn by D. Rose),,20,8
51,1,5:08.0,D. Rose misses free throw 1 of 2,,20,8
52,1,5:08.0,Offensive rebound by Team,,20,8
53,1,5:08.0,N. Mirotić enters the game for J. Noah,,20,8
54,1,5:08.0,D. Rose misses free throw 2 of 2,,20,8
55,1,5:07.0,,Defensive rebound by D. Favors,20,8
56,1,4:53.0,,E. Freedom misses 2-pt jump shot from 20 ft,20,8
57,1,4:51.0,Defensive rebound by P. Gasol,,20,8
58,1,4:42.0,Turnover by D. Rose (lost ball; steal by E. Freedom),,20,8
59,1,4:36.0,,A. Burks makes 2-pt dunk at rim (assist by J. Ingles),20,10
60,1,4:30.0,Chicago full timeout,,20,10
61,1,4:30.0,A. Brooks enters the game for D. Rose,,20,10
62,1,4:20.0,P. Gasol misses 2-pt hook shot from 6 ft,,20,10
63,1,4:18.0,,Defensive rebound by E. Freedom,20,10
64,1,4:04.0,,J. Ingles makes 2-pt layup from 1 ft,20,12
65,1,3:52.0,,T. Booker enters the game for E. Freedom,20,12
66,1,3:48.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,20,12
67,1,3:47.0,,Defensive rebound by D. Favors,20,12
68,1,3:29.0,Offensive charge foul by T. Booker (drawn by A. Brooks),,20,12
69,1,3:29.0,,Turnover by T. Booker (offensive foul),20,12
70,1,3:10.0,J. Butler makes 2-pt jump shot from 22 ft (assist by M. Dunleavy),,22,12
71,1,2:58.0,,D. Favors misses 2-pt jump shot from 17 ft,22,12
72,1,2:55.0,,Offensive rebound by T. Booker,22,12
73,1,2:49.0,,T. Booker misses 2-pt layup from 2 ft (block by P. Gasol),22,12
74,1,2:49.0,,Offensive rebound by Team,22,12
75,1,2:37.0,,A. Burks misses 2-pt jump shot from 20 ft,22,12
76,1,2:36.0,Defensive rebound by M. Dunleavy,,22,12
77,1,2:24.0,Personal foul by D. Favors (drawn by N. Mirotić),,22,12
78,1,2:24.0,,R. Gobert enters the game for D. Favors,22,12
79,1,2:24.0,,D. Exum enters the game for T. Burke,22,12
80,1,2:12.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by P. Gasol),,25,12
81,1,1:56.0,,Turnover by T. Booker (traveling),25,12
82,1,1:36.0,Turnover by A. Brooks (bad pass; steal by T. Booker),,25,12
83,1,1:14.0,,A. Burks makes 2-pt layup from 1 ft,25,14
84,1,1:01.0,J. Butler misses 2-pt jump shot from 3 ft,,25,14
85,1,1:00.0,Offensive rebound by J. Butler,,25,14
86,1,1:00.0,Shooting foul by A. Burks (drawn by J. Butler),,25,14
