,QUARTER,TIME_REMAINING,TORONTO_ACTION,PORTLAND_ACTION,TORONTO_SCORE,PORTLAND_SCORE
0,1,11:40.0,J. Valančiūnas misses 2-pt jump shot from 7 ft,,0,0
1,1,11:38.0,Offensive rebound by Team,,0,0
2,1,11:21.0,T. Ross misses 3-pt jump shot from 23 ft,,0,0
3,1,11:19.0,Offensive rebound by J. Johnson,,0,0
4,1,11:19.0,J. Johnson makes 2-pt layup at rim,,2,0
5,1,11:00.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Lillard),2,3
6,1,10:38.0,J. Valančiūnas misses 2-pt hook shot from 4 ft,,2,3
7,1,10:37.0,Offensive rebound by Team,,2,3
8,1,10:34.0,T. Ross makes 2-pt jump shot from 19 ft (assist by K. Lowry),,4,3
9,1,10:13.0,,J. Freeland misses 2-pt jump shot from 15 ft,4,3
10,1,10:13.0,,Offensive rebound by L. Aldridge,4,3
11,1,10:10.0,,L. Aldridge makes 2-pt jump shot from 6 ft,4,5
12,1,10:00.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by K. Lowry),,6,5
13,1,9:35.0,,N. Batum misses 2-pt jump shot from 22 ft,6,5
14,1,9:32.0,,Offensive rebound by J. Freeland,6,5
15,1,9:25.0,,Turnover by W. Matthews (bad pass; steal by T. Ross),6,5
16,1,9:22.0,J. Johnson makes 2-pt dunk at rim (assist by T. Ross),,8,5
17,1,9:07.0,,Turnover by W. Matthews (bad pass; steal by J. Valančiūnas),8,5
18,1,9:01.0,Personal foul by W. Matthews (drawn by K. Lowry),,8,5
19,1,8:50.0,T. Ross misses 2-pt hook shot from 4 ft,,8,5
20,1,8:48.0,Offensive rebound by J. Valančiūnas,,8,5
21,1,8:48.0,J. Valančiūnas makes 2-pt tip-in at rim,,10,5
22,1,8:35.0,,D. Lillard makes 2-pt jump shot from 21 ft,10,7
23,1,8:22.0,K. Lowry makes 2-pt jump shot from 14 ft,,12,7
24,1,8:05.0,,N. Batum misses 3-pt jump shot from 24 ft,12,7
25,1,8:04.0,Defensive rebound by A. Johnson,,12,7
26,1,7:57.0,Turnover by A. Johnson (bad pass),,12,7
27,1,7:42.0,,N. Batum makes 2-pt dunk at rim (assist by L. Aldridge),12,9
28,1,7:21.0,J. Johnson misses 2-pt layup from 1 ft,,12,9
29,1,7:20.0,,Defensive rebound by L. Aldridge,12,9
30,1,7:12.0,,W. Matthews misses 3-pt jump shot from 24 ft,12,9
31,1,7:11.0,Defensive rebound by J. Johnson,,12,9
32,1,7:04.0,Turnover by J. Johnson (bad pass; steal by N. Batum),,12,9
33,1,6:52.0,,D. Lillard misses 3-pt jump shot from 23 ft,12,9
34,1,6:51.0,Defensive rebound by T. Ross,,12,9
35,1,6:28.0,J. Valančiūnas makes 2-pt jump shot from 7 ft,,14,9
36,1,6:02.0,,Turnover by Team (shot clock),14,9
37,1,5:58.0,Toronto full timeout,,14,9
38,1,5:58.0,,S. Blake enters the game for W. Matthews,14,9
39,1,5:58.0,,C. Kaman enters the game for J. Freeland,14,9
40,1,5:46.0,J. Johnson makes 2-pt layup from 2 ft,,16,9
41,1,5:27.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. Lillard),16,11
42,1,5:16.0,K. Lowry misses 2-pt jump shot from 17 ft (block by D. Lillard),,16,11
43,1,5:15.0,,Defensive rebound by D. Lillard,16,11
44,1,5:04.0,,C. Kaman makes 2-pt jump shot from 18 ft,16,13
45,1,4:46.0,T. Ross misses 3-pt jump shot from 22 ft,,16,13
46,1,4:45.0,,Defensive rebound by L. Aldridge,16,13
47,1,4:36.0,,D. Lillard misses 3-pt jump shot from 24 ft,16,13
48,1,4:34.0,Defensive rebound by J. Johnson,,16,13
49,1,4:25.0,K. Lowry misses 2-pt jump shot from 19 ft,,16,13
50,1,4:24.0,,Defensive rebound by C. Kaman,16,13
51,1,4:13.0,,C. Kaman misses 2-pt layup from 1 ft,16,13
52,1,4:11.0,,Offensive rebound by C. Kaman,16,13
53,1,4:11.0,,C. Kaman makes 2-pt layup from 1 ft,16,15
54,1,3:50.0,J. Valančiūnas makes 2-pt hook shot from 3 ft,,18,15
55,1,3:37.0,,C. Kaman misses 2-pt layup from 2 ft (block by A. Johnson),18,15
56,1,3:35.0,Defensive rebound by J. Johnson,,18,15
57,1,3:22.0,T. Ross misses 2-pt jump shot from 15 ft,,18,15
58,1,3:21.0,,Defensive rebound by L. Aldridge,18,15
59,1,3:13.0,,N. Batum makes 2-pt layup from 1 ft (assist by D. Lillard),18,17
60,1,2:56.0,T. Ross misses 2-pt jump shot from 16 ft,,18,17
61,1,2:53.0,Offensive rebound by J. Johnson,,18,17
62,1,2:50.0,K. Lowry misses 3-pt jump shot from 23 ft,,18,17
63,1,2:49.0,,Defensive rebound by S. Blake,18,17
64,1,2:43.0,,N. Batum misses 3-pt jump shot from 24 ft,18,17
65,1,2:42.0,Defensive rebound by T. Ross,,18,17
66,1,2:23.0,Personal foul by C. Kaman (drawn by J. Valančiūnas),,18,17
67,1,2:23.0,,Portland full timeout,18,17
68,1,2:23.0,,D. Wright enters the game for L. Aldridge,18,17
69,1,2:23.0,,W. Matthews enters the game for N. Batum,18,17
70,1,2:23.0,G. Vásquez enters the game for J. Johnson,,18,17
71,1,2:23.0,L. Williams enters the game for A. Johnson,,18,17
72,1,2:23.0,P. Patterson enters the game for K. Lowry,,18,17
73,1,2:07.0,G. Vásquez makes 3-pt jump shot from 24 ft (assist by P. Patterson),,21,17
74,1,1:51.0,,Shooting foul by P. Patterson (drawn by D. Wright),21,17
75,1,1:51.0,,D. Wright makes free throw 1 of 2,21,18
76,1,1:51.0,,D. Wright makes free throw 2 of 2,21,19
77,1,1:30.0,G. Vásquez makes 2-pt jump shot from 12 ft,,23,19
78,1,1:17.0,,D. Lillard makes 2-pt layup at rim,23,21
79,1,0:58.0,T. Ross misses 2-pt jump shot from 4 ft,,23,21
80,1,0:57.0,Offensive rebound by J. Valančiūnas,,23,21
81,1,0:57.0,J. Valančiūnas misses 2-pt tip-in from 1 ft,,23,21
82,1,0:55.0,Offensive rebound by J. Valančiūnas,,23,21
83,1,0:55.0,J. Valančiūnas misses 2-pt tip-in from 1 ft,,23,21
84,1,0:54.0,,Defensive rebound by C. Kaman,23,21
85,1,0:45.0,,D. Lillard misses 3-pt jump shot from 24 ft,23,21
86,1,0:44.0,Defensive rebound by P. Patterson,,23,21
87,1,0:33.0,J. Valančiūnas misses 2-pt jump shot from 16 ft,,23,21
88,1,0:33.0,,Defensive rebound by D. Wright,23,21
89,1,0:19.0,,C. Kaman makes 2-pt jump shot from 11 ft,23,23
90,2,11:42.0,,C. Kaman misses 2-pt jump shot from 4 ft,23,23
91,2,11:41.0,Defensive rebound by J. Johnson,,23,23
92,2,11:29.0,L. Williams misses 3-pt jump shot from 25 ft,,23,23
93,2,11:28.0,,Defensive rebound by C. Kaman,23,23
