,QUARTER,TIME_REMAINING,INDIANA_ACTION,DETROIT_ACTION,INDIANA_SCORE,DETROIT_SCORE
0,1,11:39.0,,Turnover by R. Jackson (bad pass; steal by S. Hill),0,0
1,1,11:35.0,S. Hill misses 2-pt layup at rim,,0,0
2,1,11:33.0,,Defensive rebound by G. Monroe,0,0
3,1,11:23.0,,Turnover by K. Caldwell-Pope (lost ball; steal by D. West),0,0
4,1,11:10.0,G. Hill makes 2-pt layup at rim (assist by D. West),,2,0
5,1,10:52.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by C. Butler),2,3
6,1,10:32.0,C. Miles misses 2-pt jump shot from 16 ft,,2,3
7,1,10:31.0,,Defensive rebound by A. Drummond,2,3
8,1,10:17.0,,A. Drummond misses 2-pt hook shot from 6 ft,2,3
9,1,10:15.0,Defensive rebound by D. West,,2,3
10,1,10:03.0,R. Hibbert misses 2-pt hook shot from 6 ft,,2,3
11,1,10:01.0,,Defensive rebound by G. Monroe,2,3
12,1,9:55.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,2,3
13,1,9:53.0,Defensive rebound by R. Hibbert,,2,3
14,1,9:43.0,S. Hill makes 2-pt layup at rim (assist by D. West),,4,3
15,1,9:18.0,,C. Butler makes 2-pt layup at rim (assist by A. Drummond),4,5
16,1,9:12.0,Personal foul by A. Drummond (drawn by R. Hibbert),,4,5
17,1,9:00.0,S. Hill misses 2-pt jump shot from 3 ft,,4,5
18,1,8:59.0,,Defensive rebound by R. Jackson,4,5
19,1,8:37.0,,Shooting foul by D. West (drawn by R. Jackson),4,5
20,1,8:37.0,,R. Jackson makes free throw 1 of 2,4,6
21,1,8:37.0,,R. Jackson makes free throw 2 of 2,4,7
22,1,8:23.0,D. West misses 2-pt jump shot from 4 ft (block by A. Drummond),,4,7
23,1,8:21.0,,Defensive rebound by C. Butler,4,7
24,1,8:11.0,,C. Butler misses 2-pt jump shot from 18 ft,4,7
25,1,8:10.0,Defensive rebound by D. West,,4,7
26,1,8:04.0,,Violation by A. Drummond (kicked ball),4,7
27,1,7:53.0,C. Miles makes 2-pt jump shot from 6 ft (assist by G. Hill),,6,7
28,1,7:33.0,,G. Monroe makes 2-pt hook shot from 6 ft,6,9
29,1,7:17.0,C. Miles makes 2-pt layup at rim (assist by G. Hill),,8,9
30,1,6:56.0,,R. Jackson makes 3-pt jump shot from 23 ft (assist by C. Butler),8,12
31,1,6:45.0,D. West makes 2-pt jump shot from 7 ft (assist by G. Hill),,10,12
32,1,6:45.0,Shooting foul by G. Monroe (drawn by D. West),,10,12
33,1,6:45.0,D. West misses free throw 1 of 1,,10,12
34,1,6:44.0,,Defensive rebound by A. Drummond,10,12
35,1,6:35.0,,Personal foul by R. Hibbert (drawn by R. Jackson),10,12
36,1,6:24.0,,R. Jackson misses 3-pt jump shot from 26 ft,10,12
