,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
0,1,11:47.0,W. Matthews misses 3-pt jump shot from 24 ft,,0,0
1,1,11:46.0,Offensive rebound by R. Lopez,,0,0
2,1,11:43.0,Shooting foul by K. Faried (drawn by R. Lopez),,0,0
3,1,11:43.0,R. Lopez makes free throw 1 of 2,,1,0
4,1,11:43.0,R. Lopez misses free throw 2 of 2,,1,0
5,1,11:43.0,,Defensive rebound by K. Faried,1,0
6,1,11:30.0,,W. Chandler misses 2-pt layup from 1 ft,1,0
7,1,11:29.0,Defensive rebound by L. Aldridge,,1,0
8,1,11:15.0,L. Aldridge misses 2-pt jump shot from 14 ft,,1,0
9,1,11:13.0,,Defensive rebound by W. Chandler,1,0
10,1,11:07.0,,A. Afflalo misses 3-pt jump shot from 23 ft,1,0
11,1,11:06.0,Defensive rebound by L. Aldridge,,1,0
12,1,10:55.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by N. Batum),,3,0
13,1,10:39.0,,W. Chandler misses 3-pt jump shot from 25 ft,3,0
14,1,10:32.0,Defensive rebound by Team,,3,0
15,1,10:17.0,L. Aldridge misses 2-pt jump shot from 17 ft,,3,0
16,1,10:16.0,,Defensive rebound by W. Chandler,3,0
17,1,10:07.0,,Shooting foul by D. Lillard (drawn by T. Lawson),3,0
18,1,10:07.0,,T. Lawson makes free throw 1 of 2,3,1
19,1,10:07.0,,T. Lawson misses free throw 2 of 2,3,1
20,1,10:07.0,Defensive rebound by N. Batum,,3,1
21,1,9:56.0,L. Aldridge makes 2-pt hook shot from 3 ft (assist by N. Batum),,5,1
22,1,9:30.0,,A. Afflalo makes 2-pt jump shot from 14 ft,5,3
23,1,9:03.0,W. Matthews makes 2-pt jump shot from 19 ft,,7,3
24,1,8:42.0,,Turnover by W. Chandler (lost ball; steal by W. Matthews),7,3
25,1,8:36.0,D. Lillard makes 2-pt dunk at rim (assist by N. Batum),,9,3
26,1,8:23.0,,Turnover by W. Chandler (traveling),9,3
