,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SAN ANTONIO_ACTION,BROOKLYN_SCORE,SAN ANTONIO_SCORE
0,1,11:40.0,,K. Leonard misses 2-pt jump shot from 4 ft,0,0
1,1,11:39.0,,Offensive rebound by T. Duncan,0,0
2,1,11:23.0,,T. Duncan makes 2-pt layup from 2 ft (assist by B. Diaw),0,2
3,1,11:01.0,Turnover by B. Lopez (lost ball; steal by T. Duncan),,0,2
4,1,10:56.0,,K. Leonard misses 2-pt jump shot from 15 ft,0,2
5,1,10:55.0,Defensive rebound by B. Lopez,,0,2
6,1,10:33.0,B. Lopez makes 2-pt layup from 2 ft (assist by D. Williams),,2,2
7,1,10:13.0,,T. Parker makes 2-pt layup from 1 ft (assist by M. Belinelli),2,4
8,1,9:58.0,Turnover by M. Teletović (lost ball; steal by M. Belinelli),,2,4
9,1,9:53.0,,T. Parker misses 2-pt layup from 1 ft (block by D. Williams),2,4
10,1,9:53.0,Defensive rebound by Team,,2,4
11,1,9:48.0,Turnover by B. Lopez (lost ball; steal by T. Duncan),,2,4
12,1,9:38.0,,T. Parker makes 2-pt jump shot from 3 ft,2,6
13,1,9:12.0,J. Johnson makes 2-pt layup from 2 ft (assist by M. Teletović),,4,6
14,1,9:08.0,,Turnover by K. Leonard (traveling),4,6
15,1,8:59.0,D. Williams misses 2-pt layup from 1 ft (block by T. Duncan),,4,6
16,1,8:58.0,,Defensive rebound by M. Belinelli,4,6
17,1,8:51.0,,T. Duncan makes 2-pt hook shot from 5 ft (assist by M. Belinelli),4,8
18,1,8:34.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,4,8
19,1,8:33.0,,Defensive rebound by K. Leonard,4,8
20,1,8:23.0,,K. Leonard makes 2-pt jump shot from 19 ft (assist by T. Duncan),4,10
21,1,8:08.0,B. Lopez misses 2-pt jump shot from 7 ft,,4,10
22,1,8:07.0,,Defensive rebound by B. Diaw,4,10
23,1,7:54.0,,B. Diaw misses 3-pt jump shot from 24 ft,4,10
24,1,7:53.0,Defensive rebound by M. Teletović,,4,10
25,1,7:43.0,D. Williams misses 2-pt jump shot from 20 ft,,4,10
26,1,7:42.0,Offensive rebound by B. Lopez,,4,10
27,1,7:31.0,M. Teletović makes 2-pt jump shot from 4 ft (assist by D. Williams),,6,10
28,1,7:13.0,,T. Parker makes 2-pt jump shot from 21 ft (assist by B. Diaw),6,12
29,1,6:49.0,D. Williams misses 2-pt jump shot from 4 ft,,6,12
30,1,6:48.0,,Defensive rebound by T. Duncan,6,12
31,1,6:40.0,,San Antonio full timeout,6,12
32,1,6:40.0,,D. Green enters the game for M. Belinelli,6,12
33,1,6:30.0,,K. Leonard makes 2-pt layup from 2 ft (assist by T. Parker),6,14
34,1,6:15.0,B. Lopez misses 2-pt jump shot from 12 ft,,6,14
35,1,6:14.0,,Defensive rebound by B. Diaw,6,14
36,1,6:03.0,,D. Green misses 3-pt jump shot from 22 ft,6,14
37,1,6:02.0,,Offensive rebound by Team,6,14
38,1,5:52.0,,T. Duncan misses 2-pt jump shot from 13 ft,6,14
39,1,5:51.0,Defensive rebound by M. Teletović,,6,14
40,1,5:45.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,6,14
41,1,5:44.0,,Defensive rebound by K. Leonard,6,14
42,1,5:34.0,,K. Leonard misses 2-pt jump shot from 21 ft,6,14
43,1,5:33.0,Defensive rebound by B. Bogdanović,,6,14
44,1,5:17.0,,M. Ginóbili enters the game for T. Parker,6,14
45,1,5:17.0,J. Jordan enters the game for B. Lopez,,6,14
46,1,5:12.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,6,14
47,1,5:10.0,,Defensive rebound by D. Green,6,14
48,1,4:56.0,,Turnover by K. Leonard (bad pass),6,14
49,1,4:40.0,J. Jordan misses 2-pt layup from 2 ft (block by T. Duncan),,6,14
50,1,4:38.0,,Defensive rebound by T. Duncan,6,14
51,1,4:27.0,,B. Diaw makes 2-pt jump shot from 7 ft (assist by T. Duncan),6,16
52,1,4:05.0,M. Teletović makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,9,16
53,1,3:48.0,,Turnover by M. Ginóbili (bad pass; steal by D. Williams),9,16
54,1,3:47.0,Turnover by D. Williams (bad pass),,9,16
55,1,3:47.0,J. Jack enters the game for B. Bogdanović,,9,16
56,1,3:33.0,,Turnover by D. Green (step out of bounds),9,16
57,1,3:20.0,J. Johnson misses 3-pt jump shot from 23 ft,,9,16
58,1,3:19.0,,Defensive rebound by D. Green,9,16
59,1,3:16.0,,Turnover by D. Green (bad pass; steal by D. Williams),9,16
60,1,3:12.0,D. Williams makes 2-pt layup from 1 ft,,11,16
61,1,2:57.0,,K. Leonard misses 3-pt jump shot from 22 ft,11,16
62,1,2:55.0,Defensive rebound by M. Teletović,,11,16
63,1,2:43.0,J. Jack misses 2-pt jump shot from 4 ft (block by D. Green),,11,16
64,1,2:40.0,,Defensive rebound by T. Duncan,11,16
65,1,2:38.0,,K. Leonard makes 2-pt layup from 1 ft (assist by T. Duncan),11,18
66,1,2:28.0,Brooklyn full timeout,,11,18
67,1,2:28.0,,A. Daye enters the game for K. Leonard,11,18
68,1,2:28.0,,A. Baynes enters the game for T. Duncan,11,18
69,1,2:28.0,,T. Parker enters the game for B. Diaw,11,18
70,1,2:21.0,M. Teletović misses 2-pt jump shot from 20 ft,,11,18
71,1,2:21.0,,Defensive rebound by D. Green,11,18
72,1,2:14.0,,A. Daye misses 3-pt jump shot from 23 ft,11,18
