,QUARTER,TIME_REMAINING,INDIANA_ACTION,PORTLAND_ACTION,INDIANA_SCORE,PORTLAND_SCORE
0,1,11:46.0,,R. Lopez misses 2-pt hook shot from 4 ft,0,0
1,1,11:45.0,Defensive rebound by D. West,,0,0
2,1,11:25.0,R. Hibbert makes 2-pt jump shot from 13 ft (assist by R. Stuckey),,2,0
3,1,11:11.0,,N. Batum makes 2-pt jump shot from 21 ft (assist by L. Aldridge),2,2
4,1,10:57.0,Turnover by R. Stuckey (bad pass; steal by N. Batum),,2,2
5,1,10:48.0,,L. Aldridge makes 3-pt jump shot from 24 ft (assist by D. Lillard),2,5
6,1,10:31.0,R. Hibbert misses 2-pt jump shot from 21 ft,,2,5
7,1,10:30.0,,Defensive rebound by N. Batum,2,5
8,1,10:18.0,,D. Lillard makes 2-pt layup from 2 ft (assist by L. Aldridge),2,7
9,1,9:51.0,C. Copeland misses 2-pt jump shot from 8 ft,,2,7
10,1,9:50.0,,Defensive rebound by L. Aldridge,2,7
11,1,9:38.0,,L. Aldridge misses 2-pt jump shot from 15 ft,2,7
12,1,9:36.0,Defensive rebound by Team,,2,7
13,1,9:18.0,R. Stuckey misses 3-pt jump shot from 23 ft,,2,7
14,1,9:18.0,,Defensive rebound by L. Aldridge,2,7
15,1,9:04.0,,L. Aldridge misses 2-pt jump shot from 16 ft,2,7
16,1,9:03.0,Defensive rebound by R. Hibbert,,2,7
17,1,8:52.0,R. Stuckey makes 2-pt layup from 1 ft (assist by D. West),,4,7
18,1,8:48.0,Violation by Team (delay of game),,4,7
19,1,8:27.0,,W. Matthews misses 3-pt jump shot from 24 ft,4,7
20,1,8:26.0,,Offensive rebound by L. Aldridge,4,7
21,1,8:23.0,,L. Aldridge misses 2-pt jump shot from 18 ft,4,7
22,1,8:22.0,Defensive rebound by R. Hibbert,,4,7
23,1,8:15.0,R. Stuckey misses 2-pt jump shot from 15 ft,,4,7
24,1,8:14.0,,Defensive rebound by R. Lopez,4,7
25,1,8:05.0,,R. Lopez misses 2-pt jump shot from 5 ft (block by R. Hibbert),4,7
26,1,8:04.0,,Offensive rebound by L. Aldridge,4,7
27,1,8:03.0,,L. Aldridge misses 2-pt layup from 2 ft (block by D. West),4,7
28,1,8:03.0,,Offensive rebound by Team,4,7
29,1,7:55.0,,Shooting foul by R. Stuckey (drawn by R. Lopez),4,7
30,1,7:55.0,,R. Lopez misses free throw 1 of 2,4,7
31,1,7:55.0,,Offensive rebound by Team,4,7
32,1,7:55.0,,R. Lopez makes free throw 2 of 2,4,8
33,1,7:43.0,Turnover by C. Copeland (back court),,4,8
34,1,7:32.0,,D. Lillard makes 2-pt jump shot from 19 ft,4,10
