,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MEMPHIS_ACTION,MINNESOTA_SCORE,MEMPHIS_SCORE
0,1,11:47.0,,Turnover by Z. Randolph (bad pass; steal by A. Wiggins),0,0
1,1,11:46.0,Personal foul by T. Allen (drawn by C. Brewer),,0,0
2,1,11:32.0,C. Brewer makes 2-pt layup from 2 ft (assist by N. Peković),,2,0
3,1,11:10.0,,Z. Randolph makes 2-pt jump shot from 12 ft,2,2
4,1,10:50.0,T. Young misses 3-pt jump shot from 24 ft,,2,2
5,1,10:49.0,Offensive rebound by N. Peković,,2,2
6,1,10:49.0,N. Peković misses 2-pt jump shot from 5 ft (block by M. Gasol),,2,2
7,1,10:49.0,Offensive rebound by Team,,2,2
8,1,10:47.0,T. Young makes 2-pt jump shot from 18 ft (assist by A. Wiggins),,4,2
9,1,10:34.0,,Shooting foul by R. Rubio (drawn by M. Conley),4,2
10,1,10:34.0,,M. Conley misses free throw 1 of 2,4,2
11,1,10:34.0,,Offensive rebound by Team,4,2
12,1,10:34.0,,Turnover by M. Gasol (lane violation.),4,2
13,1,10:25.0,Turnover by C. Brewer (bad pass; steal by T. Allen),,4,2
14,1,10:12.0,,C. Lee misses 3-pt jump shot from 23 ft,4,2
15,1,10:10.0,Defensive rebound by N. Peković,,4,2
16,1,10:07.0,R. Rubio makes 2-pt jump shot from 18 ft,,6,2
17,1,10:07.0,Shooting foul by M. Conley (drawn by R. Rubio),,6,2
18,1,10:07.0,R. Rubio makes free throw 1 of 1,,7,2
19,1,9:57.0,,C. Lee makes 3-pt jump shot from 26 ft (assist by M. Conley),7,5
20,1,9:40.0,T. Young misses 2-pt jump shot from 15 ft,,7,5
21,1,9:38.0,,Defensive rebound by T. Allen,7,5
22,1,9:31.0,,Z. Randolph makes 2-pt jump shot from 5 ft (assist by M. Conley),7,7
23,1,9:17.0,N. Peković misses 2-pt jump shot from 6 ft,,7,7
24,1,9:13.0,,Defensive rebound by T. Allen,7,7
25,1,9:05.0,,Z. Randolph makes 2-pt jump shot from 8 ft,7,9
26,1,8:45.0,Turnover by N. Peković (traveling),,7,9
27,1,8:29.0,,M. Gasol makes 2-pt jump shot from 6 ft,7,11
28,1,8:05.0,T. Young makes 2-pt jump shot from 5 ft,,9,11
29,1,7:41.0,,T. Allen makes 2-pt layup from 1 ft (assist by Z. Randolph),9,13
30,1,7:24.0,N. Peković misses 2-pt jump shot from 7 ft,,9,13
31,1,7:23.0,Offensive rebound by R. Rubio,,9,13
32,1,7:21.0,Shooting foul by M. Conley (drawn by R. Rubio),,9,13
33,1,7:21.0,R. Rubio misses free throw 1 of 2,,9,13
34,1,7:21.0,Offensive rebound by Team,,9,13
35,1,7:21.0,,K. Koufos enters the game for M. Gasol,9,13
36,1,7:21.0,,B. Udrih enters the game for M. Conley,9,13
37,1,7:21.0,R. Rubio makes free throw 2 of 2,,10,13
38,1,7:07.0,,B. Udrih makes 2-pt jump shot from 17 ft,10,15
39,1,6:58.0,R. Rubio misses 2-pt jump shot from 8 ft,,10,15
40,1,6:56.0,Offensive rebound by A. Wiggins,,10,15
41,1,6:56.0,A. Wiggins misses 2-pt tip-in at rim,,10,15
42,1,6:53.0,,Defensive rebound by Z. Randolph,10,15
