,QUARTER,TIME_REMAINING,HOUSTON_ACTION,TORONTO_ACTION,HOUSTON_SCORE,TORONTO_SCORE
0,1,11:37.0,,A. Johnson misses 2-pt hook shot from 10 ft,0,0
1,1,11:36.0,Defensive rebound by J. Smith,,0,0
2,1,11:27.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by J. Smith),,3,0
3,1,11:03.0,,Shooting foul by J. Dorsey (drawn by D. DeRozan),3,0
4,1,11:03.0,,D. DeRozan makes free throw 1 of 2,3,1
5,1,11:03.0,,D. DeRozan makes free throw 2 of 2,3,2
6,1,10:47.0,J. Smith makes 2-pt jump shot from 15 ft (assist by T. Ariza),,5,2
7,1,10:27.0,,Turnover by G. Vásquez (lost ball),5,2
8,1,10:14.0,J. Harden misses 2-pt layup from 3 ft (block by J. Valančiūnas),,5,2
9,1,10:12.0,Offensive rebound by J. Harden,,5,2
10,1,10:10.0,J. Smith misses 3-pt jump shot from 24 ft,,5,2
11,1,10:09.0,,Defensive rebound by D. DeRozan,5,2
12,1,9:59.0,,G. Vásquez misses 3-pt jump shot from 24 ft,5,2
13,1,9:58.0,Defensive rebound by T. Ariza,,5,2
14,1,9:44.0,J. Harden misses 2-pt jump shot from 10 ft,,5,2
15,1,9:43.0,,Defensive rebound by J. Valančiūnas,5,2
16,1,9:32.0,,A. Johnson makes 2-pt layup at rim (assist by G. Vásquez),5,4
17,1,9:09.0,J. Terry makes 3-pt jump shot from 23 ft (assist by T. Ariza),,8,4
18,1,8:50.0,Offensive charge foul by A. Johnson (drawn by J. Smith),,8,4
19,1,8:50.0,,Turnover by A. Johnson (offensive foul),8,4
20,1,8:38.0,J. Smith misses 2-pt jump shot from 9 ft (block by J. Valančiūnas),,8,4
21,1,8:37.0,,Defensive rebound by D. DeRozan,8,4
22,1,8:21.0,,T. Ross misses 2-pt jump shot from 20 ft,8,4
23,1,8:20.0,Defensive rebound by J. Smith,,8,4
24,1,8:15.0,Turnover by J. Smith (offensive foul),,8,4
25,1,8:15.0,,Offensive charge foul by J. Smith (drawn by A. Johnson),8,4
26,1,7:58.0,,D. DeRozan misses 2-pt jump shot from 13 ft,8,4
27,1,7:57.0,Defensive rebound by J. Harden,,8,4
28,1,7:48.0,T. Ariza misses 2-pt layup from 2 ft,,8,4
29,1,7:47.0,,Defensive rebound by A. Johnson,8,4
30,1,7:33.0,,Turnover by D. DeRozan (bad pass; steal by T. Ariza),8,4
31,1,7:28.0,T. Ariza makes 2-pt dunk at rim (assist by J. Dorsey),,10,4
32,1,7:20.0,,Toronto full timeout,10,4
33,1,7:13.0,,Offensive foul by A. Johnson (drawn by J. Terry),10,4
34,1,7:13.0,,Turnover by A. Johnson (offensive foul),10,4
35,1,7:09.0,Offensive foul by J. Dorsey (drawn by G. Vásquez),,10,4
36,1,7:09.0,Turnover by J. Dorsey (offensive foul),,10,4
37,1,7:09.0,,P. Patterson enters the game for A. Johnson,10,4
38,1,7:09.0,C. Capela enters the game for J. Dorsey,,10,4
39,1,6:57.0,,G. Vásquez misses 2-pt layup from 3 ft (block by C. Capela),10,4
40,1,6:55.0,,Offensive rebound by D. DeRozan,10,4
41,1,6:45.0,,J. Valančiūnas misses 2-pt hook shot from 5 ft,10,4
42,1,6:44.0,Defensive rebound by J. Harden,,10,4
43,1,6:36.0,C. Capela misses 2-pt layup from 1 ft,,10,4
44,1,6:35.0,,Defensive rebound by J. Valančiūnas,10,4
45,1,6:20.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft,10,6
46,1,5:58.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,12,6
47,1,5:30.0,,Turnover by Team (shot clock),12,6
48,1,5:20.0,Shooting foul by T. Ross (drawn by J. Harden),,12,6
49,1,5:20.0,J. Harden makes free throw 1 of 2,,13,6
50,1,5:20.0,J. Harden makes free throw 2 of 2,,14,6
51,1,5:07.0,,Shooting foul by C. Capela (drawn by J. Valančiūnas),14,6
52,1,5:07.0,,J. Valančiūnas makes free throw 1 of 2,14,7
53,1,5:07.0,,J. Valančiūnas makes free throw 2 of 2,14,8
54,1,4:54.0,J. Smith misses 2-pt layup from 1 ft,,14,8
55,1,4:53.0,Offensive rebound by C. Capela,,14,8
56,1,4:50.0,Shooting foul by J. Valančiūnas (drawn by J. Smith),,14,8
57,1,4:50.0,J. Smith makes free throw 1 of 2,,15,8
58,1,4:50.0,P. Prigioni enters the game for J. Terry,,15,8
59,1,4:50.0,J. Smith makes free throw 2 of 2,,16,8
60,1,4:45.0,,Toronto full timeout,16,8
61,1,4:45.0,,L. Williams enters the game for G. Vásquez,16,8
62,1,4:45.0,C. Brewer enters the game for J. Smith,,16,8
63,1,4:34.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by T. Ross),16,10
64,1,4:17.0,J. Harden makes 2-pt jump shot from 6 ft,,18,10
65,1,4:17.0,Shooting foul by T. Ross (drawn by J. Harden),,18,10
66,1,4:17.0,,J. Johnson enters the game for T. Ross,18,10
67,1,4:17.0,J. Harden makes free throw 1 of 1,,19,10
68,1,3:52.0,,D. DeRozan makes 2-pt jump shot from 20 ft,19,12
69,1,3:41.0,Turnover by J. Harden (bad pass; steal by D. DeRozan),,19,12
70,1,3:33.0,,L. Williams makes 3-pt jump shot from 23 ft (assist by J. Johnson),19,15
71,1,3:08.0,P. Prigioni makes 2-pt jump shot from 6 ft,,21,15
72,1,2:54.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by L. Williams),21,18
73,1,2:45.0,T. Ariza misses 3-pt jump shot from 25 ft,,21,18
74,1,2:44.0,,Defensive rebound by L. Williams,21,18
75,1,2:34.0,,L. Williams makes 2-pt jump shot from 13 ft,21,20
76,1,2:26.0,Houston full timeout,,21,20
77,1,2:26.0,N. Johnson enters the game for T. Ariza,,21,20
78,1,2:26.0,,T. Hansbrough enters the game for J. Valančiūnas,21,20
79,1,2:11.0,C. Brewer misses 2-pt jump shot from 9 ft,,21,20
80,1,2:11.0,Offensive rebound by C. Capela,,21,20
81,1,2:11.0,Shooting foul by T. Hansbrough (drawn by C. Capela),,21,20
82,1,2:11.0,C. Capela misses free throw 1 of 2,,21,20
83,1,2:11.0,Offensive rebound by Team,,21,20
84,1,2:11.0,C. Capela misses free throw 2 of 2,,21,20
85,1,2:10.0,,Defensive rebound by J. Johnson,21,20
86,1,1:48.0,,D. DeRozan misses 2-pt jump shot from 5 ft,21,20
87,1,1:47.0,Defensive rebound by C. Capela,,21,20
88,1,1:37.0,J. Harden makes 2-pt layup from 1 ft,,23,20
89,1,1:19.0,,J. Johnson makes 2-pt jump shot from 3 ft,23,22
90,1,1:19.0,,Shooting foul by C. Brewer (drawn by J. Johnson),23,22
91,1,1:19.0,,J. Johnson makes free throw 1 of 1,23,23
92,1,1:08.0,C. Capela makes 2-pt dunk at rim (assist by P. Prigioni),,25,23
93,1,0:59.0,,Personal foul by N. Johnson (drawn by D. DeRozan),25,23
94,1,0:59.0,,D. DeRozan misses free throw 1 of 2,25,23
95,1,0:59.0,,Offensive rebound by Team,25,23
96,1,0:59.0,,D. DeRozan makes free throw 2 of 2,25,24
97,1,0:40.0,Personal foul by J. Johnson (drawn by J. Harden),,25,24
98,1,0:40.0,J. Harden makes free throw 1 of 2,,26,24
99,1,0:40.0,J. Harden makes free throw 2 of 2,,27,24
100,1,0:34.0,,L. Williams makes 3-pt jump shot from 24 ft,27,27
101,1,0:11.0,J. Harden misses 3-pt jump shot from 24 ft,,27,27
102,1,0:10.0,,Defensive rebound by D. DeRozan,27,27
103,1,0:02.0,,D. DeRozan misses 3-pt jump shot from 25 ft,27,27
104,1,0:01.0,Defensive rebound by C. Capela,,27,27
105,1,0:00.0,J. Harden misses 3-pt jump shot from 46 ft,,27,27
106,1,0:00.0,Offensive rebound by Team,,27,27
107,2,11:46.0,Shooting foul by T. Hansbrough (drawn by C. Brewer),,27,27
108,2,11:46.0,C. Brewer misses free throw 1 of 2,,27,27
109,2,11:46.0,Offensive rebound by Team,,27,27
110,2,11:46.0,C. Brewer misses free throw 2 of 2,,27,27
111,2,11:43.0,Offensive rebound by Team,,27,27
112,2,11:36.0,C. Brewer makes 2-pt layup from 2 ft (assist by P. Prigioni),,29,27
113,2,11:18.0,,Turnover by J. Johnson (lost ball; steal by P. Prigioni),29,27
114,2,11:10.0,J. Smith misses 3-pt jump shot from 25 ft,,29,27
115,2,11:09.0,,Defensive rebound by P. Patterson,29,27
116,2,10:58.0,,P. Patterson misses 3-pt jump shot from 26 ft,29,27
117,2,10:57.0,Defensive rebound by N. Johnson,,29,27
118,2,10:53.0,Shooting foul by G. Vásquez (drawn by J. Smith),,29,27
119,2,10:53.0,J. Smith misses free throw 1 of 2,,29,27
120,2,10:53.0,Offensive rebound by Team,,29,27
121,2,10:53.0,,T. Ross enters the game for J. Johnson,29,27
122,2,10:53.0,J. Smith misses free throw 2 of 2,,29,27
123,2,10:52.0,,Defensive rebound by G. Vásquez,29,27
124,2,10:37.0,,T. Ross misses 2-pt jump shot from 4 ft,29,27
125,2,10:36.0,Defensive rebound by C. Brewer,,29,27
126,2,10:27.0,C. Capela makes 2-pt dunk at rim (assist by P. Prigioni),,31,27
127,2,10:15.0,,Personal foul by N. Johnson (drawn by L. Williams),31,27
128,2,10:15.0,J. Dorsey enters the game for C. Capela,,31,27
129,2,10:03.0,,L. Williams misses 3-pt jump shot from 26 ft,31,27
130,2,10:02.0,Defensive rebound by P. Prigioni,,31,27
131,2,9:53.0,N. Johnson misses 3-pt jump shot from 27 ft,,31,27
132,2,9:52.0,,Defensive rebound by Team,31,27
133,2,9:52.0,,Personal foul by C. Brewer (drawn by T. Hansbrough),31,27
134,2,9:35.0,,T. Ross misses 3-pt jump shot from 25 ft,31,27
135,2,9:34.0,Defensive rebound by J. Smith,,31,27
136,2,9:25.0,Turnover by J. Smith (bad pass; steal by T. Ross),,31,27
137,2,9:19.0,Violation by J. Smith (def goaltending),,31,27
138,2,9:19.0,,T. Ross makes 2-pt layup from 2 ft,31,29
139,2,9:00.0,C. Brewer misses 2-pt jump shot from 5 ft,,31,29
140,2,8:59.0,Offensive rebound by Team,,31,29
141,2,8:59.0,Official timeout,,31,29
142,2,8:59.0,,A. Johnson enters the game for P. Patterson,31,29
143,2,8:59.0,,J. Valančiūnas enters the game for T. Hansbrough,31,29
144,2,8:57.0,C. Brewer misses 2-pt layup at rim,,31,29
145,2,8:56.0,,Defensive rebound by J. Valančiūnas,31,29
146,2,8:51.0,,Turnover by T. Ross (bad pass; steal by C. Brewer),31,29
147,2,8:48.0,C. Brewer makes 2-pt layup from 2 ft,,33,29
148,2,8:48.0,Shooting foul by L. Williams (drawn by C. Brewer),,33,29
149,2,8:48.0,C. Brewer makes free throw 1 of 1,,34,29
150,2,8:26.0,,L. Williams makes 2-pt jump shot from 18 ft,34,31
151,2,8:05.0,J. Dorsey makes 2-pt layup at rim (assist by J. Smith),,36,31
152,2,7:49.0,,G. Vásquez misses 2-pt jump shot from 3 ft,36,31
153,2,7:48.0,Defensive rebound by J. Dorsey,,36,31
154,2,7:38.0,J. Smith misses 3-pt jump shot from 25 ft,,36,31
155,2,7:37.0,Offensive rebound by C. Brewer,,36,31
156,2,7:34.0,C. Brewer makes 2-pt layup from 1 ft,,38,31
157,2,7:30.0,,Toronto full timeout,38,31
158,2,7:30.0,,D. DeRozan enters the game for G. Vásquez,38,31
159,2,7:18.0,,Turnover by D. DeRozan (lost ball; steal by P. Prigioni),38,31
160,2,7:13.0,J. Dorsey makes 2-pt dunk at rim (assist by P. Prigioni),,40,31
161,2,6:57.0,,Offensive foul by D. DeRozan (drawn by J. Smith),40,31
162,2,6:57.0,,Turnover by D. DeRozan (offensive foul),40,31
163,2,6:45.0,C. Brewer misses 2-pt jump shot from 5 ft,,40,31
164,2,6:44.0,,Defensive rebound by A. Johnson,40,31
165,2,6:32.0,,L. Williams misses 3-pt jump shot from 23 ft,40,31
166,2,6:31.0,Defensive rebound by N. Johnson,,40,31
167,2,6:27.0,Personal foul by L. Williams (drawn by N. Johnson),,40,31
168,2,6:27.0,,Technical foul by D. DeRozan,40,31
169,2,6:27.0,P. Prigioni makes technical free throw,,41,31
