,QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
0,1,11:34.0,J. Nelson makes 2-pt jump shot from 21 ft (assist by C. Parsons),,2,0
1,1,11:17.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by D. Motiejūnas),2,3
2,1,11:08.0,Personal foul by T. Black (drawn by M. Ellis),,2,3
3,1,10:58.0,J. Nelson makes 3-pt jump shot from 24 ft (assist by D. Nowitzki),,5,3
4,1,10:41.0,,Turnover by J. Harden (bad pass; steal by C. Parsons),5,3
5,1,10:35.0,C. Parsons makes 2-pt layup at rim (assist by M. Ellis),,7,3
6,1,10:17.0,,J. Harden makes 3-pt jump shot from 24 ft,7,6
7,1,10:07.0,T. Chandler makes 2-pt layup at rim (assist by J. Nelson),,9,6
8,1,9:54.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),9,9
9,1,9:43.0,C. Parsons misses 3-pt jump shot from 24 ft,,9,9
10,1,9:42.0,,Defensive rebound by D. Motiejūnas,9,9
11,1,9:34.0,,P. Beverley misses 3-pt jump shot from 25 ft,9,9
12,1,9:33.0,Defensive rebound by T. Chandler,,9,9
13,1,9:25.0,M. Ellis misses 2-pt layup from 1 ft,,9,9
14,1,9:24.0,Offensive rebound by T. Chandler,,9,9
15,1,9:24.0,T. Chandler misses 2-pt tip-in at rim,,9,9
16,1,9:23.0,,Defensive rebound by J. Harden,9,9
17,1,9:17.0,,P. Beverley makes 3-pt jump shot from 22 ft (assist by T. Ariza),9,12
18,1,8:51.0,J. Nelson misses 2-pt jump shot from 9 ft,,9,12
19,1,8:49.0,Offensive rebound by T. Chandler,,9,12
20,1,8:44.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,9,12
21,1,8:43.0,,Defensive rebound by D. Motiejūnas,9,12
22,1,8:37.0,,J. Harden makes 2-pt layup from 1 ft,9,14
23,1,8:36.0,Dallas full timeout,,9,14
24,1,8:24.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,9,14
25,1,8:23.0,,Defensive rebound by J. Harden,9,14
26,1,8:16.0,,T. Ariza misses 3-pt jump shot from 23 ft,9,14
27,1,8:15.0,,Offensive rebound by D. Motiejūnas,9,14
28,1,8:14.0,,D. Motiejūnas makes 2-pt layup at rim,9,16
29,1,8:01.0,Shooting foul by J. Harden (drawn by T. Chandler),,9,16
30,1,8:01.0,T. Chandler makes free throw 1 of 2,,10,16
31,1,8:01.0,T. Chandler makes free throw 2 of 2,,11,16
32,1,7:47.0,,Turnover by J. Harden (bad pass),11,16
33,1,7:38.0,M. Ellis makes 2-pt layup from 1 ft,,13,16
34,1,7:21.0,,J. Harden misses 2-pt jump shot from 17 ft,13,16
35,1,7:20.0,Defensive rebound by D. Nowitzki,,13,16
36,1,7:03.0,C. Parsons makes 2-pt dunk at rim (assist by J. Nelson),,15,16
37,1,6:52.0,,D. Motiejūnas makes 3-pt jump shot from 22 ft (assist by J. Harden),15,19
38,1,6:40.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by T. Chandler),,17,19
39,1,6:10.0,,P. Beverley misses 3-pt jump shot from 25 ft,17,19
40,1,6:09.0,Defensive rebound by T. Chandler,,17,19
