,QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW YORK_ACTION,BOSTON_SCORE,NEW YORK_SCORE
0,1,11:45.0,,A. Bargnani misses 2-pt jump shot from 7 ft,0,0
1,1,11:43.0,Defensive rebound by T. Zeller,,0,0
2,1,11:30.0,A. Bradley misses 2-pt jump shot from 20 ft,,0,0
3,1,11:29.0,,Defensive rebound by L. Amundson,0,0
4,1,11:10.0,,L. Amundson misses 2-pt jump shot from 15 ft,0,0
5,1,11:08.0,Defensive rebound by E. Turner,,0,0
6,1,11:01.0,E. Turner misses 2-pt jump shot from 17 ft,,0,0
7,1,10:59.0,,Defensive rebound by A. Bargnani,0,0
8,1,10:46.0,,A. Bargnani misses 3-pt jump shot from 24 ft,0,0
9,1,10:44.0,Defensive rebound by B. Bass,,0,0
10,1,10:34.0,Personal foul by L. Galloway (drawn by T. Zeller),,0,0
11,1,10:26.0,T. Zeller misses 2-pt jump shot from 19 ft,,0,0
12,1,10:24.0,,Defensive rebound by L. Galloway,0,0
13,1,10:02.0,,L. Thomas makes 2-pt layup from 2 ft,0,2
14,1,9:45.0,A. Bradley makes 2-pt jump shot from 14 ft,,2,2
15,1,9:29.0,,A. Bargnani misses 2-pt jump shot from 17 ft,2,2
16,1,9:27.0,Defensive rebound by T. Zeller,,2,2
17,1,9:15.0,T. Zeller makes 2-pt jump shot from 17 ft (assist by M. Smart),,4,2
18,1,8:52.0,,S. Larkin makes 2-pt jump shot from 16 ft,4,4
19,1,8:36.0,M. Smart makes 3-pt jump shot from 24 ft (assist by B. Bass),,7,4
20,1,8:15.0,,Turnover by L. Thomas (lost ball; steal by A. Bradley),7,4
21,1,8:03.0,E. Turner makes 2-pt jump shot from 15 ft,,9,4
22,1,7:44.0,,S. Larkin makes 2-pt jump shot from 20 ft (assist by L. Galloway),9,6
23,1,7:28.0,Turnover by E. Turner (bad pass; steal by L. Galloway),,9,6
24,1,7:24.0,,L. Galloway misses 2-pt layup from 1 ft,9,6
25,1,7:23.0,,Offensive rebound by L. Thomas,9,6
26,1,7:22.0,,L. Thomas makes 2-pt layup from 1 ft,9,8
27,1,7:21.0,Boston full timeout,,9,8
28,1,7:01.0,E. Turner misses 3-pt jump shot from 22 ft,,9,8
29,1,7:00.0,Offensive rebound by T. Zeller,,9,8
30,1,6:59.0,Turnover by T. Zeller (traveling),,9,8
31,1,6:47.0,,S. Larkin makes 2-pt layup from 1 ft,9,10
32,1,6:32.0,B. Bass misses 2-pt jump shot from 16 ft,,9,10
33,1,6:30.0,,Defensive rebound by L. Amundson,9,10
34,1,6:17.0,,S. Larkin makes 2-pt layup from 1 ft (assist by A. Bargnani),9,12
35,1,6:05.0,E. Turner misses 2-pt jump shot from 6 ft,,9,12
36,1,6:04.0,,Defensive rebound by L. Amundson,9,12
37,1,5:55.0,,Offensive foul by A. Bargnani (drawn by M. Smart),9,12
38,1,5:55.0,,Turnover by A. Bargnani (offensive foul),9,12
39,1,5:55.0,J. Crowder enters the game for M. Smart,,9,12
40,1,5:55.0,I. Thomas enters the game for E. Turner,,9,12
41,1,5:37.0,B. Bass makes 2-pt jump shot from 16 ft (assist by I. Thomas),,11,12
42,1,5:16.0,,Shooting foul by T. Zeller (drawn by L. Amundson),11,12
43,1,5:16.0,,L. Amundson misses free throw 1 of 2,11,12
44,1,5:16.0,,Offensive rebound by Team,11,12
45,1,5:16.0,,L. Amundson misses free throw 2 of 2,11,12
46,1,5:15.0,,Offensive rebound by Team,11,12
47,1,5:07.0,,A. Bargnani makes 2-pt jump shot from 6 ft (assist by L. Galloway),11,14
48,1,4:44.0,A. Bradley misses 3-pt jump shot from 25 ft,,11,14
49,1,4:42.0,,Defensive rebound by L. Amundson,11,14
50,1,4:28.0,,Shooting foul by T. Zeller (drawn by A. Bargnani),11,14
51,1,4:28.0,,A. Bargnani makes free throw 1 of 2,11,15
52,1,4:28.0,K. Olynyk enters the game for T. Zeller,,11,15
53,1,4:28.0,,A. Bargnani makes free throw 2 of 2,11,16
54,1,4:08.0,Turnover by B. Bass (bad pass; steal by L. Galloway),,11,16
55,1,3:57.0,,Turnover by L. Galloway (bad pass; steal by J. Crowder),11,16
56,1,3:45.0,J. Crowder misses 3-pt jump shot from 23 ft,,11,16
57,1,3:43.0,,Defensive rebound by A. Bargnani,11,16
58,1,3:25.0,,C. Early enters the game for L. Thomas,11,16
59,1,3:25.0,,R. Ledo enters the game for L. Galloway,11,16
60,1,3:25.0,L. Datome enters the game for B. Bass,,11,16
61,1,3:19.0,,Turnover by Team (shot clock),11,16
62,1,3:10.0,Shooting foul by L. Amundson (drawn by I. Thomas),,11,16
63,1,3:10.0,I. Thomas makes free throw 1 of 2,,12,16
64,1,3:10.0,,J. Smith enters the game for L. Amundson,12,16
65,1,3:10.0,I. Thomas makes free throw 2 of 2,,13,16
66,1,2:46.0,,R. Ledo makes 2-pt layup from 1 ft (assist by A. Bargnani),13,18
67,1,2:34.0,I. Thomas misses 3-pt jump shot from 24 ft,,13,18
68,1,2:32.0,,Defensive rebound by R. Ledo,13,18
69,1,2:21.0,,A. Bargnani misses 2-pt jump shot from 6 ft,13,18
70,1,2:20.0,Defensive rebound by L. Datome,,13,18
71,1,2:12.0,J. Crowder makes 2-pt layup from 1 ft (assist by I. Thomas),,15,18
72,1,2:10.0,,New York full timeout,15,18
73,1,1:55.0,,A. Bargnani makes 2-pt jump shot from 5 ft,15,20
74,1,1:33.0,I. Thomas misses 2-pt jump shot from 18 ft,,15,20
75,1,1:31.0,Offensive rebound by K. Olynyk,,15,20
76,1,1:30.0,K. Olynyk makes 2-pt layup from 1 ft,,17,20
77,1,1:11.0,,A. Bargnani misses 2-pt jump shot from 17 ft,17,20
78,1,1:09.0,Defensive rebound by A. Bradley,,17,20
79,1,0:59.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by A. Bradley),,20,20
80,1,0:59.0,Shooting foul by S. Larkin (drawn by I. Thomas),,20,20
81,1,0:59.0,,Q. Acy enters the game for A. Bargnani,20,20
82,1,0:59.0,I. Thomas makes free throw 1 of 1,,21,20
83,1,0:42.0,,S. Larkin misses 2-pt jump shot from 3 ft,21,20
84,1,0:40.0,Defensive rebound by L. Datome,,21,20
85,1,0:32.0,Offensive foul by K. Olynyk (drawn by S. Larkin),,21,20
86,1,0:32.0,Turnover by K. Olynyk (offensive foul),,21,20
87,1,0:21.0,,J. Smith makes 2-pt jump shot from 15 ft (assist by S. Larkin),21,22
88,1,0:00.0,A. Bradley misses 3-pt jump shot from 24 ft,,21,22
89,1,0:00.0,Offensive rebound by Team,,21,22
90,2,11:47.0,I. Thomas misses 3-pt jump shot from 24 ft,,21,22
91,2,11:45.0,,Defensive rebound by Q. Acy,21,22
92,2,11:35.0,,Turnover by R. Ledo (traveling),21,22
93,2,11:22.0,Personal foul by J. Smith (drawn by I. Thomas),,21,22
94,2,11:15.0,L. Datome misses 2-pt jump shot from 21 ft,,21,22
95,2,11:13.0,,Defensive rebound by J. Smith,21,22
96,2,11:02.0,,J. Smith makes 2-pt jump shot from 4 ft (assist by L. Galloway),21,24
97,2,10:46.0,Shooting foul by J. Smith (drawn by J. Crowder),,21,24
98,2,10:46.0,J. Crowder makes free throw 1 of 2,,22,24
99,2,10:46.0,M. Smart enters the game for L. Datome,,22,24
100,2,10:46.0,J. Crowder makes free throw 2 of 2,,23,24
101,2,10:32.0,,R. Ledo misses 2-pt layup from 3 ft (block by K. Olynyk),23,24
102,2,10:30.0,,Offensive rebound by R. Ledo,23,24
103,2,10:27.0,,R. Ledo misses 2-pt layup from 3 ft,23,24
104,2,10:25.0,Defensive rebound by J. Crowder,,23,24
105,2,10:13.0,K. Olynyk misses 2-pt layup from 1 ft,,23,24
106,2,10:12.0,,Defensive rebound by J. Smith,23,24
107,2,9:55.0,,Q. Acy misses 3-pt jump shot from 23 ft,23,24
108,2,9:53.0,Defensive rebound by J. Jerebko,,23,24
109,2,9:43.0,J. Jerebko makes 3-pt jump shot from 25 ft (assist by I. Thomas),,26,24
110,2,9:30.0,,Personal foul by K. Olynyk (drawn by Q. Acy),26,24
111,2,9:18.0,,J. Smith misses 2-pt jump shot from 7 ft,26,24
112,2,9:17.0,Defensive rebound by J. Crowder,,26,24
113,2,9:13.0,Turnover by J. Crowder (lost ball; steal by L. Galloway),,26,24
114,2,9:08.0,,L. Galloway misses 2-pt jump shot from 6 ft,26,24
115,2,9:07.0,Defensive rebound by Team,,26,24
116,2,8:54.0,Personal foul by L. Galloway (drawn by I. Thomas),,26,24
117,2,8:54.0,Official timeout,,26,24
118,2,8:54.0,E. Turner enters the game for J. Crowder,,26,24
119,2,8:54.0,,A. Bargnani enters the game for L. Galloway,26,24
120,2,8:54.0,,S. Larkin enters the game for J. Smith,26,24
121,2,8:48.0,J. Jerebko makes 2-pt layup from 1 ft (assist by K. Olynyk),,28,24
122,2,8:29.0,,A. Bargnani misses 2-pt jump shot from 4 ft,28,24
123,2,8:28.0,,Offensive rebound by Team,28,24
124,2,8:28.0,Loose ball foul by K. Olynyk (drawn by Q. Acy),,28,24
125,2,8:28.0,B. Bass enters the game for K. Olynyk,,28,24
126,2,8:15.0,,Q. Acy makes 2-pt hook shot from 6 ft,28,26
127,2,7:53.0,I. Thomas misses 3-pt jump shot from 24 ft,,28,26
128,2,7:52.0,,Defensive rebound by Team,28,26
129,2,7:52.0,Loose ball foul by B. Bass (drawn by R. Ledo),,28,26
