,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MIAMI_ACTION,CLEVELAND_SCORE,MIAMI_SCORE
0,1,11:38.0,K. Irving makes 2-pt jump shot from 18 ft,,2,0
1,1,11:18.0,,L. Deng makes 2-pt layup from 1 ft (assist by M. Chalmers),2,2
2,1,11:07.0,Turnover by M. Miller (bad pass; steal by D. Wade),,2,2
3,1,11:02.0,,D. Wade makes 2-pt layup from 2 ft (assist by M. Chalmers),2,4
4,1,10:47.0,K. Love misses 3-pt jump shot from 24 ft,,2,4
5,1,10:46.0,,Defensive rebound by C. Andersen,2,4
6,1,10:24.0,,M. Chalmers misses 2-pt jump shot from 10 ft,2,4
7,1,10:23.0,,Offensive rebound by L. Deng,2,4
8,1,10:23.0,,L. Deng misses 2-pt tip-in from 2 ft,2,4
9,1,10:22.0,,Offensive rebound by L. Deng,2,4
10,1,10:18.0,,D. Wade makes 2-pt jump shot from 18 ft (assist by M. Chalmers),2,6
11,1,10:04.0,Turnover by L. James (lost ball),,2,6
12,1,9:42.0,,L. Deng misses 2-pt jump shot from 8 ft,2,6
13,1,9:40.0,Defensive rebound by K. Love,,2,6
14,1,9:35.0,L. James misses 3-pt jump shot from 25 ft,,2,6
15,1,9:34.0,,Defensive rebound by C. Andersen,2,6
16,1,9:28.0,,M. Chalmers makes 2-pt layup from 1 ft,2,8
17,1,9:19.0,K. Irving makes 2-pt jump shot from 18 ft,,4,8
18,1,9:06.0,,Shooting foul by S. Marion (drawn by C. Andersen),4,8
19,1,9:06.0,,C. Andersen makes free throw 1 of 2,4,9
20,1,9:06.0,,C. Andersen makes free throw 2 of 2,4,10
21,1,8:48.0,K. Irving makes 2-pt jump shot from 21 ft,,6,10
22,1,8:33.0,,D. Wade misses 2-pt jump shot from 11 ft,6,10
23,1,8:32.0,Defensive rebound by S. Marion,,6,10
24,1,8:26.0,K. Irving makes 2-pt layup at rim,,8,10
25,1,8:05.0,,L. Deng makes 3-pt jump shot from 24 ft (assist by D. Wade),8,13
26,1,7:56.0,K. Love makes 2-pt jump shot from 18 ft (assist by L. James),,10,13
27,1,7:44.0,Offensive charge foul by M. Chalmers (drawn by K. Irving),,10,13
28,1,7:44.0,,Turnover by M. Chalmers (offensive foul),10,13
29,1,7:44.0,,Violation by Team (delay of game),10,13
30,1,7:32.0,,Offensive charge foul by K. Irving (drawn by M. Chalmers),10,13
31,1,7:32.0,Turnover by K. Irving (offensive foul),,10,13
32,1,7:09.0,,S. Williams misses 3-pt jump shot from 23 ft,10,13
33,1,7:08.0,,Offensive rebound by L. Deng,10,13
34,1,7:02.0,,C. Andersen makes 2-pt layup from 1 ft (assist by L. Deng),10,15
35,1,6:57.0,Turnover by L. James (lost ball; steal by D. Wade),,10,15
36,1,6:49.0,,D. Wade makes 2-pt jump shot from 18 ft,10,17
37,1,6:39.0,Shooting foul by C. Andersen (drawn by L. James),,10,17
38,1,6:39.0,L. James makes free throw 1 of 2,,11,17
39,1,6:39.0,,N. Cole enters the game for M. Chalmers,11,17
40,1,6:39.0,L. James makes free throw 2 of 2,,12,17
41,1,6:24.0,,D. Wade makes 2-pt jump shot from 20 ft (assist by N. Cole),12,19
42,1,6:12.0,Turnover by S. Marion (bad pass),,12,19
43,1,5:59.0,,D. Wade misses 2-pt jump shot from 15 ft,12,19
44,1,5:57.0,Defensive rebound by L. James,,12,19
45,1,5:51.0,K. Love misses 3-pt jump shot from 23 ft,,12,19
46,1,5:50.0,,Defensive rebound by L. Deng,12,19
47,1,5:44.0,,Shooting foul by S. Marion (drawn by N. Cole),12,19
48,1,5:44.0,,Miami full timeout,12,19
49,1,5:44.0,D. Waiters enters the game for S. Marion,,12,19
50,1,5:44.0,,U. Haslem enters the game for C. Andersen,12,19
51,1,5:44.0,,N. Cole misses free throw 1 of 2,12,19
52,1,5:44.0,,Offensive rebound by Team,12,19
53,1,5:44.0,,N. Cole makes free throw 2 of 2,12,20
54,1,5:28.0,L. James misses 2-pt layup from 1 ft,,12,20
55,1,5:27.0,,Defensive rebound by D. Wade,12,20
56,1,5:24.0,,Turnover by L. Deng (step out of bounds),12,20
57,1,5:02.0,K. Love makes 2-pt layup from 2 ft,,14,20
58,1,4:43.0,,D. Wade misses 2-pt jump shot from 16 ft,14,20
