,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,WASHINGTON_ACTION,NEW ORLEANS_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,K. Humphries makes 2-pt dunk at rim (assist by P. Pierce),0,2
1,1,11:26.0,A. Davis misses 2-pt jump shot from 17 ft,,0,2
2,1,11:25.0,,Defensive rebound by J. Wall,0,2
3,1,11:08.0,,K. Humphries misses 2-pt jump shot from 16 ft,0,2
4,1,11:07.0,Defensive rebound by J. Holiday,,0,2
5,1,10:54.0,A. Davis makes 2-pt hook shot from 10 ft,,2,2
6,1,10:43.0,,P. Pierce misses 3-pt jump shot from 26 ft,2,2
7,1,10:41.0,,Offensive rebound by K. Humphries,2,2
8,1,10:38.0,,J. Wall misses 2-pt jump shot from 16 ft,2,2
9,1,10:37.0,,Offensive rebound by K. Humphries,2,2
10,1,10:27.0,,M. Gortat misses 2-pt jump shot from 14 ft,2,2
11,1,10:26.0,Defensive rebound by J. Holiday,,2,2
12,1,10:14.0,Turnover by A. Davis (offensive foul),,2,2
13,1,10:14.0,Offensive foul by A. Davis (drawn by M. Gortat),,2,2
14,1,10:05.0,,M. Gortat makes 2-pt jump shot from 15 ft (assist by B. Beal),2,4
15,1,9:44.0,Ö. Aşık misses 2-pt layup from 1 ft,,2,4
16,1,9:43.0,,Defensive rebound by K. Humphries,2,4
17,1,9:35.0,Violation by Ö. Aşık (kicked ball),,2,4
18,1,9:28.0,,B. Beal makes 2-pt jump shot from 21 ft (assist by M. Gortat),2,6
19,1,9:17.0,T. Evans misses 2-pt jump shot from 7 ft (block by M. Gortat),,2,6
20,1,9:14.0,,Defensive rebound by M. Gortat,2,6
21,1,9:09.0,,P. Pierce misses 2-pt layup from 1 ft (block by T. Evans),2,6
22,1,9:07.0,Defensive rebound by A. Davis,,2,6
23,1,9:01.0,J. Holiday misses 3-pt jump shot from 25 ft,,2,6
24,1,8:59.0,,Defensive rebound by M. Gortat,2,6
25,1,8:43.0,,K. Humphries misses 2-pt jump shot from 19 ft,2,6
26,1,8:40.0,Defensive rebound by J. Holiday,,2,6
27,1,8:27.0,A. Davis misses 2-pt jump shot from 8 ft,,2,6
28,1,8:26.0,,Defensive rebound by K. Humphries,2,6
