,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MEMPHIS_ACTION,PORTLAND_SCORE,MEMPHIS_SCORE
0,1,11:44.0,C. McCollum misses 3-pt jump shot from 26 ft,,0,0
1,1,11:43.0,,Defensive rebound by Z. Randolph,0,0
2,1,11:30.0,,Turnover by M. Conley (bad pass),0,0
3,1,11:17.0,Turnover by N. Batum (lost ball),,0,0
4,1,10:59.0,,Z. Randolph makes 2-pt layup from 1 ft,0,2
5,1,10:45.0,D. Lillard misses 3-pt jump shot from 28 ft,,0,2
6,1,10:44.0,,Defensive rebound by Z. Randolph,0,2
7,1,10:30.0,,M. Gasol makes 2-pt layup from 1 ft,0,4
8,1,10:08.0,L. Aldridge misses 2-pt jump shot from 14 ft,,0,4
9,1,10:06.0,Offensive rebound by R. Lopez,,0,4
10,1,10:06.0,R. Lopez misses 2-pt tip-in from 1 ft,,0,4
11,1,10:03.0,,Defensive rebound by J. Green,0,4
12,1,9:54.0,,Z. Randolph misses 2-pt jump shot from 16 ft,0,4
13,1,9:53.0,Defensive rebound by N. Batum,,0,4
14,1,9:44.0,L. Aldridge misses 2-pt jump shot from 19 ft,,0,4
15,1,9:43.0,,Defensive rebound by M. Gasol,0,4
16,1,9:33.0,,Z. Randolph misses 2-pt jump shot from 5 ft (block by L. Aldridge),0,4
17,1,9:31.0,Defensive rebound by D. Lillard,,0,4
18,1,9:25.0,N. Batum misses 2-pt jump shot from 17 ft,,0,4
19,1,9:24.0,,Defensive rebound by Z. Randolph,0,4
20,1,9:14.0,,M. Gasol makes 2-pt jump shot from 22 ft (assist by M. Conley),0,6
21,1,8:53.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. Lillard),,2,6
22,1,8:31.0,,Shooting foul by C. McCollum (drawn by M. Gasol),2,6
23,1,8:31.0,,M. Gasol misses free throw 1 of 2,2,6
24,1,8:31.0,,Offensive rebound by Team,2,6
25,1,8:31.0,,M. Gasol makes free throw 2 of 2,2,7
26,1,8:08.0,L. Aldridge misses 3-pt jump shot from 25 ft,,2,7
27,1,8:07.0,,Defensive rebound by C. Lee,2,7
28,1,7:48.0,,C. Lee makes 3-pt jump shot from 24 ft (assist by J. Green),2,10
29,1,7:34.0,D. Lillard misses 3-pt jump shot from 27 ft,,2,10
30,1,7:33.0,,Defensive rebound by M. Gasol,2,10
31,1,7:26.0,,M. Conley misses 2-pt layup at rim,2,10
32,1,7:23.0,Defensive rebound by R. Lopez,,2,10
33,1,7:17.0,L. Aldridge misses 2-pt layup from 1 ft,,2,10
34,1,7:15.0,Offensive rebound by L. Aldridge,,2,10
35,1,7:15.0,L. Aldridge makes 2-pt layup at rim,,4,10
36,1,6:55.0,,J. Green misses 2-pt jump shot from 20 ft,4,10
37,1,6:53.0,,Offensive rebound by Z. Randolph,4,10
38,1,6:47.0,,M. Conley misses 3-pt jump shot from 25 ft,4,10
39,1,6:46.0,Defensive rebound by C. McCollum,,4,10
40,1,6:36.0,C. McCollum makes 2-pt jump shot from 16 ft,,6,10
41,1,6:12.0,,Z. Randolph misses 2-pt jump shot from 4 ft (block by L. Aldridge),6,10
42,1,6:09.0,,Offensive rebound by Z. Randolph,6,10
43,1,6:05.0,,M. Gasol misses 2-pt jump shot from 21 ft,6,10
44,1,6:04.0,Defensive rebound by N. Batum,,6,10
45,1,5:52.0,L. Aldridge misses 2-pt jump shot from 18 ft,,6,10
46,1,5:49.0,Offensive rebound by R. Lopez,,6,10
47,1,5:45.0,L. Aldridge makes 2-pt dunk at rim (assist by R. Lopez),,8,10
48,1,5:24.0,,C. Lee misses 2-pt layup at rim,8,10
49,1,5:23.0,Defensive rebound by C. McCollum,,8,10
50,1,5:15.0,D. Lillard misses 3-pt jump shot from 23 ft,,8,10
51,1,5:14.0,Offensive rebound by N. Batum,,8,10
52,1,5:05.0,N. Batum misses 2-pt jump shot from 11 ft,,8,10
53,1,5:04.0,,Defensive rebound by M. Gasol,8,10
54,1,4:57.0,,M. Conley makes 2-pt layup from 1 ft,8,12
55,1,4:56.0,Portland full timeout,,8,12
56,1,4:56.0,,T. Allen enters the game for J. Green,8,12
57,1,4:56.0,C. Kaman enters the game for N. Batum,,8,12
58,1,4:56.0,A. Crabbe enters the game for R. Lopez,,8,12
59,1,4:36.0,D. Lillard misses 2-pt jump shot from 22 ft,,8,12
60,1,4:35.0,,Defensive rebound by T. Allen,8,12
61,1,4:15.0,,M. Gasol misses 2-pt jump shot from 7 ft,8,12
