,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SAN ANTONIO_ACTION,PHOENIX_SCORE,SAN ANTONIO_SCORE
0,1,11:45.0,,Personal foul by E. Bledsoe (drawn by T. Splitter),0,0
1,1,11:33.0,,D. Green makes 3-pt jump shot from 26 ft,0,3
2,1,11:09.0,M. Morris misses 2-pt jump shot from 11 ft,,0,3
3,1,11:08.0,,Defensive rebound by T. Duncan,0,3
4,1,10:52.0,,T. Splitter makes 2-pt jump shot from 4 ft (assist by T. Duncan),0,5
5,1,10:37.0,M. Morris makes 2-pt jump shot from 18 ft (assist by G. Dragić),,2,5
6,1,10:21.0,,T. Duncan makes 2-pt layup from 1 ft (assist by T. Parker),2,7
7,1,10:10.0,G. Dragić makes 2-pt jump shot from 15 ft,,4,7
8,1,9:59.0,,Personal block foul by M. Morris (drawn by T. Parker),4,7
9,1,9:55.0,,D. Green misses 2-pt layup from 2 ft,4,7
10,1,9:54.0,,Offensive rebound by T. Splitter,4,7
11,1,9:54.0,,T. Splitter misses 2-pt tip-in at rim,4,7
12,1,9:53.0,,Offensive rebound by T. Splitter,4,7
13,1,9:53.0,,T. Splitter misses 2-pt tip-in at rim,4,7
14,1,9:49.0,Defensive rebound by M. Morris,,4,7
15,1,9:43.0,P. Tucker misses 3-pt jump shot from 24 ft,,4,7
16,1,9:39.0,Offensive rebound by M. Morris,,4,7
17,1,9:37.0,P. Tucker makes 2-pt jump shot from 11 ft,,6,7
18,1,9:13.0,,T. Parker misses 2-pt jump shot from 19 ft,6,7
19,1,9:12.0,,Offensive rebound by T. Splitter,6,7
20,1,9:09.0,,Personal block foul by G. Dragić (drawn by D. Green),6,7
21,1,9:05.0,,M. Belinelli misses 3-pt jump shot from 25 ft,6,7
22,1,9:04.0,Defensive rebound by M. Morris,,6,7
23,1,8:47.0,M. Morris misses 2-pt jump shot from 10 ft,,6,7
24,1,8:46.0,,Defensive rebound by T. Splitter,6,7
25,1,8:40.0,,Turnover by T. Parker (offensive foul),6,7
26,1,8:40.0,,Offensive foul by T. Parker (drawn by E. Bledsoe),6,7
27,1,8:28.0,G. Dragić misses 2-pt jump shot from 13 ft,,6,7
28,1,8:27.0,,Defensive rebound by D. Green,6,7
29,1,8:12.0,,M. Belinelli makes 2-pt jump shot from 13 ft,6,9
30,1,8:02.0,A. Len misses 2-pt layup from 2 ft,,6,9
31,1,8:00.0,,Defensive rebound by T. Splitter,6,9
32,1,7:54.0,,D. Green misses 3-pt jump shot from 23 ft,6,9
33,1,7:52.0,Defensive rebound by E. Bledsoe,,6,9
34,1,7:38.0,M. Morris misses 2-pt jump shot from 4 ft,,6,9
35,1,7:37.0,,Defensive rebound by T. Splitter,6,9
36,1,7:20.0,,D. Green makes 2-pt layup from 1 ft (assist by T. Duncan),6,11
37,1,6:58.0,A. Len misses 2-pt jump shot from 16 ft,,6,11
38,1,6:56.0,,Defensive rebound by M. Belinelli,6,11
39,1,6:47.0,,T. Parker misses 2-pt jump shot from 20 ft,6,11
40,1,6:46.0,Defensive rebound by A. Len,,6,11
41,1,6:37.0,M. Morris misses 2-pt jump shot from 8 ft,,6,11
42,1,6:37.0,Offensive rebound by A. Len,,6,11
43,1,6:37.0,A. Len makes 2-pt layup from 1 ft,,8,11
44,1,6:37.0,,San Antonio full timeout,8,11
45,1,6:37.0,,P. Mills enters the game for D. Green,8,11
46,1,6:37.0,,C. Joseph enters the game for T. Parker,8,11
47,1,6:18.0,,T. Duncan misses 2-pt jump shot from 6 ft (block by A. Len),8,11
48,1,6:16.0,Defensive rebound by P. Tucker,,8,11
49,1,6:09.0,E. Bledsoe misses 2-pt jump shot from 19 ft,,8,11
50,1,6:08.0,,Defensive rebound by M. Belinelli,8,11
51,1,5:56.0,,M. Belinelli misses 3-pt jump shot from 25 ft,8,11
52,1,5:55.0,Defensive rebound by M. Morris,,8,11
53,1,5:45.0,E. Bledsoe makes 2-pt jump shot from 18 ft,,10,11
54,1,5:29.0,,T. Duncan misses 2-pt jump shot from 5 ft,10,11
55,1,5:27.0,Defensive rebound by A. Len,,10,11
56,1,5:14.0,M. Morris misses 2-pt jump shot from 12 ft,,10,11
57,1,5:13.0,,Defensive rebound by P. Mills,10,11
58,1,5:05.0,,T. Splitter misses 2-pt layup from 3 ft (block by G. Dragić),10,11
59,1,5:04.0,,Offensive rebound by Team,10,11
60,1,5:04.0,,M. Ginóbili enters the game for M. Belinelli,10,11
61,1,5:04.0,,B. Diaw enters the game for T. Splitter,10,11
62,1,5:04.0,G. Green enters the game for P. Tucker,,10,11
63,1,5:04.0,I. Thomas enters the game for E. Bledsoe,,10,11
64,1,5:04.0,M. Morris enters the game for M. Morris,,10,11
65,1,5:00.0,,T. Duncan makes 2-pt layup from 2 ft (assist by B. Diaw),10,13
66,1,4:39.0,G. Dragić misses 2-pt jump shot from 8 ft,,10,13
67,1,4:36.0,,Defensive rebound by T. Duncan,10,13
68,1,4:25.0,,T. Duncan makes 2-pt layup from 2 ft (assist by B. Diaw),10,15
69,1,4:09.0,G. Green misses 2-pt jump shot from 15 ft,,10,15
70,1,4:08.0,,Defensive rebound by C. Joseph,10,15
71,1,3:56.0,,B. Diaw makes 2-pt hook shot from 4 ft (assist by M. Ginóbili),10,17
72,1,3:41.0,M. Morris makes 2-pt jump shot from 17 ft (assist by I. Thomas),,12,17
73,1,3:21.0,,T. Duncan makes 2-pt layup from 2 ft (assist by B. Diaw),12,19
74,1,3:06.0,I. Thomas misses 2-pt jump shot from 7 ft,,12,19
75,1,3:05.0,Offensive rebound by I. Thomas,,12,19
76,1,3:03.0,Turnover by I. Thomas (bad pass; steal by M. Ginóbili),,12,19
77,1,2:50.0,,B. Diaw misses 2-pt jump shot from 5 ft,12,19
78,1,2:49.0,,Offensive rebound by T. Duncan,12,19
79,1,2:49.0,,T. Duncan misses 2-pt dunk at rim,12,19
80,1,2:48.0,Defensive rebound by M. Morris,,12,19
81,1,2:38.0,I. Thomas makes 2-pt jump shot from 4 ft,,14,19
82,1,2:23.0,,C. Joseph makes 2-pt layup from 2 ft (assist by T. Duncan),14,21
83,1,2:16.0,Phoenix full timeout,,14,21
84,1,2:16.0,,J. Ayres enters the game for T. Duncan,14,21
85,1,2:16.0,M. Plumlee enters the game for A. Len,,14,21
86,1,2:05.0,G. Green makes 2-pt jump shot from 18 ft,,16,21
87,1,1:47.0,,B. Diaw makes 2-pt hook shot at rim,16,23
88,1,1:39.0,Turnover by I. Thomas (lost ball; steal by P. Mills),,16,23
89,1,1:35.0,,P. Mills makes 2-pt layup from 2 ft (assist by J. Ayres),16,25
90,1,1:16.0,G. Green misses 3-pt jump shot from 24 ft,,16,25
91,1,1:15.0,,Defensive rebound by P. Mills,16,25
92,1,1:04.0,,M. Ginóbili makes 2-pt layup from 2 ft (assist by B. Diaw),16,27
93,1,0:56.0,M. Morris misses 3-pt jump shot from 25 ft,,16,27
94,1,0:55.0,,Defensive rebound by M. Ginóbili,16,27
95,1,0:41.0,,Personal block foul by M. Morris (drawn by B. Diaw),16,27
96,1,0:33.0,,B. Diaw misses 3-pt jump shot from 24 ft,16,27
97,1,0:32.0,Defensive rebound by M. Plumlee,,16,27
98,1,0:18.0,M. Morris makes 2-pt jump shot from 5 ft (assist by I. Thomas),,18,27
99,1,0:03.0,,Personal foul by M. Morris (drawn by J. Ayres),18,27
100,1,0:03.0,,J. Ayres makes free throw 1 of 2,18,28
101,1,0:03.0,,J. Ayres makes free throw 2 of 2,18,29
102,2,11:50.0,Offensive foul by G. Green (drawn by J. Ayres),,18,29
103,2,11:50.0,Turnover by G. Green (offensive foul),,18,29
104,2,11:31.0,,Turnover by B. Diaw (offensive foul),18,29
105,2,11:31.0,,Offensive foul by B. Diaw (drawn by G. Green),18,29
106,2,11:12.0,I. Thomas makes 2-pt jump shot from 17 ft,,20,29
107,2,10:51.0,,T. Parker misses 2-pt jump shot from 11 ft,20,29
108,2,10:50.0,Defensive rebound by E. Bledsoe,,20,29
109,2,10:37.0,G. Green misses 3-pt jump shot from 24 ft,,20,29
110,2,10:36.0,Offensive rebound by G. Green,,20,29
111,2,10:29.0,G. Green makes 2-pt jump shot from 4 ft,,22,29
112,2,10:28.0,,San Antonio full timeout,22,29
113,2,10:18.0,,Turnover by B. Diaw (bad pass; steal by G. Green),22,29
114,2,10:12.0,Turnover by G. Green (lost ball; steal by J. Ayres),,22,29
115,2,10:06.0,,Shooting foul by G. Green (drawn by J. Ayres),22,29
116,2,10:06.0,,J. Ayres misses free throw 1 of 2,22,29
117,2,10:06.0,,Offensive rebound by Team,22,29
118,2,10:06.0,,T. Splitter enters the game for B. Diaw,22,29
119,2,10:06.0,,J. Ayres makes free throw 2 of 2,22,30
120,2,9:48.0,E. Bledsoe makes 2-pt jump shot from 16 ft (assist by M. Morris),,24,30
121,2,9:30.0,,M. Ginóbili misses 2-pt jump shot from 8 ft,24,30
122,2,9:29.0,Defensive rebound by M. Morris,,24,30
123,2,9:24.0,I. Thomas misses 3-pt jump shot from 25 ft,,24,30
124,2,9:23.0,,Defensive rebound by D. Green,24,30
125,2,9:11.0,,M. Ginóbili makes 2-pt layup from 2 ft (assist by T. Splitter),24,32
126,2,8:54.0,M. Morris makes 2-pt jump shot from 20 ft (assist by I. Thomas),,26,32
127,2,8:43.0,,J. Ayres misses 2-pt jump shot from 9 ft,26,32
128,2,8:42.0,Defensive rebound by M. Plumlee,,26,32
129,2,8:38.0,G. Green misses 3-pt jump shot from 25 ft,,26,32
130,2,8:38.0,Offensive rebound by M. Morris,,26,32
131,2,8:37.0,M. Morris misses 2-pt layup at rim,,26,32
132,2,8:34.0,,Defensive rebound by M. Ginóbili,26,32
133,2,8:17.0,,M. Ginóbili misses 2-pt jump shot from 9 ft,26,32
134,2,8:16.0,,Offensive rebound by J. Ayres,26,32
135,2,8:06.0,,D. Green makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),26,35
136,2,7:43.0,Turnover by E. Bledsoe (lost ball; steal by M. Ginóbili),,26,35
137,2,7:33.0,,D. Green makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),26,38
138,2,7:21.0,M. Morris misses 3-pt jump shot from 25 ft,,26,38
139,2,7:18.0,Offensive rebound by E. Bledsoe,,26,38
140,2,7:08.0,Turnover by I. Thomas (lost ball; steal by J. Ayres),,26,38
141,2,6:49.0,,J. Ayres misses 2-pt dunk at rim (block by M. Plumlee),26,38
142,2,6:48.0,Defensive rebound by M. Plumlee,,26,38
143,2,6:45.0,Turnover by E. Bledsoe (traveling),,26,38
144,2,6:45.0,,T. Duncan enters the game for J. Ayres,26,38
145,2,6:45.0,,M. Belinelli enters the game for M. Ginóbili,26,38
146,2,6:45.0,A. Len enters the game for M. Plumlee,,26,38
147,2,6:28.0,,T. Duncan misses 2-pt jump shot from 9 ft,26,38
148,2,6:27.0,Defensive rebound by A. Len,,26,38
149,2,6:15.0,E. Bledsoe misses 2-pt jump shot from 22 ft,,26,38
150,2,6:14.0,,Defensive rebound by T. Splitter,26,38
151,2,6:05.0,,M. Belinelli makes 2-pt jump shot from 8 ft,26,40
152,2,6:04.0,Phoenix full timeout,,26,40
153,2,6:04.0,M. Morris enters the game for M. Morris,,26,40
154,2,6:04.0,G. Dragić enters the game for I. Thomas,,26,40
155,2,5:51.0,G. Green makes 2-pt jump shot from 16 ft (assist by M. Morris),,28,40
156,2,5:32.0,,T. Parker makes 2-pt layup from 1 ft (assist by T. Duncan),28,42
157,2,5:26.0,G. Dragić misses 2-pt layup from 1 ft (block by D. Green),,28,42
