,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PORTLAND_ACTION,GOLDEN STATE_SCORE,PORTLAND_SCORE
0,1,11:44.0,K. Thompson makes 2-pt jump shot from 20 ft,,2,0
1,1,11:28.0,,D. Lillard misses 2-pt jump shot from 19 ft,2,0
2,1,11:27.0,Defensive rebound by K. Thompson,,2,0
3,1,11:21.0,D. Green misses 3-pt jump shot from 26 ft,,2,0
4,1,11:20.0,,Defensive rebound by D. Wright,2,0
5,1,11:10.0,,R. Lopez misses 2-pt jump shot from 15 ft,2,0
6,1,11:09.0,Defensive rebound by S. Curry,,2,0
7,1,11:04.0,S. Curry misses 3-pt jump shot from 25 ft,,2,0
8,1,11:03.0,,Defensive rebound by D. Wright,2,0
9,1,10:53.0,,D. Lillard misses 2-pt jump shot from 11 ft,2,0
10,1,10:52.0,,Offensive rebound by R. Lopez,2,0
11,1,10:50.0,,R. Lopez misses 2-pt jump shot from 3 ft,2,0
12,1,10:49.0,Defensive rebound by A. Bogut,,2,0
13,1,10:40.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by A. Bogut),,5,0
14,1,10:12.0,,D. Lillard makes 3-pt jump shot from 28 ft (assist by A. Gee),5,3
15,1,9:58.0,A. Bogut misses 2-pt jump shot from 3 ft (block by R. Lopez),,5,3
16,1,9:56.0,,Defensive rebound by D. Lillard,5,3
17,1,9:51.0,,D. Wright misses 2-pt jump shot from 4 ft (block by K. Thompson),5,3
18,1,9:49.0,Defensive rebound by D. Green,,5,3
19,1,9:42.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by K. Thompson),,8,3
20,1,9:20.0,,A. Afflalo makes 3-pt jump shot from 27 ft (assist by D. Lillard),8,6
21,1,9:08.0,K. Thompson misses 3-pt jump shot from 26 ft,,8,6
22,1,9:06.0,,Defensive rebound by D. Wright,8,6
23,1,8:59.0,,A. Gee misses 2-pt layup from 1 ft,8,6
24,1,8:58.0,Defensive rebound by A. Bogut,,8,6
25,1,8:47.0,S. Curry makes 2-pt jump shot from 20 ft (assist by A. Bogut),,10,6
26,1,8:27.0,,A. Afflalo misses 2-pt jump shot from 17 ft,10,6
27,1,8:25.0,,Offensive rebound by R. Lopez,10,6
28,1,8:20.0,,A. Afflalo makes 2-pt jump shot from 12 ft (assist by R. Lopez),10,8
29,1,8:01.0,K. Thompson misses 2-pt jump shot from 16 ft (block by D. Lillard),,10,8
30,1,8:00.0,,Defensive rebound by D. Lillard,10,8
31,1,7:48.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by D. Wright),10,10
32,1,7:39.0,S. Curry misses 2-pt layup from 2 ft,,10,10
33,1,7:37.0,,Defensive rebound by R. Lopez,10,10
34,1,7:30.0,,A. Afflalo misses 3-pt jump shot from 25 ft,10,10
35,1,7:29.0,Defensive rebound by S. Curry,,10,10
36,1,7:22.0,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),,12,10
37,1,6:56.0,,D. Wright makes 3-pt jump shot from 25 ft (assist by A. Afflalo),12,13
38,1,6:31.0,K. Thompson misses 2-pt layup from 2 ft,,12,13
39,1,6:29.0,Offensive rebound by A. Bogut,,12,13
40,1,6:29.0,A. Bogut makes 2-pt dunk at rim,,14,13
41,1,6:10.0,,D. Wright makes 2-pt jump shot from 4 ft,14,15
42,1,5:55.0,Turnover by A. Bogut (bad pass; steal by D. Lillard),,14,15
43,1,5:44.0,,A. Gee makes 2-pt layup from 2 ft,14,17
44,1,5:33.0,S. Curry makes 2-pt jump shot from 19 ft,,16,17
45,1,5:32.0,,Portland full timeout,16,17
46,1,5:32.0,J. Holiday enters the game for K. Thompson,,16,17
47,1,5:13.0,,D. Wright makes 2-pt jump shot from 4 ft (assist by A. Afflalo),16,19
48,1,4:54.0,D. Green makes 2-pt layup from 2 ft (assist by A. Bogut),,18,19
49,1,4:44.0,,D. Lillard makes 3-pt jump shot from 25 ft,18,22
50,1,4:33.0,S. Curry misses 2-pt jump shot from 19 ft,,18,22
51,1,4:33.0,,Defensive rebound by Team,18,22
52,1,4:33.0,,C. McCollum enters the game for A. Afflalo,18,22
53,1,4:33.0,,J. Freeland enters the game for R. Lopez,18,22
54,1,4:33.0,A. Iguodala enters the game for H. Barnes,,18,22
55,1,4:13.0,,D. Lillard makes 2-pt jump shot from 14 ft,18,24
56,1,4:04.0,Turnover by A. Bogut (traveling),,18,24
57,1,3:47.0,,C. McCollum misses 3-pt jump shot from 23 ft,18,24
58,1,3:46.0,Defensive rebound by A. Bogut,,18,24
59,1,3:39.0,D. Green makes 2-pt layup from 1 ft (assist by A. Iguodala),,20,24
60,1,3:20.0,,A. Gee makes 2-pt layup from 1 ft,20,26
61,1,3:14.0,Offensive foul by D. Green (drawn by D. Lillard),,20,26
62,1,3:14.0,Turnover by D. Green (offensive foul),,20,26
63,1,3:14.0,,A. Crabbe enters the game for A. Gee,20,26
64,1,3:14.0,,M. Leonard enters the game for D. Wright,20,26
65,1,3:14.0,F. Ezeli enters the game for A. Bogut,,20,26
66,1,2:58.0,,Personal foul by S. Curry (drawn by D. Lillard),20,26
67,1,2:58.0,Golden State full timeout,,20,26
68,1,2:58.0,,Portland full timeout,20,26
69,1,2:53.0,,Shooting foul by F. Ezeli (drawn by D. Lillard),20,26
70,1,2:53.0,,D. Lillard makes free throw 1 of 2,20,27
71,1,2:53.0,,D. Lillard makes free throw 2 of 2,20,28
72,1,2:38.0,A. Iguodala misses 2-pt jump shot from 10 ft,,20,28
73,1,2:37.0,Offensive rebound by F. Ezeli,,20,28
74,1,2:33.0,S. Curry makes 2-pt layup from 1 ft (assist by F. Ezeli),,22,28
75,1,2:23.0,,D. Lillard misses 3-pt jump shot from 25 ft,22,28
76,1,2:21.0,,Offensive rebound by D. Lillard,22,28
77,1,2:11.0,,C. McCollum misses 2-pt layup from 1 ft (block by F. Ezeli),22,28
78,1,2:09.0,Defensive rebound by J. Holiday,,22,28
79,1,2:03.0,Turnover by A. Iguodala (lost ball; steal by C. McCollum),,22,28
80,1,2:03.0,,Personal foul by J. Holiday (drawn by C. McCollum),22,28
81,1,2:03.0,L. Barbosa enters the game for S. Curry,,22,28
82,1,1:49.0,,C. McCollum misses 2-pt jump shot from 17 ft,22,28
83,1,1:48.0,Defensive rebound by D. Green,,22,28
84,1,1:43.0,Shooting foul by M. Leonard (drawn by L. Barbosa),,22,28
85,1,1:43.0,L. Barbosa makes free throw 1 of 2,,23,28
86,1,1:43.0,H. Barnes enters the game for D. Green,,23,28
87,1,1:43.0,L. Barbosa makes free throw 2 of 2,,24,28
88,1,1:25.0,,A. Crabbe misses 3-pt jump shot from 24 ft,24,28
89,1,1:24.0,Defensive rebound by H. Barnes,,24,28
90,1,1:15.0,J. Holiday misses 3-pt jump shot from 23 ft,,24,28
91,1,1:14.0,,Defensive rebound by C. McCollum,24,28
92,1,1:05.0,,M. Leonard misses 3-pt jump shot from 25 ft,24,28
93,1,1:03.0,Defensive rebound by H. Barnes,,24,28
94,1,0:52.0,H. Barnes makes 2-pt jump shot from 18 ft,,26,28
95,1,0:34.0,,D. Lillard misses 2-pt layup from 2 ft,26,28
96,1,0:33.0,Defensive rebound by L. Barbosa,,26,28
97,1,0:23.0,J. Holiday misses 3-pt jump shot from 25 ft,,26,28
98,1,0:22.0,,Defensive rebound by M. Leonard,26,28
99,1,0:01.0,,Shooting foul by F. Ezeli (drawn by D. Lillard),26,28
100,1,0:01.0,,D. Lillard makes free throw 1 of 2,26,29
101,1,0:01.0,,D. Lillard makes free throw 2 of 2,26,30
102,2,11:39.0,,J. Freeland misses 2-pt jump shot from 18 ft,26,30
103,2,11:38.0,Defensive rebound by H. Barnes,,26,30
104,2,11:23.0,Turnover by H. Barnes (lost ball; steal by A. Crabbe),,26,30
105,2,11:12.0,,A. Crabbe makes 2-pt dunk at rim (assist by S. Blake),26,32
106,2,10:57.0,M. Speights makes 2-pt jump shot from 18 ft (assist by L. Barbosa),,28,32
107,2,10:48.0,,J. Freeland makes 2-pt layup from 1 ft (assist by S. Blake),28,34
108,2,10:48.0,,Shooting foul by M. Speights (drawn by J. Freeland),28,34
109,2,10:48.0,,J. Freeland makes free throw 1 of 1,28,35
110,2,10:36.0,Personal foul by A. Crabbe (drawn by H. Barnes),,28,35
111,2,10:28.0,A. Iguodala makes 3-pt jump shot from 25 ft (assist by M. Speights),,31,35
112,2,10:16.0,,Personal foul by L. Barbosa (drawn by A. Afflalo),31,35
113,2,10:07.0,,S. Blake misses 3-pt jump shot from 23 ft,31,35
114,2,10:07.0,Defensive rebound by Team,,31,35
115,2,10:07.0,,Loose ball foul by J. Freeland (drawn by M. Speights),31,35
116,2,9:56.0,J. Holiday makes 2-pt jump shot from 20 ft (assist by L. Barbosa),,33,35
117,2,9:35.0,,Turnover by M. Leonard (3 sec),33,35
118,2,9:22.0,A. Iguodala makes 2-pt jump shot from 17 ft (assist by L. Barbosa),,35,35
119,2,8:59.0,,A. Afflalo misses 3-pt jump shot from 26 ft,35,35
120,2,8:57.0,,Offensive rebound by Team,35,35
121,2,8:57.0,Official timeout,,35,35
122,2,8:57.0,,A. Gee enters the game for A. Crabbe,35,35
123,2,8:57.0,,C. McCollum enters the game for M. Leonard,35,35
124,2,8:57.0,K. Thompson enters the game for J. Holiday,,35,35
125,2,8:52.0,,A. Afflalo misses 2-pt jump shot from 16 ft,35,35
126,2,8:51.0,Defensive rebound by L. Barbosa,,35,35
127,2,8:37.0,M. Speights misses 2-pt hook shot from 2 ft,,35,35
128,2,8:34.0,,Defensive rebound by S. Blake,35,35
129,2,8:28.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by S. Blake),35,38
130,2,8:15.0,K. Thompson makes 2-pt jump shot from 12 ft (assist by L. Barbosa),,37,38
131,2,8:02.0,,C. McCollum makes 2-pt layup from 2 ft,37,40
