,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CLEVELAND_ACTION,SAN ANTONIO_SCORE,CLEVELAND_SCORE
0,1,11:35.0,D. Green misses 3-pt jump shot from 25 ft,,0,0
1,1,11:34.0,,Defensive rebound by A. Varejão,0,0
2,1,11:12.0,,Turnover by A. Varejão (bad pass; steal by K. Leonard),0,0
3,1,11:00.0,D. Green misses 2-pt jump shot from 16 ft,,0,0
4,1,10:59.0,,Defensive rebound by K. Love,0,0
5,1,10:48.0,,K. Irving misses 2-pt jump shot from 9 ft,0,0
6,1,10:45.0,,Offensive rebound by K. Love,0,0
7,1,10:45.0,,K. Love misses 2-pt tip-in at rim,0,0
8,1,10:43.0,Defensive rebound by B. Diaw,,0,0
9,1,10:22.0,B. Diaw misses 2-pt jump shot from 14 ft,,0,0
10,1,10:21.0,,Defensive rebound by A. Varejão,0,0
11,1,9:59.0,,S. Marion misses 3-pt jump shot from 25 ft,0,0
12,1,9:58.0,Defensive rebound by K. Leonard,,0,0
13,1,9:48.0,T. Duncan makes 2-pt jump shot from 17 ft (assist by D. Green),,2,0
14,1,9:34.0,,L. James makes 3-pt jump shot from 25 ft,2,3
15,1,9:18.0,T. Parker misses 2-pt jump shot from 19 ft,,2,3
16,1,9:17.0,,Defensive rebound by K. Irving,2,3
17,1,9:04.0,,A. Varejão makes 2-pt layup from 2 ft (assist by K. Love),2,5
18,1,8:47.0,T. Duncan makes 2-pt jump shot from 19 ft (assist by T. Parker),,4,5
19,1,8:32.0,,Turnover by K. Love (lost ball; steal by B. Diaw),4,5
20,1,8:27.0,T. Duncan makes 2-pt layup from 1 ft (assist by T. Parker),,6,5
21,1,8:27.0,Shooting foul by K. Irving (drawn by T. Duncan),,6,5
22,1,8:27.0,T. Duncan makes free throw 1 of 1,,7,5
23,1,8:11.0,,Turnover by A. Varejão (bad pass; steal by B. Diaw),7,5
24,1,8:04.0,Shooting foul by S. Marion (drawn by T. Duncan),,7,5
25,1,8:04.0,T. Duncan makes free throw 1 of 2,,8,5
26,1,8:04.0,T. Duncan makes free throw 2 of 2,,9,5
27,1,7:47.0,,L. James misses 2-pt jump shot from 14 ft,9,5
28,1,7:45.0,Defensive rebound by T. Duncan,,9,5
29,1,7:35.0,T. Duncan misses 2-pt jump shot from 3 ft (block by A. Varejão),,9,5
30,1,7:33.0,,Defensive rebound by L. James,9,5
31,1,7:28.0,,L. James makes 3-pt jump shot from 25 ft,9,8
32,1,7:13.0,Turnover by T. Parker (traveling),,9,8
33,1,7:00.0,,K. Irving misses 2-pt jump shot from 15 ft,9,8
34,1,6:59.0,Defensive rebound by T. Duncan,,9,8
35,1,6:41.0,B. Diaw makes 2-pt jump shot from 5 ft (assist by T. Duncan),,11,8
36,1,6:23.0,,K. Love misses 3-pt jump shot from 25 ft,11,8
37,1,6:21.0,Defensive rebound by D. Green,,11,8
38,1,6:10.0,K. Leonard misses 3-pt jump shot from 23 ft,,11,8
39,1,6:09.0,,Defensive rebound by K. Love,11,8
40,1,6:04.0,,L. James makes 2-pt layup at rim (assist by K. Love),11,10
41,1,6:03.0,San Antonio full timeout,,11,10
42,1,6:03.0,C. Joseph enters the game for D. Green,,11,10
43,1,6:03.0,M. Ginóbili enters the game for T. Parker,,11,10
44,1,5:49.0,K. Leonard makes 2-pt dunk at rim (assist by B. Diaw),,13,10
45,1,5:27.0,,K. Love makes 2-pt jump shot from 12 ft (assist by L. James),13,12
46,1,5:15.0,B. Diaw makes 2-pt layup from 1 ft (assist by C. Joseph),,15,12
47,1,4:58.0,,S. Marion makes 3-pt jump shot from 24 ft (assist by L. James),15,15
48,1,4:36.0,T. Duncan misses 2-pt jump shot from 17 ft,,15,15
49,1,4:34.0,,Defensive rebound by S. Marion,15,15
50,1,4:25.0,,L. James misses 2-pt jump shot from 14 ft,15,15
51,1,4:24.0,Defensive rebound by Team,,15,15
52,1,4:24.0,,D. Waiters enters the game for K. Irving,15,15
53,1,4:14.0,T. Duncan misses 2-pt jump shot from 8 ft,,15,15
54,1,4:13.0,Offensive rebound by T. Duncan,,15,15
55,1,4:10.0,T. Duncan misses 2-pt layup from 2 ft,,15,15
56,1,4:09.0,Offensive rebound by B. Diaw,,15,15
57,1,4:05.0,K. Leonard misses 3-pt jump shot from 26 ft,,15,15
58,1,4:04.0,,Defensive rebound by A. Varejão,15,15
59,1,3:51.0,,Offensive foul by L. James (drawn by M. Ginóbili),15,15
60,1,3:51.0,,Turnover by L. James (offensive foul),15,15
61,1,3:31.0,,Violation by S. Marion (def goaltending),15,15
62,1,3:31.0,T. Duncan makes 2-pt layup from 1 ft (assist by B. Diaw),,17,15
63,1,3:15.0,,Turnover by A. Varejão (lost ball; steal by T. Duncan),17,15
64,1,2:56.0,T. Duncan misses 2-pt jump shot from 8 ft,,17,15
65,1,2:53.0,,Defensive rebound by K. Love,17,15
66,1,2:45.0,,A. Varejão makes 2-pt layup at rim (assist by L. James),17,17
67,1,2:30.0,T. Duncan misses 2-pt layup from 2 ft (block by K. Love),,17,17
68,1,2:28.0,Offensive rebound by C. Joseph,,17,17
69,1,2:27.0,Offensive foul by B. Diaw (drawn by A. Varejão),,17,17
70,1,2:27.0,Turnover by B. Diaw (offensive foul),,17,17
71,1,2:27.0,,Cleveland full timeout,17,17
72,1,2:27.0,,T. Thompson enters the game for L. James,17,17
73,1,2:27.0,,K. Irving enters the game for A. Varejão,17,17
74,1,2:27.0,A. Baynes enters the game for T. Duncan,,17,17
75,1,2:27.0,D. Green enters the game for K. Leonard,,17,17
76,1,2:07.0,,K. Irving misses 2-pt jump shot from 9 ft,17,17
77,1,2:05.0,Defensive rebound by M. Ginóbili,,17,17
78,1,1:54.0,Turnover by A. Baynes (lost ball),,17,17
79,1,1:54.0,,J. Harris enters the game for S. Marion,17,17
80,1,1:54.0,T. Parker enters the game for C. Joseph,,17,17
81,1,1:41.0,,D. Waiters misses 3-pt jump shot from 26 ft,17,17
82,1,1:39.0,Defensive rebound by B. Diaw,,17,17
83,1,1:23.0,A. Baynes makes 2-pt dunk at rim (assist by B. Diaw),,19,17
84,1,1:04.0,,Turnover by J. Harris (lost ball; steal by D. Green),19,17
85,1,0:56.0,A. Baynes makes 2-pt layup from 1 ft (assist by M. Ginóbili),,21,17
86,1,0:42.0,,D. Waiters misses 2-pt jump shot from 16 ft,21,17
87,1,0:39.0,Defensive rebound by B. Diaw,,21,17
88,1,0:32.0,T. Parker makes 2-pt jump shot from 17 ft,,23,17
89,1,0:11.0,,J. Harris makes 3-pt jump shot from 23 ft (assist by T. Thompson),23,20
90,1,0:00.0,T. Parker misses 2-pt jump shot from 18 ft,,23,20
91,1,0:00.0,Offensive rebound by Team,,23,20
92,2,11:48.0,,A. Varejão makes 2-pt layup from 2 ft (assist by K. Irving),23,22
93,2,11:48.0,,Shooting foul by A. Baynes (drawn by A. Varejão),23,22
94,2,11:48.0,,A. Varejão misses free throw 1 of 1,23,22
95,2,11:48.0,Defensive rebound by D. Green,,23,22
96,2,11:33.0,A. Daye misses 3-pt jump shot from 22 ft,,23,22
97,2,11:32.0,,Defensive rebound by K. Irving,23,22
98,2,11:21.0,,D. Waiters misses 2-pt layup from 2 ft,23,22
99,2,11:21.0,,Offensive rebound by Team,23,22
100,2,11:21.0,Loose ball foul by A. Baynes (drawn by T. Thompson),,23,22
101,2,11:06.0,,A. Varejão misses 2-pt jump shot from 7 ft,23,22
102,2,11:06.0,,Offensive rebound by Team,23,22
103,2,11:06.0,,Turnover by Team (shot clock),23,22
