,QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
0,1,11:46.0,,Personal foul by C. Aldrich (drawn by J. Valančiūnas),0,0
1,1,11:41.0,,J. Valančiūnas misses 2-pt jump shot from 3 ft (block by C. Aldrich),0,0
2,1,11:39.0,,Offensive rebound by T. Ross,0,0
3,1,11:32.0,,K. Lowry misses 3-pt jump shot from 23 ft,0,0
4,1,11:30.0,,Offensive rebound by A. Johnson,0,0
5,1,11:26.0,,K. Lowry misses 2-pt jump shot from 21 ft,0,0
6,1,11:24.0,,Offensive rebound by J. Johnson,0,0
7,1,11:21.0,,J. Johnson makes 2-pt dunk at rim,0,2
8,1,10:57.0,Q. Acy misses 2-pt jump shot from 18 ft (block by J. Johnson),,0,2
9,1,10:57.0,Offensive rebound by Team,,0,2
10,1,10:55.0,T. Hardaway makes 2-pt jump shot from 16 ft (assist by C. Anthony),,2,2
11,1,10:37.0,,T. Ross makes 2-pt jump shot from 18 ft (assist by K. Lowry),2,4
12,1,10:25.0,Personal foul by J. Johnson (drawn by C. Anthony),,2,4
13,1,10:15.0,T. Hardaway misses 2-pt layup from 3 ft,,2,4
14,1,10:14.0,,Defensive rebound by A. Johnson,2,4
15,1,10:14.0,,Turnover by A. Johnson (lost ball),2,4
16,1,9:59.0,J. Calderón misses 2-pt jump shot from 21 ft,,2,4
17,1,9:57.0,,Defensive rebound by J. Valančiūnas,2,4
18,1,9:49.0,,T. Ross makes 3-pt jump shot from 22 ft (assist by K. Lowry),2,7
19,1,9:30.0,C. Anthony makes 3-pt jump shot from 24 ft (assist by T. Hardaway),,5,7
20,1,9:14.0,,T. Ross misses 3-pt jump shot from 23 ft,5,7
21,1,9:13.0,Defensive rebound by Team,,5,7
22,1,8:50.0,J. Calderón misses 3-pt jump shot from 24 ft,,5,7
23,1,8:48.0,,Defensive rebound by J. Valančiūnas,5,7
24,1,8:36.0,,A. Johnson misses 2-pt hook shot from 9 ft,5,7
25,1,8:35.0,Defensive rebound by C. Aldrich,,5,7
26,1,8:14.0,Turnover by Q. Acy (lost ball; steal by A. Johnson),,5,7
27,1,7:59.0,,J. Valančiūnas misses 2-pt layup from 2 ft,5,7
28,1,7:58.0,Defensive rebound by Q. Acy,,5,7
29,1,7:42.0,C. Anthony misses 3-pt jump shot from 24 ft,,5,7
30,1,7:37.0,Offensive rebound by T. Hardaway,,5,7
31,1,7:35.0,Shooting foul by J. Johnson (drawn by T. Hardaway),,5,7
32,1,7:35.0,T. Hardaway makes free throw 1 of 2,,6,7
33,1,7:35.0,,G. Vásquez enters the game for J. Johnson,6,7
34,1,7:35.0,S. Dalembert enters the game for C. Aldrich,,6,7
35,1,7:35.0,T. Hardaway makes free throw 2 of 2,,7,7
36,1,7:15.0,,T. Ross misses 3-pt jump shot from 24 ft,7,7
37,1,7:14.0,,Offensive rebound by J. Valančiūnas,7,7
38,1,7:11.0,,T. Ross makes 2-pt dunk at rim (assist by J. Valančiūnas),7,9
39,1,6:49.0,Q. Acy misses 2-pt jump shot from 15 ft,,7,9
40,1,6:48.0,,Defensive rebound by K. Lowry,7,9
41,1,6:41.0,,K. Lowry makes 3-pt jump shot from 24 ft,7,12
42,1,6:33.0,Offensive foul by C. Anthony (drawn by J. Valančiūnas),,7,12
43,1,6:33.0,Turnover by C. Anthony (offensive foul),,7,12
44,1,6:22.0,,T. Ross makes 3-pt jump shot from 24 ft (assist by K. Lowry),7,15
45,1,6:15.0,New York full timeout,,7,15
46,1,6:01.0,C. Anthony misses 2-pt jump shot from 13 ft,,7,15
47,1,5:59.0,,Defensive rebound by J. Valančiūnas,7,15
48,1,5:55.0,,Shooting foul by T. Hardaway (drawn by K. Lowry),7,15
49,1,5:55.0,,K. Lowry makes free throw 1 of 2,7,16
50,1,5:55.0,J. Smith enters the game for Q. Acy,,7,16
51,1,5:55.0,,K. Lowry makes free throw 2 of 2,7,17
52,1,5:39.0,J. Calderón makes 2-pt jump shot from 17 ft,,9,17
53,1,5:16.0,,J. Valančiūnas makes 2-pt hook shot from 8 ft,9,19
54,1,4:55.0,Shooting foul by A. Johnson (drawn by C. Anthony),,9,19
55,1,4:55.0,C. Anthony makes 2-pt jump shot from 6 ft (assist by J. Calderón),,11,19
56,1,4:55.0,P. Prigioni enters the game for T. Hardaway,,11,19
57,1,4:55.0,C. Anthony makes free throw 1 of 1,,12,19
58,1,4:42.0,,Shooting foul by J. Calderón (drawn by J. Valančiūnas),12,19
59,1,4:42.0,,J. Valančiūnas makes free throw 1 of 2,12,20
60,1,4:42.0,,P. Patterson enters the game for A. Johnson,12,20
61,1,4:42.0,,J. Valančiūnas makes free throw 2 of 2,12,21
62,1,4:21.0,C. Anthony makes 2-pt jump shot from 20 ft (assist by J. Calderón),,14,21
63,1,4:06.0,,T. Ross misses 3-pt jump shot from 24 ft,14,21
64,1,4:05.0,Defensive rebound by J. Calderón,,14,21
65,1,4:00.0,C. Anthony misses 2-pt layup from 2 ft,,14,21
66,1,3:58.0,,Defensive rebound by T. Ross,14,21
67,1,3:54.0,,G. Vásquez makes 3-pt jump shot from 23 ft (assist by T. Ross),14,24
68,1,3:33.0,J. Smith misses 2-pt jump shot from 9 ft (block by P. Patterson),,14,24
69,1,3:31.0,,Defensive rebound by G. Vásquez,14,24
70,1,3:22.0,,G. Vásquez misses 3-pt jump shot from 24 ft,14,24
71,1,3:21.0,Defensive rebound by J. Smith,,14,24
72,1,3:13.0,Shooting block foul by J. Valančiūnas (drawn by C. Anthony),,14,24
73,1,3:13.0,C. Anthony misses free throw 1 of 2,,14,24
74,1,3:13.0,Offensive rebound by Team,,14,24
